teamName,playoff_games_played,playoff_wins,playoff_losses,playoff_win_pct,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_wins,regular_season_losses,regular_season_ties,regular_season_win_pct,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_wins,home_losses,home_ties,home_win_pct,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_run_diff_total,home_run_diff_mean,away_games_played,away_wins,away_losses,away_ties,away_win_pct,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_run_diff_total,away_run_diff_mean
Sterling Heights,1,,1.0,,1.0,1.0,1.0,9.0,9.0,9.0,-8.0,-8.0,31,1.0,4.0,26.0,0.03225806451612903,2.2,2.0,11.0,14.4,17.0,72.0,-61.0,-12.2,16,,2.0,14.0,,3.0,3.0,6.0,17.0,17.0,34.0,-28.0,-14.0,15,1.0,2.0,12.0,0.06666666666666667,1.6666666666666667,2.0,5.0,12.666666666666666,11.0,38.0,-33.0,-11.0
Sterling Heights Parkway Christian,1,,1.0,,1.0,1.0,1.0,3.0,3.0,3.0,-2.0,-2.0,27,1.0,7.0,19.0,0.037037037037037035,1.25,0.5,10.0,8.375,10.5,67.0,-57.0,-7.125,12,1.0,3.0,8.0,0.08333333333333333,2.0,1.0,8.0,8.25,10.5,33.0,-25.0,-6.25,15,,4.0,11.0,,0.5,0.5,2.0,8.5,9.5,34.0,-32.0,-8.0
Sterling Heights Stevenson,1,,1.0,,9.0,9.0,9.0,10.0,10.0,10.0,-1.0,-1.0,40,1.0,3.0,36.0,0.025,2.5,2.5,10.0,7.0,7.0,28.0,-18.0,-4.5,16,1.0,3.0,12.0,0.0625,2.5,2.5,10.0,7.0,7.0,28.0,-18.0,-4.5,24,,,24.0,,,,0.0,,,0.0,0.0,
Stevensville Lakeshore,2,1.0,1.0,0.5,6.5,6.5,13.0,2.5,2.5,5.0,8.0,4.0,34,8.0,3.0,23.0,0.23529411764705882,5.7272727272727275,6.0,63.0,4.7272727272727275,5.0,52.0,11.0,1.0,25,4.0,1.0,20.0,0.16,6.6,6.0,33.0,4.6,5.0,23.0,10.0,2.0,9,4.0,2.0,3.0,0.4444444444444444,5.0,4.0,30.0,4.833333333333333,4.5,29.0,1.0,0.16666666666666696
Stockbridge,1,,1.0,,0.0,0.0,0.0,2.0,2.0,2.0,-2.0,-2.0,25,6.0,5.0,14.0,0.24,3.8333333333333335,3.5,46.0,5.25,2.5,63.0,-17.0,-1.4166666666666665,14,3.0,3.0,8.0,0.21428571428571427,3.4285714285714284,3.0,24.0,4.428571428571429,2.0,31.0,-7.0,-1.0000000000000004,11,3.0,2.0,6.0,0.2727272727272727,4.4,5.0,22.0,6.4,8.0,32.0,-10.0,-2.0
Sturgis,3,2.0,1.0,0.6666666666666666,7.0,6.0,21.0,4.666666666666667,4.0,14.0,7.0,2.333333333333333,33,1.0,3.0,29.0,0.030303030303030304,2.75,2.5,11.0,6.0,6.5,24.0,-13.0,-3.25,16,,,16.0,,,,0.0,,,0.0,0.0,,17,1.0,3.0,13.0,0.058823529411764705,2.75,2.5,11.0,6.0,6.5,24.0,-13.0,-3.25
Suttons Bay,6,4.0,2.0,0.6666666666666666,9.666666666666666,11.0,58.0,5.333333333333333,1.0,32.0,26.0,4.333333333333333,60,6.0,14.0,40.0,0.1,3.2,2.5,64.0,9.5,10.5,190.0,-126.0,-6.3,38,4.0,12.0,22.0,0.10526315789473684,3.125,2.5,50.0,10.5,12.0,168.0,-118.0,-7.375,22,2.0,2.0,18.0,0.09090909090909091,3.5,3.5,14.0,5.5,5.5,22.0,-8.0,-2.0
Swartz Creek,1,,1.0,,0.0,0.0,0.0,14.0,14.0,14.0,-14.0,-14.0,31,11.0,12.0,8.0,0.3548387096774194,5.608695652173913,4.0,129.0,6.739130434782608,6.0,155.0,-26.0,-1.1304347826086953,16,7.0,4.0,5.0,0.4375,6.7272727272727275,5.0,74.0,5.2727272727272725,4.0,58.0,16.0,1.454545454545455,15,4.0,8.0,3.0,0.26666666666666666,4.583333333333333,2.5,55.0,8.083333333333334,8.5,97.0,-42.0,-3.500000000000001
Tawas,1,,1.0,,0.0,0.0,0.0,16.0,16.0,16.0,-16.0,-16.0,15,3.0,,12.0,0.2,12.666666666666666,15.0,38.0,2.3333333333333335,3.0,7.0,31.0,10.333333333333332,3,,,3.0,,,,0.0,,,0.0,0.0,,12,3.0,,9.0,0.25,12.666666666666666,15.0,38.0,2.3333333333333335,3.0,7.0,31.0,10.333333333333332
Taylor,2,1.0,1.0,0.5,1.5,1.5,3.0,7.0,7.0,14.0,-11.0,-5.5,41,3.0,9.0,29.0,0.07317073170731707,3.6666666666666665,3.5,44.0,8.416666666666666,8.0,101.0,-57.0,-4.75,16,1.0,4.0,11.0,0.0625,3.2,2.0,16.0,9.8,12.0,49.0,-33.0,-6.6000000000000005,25,2.0,5.0,18.0,0.08,4.0,4.0,28.0,7.428571428571429,7.0,52.0,-24.0,-3.428571428571429
Taylor Prep,1,,1.0,,0.0,0.0,0.0,7.0,7.0,7.0,-7.0,-7.0,32,,28.0,4.0,,1.2142857142857142,0.0,34.0,7.964285714285714,7.0,223.0,-189.0,-6.75,21,,19.0,2.0,,1.0526315789473684,0.0,20.0,8.105263157894736,7.0,154.0,-134.0,-7.052631578947368,11,,9.0,2.0,,1.5555555555555556,0.0,14.0,7.666666666666667,7.0,69.0,-55.0,-6.111111111111112
Taylor Trillium Academy,1,,1.0,,0.0,0.0,0.0,25.0,25.0,25.0,-25.0,-25.0,16,2.0,3.0,11.0,0.125,3.0,1.0,15.0,7.6,3.0,38.0,-23.0,-4.6,9,1.0,1.0,7.0,0.1111111111111111,3.5,3.5,7.0,11.5,11.5,23.0,-16.0,-8.0,7,1.0,2.0,4.0,0.14285714285714285,2.6666666666666665,1.0,8.0,5.0,3.0,15.0,-7.0,-2.3333333333333335
Tecumseh,2,1.0,1.0,0.5,3.0,3.0,6.0,3.0,3.0,6.0,0.0,0.0,42,2.0,2.0,38.0,0.047619047619047616,6.75,6.5,27.0,5.25,5.5,21.0,6.0,1.5,27,1.0,,26.0,0.037037037037037035,8.0,8.0,8.0,7.0,7.0,7.0,1.0,1.0,15,1.0,2.0,12.0,0.06666666666666667,6.333333333333333,5.0,19.0,4.666666666666667,5.0,14.0,5.0,1.666666666666666
Tekonsha,4,2.0,2.0,0.5,11.0,11.0,44.0,12.0,12.0,48.0,-4.0,-1.0,62,10.0,10.0,42.0,0.16129032258064516,6.8,4.0,136.0,8.8,8.0,176.0,-40.0,-2.000000000000001,36,6.0,6.0,24.0,0.16666666666666666,7.333333333333333,7.0,88.0,8.166666666666666,8.0,98.0,-10.0,-0.833333333333333,26,4.0,4.0,18.0,0.15384615384615385,6.0,3.5,48.0,9.75,7.5,78.0,-30.0,-3.75
Temperance Bedford,3,2.0,1.0,0.6666666666666666,9.666666666666666,13.0,29.0,1.3333333333333333,2.0,4.0,25.0,8.333333333333332,50,19.0,10.0,21.0,0.38,5.793103448275862,4.0,168.0,4.551724137931035,3.0,132.0,36.0,1.2413793103448274,33,12.0,7.0,14.0,0.36363636363636365,4.315789473684211,4.0,82.0,4.368421052631579,3.0,83.0,-1.0,-0.05263157894736814,17,7.0,3.0,7.0,0.4117647058823529,8.6,9.5,86.0,4.9,4.0,49.0,37.0,3.6999999999999993
Three Oaks River Valley,3,2.0,1.0,0.6666666666666666,10.333333333333334,8.0,31.0,3.0,3.0,9.0,22.0,7.333333333333334,41,18.0,11.0,12.0,0.43902439024390244,9.551724137931034,9.0,277.0,4.896551724137931,3.0,142.0,135.0,4.655172413793103,22,8.0,4.0,10.0,0.36363636363636365,9.333333333333334,8.5,112.0,3.9166666666666665,2.5,47.0,65.0,5.416666666666668,19,10.0,7.0,2.0,0.5263157894736842,9.705882352941176,9.0,165.0,5.588235294117647,3.0,95.0,70.0,4.117647058823529
Three Rivers,1,,1.0,,3.0,3.0,3.0,6.0,6.0,6.0,-3.0,-3.0,28,1.0,6.0,21.0,0.03571428571428571,4.571428571428571,2.0,32.0,8.285714285714286,7.0,58.0,-26.0,-3.7142857142857153,13,,1.0,12.0,,4.0,4.0,4.0,13.0,13.0,13.0,-9.0,-9.0,15,1.0,5.0,9.0,0.06666666666666667,4.666666666666667,1.5,28.0,7.5,7.0,45.0,-17.0,-2.833333333333333
Traverse City Central,3,2.0,1.0,0.6666666666666666,7.0,6.0,21.0,6.0,6.0,18.0,3.0,1.0,41,8.0,6.0,27.0,0.1951219512195122,6.214285714285714,4.5,87.0,4.785714285714286,4.5,67.0,20.0,1.4285714285714288,26,7.0,2.0,17.0,0.2692307692307692,7.777777777777778,7.0,70.0,4.111111111111111,5.0,37.0,33.0,3.666666666666667,15,1.0,4.0,10.0,0.06666666666666667,3.4,2.0,17.0,6.0,4.0,30.0,-13.0,-2.6
Traverse City Christian,2,,2.0,,1.0,1.0,2.0,7.0,7.0,14.0,-12.0,-6.0,60,14.0,6.0,40.0,0.23333333333333334,7.8,8.0,156.0,4.3,3.0,86.0,70.0,3.5,24,8.0,,16.0,0.3333333333333333,8.25,8.0,66.0,2.25,2.5,18.0,48.0,6.0,36,6.0,6.0,24.0,0.16666666666666666,7.5,8.5,90.0,5.666666666666667,7.0,68.0,22.0,1.833333333333333
Traverse City St Francis,5,4.0,1.0,0.8,8.0,8.0,40.0,2.8,1.0,14.0,26.0,5.2,39,4.0,2.0,33.0,0.10256410256410256,6.5,5.0,39.0,4.5,1.5,27.0,12.0,2.0,24,4.0,2.0,18.0,0.16666666666666666,6.5,5.0,39.0,4.5,1.5,27.0,12.0,2.0,15,,,15.0,,,,0.0,,,0.0,0.0,
Traverse City West,1,,1.0,,5.0,5.0,5.0,6.0,6.0,6.0,-1.0,-1.0,34,3.0,3.0,28.0,0.08823529411764706,5.0,5.5,30.0,3.0,3.0,18.0,12.0,2.0,17,2.0,,15.0,0.11764705882352941,7.0,7.0,14.0,0.5,0.5,1.0,13.0,6.5,17,1.0,3.0,13.0,0.058823529411764705,4.0,4.5,16.0,4.25,4.5,17.0,-1.0,-0.25
Trenton,2,1.0,1.0,0.5,10.5,10.5,21.0,2.5,2.5,5.0,16.0,8.0,44,24.0,9.0,11.0,0.5454545454545454,7.636363636363637,8.0,252.0,3.787878787878788,3.0,125.0,127.0,3.8484848484848486,30,18.0,5.0,7.0,0.6,7.521739130434782,8.0,173.0,3.9130434782608696,3.0,90.0,83.0,3.6086956521739126,14,6.0,4.0,4.0,0.42857142857142855,7.9,8.5,79.0,3.5,2.5,35.0,44.0,4.4
Troy,1,,1.0,,2.0,2.0,2.0,5.0,5.0,5.0,-3.0,-3.0,39,2.0,5.0,32.0,0.05128205128205128,3.4285714285714284,2.0,24.0,5.428571428571429,6.0,38.0,-14.0,-2.0000000000000004,18,1.0,1.0,16.0,0.05555555555555555,1.5,1.5,3.0,3.5,3.5,7.0,-4.0,-2.0,21,1.0,4.0,16.0,0.047619047619047616,4.2,5.0,21.0,6.2,7.0,31.0,-10.0,-2.0
Troy Athens,1,,1.0,,5.0,5.0,5.0,9.0,9.0,9.0,-4.0,-4.0,36,4.0,3.0,29.0,0.1111111111111111,6.571428571428571,8.0,46.0,4.0,3.0,28.0,18.0,2.571428571428571,16,2.0,1.0,13.0,0.125,7.666666666666667,8.0,23.0,6.0,7.0,18.0,5.0,1.666666666666667,20,2.0,2.0,16.0,0.1,5.75,5.5,23.0,2.5,1.5,10.0,13.0,3.25
Ubly,3,2.0,1.0,0.6666666666666666,6.666666666666667,9.0,20.0,1.0,1.0,3.0,17.0,5.666666666666667,25,3.0,7.0,15.0,0.12,6.2,6.5,62.0,6.2,5.0,62.0,0.0,0.0,17,2.0,6.0,9.0,0.11764705882352941,6.25,6.5,50.0,6.625,5.0,53.0,-3.0,-0.375,8,1.0,1.0,6.0,0.125,6.0,6.0,12.0,4.5,4.5,9.0,3.0,1.5
