teamName,playoff_games_played,playoff_wins,playoff_losses,playoff_win_pct,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_wins,regular_season_losses,regular_season_ties,regular_season_win_pct,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_wins,home_losses,home_ties,home_win_pct,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_run_diff_total,home_run_diff_mean,away_games_played,away_wins,away_losses,away_ties,away_win_pct,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,1,,1.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,39,4.0,1.0,34.0,0.10256410256410256,6.6,7.0,33.0,2.8,3.0,14.0,19.0,3.8,16.0,3.0,,13.0,0.1875,6.0,7.0,18.0,2.0,3.0,6.0,12.0,4.0,23.0,1.0,1.0,21.0,0.043478260869565216,7.5,7.5,15.0,4.0,4.0,8.0,7.0,3.5
Addison,2,1.0,1.0,0.5,5.5,5.5,11.0,7.0,7.0,14.0,-3.0,-1.5,19,2.0,7.0,10.0,0.10526315789473684,3.7,1.5,37.0,10.9,11.5,109.0,-72.0,-7.2,9.0,,3.0,6.0,,0.3333333333333333,0.0,1.0,14.666666666666666,16.0,44.0,-43.0,-14.333333333333332,10.0,2.0,4.0,4.0,0.2,5.142857142857143,2.0,36.0,9.285714285714286,10.0,65.0,-29.0,-4.142857142857143
Adrian,1,,1.0,,1.0,1.0,1.0,5.0,5.0,5.0,-4.0,-4.0,36,,4.0,32.0,,2.75,2.0,11.0,11.25,10.5,45.0,-34.0,-8.5,24.0,,3.0,21.0,,3.6666666666666665,4.0,11.0,11.666666666666666,11.0,35.0,-24.0,-8.0,12.0,,1.0,11.0,,0.0,0.0,0.0,10.0,10.0,10.0,-10.0,-10.0
Adrian Lenawee Christian,1,,1.0,,2.0,2.0,2.0,4.0,4.0,4.0,-2.0,-2.0,8,3.0,2.0,3.0,0.375,2.8,3.0,14.0,2.0,0.0,10.0,4.0,0.7999999999999998,5.0,2.0,2.0,1.0,0.4,2.75,3.0,11.0,2.5,2.5,10.0,1.0,0.25,3.0,1.0,,2.0,0.3333333333333333,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0
Adrian Madison,1,,1.0,,0.0,0.0,0.0,4.0,4.0,4.0,-4.0,-4.0,25,3.0,4.0,18.0,0.12,5.0,4.0,35.0,3.7142857142857144,4.0,26.0,9.0,1.2857142857142856,13.0,,1.0,12.0,,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,-1.0,12.0,3.0,3.0,6.0,0.25,5.5,5.0,33.0,3.8333333333333335,4.5,23.0,10.0,1.6666666666666665
Alanson ,1,,1.0,,4.0,4.0,4.0,18.0,18.0,18.0,-14.0,-14.0,16,,,16.0,,,,0.0,,,0.0,0.0,,11.0,,,11.0,,,,0.0,,,0.0,0.0,,5.0,,,5.0,,,,0.0,,,0.0,0.0,
Algonac,3,2.0,1.0,0.6666666666666666,5.666666666666667,4.0,17.0,4.666666666666667,5.0,14.0,3.0,1.0,34,13.0,5.0,16.0,0.38235294117647056,7.111111111111111,5.5,128.0,2.111111111111111,2.0,38.0,90.0,5.0,16.0,6.0,3.0,7.0,0.375,5.555555555555555,5.0,50.0,2.6666666666666665,2.0,24.0,26.0,2.888888888888889,18.0,7.0,2.0,9.0,0.3888888888888889,8.666666666666666,9.0,78.0,1.5555555555555556,2.0,14.0,64.0,7.111111111111111
Allegan,2,1.0,1.0,0.5,1.0,1.0,2.0,1.5,1.5,3.0,-1.0,-0.5,28,,6.0,22.0,,2.3333333333333335,2.0,14.0,8.333333333333334,8.0,50.0,-36.0,-6.0,13.0,,4.0,9.0,,2.5,2.0,10.0,7.5,7.5,30.0,-20.0,-5.0,15.0,,2.0,13.0,,2.0,2.0,4.0,10.0,10.0,20.0,-16.0,-8.0
Allen Park,2,1.0,1.0,0.5,6.5,6.5,13.0,4.5,4.5,9.0,4.0,2.0,43,19.0,7.0,17.0,0.4418604651162791,7.3076923076923075,7.0,190.0,4.153846153846154,4.0,108.0,82.0,3.1538461538461533,28.0,11.0,4.0,13.0,0.39285714285714285,7.133333333333334,7.0,107.0,3.7333333333333334,2.0,56.0,51.0,3.4000000000000004,15.0,8.0,3.0,4.0,0.5333333333333333,7.545454545454546,6.0,83.0,4.7272727272727275,4.0,52.0,31.0,2.8181818181818183
Allen Park Cabrini,1,,1.0,,2.0,2.0,2.0,6.0,6.0,6.0,-4.0,-4.0,32,16.0,10.0,6.0,0.5,5.666666666666667,6.0,153.0,4.296296296296297,4.0,116.0,37.0,1.3703703703703702,20.0,12.0,2.0,6.0,0.6,7.133333333333334,7.0,107.0,2.8,2.0,42.0,65.0,4.333333333333334,12.0,4.0,8.0,,0.3333333333333333,3.8333333333333335,2.5,46.0,6.166666666666667,5.5,74.0,-28.0,-2.3333333333333335
