Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division,team_pair,Score1,Score2
 Round 1, 5/30/2023, 4:30 PM, St Clair Shores Lake Shore,Roseville,7-6 ,Warren Woods Tower,2-8 ,/gameeventdetails/contestid/3959020/schoolid/3837/view/contest,21,1,roseville_warren woods tower,,
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore,, ,Warren De La Salle Collegiate,5-21 ,/gameeventdetails/contestid/3959022/schoolid/0/view/contest,21,1,_warren de la salle collegiate,,
 SemiFin, 6/3/2023, 2:00 PM, St Clair Shores Lake Shore,St Clair Shores Lake Shore,10-6 ,Fraser,8-6 ,/gameeventdetails/contestid/3959021/schoolid/4471/view/contest,21,1,fraser_st clair shores lake shore,,
 Round 1, 5/25/2023, 2:15 PM, Royal Oak,Royal Oak,14-6 ,Sterling Heights,1-11 ,/gameeventdetails/contestid/3960810/schoolid/4456/view/contest,22,1,royal oak_sterling heights,,
 SemiFin, 6/2/2023, 10:00 AM, Royal Oak,, ,Berkley,7-13 ,/gameeventdetails/contestid/3960812/schoolid/0/view/contest,22,1,_berkley,,
 SemiFin, 6/2/2023, 12:30 PM, Royal Oak,Warren Mott,2-11 ,Warren Cousino,10-6 ,/gameeventdetails/contestid/3960811/schoolid/4080/view/contest,22,1,warren cousino_warren mott,,
 Round 1, TBA, , Woodhaven High School - Baseball - Brownstown,Wyandotte Roosevelt,11-10 ,Taylor,5-10 ,/gameeventdetails/contestid/3960795/schoolid/4356/view/contest,17,1,taylor_wyandotte roosevelt,,
 SemiFin, 6/3/2023, 2:00 PM, Woodhaven High School - Baseball - Brownstown,, ,Southgate Anderson,11-8 ,/gameeventdetails/contestid/3960797/schoolid/0/view/contest,17,1,_southgate anderson,,
 SemiFin, 6/3/2023, 4:30 PM, Woodhaven High School - Baseball - Brownstown,Gibraltar Carlson,10-12 ,Brownstown Woodhaven,17-9 ,/gameeventdetails/contestid/3960796/schoolid/4528/view/contest,17,1,brownstown woodhaven_gibraltar carlson,,
 Round 1, 5/25/2023, 4:00 PM, Edsel Ford High School - Baseball - Dearborn,Dearborn Edsel Ford,9-13 ,River Rouge,1-5 ,/gameeventdetails/contestid/3960799/schoolid/4209/view/contest,18,1,dearborn edsel ford_river rouge,,
 SemiFin, 6/3/2023, 10:00 AM, James Gulliver Field - Baseball - Allen Park,, ,Lincoln Park,1-22 ,/gameeventdetails/contestid/3960801/schoolid/0/view/contest,18,1,_lincoln park,,
 SemiFin, 6/3/2023, 12:00 PM, James Gulliver Field - Baseball - Allen Park,Allen Park,19-4-1 ,Dearborn,4-13-1 ,/gameeventdetails/contestid/3960800/schoolid/4288/view/contest,18,1,allen park_dearborn,,
 SemiFin, 6/3/2023, 10:00 AM, Berrien Springs High School - Baseball - berrien springs,Edwardsburg,10-8 ,Stevensville Lakeshore,7-3 ,/gameeventdetails/contestid/3960890/schoolid/4187/view/contest,45,2,edwardsburg_stevensville lakeshore,,
 SemiFin, 6/3/2023, 12:30 PM, Berrien Springs High School - Baseball - berrien springs,Niles,9-7 ,Berrien Springs,15-8 ,/gameeventdetails/contestid/3960889/schoolid/3892/view/contest,45,2,berrien springs_niles,,
 Round 1, 5/30/2023, 4:00 PM, Vicksburg High School (Baseball Game Field),Vicksburg,12-10 ,Sturgis,2-11 ,/gameeventdetails/contestid/3960892/schoolid/3906/view/contest,46,2,sturgis_vicksburg,,
 SemiFin, TBA, , Vicksburg High School (Baseball Game Field),, ,Dowagiac,3-10 ,/gameeventdetails/contestid/3960894/schoolid/0/view/contest,46,2,_dowagiac,,
 SemiFin, 6/3/2023, 10:00 AM, Vicksburg High School (Baseball Game Field),Paw Paw,10-10-1 ,Three Rivers,12-13 ,/gameeventdetails/contestid/3960893/schoolid/3864/view/contest,46,2,paw paw_three rivers,,
