,teamName,teamId,leagueName,opponentName,opponentId,gameDate,gameTime,homeOrAway,location,teamScore,opponentScore,notes,contestType,seasonType,postSeasonInfo,tournamentInfo,tournamentName,tournamentType,contestName,seasonTypeCode
0,Brighton,95686,Kensington Lakes Activities Association,Saline,96160.0,2011-04-16T11:00:00,11:00 AM,A,,,,,1,1,,,,,,S 
1,Brighton,95686,Kensington Lakes Activities Association,Novi,95759.0,2011-04-20T16:00:00,4:00 PM,H,,,,,1,1,,,,,,S 
2,Brighton,95686,Kensington Lakes Activities Association,Novi,95759.0,2011-04-20T18:30:00,6:30 PM,H,,,,,1,1,,,,,,S 
3,Brighton,95686,Kensington Lakes Activities Association,Fowlerville,96217.0,2011-05-07T16:30:00,4:30 PM,A,,5.0,1.0,,1,1,,,,,,S 
4,Brighton,95686,Kensington Lakes Activities Association,Walled Lake Western,95933.0,2011-05-09T16:00:00,4:00 PM,H,,10.0,1.0,,1,1,,,,,,S 
5,Brighton,95686,Kensington Lakes Activities Association,Walled Lake Western,95933.0,2011-05-09T18:30:00,6:30 PM,H,,15.0,0.0,(3 Inn),1,1,,,,,,S 
6,Brighton,95686,Kensington Lakes Activities Association,Hartland,96178.0,2011-05-11T16:00:00,4:00 PM,H,,,,,1,1,,,,,,S 
7,Brighton,95686,Kensington Lakes Activities Association,Hartland,96178.0,2011-05-11T18:30:00,6:30 PM,H,,,,,1,1,,,,,,S 
8,Brighton,95686,Kensington Lakes Activities Association,Walled Lake Central,96038.0,2011-06-04T10:00:00,10:00 AM,A,http://maps.google.com/maps?q=South+Lyon+HS+1000+N+Lafayette++South+Lyon%2c+MI+48178,4.0,7.0,,1,3,<a href='/Sports/MHSAATournamentBrackets/tabid/1061/BracketGroup/6/SportSeasonId/330/Classification/1/Default.aspx#3834'><img src='/DesktopModules/MHSAA-Schedules/images/postseason-small.png' alt='Post Season' border='0' class='psIcon' title='Baseball District 29' /><input type='hidden' id='hidPS83873' value='83873'></a>,,Baseball District 29,1.0,,S 
9,Roseville,95687,Macomb Area Conference,Bloomfield Hills Andover,95690.0,2011-04-07T11:00:00,11:00 AM,A,,,,,1,1,,,,,,S 
10,Roseville,95687,Macomb Area Conference,Bloomfield Hills Andover,95690.0,2011-04-07T13:00:00,1:00 PM,A,,,,,1,1,,,,,,S 
11,Roseville,95687,Macomb Area Conference,St Clair Shores Lakeview,95788.0,2011-04-11T16:00:00,4:00 PM,A,,5.0,10.0,,1,1,,,,,,S 
12,Roseville,95687,Macomb Area Conference,Utica,96226.0,2011-04-13T16:00:00,4:00 PM,A,,2.0,3.0,,1,1,,,,,,S 
13,Roseville,95687,Macomb Area Conference,Warren Fitzgerald,95718.0,2011-04-15T16:00:00,4:00 PM,H,,8.0,12.0,,1,1,,,,,,S 
14,Roseville,95687,Macomb Area Conference,Warren Mott,95878.0,2011-04-20T16:00:00,4:00 PM,H,,,,,1,1,,,,,,S 
15,Roseville,95687,Macomb Area Conference,Grosse Pointe North,96254.0,2011-04-25T16:00:00,4:00 PM,A,,,,,1,1,,,,,,S 
16,Roseville,95687,Macomb Area Conference,Grosse Pointe North,96254.0,2011-04-26T16:00:00,4:00 PM,A,,2.0,14.0,,1,1,,,,,,S 
17,Roseville,95687,Macomb Area Conference,Berkley,96025.0,2011-05-05T16:30:00,4:30 PM,H,,0.0,6.0,,1,1,,,,,,S 
18,Roseville,95687,Macomb Area Conference,Sterling Heights,95919.0,2011-05-06T16:00:00,4:00 PM,A,,10.0,9.0,(8 Inn),1,1,,,,,,S 
19,Roseville,95687,Macomb Area Conference,Madison Heights Lamphere,95962.0,2011-05-09T16:30:00,4:30 PM,A,,2.0,5.0,,1,1,,,,,,S 
20,Roseville,95687,Macomb Area Conference,Harrison Township L'Anse Creuse,95776.0,2011-05-13T16:00:00,4:00 PM,H,,6.0,20.0,,1,1,,,,,,S 
21,Roseville,95687,Macomb Area Conference,Marine City,95737.0,2011-05-23T16:00:00,4:00 PM,A,,3.0,13.0,,1,1,,,,,,S 
22,Roseville,95687,Macomb Area Conference,Madison Heights Lamphere,95962.0,2011-05-25T16:30:00,4:30 PM,A,,,,,1,1,,,,,,S 
23,Roseville,95687,Macomb Area Conference,Grosse Pointe North,96254.0,2011-06-04T11:30:00,11:30 AM,A,http://maps.google.com/maps?q=Lakeview+HS+15060+S+Helmer+Rd++Battle+Creek%2c+MI+49015,5.0,10.0,,1,3,<a href='/Sports/MHSAATournamentBrackets/tabid/1061/BracketGroup/3/SportSeasonId/330/Classification/1/Default.aspx#3837'><img src='/DesktopModules/MHSAA-Schedules/images/postseason-small.png' alt='Post Season' border='0' class='psIcon' title='Baseball District 21' /><input type='hidden' id='hidPS83142' value='83142'></a>,,Baseball District 21,1.0,,S 
24,Shepherd,95688,Tri-Valley Conference,Mt Pleasant,96094.0,2011-04-11T16:00:00,4:00 PM,A,,21.0,15.0,,1,1,,,,,,S 
25,Shepherd,95688,Tri-Valley Conference,Clare,95926.0,2011-04-13T16:00:00,4:00 PM,H,,13.0,3.0,(6 Inn),1,1,,,,,,S 
26,Shepherd,95688,Tri-Valley Conference,Clare,95926.0,2011-04-13T18:00:00,6:00 PM,H,,13.0,3.0,(6 Inn),1,1,,,,,,S 
27,Shepherd,95688,Tri-Valley Conference,Beal City,96042.0,2011-04-18T16:00:00,4:00 PM,H,http://maps.google.com/maps?q=Shepherd+High+School+100+Hall+St.++Shepherd%2c+MI+48883,2.0,3.0,,1,1,,,,0.0,,S 
28,Shepherd,95688,Tri-Valley Conference,Beal City,96042.0,2011-04-18T18:30:00,6:30 PM,H,,2.0,5.0,,1,1,,,,,,S 
29,Shepherd,95688,Tri-Valley Conference,Mt Pleasant,96094.0,2011-04-25T16:00:00,4:00 PM,H,http://maps.google.com/maps?q=Shepherd+High+School+100+Hall+St.++Shepherd%2c+MI+48883,1.0,4.0,,1,1,,,,0.0,,S 
30,Shepherd,95688,Tri-Valley Conference,Mt Pleasant,96094.0,2011-04-25T18:30:00,6:30 PM,H,,0.0,10.0,,1,1,,,,,,S 
31,Shepherd,95688,Tri-Valley Conference,Stanton Central Montcalm,95749.0,2011-04-26T16:00:00,4:00 PM,H,http://maps.google.com/maps?q=Shepherd+High+School+100+Hall+St.++Shepherd%2c+MI+48883,,,,1,1,,,,0.0,,S 
32,Shepherd,95688,Tri-Valley Conference,Bloomingdale,95990.0,2011-04-30T14:00:00,2:00 PM,A,,3.0,5.0,,1,1,,,,,,S 
33,Shepherd,95688,Tri-Valley Conference,Ovid-Elsie,95893.0,2011-05-02T16:00:00,4:00 PM,H,,7.0,3.0,(8 Inn),1,1,,,,,,S 
34,Shepherd,95688,Tri-Valley Conference,Ovid-Elsie,95893.0,2011-05-02T18:00:00,6:00 PM,H,,4.0,2.0,,1,1,,,,,,S 
35,Shepherd,95688,Tri-Valley Conference,Clare,95926.0,2011-05-07T08:00:00,8:00 AM,H,,10.0,2.0,,1,1,,,,,,S 
36,Shepherd,95688,Tri-Valley Conference,Newaygo,96097.0,2011-05-07T08:30:00,8:30 AM,H,,10.0,5.0,,1,1,,,,,,S 
37,Shepherd,95688,Tri-Valley Conference,Mt Pleasant Sacred Heart,95970.0,2011-05-07T09:00:00,9:00 AM,H,,6.0,7.0,,1,1,,,,,,S 
