teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Addison,1,6.0,6.0,6.0,1,7.0,7.0,7.0,1.0,0.0,0.0,0.0,-1.0,-1.0,10.0,5.0,4.0,50.0,10.0,7.9,7.5,79.0,9.0,8.0,1.0,0.1,-29.0,-2.9000000000000004,3.0,7.0,8.0,21.0,3.0,6.666666666666667,6.0,20.0,2.0,6.0,1.0,0.3333333333333333,1.0,0.33333333333333304,7.0,4.142857142857143,3.0,29.0,7.0,8.428571428571429,8.0,59.0,7.0,2.0,0.0,0.0,-30.0,-4.285714285714286
Adrian,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-1.0,-1.0,9.0,6.333333333333333,6.0,57.0,9.0,10.555555555555555,11.0,95.0,7.0,31.0,2.0,0.2222222222222222,-38.0,-4.222222222222222,7.0,7.857142857142857,8.0,55.0,7.0,10.0,11.0,70.0,5.0,18.0,2.0,0.2857142857142857,-15.0,-2.1428571428571432,2.0,1.0,1.0,2.0,2.0,12.5,12.5,25.0,2.0,13.0,0.0,0.0,-23.0,-11.5
Adrian Lenawee Christian,2,10.0,10.0,20.0,2,4.0,4.0,8.0,1.0,0.0,1.0,0.5,12.0,6.0,8.0,2.375,2.0,19.0,8.0,9.125,10.5,73.0,7.0,13.0,1.0,0.125,-54.0,-6.75,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,8.0,0.0,0.0,-8.0,-8.0,7.0,2.5714285714285716,2.0,18.0,7.0,9.142857142857142,12.0,64.0,6.0,5.0,1.0,0.14285714285714285,-46.0,-6.571428571428571
Adrian Madison,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,3.125,2.5,25.0,8.0,7.0,7.5,56.0,7.0,14.0,1.0,0.125,-31.0,-3.875,3.0,2.6666666666666665,2.0,8.0,3.0,5.0,4.0,15.0,2.0,9.0,1.0,0.3333333333333333,-7.0,-2.3333333333333335,5.0,3.4,3.0,17.0,5.0,8.2,8.0,41.0,5.0,5.0,0.0,0.0,-24.0,-4.799999999999999
Akron-Fairgrove,1,1.0,1.0,1.0,1,13.0,13.0,13.0,1.0,0.0,0.0,0.0,-12.0,-12.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,15.0,1.0,8.0,0.0,0.0,-15.0,-15.0,0.0,,,0.0,0.0,,,0.0,0.0,5.0,0.0,,0.0,,1.0,0.0,0.0,0.0,1.0,15.0,15.0,15.0,1.0,3.0,0.0,0.0,-15.0,-15.0
Alanson ,3,9.333333333333334,12.0,28.0,3,4.0,1.0,12.0,1.0,0.0,2.0,0.6666666666666666,16.0,5.333333333333334,0.0,,,0.0,0.0,,,0.0,0.0,5.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,4.0,0.0,,0.0,
Algonac,1,1.0,1.0,1.0,1,11.0,11.0,11.0,1.0,0.0,0.0,0.0,-10.0,-10.0,13.0,4.769230769230769,4.0,62.0,13.0,6.769230769230769,7.0,88.0,9.0,27.0,4.0,0.3076923076923077,-26.0,-2.0,6.0,5.333333333333333,3.5,32.0,6.0,5.666666666666667,7.0,34.0,4.0,20.0,2.0,0.3333333333333333,-2.0,-0.3333333333333339,7.0,4.285714285714286,4.0,30.0,7.0,7.714285714285714,8.0,54.0,5.0,7.0,2.0,0.2857142857142857,-24.0,-3.428571428571429
Allegan,1,0.0,0.0,0.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-5.0,-5.0,23.0,3.652173913043478,3.0,84.0,23.0,7.304347826086956,9.0,168.0,15.0,14.0,8.0,0.34782608695652173,-84.0,-3.652173913043478,12.0,4.083333333333333,3.5,49.0,12.0,6.75,6.5,81.0,7.0,6.0,5.0,0.4166666666666667,-32.0,-2.666666666666667,11.0,3.1818181818181817,1.0,35.0,11.0,7.909090909090909,9.0,87.0,8.0,8.0,3.0,0.2727272727272727,-52.0,-4.7272727272727275
Allen Park,1,3.0,3.0,3.0,1,4.0,4.0,4.0,1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,2.875,2.0,23.0,8.0,5.25,3.5,42.0,6.0,12.0,2.0,0.25,-19.0,-2.375,4.0,4.75,4.5,19.0,4.0,4.75,3.0,19.0,2.0,3.0,2.0,0.5,0.0,0.0,4.0,1.0,1.0,4.0,4.0,5.75,5.0,23.0,4.0,9.0,0.0,0.0,-19.0,-4.75
Allen Park Cabrini,4,12.5,12.5,50.0,4,3.75,1.0,15.0,1.0,0.0,3.0,0.75,35.0,8.75,29.0,4.551724137931035,4.0,132.0,29.0,5.724137931034483,7.0,166.0,17.0,11.0,12.0,0.41379310344827586,-34.0,-1.1724137931034484,14.0,4.785714285714286,4.0,67.0,14.0,5.714285714285714,6.5,80.0,7.0,6.0,7.0,0.5,-13.0,-0.9285714285714288,15.0,4.333333333333333,3.0,65.0,15.0,5.733333333333333,7.0,86.0,10.0,5.0,5.0,0.3333333333333333,-21.0,-1.4000000000000004
