teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Suttons Bay,2,1.0,1.0,2.0,2,4.0,4.0,8.0,2.0,0.0,0.0,0.0,-6.0,-3.0,54,3.925925925925926,4.0,212.0,54,6.962962962962963,6.0,376.0,34.0,10.0,18.0,0.3333333333333333,-164.0,-3.0370370370370368,32.0,4.5,4.0,144.0,32.0,6.4375,5.0,206.0,16.0,2.0,16.0,0.5,-62.0,-1.9375,22.0,3.090909090909091,2.0,68.0,22.0,7.7272727272727275,7.0,170.0,18.0,8.0,2.0,0.09090909090909091,-102.0,-4.636363636363637
Swartz Creek,2,6.0,6.0,12.0,2,6.0,6.0,12.0,1.0,0.0,1.0,0.5,0.0,0.0,4,3.75,4.0,15.0,4,4.0,2.5,16.0,3.0,25.0,1.0,0.25,-1.0,-0.25,3.0,4.0,5.0,12.0,3.0,4.0,1.0,12.0,2.0,14.0,1.0,0.3333333333333333,0.0,0.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,1.0,11.0,0.0,0.0,-1.0,-1.0
Tawas,1,0.0,0.0,0.0,1,12.0,12.0,12.0,1.0,0.0,0.0,0.0,-12.0,-12.0,2,0.5,0.5,1.0,2,10.0,10.0,20.0,2.0,19.0,0.0,0.0,-19.0,-9.5,2.0,0.5,0.5,1.0,2.0,10.0,10.0,20.0,2.0,10.0,0.0,0.0,-19.0,-9.5,0.0,,,0.0,0.0,,,0.0,0.0,9.0,0.0,,0.0,
Taylor,1,1.0,1.0,1.0,1,5.0,5.0,5.0,1.0,0.0,0.0,0.0,-4.0,-4.0,1,3.0,3.0,3.0,1,5.0,5.0,5.0,1.0,38.0,0.0,0.0,-2.0,-2.0,0.0,,,0.0,0.0,,,0.0,0.0,18.0,0.0,,0.0,,1.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,20.0,0.0,0.0,-2.0,-2.0
Taylor Prep,1,0.0,0.0,0.0,1,14.0,14.0,14.0,1.0,0.0,0.0,0.0,-14.0,-14.0,7,3.7142857142857144,1.0,26.0,7,6.714285714285714,6.0,47.0,5.0,9.0,1.0,0.14285714285714285,-21.0,-3.0,3.0,7.333333333333333,6.0,22.0,3.0,5.666666666666667,6.0,17.0,1.0,3.0,1.0,0.3333333333333333,5.0,1.666666666666666,4.0,1.0,1.0,4.0,4.0,7.5,6.0,30.0,4.0,6.0,0.0,0.0,-26.0,-6.5
Taylor Trillium Academy,2,10.5,10.5,21.0,2,7.5,7.5,15.0,1.0,0.0,1.0,0.5,6.0,3.0,14,12.428571428571429,12.0,174.0,14,3.5,1.0,49.0,4.0,6.0,10.0,0.7142857142857143,125.0,8.928571428571429,5.0,14.2,17.0,71.0,5.0,0.6,1.0,3.0,0.0,5.0,5.0,1.0,68.0,13.6,9.0,11.444444444444445,9.0,103.0,9.0,5.111111111111111,7.0,46.0,4.0,1.0,5.0,0.5555555555555556,57.0,6.333333333333334
Tecumseh,3,3.0,1.0,9.0,3,1.3333333333333333,2.0,4.0,1.0,0.0,2.0,0.6666666666666666,5.0,1.6666666666666667,5,7.4,8.0,37.0,5,1.4,0.0,7.0,0.0,36.0,5.0,1.0,30.0,6.0,2.0,4.0,4.0,8.0,2.0,1.5,1.5,3.0,0.0,23.0,2.0,1.0,5.0,2.5,3.0,9.666666666666666,10.0,29.0,3.0,1.3333333333333333,0.0,4.0,0.0,13.0,3.0,1.0,25.0,8.333333333333332
Tekonsha,2,0.0,0.0,0.0,2,14.0,14.0,28.0,2.0,0.0,0.0,0.0,-28.0,-14.0,0,,,0.0,0,,,0.0,0.0,46.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,40.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,6.0,0.0,,0.0,
Temperance Bedford,2,4.5,4.5,9.0,2,5.0,5.0,10.0,1.0,0.0,1.0,0.5,-1.0,-0.5,35,8.685714285714285,8.0,304.0,35,3.1142857142857143,3.0,109.0,7.0,14.0,27.0,0.7714285714285715,195.0,5.571428571428571,20.0,6.3,6.0,126.0,20.0,3.0,2.0,60.0,4.0,9.0,15.0,0.75,66.0,3.3,15.0,11.866666666666667,12.0,178.0,15.0,3.2666666666666666,3.0,49.0,3.0,5.0,12.0,0.8,129.0,8.600000000000001
Three Oaks River Valley,4,5.5,4.5,22.0,4,2.25,2.0,9.0,1.0,0.0,3.0,0.75,13.0,3.25,2,9.5,9.5,19.0,2,3.0,3.0,6.0,0.0,25.0,2.0,1.0,13.0,6.5,2.0,9.5,9.5,19.0,2.0,3.0,3.0,6.0,0.0,12.0,2.0,1.0,13.0,6.5,0.0,,,0.0,0.0,,,0.0,0.0,13.0,0.0,,0.0,
