teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,4,3.0,3.0,12.0,4,1.75,1.5,7.0,1.0,0.0,3.0,0.75,5.0,1.25,0.0,,,0.0,0.0,,,0.0,0.0,42.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,28.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,14.0,0.0,,0.0,
Addison,1,1.0,1.0,1.0,1,11.0,11.0,11.0,1.0,0.0,0.0,0.0,-10.0,-10.0,6.0,3.1666666666666665,1.5,19.0,6.0,9.0,7.0,54.0,5.0,16.0,1.0,0.16666666666666666,-35.0,-5.833333333333334,3.0,4.333333333333333,2.0,13.0,3.0,7.333333333333333,8.0,22.0,2.0,8.0,1.0,0.3333333333333333,-9.0,-3.0,3.0,2.0,1.0,6.0,3.0,10.666666666666666,6.0,32.0,3.0,8.0,0.0,0.0,-26.0,-8.666666666666666
Adrian,1,1.0,1.0,1.0,1,7.0,7.0,7.0,1.0,0.0,0.0,0.0,-6.0,-6.0,9.0,5.222222222222222,3.0,47.0,9.0,5.222222222222222,4.0,47.0,6.0,30.0,3.0,0.3333333333333333,0.0,0.0,5.0,2.8,3.0,14.0,5.0,6.8,5.0,34.0,4.0,18.0,1.0,0.2,-20.0,-4.0,4.0,8.25,8.0,33.0,4.0,3.25,4.0,13.0,2.0,12.0,2.0,0.5,20.0,5.0
Adrian Lenawee Christian,5,7.6,8.0,38.0,5,2.4,2.0,12.0,1.0,0.0,4.0,0.8,26.0,5.199999999999999,5.0,4.0,2.0,20.0,5.0,3.6,3.0,18.0,3.0,0.0,2.0,0.4,2.0,0.3999999999999999,2.0,6.0,6.0,12.0,2.0,4.5,4.5,9.0,1.0,0.0,1.0,0.5,3.0,1.5,3.0,2.6666666666666665,2.0,8.0,3.0,3.0,3.0,9.0,2.0,0.0,1.0,0.3333333333333333,-1.0,-0.3333333333333335
Adrian Madison,4,5.0,5.5,20.0,4,5.25,2.0,21.0,1.0,0.0,3.0,0.75,-1.0,-0.25,7.0,3.4285714285714284,3.0,24.0,7.0,4.714285714285714,4.0,33.0,4.0,22.0,3.0,0.42857142857142855,-9.0,-1.285714285714286,1.0,7.0,7.0,7.0,1.0,3.0,3.0,3.0,0.0,8.0,1.0,1.0,4.0,4.0,6.0,2.8333333333333335,3.0,17.0,6.0,5.0,5.0,30.0,4.0,14.0,2.0,0.3333333333333333,-13.0,-2.1666666666666665
Alanson ,3,6.666666666666667,3.0,20.0,3,2.0,2.0,6.0,1.0,0.0,2.0,0.6666666666666666,14.0,4.666666666666667,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,2.0,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Algonac,1,2.0,2.0,2.0,1,7.0,7.0,7.0,1.0,0.0,0.0,0.0,-5.0,-5.0,30.0,5.266666666666667,4.0,158.0,30.0,5.5,5.0,165.0,18.0,10.0,12.0,0.4,-7.0,-0.2333333333333334,11.0,5.545454545454546,3.0,61.0,11.0,5.2727272727272725,4.0,58.0,6.0,4.0,5.0,0.45454545454545453,3.0,0.2727272727272734,19.0,5.105263157894737,4.0,97.0,19.0,5.631578947368421,5.0,107.0,12.0,6.0,7.0,0.3684210526315789,-10.0,-0.5263157894736841
Allegan,2,1.5,1.5,3.0,2,6.0,6.0,12.0,1.0,0.0,1.0,0.5,-9.0,-4.5,8.0,1.375,0.5,11.0,8.0,10.0,10.5,80.0,8.0,27.0,0.0,0.0,-69.0,-8.625,4.0,0.0,0.0,0.0,4.0,10.75,11.5,43.0,4.0,13.0,0.0,0.0,-43.0,-10.75,4.0,2.75,2.5,11.0,4.0,9.25,10.0,37.0,4.0,14.0,0.0,0.0,-26.0,-6.5
Allen Park,4,5.5,5.0,22.0,4,2.75,2.5,11.0,1.0,0.0,3.0,0.75,11.0,2.75,0.0,,,0.0,0.0,,,0.0,0.0,41.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,20.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,21.0,0.0,,0.0,
Allen Park Cabrini,2,8.5,8.5,17.0,2,6.0,6.0,12.0,1.0,0.0,1.0,0.5,5.0,2.5,8.0,6.25,4.0,50.0,8.0,7.25,6.0,58.0,5.0,25.0,3.0,0.375,-8.0,-1.0,3.0,5.0,2.0,15.0,3.0,10.333333333333334,11.0,31.0,2.0,13.0,1.0,0.3333333333333333,-16.0,-5.333333333333334,5.0,7.0,4.0,35.0,5.0,5.4,6.0,27.0,3.0,12.0,2.0,0.4,8.0,1.5999999999999996
