team,division,district,nickname,color1,color2,color3,color4,score
Bark River-Harris,4,98,Broncos,Navy , Gold,,,100
Crystal Falls Forest Park,4,98,Trojans,Red , Black,,,100
Felch North Dickinson,4,98,Nordics,Maroon , White,,,100
Norway,4,98,Knights,Navy , White,,,100
Powers North Central,4,98,Jets,Red,Black,White,,100
Stephenson,4,98,Eagles,Royal Blue , Gold,,,100
Brimley,4,99,Bays,Royal Blue , White,,,100
Mackinaw City,4,99,Comets,Blue , White,,,100
Pellston,4,99,Hornets,Brown , Gold,,,100
Rudyard,4,99,Bulldogs,Orange , Black,,,100
Alanson ,4,100,Vikings,Blue , Gold,,,100
Burt Lake Northern Michigan Christian,4,100,Eagles,Blue , White,,,100
Harbor Springs,4,100,Rams,Orange , Black,,,100
Harbor Springs Harbor Light Christian,4,100,Swordsmen,Maroon , Gray,,,100
Indian River Inland Lakes,4,100,Bulldogs,Blue , White,,,100
Bellaire,4,101,Eagles,Red , Black,,,100
Central Lake,4,101,Trojans,Royal Blue , Orange,,,100
East Jordan,4,101,Red Devils,Red , Black,,,100
Ellsworth,4,101,Lancer,Black , White,,,100
Boyne Falls,4,102,Loggers,Green , White,,,100
Gaylord St Mary,4,102,Snowbirds,Blue , White,,,100
Johannesburg-Lewiston,4,102,Cardinals,Red , White,,,100
Mio,4,102,Thunderbolts,Blue , Gold,,,100
Wolverine,4,102,Wildcats,Navy Blue , Gold,,,100
Atlanta,4,103,Huskies,Green , White,,,100
Hillman,4,103,Tigers,Orange , Black,,,100
Onaway,4,103,Cardinals,Red , White,,,100
Posen,4,103,Vikings,Red , White,,,100
Rogers City,4,103,Hurons,Orange , Black,,,100
Alcona,4,104,Tigers,Blue , Gold,,,100
Au Gres-Sims,4,104,Wolverines,Maroon , Gold,,,100
Hale,4,104,Eagles,Navy , White,,,100
St Helen Charlton Heston Academy,4,104,Patriots,Red,White,Blue,,100
Whittemore-Prescott,4,104,Cardinals,Red , White,,,100
Frankfort,4,105,Panthers,Purple , Gold,,,100
Lake Leelanau St Mary,4,105,Eagles,Royal Blue , White,,,100
Maple City Glen Lake,4,105,Lakers,Black,White,Gold,,100
Suttons Bay,4,105,Norsemen,Red , White,,,100
Buckley,4,106,Bears,Royal Blue , Gold,,,100
Fife Lake Forest Area,4,106,Warriors,Forest Green , Gold,,,100
Marion,4,106,Eagles,Maroon , White,,,100
Mesick,4,106,Bulldogs,Orange , Black,,,100
Bear Lake,4,107,Lakers,Red , White,,,100
Vandercook Lake,4,118,Lakers,Red , White,,,58
Brethren,4,107,Bobcats,Columbia Blue,Navy,White,,100
Manistee Catholic Central,4,107,Sabers,Red,White,Blue,,100
Mason County Eastern,4,107,Cardinals,Scarlet , Gold,,,100
Pentwater,4,107,Falcons,Purple , Gold,,,100
Baldwin,4,108,Panthers,Blue , Gold,,,100
Blanchard Montabella,4,108,Mustangs,Navy Blue , White,,,100
Holton,4,108,Red Devils,Red , White,,,100
Muskegon Catholic Central,4,108,Crusaders,Green , Gold,,,100
Muskegon Western Michigan Christian,4,108,Warriors,Forest Green , White,,,100
Beal City,4,109,Aggies,Blue , White,,,100
Coleman,4,109,Comets,Blue , White,,,100
Farwell,4,109,Eagles,Purple , Gold,,,100
Mount Pleasant Sacred Heart,4,109,Irish,Red,White,Green,,100
Breckenridge,4,110,Huskies,Blue , Gold,,,100
Merrill,4,110,Vandals,Orange , Black,,,100
Saginaw Michigan Lutheran Seminary,4,110,Cardinals,Red , White,,,100
Saginaw Nouvel,4,110,Panthers,Royal Blue , Silver,,,100
St Charles,4,110,Bulldogs,Red , Black,,,100
Ashley,4,111,Bears,Royal Blue , Gold,,,100
Carson City-Crystal,4,111,Eagles,Royal Blue , Gold,,,100
Fowler,4,111,Eagles,Blue , White,,,100
Fulton,4,111,Pirates,Blue , Gold,,,100
Portland St Patrick,4,111,Shamrocks,Green , White,,,100
Lansing Christian,4,112,Pilgrims,Black , Gold,,,100
Morrice,4,112,Orioles,Orange , Black,,,100
Potterville,4,112,Vikings,Maroon , Gold,,,100
Webberville,4,112,Eagles,Maroon , Gold,,,73
Deckerville,4,121,Eagles,Maroon , Gold,,,100
Eau Claire,4,113,Fighting Beavers,Maroon , White,,,100
New Buffalo,4,113,Bison,Royal Blue , Gold,,,100
St Joseph Michigan Lutheran,4,113,Titans,Purple , White,,,100
St Joseph Our Lady of the Lake Catholic,4,113,Lakers,Royal Blue,Gold,White,,68
Three Oaks River Valley,4,113,Mustangs,Navy , White,,,100
Decatur,4,114,Raiders,Brown , Gold,,,100
Gobles,4,114,Tigers,Blue , Orange,,,100
Lawrence,4,114,Tigers,Purple , White,,,100
Marcellus,4,114,Wildcats,Orange , Black,,,100
Byron Center Zion Christian,4,115,Mountaineers,Blue , Gray,,,100
Martin,4,115,Clippers,Maroon , White,,,100
Wyoming Potter's House Christian,4,115,Pumas,Navy , White,,,100
Wyoming Tri-unity Christian,4,115,Defenders,Royal Blue , White,,,100
Kalamazoo Hackett Catholic Prep,4,116,Irish,Green,White,,,100
Kalamazoo Heritage Christian,4,116,Eagles,Navy Blue , White,,,100
Mendon,4,116,Hornets,Green , White,,,100
Bellevue,4,117,Broncos,Red , White,,,100
Colon,4,117,Magi,Red , White,,,100
Tekonsha,4,117,Indians,Red , White,,,100
Addison,4,118,Panthers,Black , Red,,,100
Concord,4,118,Yellow Jackets,Purple , Gold,,,100
East Jackson,4,118,Trojans,Navy Blue , White,,,100
Litchfield,4,118,Terriers,Red , White,,,100
Camden-Frontier,4,119,Redskins,Red , White,,,100
North Adams-Jerome,4,119,Rams,Green , White,,,100
Pittsford,4,119,Wildcats,Blue , White,,,100
Reading,4,119,Rangers,Red , Gold,,,100
Adrian Lenawee Christian,4,120,Cougars,Royal Blue,White,Scarlet,,100
Britton Deerfield,4,120,Patriots,Red,White,Navy Blue,,100
Morenci,4,120,Bulldogs,Maroon , White,,,100
Petersburg Summerfield,4,120,Bulldogs,Black , Orange,,,100
Sand Creek,4,120,Aggies,Green , White,,,100
Harbor Beach,4,121,Pirates,Orange , Black,,,100
Kinde North Huron,4,121,Warriors,Blue , Gold,,,100
Akron-Fairgrove,4,122,Vikings,Kelly Green , White,,,100
Bay City All Saints,4,122,Cougars,Columbia Blue , White,,,100
Caseville,4,122,Eagles,Red , White,,,100
Kingston,4,122,Cardinals,Red , Black,,,100
Mayville,4,122,Wildcats,Maroon , White,,,100
Brown City,4,123,Green Devils,Green , White,,,100
Capac,4,123,Chiefs,Gold , Blue,,,100
Marlette,4,123,Red Raiders,Red , White,,,100
Peck,4,123,Pirates,Red , White,,,100
Dryden,4,124,Cardinals,Red , Black,,,100
Genesee,4,124,Wolves,Green , White,,,100
Genesee Christian,4,124,Soldiers,Royal Blue , White,,,100
Auburn Hills Oakland Christian,4,125,Lancers,Forest Green , Vegas Gold,,,100
Marine City Cardinal Mooney,4,125,Cardinals,Red,White,Black,,100
New Haven Merritt Academy,4,125,Mustangs,Royal Blue,White,,,100
Rochester Hills Lutheran Northwest,4,125,Crusaders,Red,White,Black,,100
Sterling Heights Parkway Christian,4,125,Eagles,Royal Blue,Red,White,,100
Bloomfield Hills Roeper,4,126,Roughriders,Red,White,Black,,100
Royal Oak Shrine Catholic,4,126,Knights,Blue , Gold,,,100
Southfield Christian,4,126,Eagles,Blue , Gold,,,100
Waterford Our Lady of the Lakes,4,126,Tigers,Columbia Blue,White,Navy,,58
Detroit Academy of the Americas,4,127,Tigers,Columbia Blue,White,Navy,,100
Allen Park Cabrini,4,127,Monarchs,Navy , Gold,,,100
Allen Park Inter-City Baptist,4,127,Chargers,Purple , Gold,,,100
Riverview Gabriel Richard,4,127,Pioneers,Burgundy , White,,,100
Taylor Trillium Academy,4,127,Wildcats,Royal Blue,White,Silver,,100
Lutheran Westland,4,128,Warriors,Black , White,,,100
Novi Christian Academy,4,128,Warriors,Maroon , White,,,100
Plymouth Christian Academy,4,128,Eagles,Purple,Gold,,,100
