team,division,district,nickname,color1,color2,color3,color4,score
Warren Woods Tower,1,21,Pioneers,Maroon , White,,,60
St Clair Shores Lakeview,1,20,Huskies,Blue , Silver,,,100
Fraser,1,21,Ramblers,Navy Blue , Gold,,,100
Roseville,1,21,Panthers,Red,White,Black,,100
St Clair Shores Lake Shore,1,21,Shorians,Red , White,,,100
Warren De La Salle Collegiate,1,21,Mountaineers,Black , Gold,,,60
Clarkston Everest Collegiate,4,126,Mountaineers,Black , Gold,,,100
Berkley,1,22,Bears,Maroon , Blue,,,100
Ubly,4,121,Bears,Maroon , Blue,,,55
Royal Oak,1,22,Ravens,Black,Royal,Silver,,100
Sterling Heights,1,22,Stallions,Black , Gold,,,100
Warren Cousino,1,22,Cougars,Royal , Orange,,,56
Garden City,2,53,Cougars,Royal , Orange,,,100
Warren Mott,1,22,Packers,Red , White,,,56
Fremont,2,37,Packers,Red , White,,,100
Detroit Mumford,1,23,Mustangs,Blue , Burgundy,,,100
Detroit Renaissance,1,23,Phoenix,Burgundy , White,,,100
Detroit U of D Jesuit,1,23,Cubs,Maroon , White,,,92
Oak Park,1,23,Knights,Red,White,Black,,100
Birmingham Groves,1,24,Falcons,Green , White,,,100
Birmingham Seaholm,1,24,Maples,Maroon , White,,,100
Bloomfield Hills Brother Rice,1,24,Warriors,Orange , Black,,,100
Southfield Arts & Technology,1,24,Warriors,Navy,Red,White,,100
Clinton Township Chippewa Valley,1,25,Big Reds,Red , White,,,100
Harrison Township L'Anse Creuse,1,25,Lancers,Blue , White,,,100
Sterling Heights Stevenson,1,25,Titans,Navy Blue , White,,,100
Utica Ford,1,25,Panthers,Purple , White,,,67
Pickford,4,99,Panthers,Purple , White,,,100
Macomb Dakota,1,26,Cougars,Green,Navy,Gray,,100
Macomb L'Anse Creuse North,1,26,Crusaders,Black , Vegas Gold,,,100
New Baltimore Anchor Bay,1,26,Tars,Red , White,,,100
Port Huron,1,26,Big Reds,Red , White,,,100
Port Huron Northern,1,26,Huskies,Blue , Gold,,,100
Rochester,1,27,Falcons,Royal Blue , White,,,100
Rochester Adams,1,27,Highlanders,Brown , Gold,,,100
Rochester Hills Stoney Creek,1,27,Cougars,Navy,Vegas Gold,White,,100
Romeo,1,27,Bulldogs,Red , White,,,100
Utica Eisenhower,1,27,Cardinals,Red , Grey,,,52
Michigan Center,3,84,Cardinals,Red , Grey,,,100
Auburn Hills Avondale,1,28,Yellow Jackets,Purple , Gold,,,100
Bloomfield Hills,1,28,Black Hawks,Black,Purple,Silver,,100
West Bloomfield,1,29,Black Hawks,Black,Purple,Silver,,65
Troy,1,28,Colts,Black , Silver,,,100
Troy Athens,1,28,Indians,Purple , White,,,71
Athens,4,117,Indians,Purple , White,,,100
Utica,1,28,Yellowjackets,Blue , Gold,,,55
Ithaca,3,77,Yellowjackets,Blue , Gold,,,100
Lake Orion,1,29,Dragons,Green , White,,,100
Orchard Lake St Mary's,1,29,Eaglets,Red , White,,,100
Waterford Mott,1,29,Indians,Green , White,,,55
Hartford,3,73,Indians,Green , White,,,100
Milford,1,30,Mavericks,Cardinal , White,,,100
Walled Lake Western,1,30,Panthers,Maroon,White,Gold,,62
Parma Western,2,47,Panthers,Maroon,White,Gold,,100
White Lake Lakeland,1,30,Trojans,Red , White,,,62
Whitmore Lake,4,128,Trojans,Red , White,,,100
Clarkston,1,31,Wolves,Blue , Gold,,,100
Fenton,1,31,Tigers,Orange , Black,,,100
Grand Blanc,1,31,Bobcats,Red , Black,,,100
Holly,1,31,Bronchos,Red , White,,,100
Oxford,1,31,Wildcats,Navy Blue , Gold,,,100
Davison,1,32,Cardinals,Maroon , Gold,,,100
Flint Carman-Ainsworth,1,32,Cavaliers,Royal Blue , Gray,,,100
Flushing,1,32,Raiders,Orange , Black,,,100
Lapeer,1,32,Lightning,Blue , Green,,,100
Swartz Creek,1,32,Dragons,Red , White,,,100
Escanaba,2,33,Eskymos,Orange , Black,,,100
Houghton,2,33,Gremlins,Orange , Black,,,100
Kingsford,2,33,Flivvers,Maize , Blue,,,100
Sault Ste Marie,2,33,Blue Devils,Navy Blue , White,,,100
Cheboygan,2,34,Chiefs,Orange , Black,,,100
Gaylord,2,34,Blue Devils,Blue , Gold,,,100
Ogemaw Heights,2,34,Falcons,Brown , Gold,,,100
Petoskey,2,34,Northmen,Blue , White,,,100
Big Rapids,2,35,Cardinals,Red , Blue,,,100
Cadillac,2,35,Vikings,Blue , Gold,,,100
Gladwin,2,35,Flying G's,Royal Blue , White,,,100
Kingsley,2,35,Stags,Orange , Black,,,100
Ludington,2,35,Orioles,Orange , Black,,,100
Essexville Garber,2,36,Dukes,Carolina Blue , White,,,100
Freeland,2,36,Falcons,Green , White,,,100
Midland Bullock Creek,2,36,Lancers,Black , Gold,,,100
Shepherd,2,36,Bluejays,Blue , Gold,,,100
Alma,2,37,Panthers,Orange , Black,,,100
Grant,2,37,Tigers,Orange , Black,,,100
Howard City Tri County,2,37,Vikings,Black , Gold,,,100
Newaygo,2,37,Lions,Black , White,,,100
