School,FOP,Foul
Waverly HS ,"POLYGON ((-84.6247914 42.7313105, -84.6237655 42.7317015, -84.6237628 42.7317321, -84.6238996 42.7319212, -84.6239492 42.7319833, -84.6239908 42.7320276, -84.6240625 42.7320867, -84.6241148 42.7321222, -84.6242315 42.7321818, -84.6243187 42.7322143, -84.624426 42.7322409, -84.6244944 42.7322517, -84.6245936 42.7322596, -84.6246687 42.7322625, -84.6247921 42.7322547, -84.6248498 42.7322458, -84.6249275 42.7322281, -84.6250228 42.7322, -84.6251072 42.7321665, -84.6253319 42.7320798, -84.6247914 42.7313105))","POLYGON ((-84.6253319 42.7320798, -84.6253803 42.7320591, -84.6251503 42.7314671, -84.6250664 42.7313425, -84.6249451 42.731177, -84.6247667 42.7311356, -84.6245233 42.7312356, -84.6243932 42.7312819, -84.623726 42.7316439, -84.6237655 42.7317015, -84.6247914 42.7313105, -84.6253319 42.7320798))"
Willianston HS,"POLYGON ((-84.28087 42.6987035, -84.2797126 42.6987616, -84.279714 42.6987892, -84.2797113 42.6988208, -84.2797086 42.6988366, -84.2797059 42.6988661, -84.2797032 42.6989016, -84.2797059 42.6989391, -84.2797113 42.6989864, -84.279714 42.6990179, -84.279722 42.6990534, -84.2797354 42.6991046, -84.2797636 42.6991657, -84.2797851 42.6992091, -84.2798092 42.6992466, -84.279836 42.699286, -84.2798628 42.6993215, -84.279895 42.6993589, -84.2799433 42.6994082, -84.279997 42.6994535, -84.2800613 42.6994792, -84.2801445 42.6995107, -84.2802088 42.6995363, -84.2802759 42.6995541, -84.2803564 42.6995698, -84.2804422 42.6995876, -84.28052 42.6995935, -84.2806165 42.6995974, -84.2806916 42.6995955, -84.2807855 42.6995935, -84.2808311 42.6995876, -84.2808848 42.6995777, -84.2809585 42.6995659, -84.28087 42.6987035))","POLYGON ((-84.28087 42.6987035, -84.2809585 42.6995659, -84.2811382 42.6995541, -84.2810792 42.6988927, -84.2810578 42.6988829, -84.2810417 42.6987567, -84.2810604 42.6987567, -84.2810524 42.6986552, -84.2809263 42.6985704, -84.2797019 42.6986394, -84.2797126 42.6987616, -84.28087 42.6987035))"
Sexton HS,"POLYGON ((-84.5795795 42.7327867, -84.5783799 42.7326848, -84.5783738 42.7326946, -84.5783644 42.7327586, -84.5783564 42.7328217, -84.5783443 42.7329049, -84.5783255 42.733032, -84.5783255 42.7330714, -84.5783255 42.7331212, -84.5783363 42.7331921, -84.5783564 42.7332517, -84.5783832 42.7332999, -84.5784261 42.733364, -84.5784784 42.7334211, -84.5785609 42.7334901, -84.5787017 42.733563, -84.5788016 42.7335905, -84.5788915 42.7336152, -84.5789653 42.733627, -84.5794481 42.7336408, -84.5795795 42.7327867))","POLYGON ((-84.5795795 42.7327867, -84.5794481 42.7336408, -84.5796023 42.7336457, -84.5796103 42.7336319, -84.5796881 42.7330561, -84.5796693 42.7330473, -84.5797122 42.7329266, -84.579735 42.7329236, -84.5797699 42.7328109, -84.5797887 42.7327222, -84.5797122 42.7326513, -84.5795915 42.7326434, -84.5794199 42.7326483, -84.5794172 42.7326582, -84.579263 42.7326621, -84.579259 42.7326513, -84.5783892 42.7326631, -84.5783799 42.7326848, -84.5795795 42.7327867))"
Haslett HS,"POLYGON ((-84.4059597 42.7419722, -84.4059825 42.7428119, -84.4062114 42.7428158, -84.4062745 42.7428177, -84.4063663 42.7428148, -84.4064589 42.7428069, -84.406534 42.742798, -84.4065984 42.7427852, -84.4066802 42.7427675, -84.4067258 42.7427567, -84.4067754 42.742739, -84.4068371 42.7427119, -84.4068733 42.7426941, -84.4069149 42.7426666, -84.4069377 42.7426508, -84.4069698 42.7426173, -84.407004 42.7425769, -84.4070255 42.7425425, -84.407055 42.7424843, -84.4070671 42.7424464, -84.4070818 42.7423982, -84.4070932 42.742347, -84.4071066 42.7422603, -84.4071093 42.7421726, -84.4071107 42.7420988, -84.4071053 42.7419643, -84.4059597 42.7419722))","POLYGON ((-84.4071076 42.7419614, -84.4067583 42.7418141, -84.4062151 42.7418269, -84.4061997 42.7418377, -84.4060334 42.7418456, -84.4060254 42.7418308, -84.4058229 42.7418545, -84.4057746 42.741884, -84.4057625 42.7419195, -84.4057437 42.7420436, -84.4057692 42.7420584, -84.4057679 42.7421455, -84.4057612 42.7421741, -84.4057759 42.7425823, -84.4059798 42.7428109, -84.405957 42.7419712, -84.4071076 42.7419614))"
East Lansing HS,"POLYGON ((-84.4566129 42.7411185, -84.4554356 42.741134, -84.4554369 42.7413931, -84.4554476 42.7414778, -84.4554745 42.7415654, -84.4555107 42.7416344, -84.4555496 42.7416871, -84.4555978 42.7417393, -84.4556367 42.7417796, -84.4556795 42.74181, -84.4557534 42.7418594, -84.4558513 42.7419057, -84.4558996 42.7419274, -84.4559452 42.7419441, -84.4560149 42.7419638, -84.456082 42.7419806, -84.4561886 42.7419914, -84.4562449 42.7419944, -84.45632 42.7419944, -84.4566258 42.7419944, -84.4566129 42.7411185))","POLYGON ((-84.4568141 42.7419931, -84.4568088 42.7413391, -84.4567672 42.7413401, -84.4567538 42.7413292, -84.4567538 42.7411909, -84.4567793 42.7411643, -84.4567725 42.7410806, -84.4566693 42.7410057, -84.456566 42.7410037, -84.4564051 42.7410077, -84.4554335 42.7410589, -84.4554356 42.741134, -84.4566129 42.7411185, -84.4566258 42.7419944, -84.4568141 42.7419931))"
Bath HS,"POLYGON ((-84.4410876 42.8148442, -84.4411091 42.814792, -84.441144 42.8147409, -84.4411466 42.8146917, -84.4411627 42.8146307, -84.4411708 42.8145382, -84.4411688 42.8144987, -84.4411708 42.8144713, -84.4411587 42.8144241, -84.4411024 42.8143129, -84.4410541 42.814248, -84.4410031 42.814187, -84.440971 42.8141575, -84.4409072 42.8141082, -84.4408596 42.8140749, -84.440806 42.8140414, -84.4407336 42.814004, -84.4406612 42.8139765, -84.4406182 42.8139607, -84.4405217 42.8139391, -84.4404633 42.8139242, -84.4403929 42.8139135, -84.4403178 42.8139057, -84.4402347 42.8139057, -84.4401462 42.8139076, -84.4400711 42.8139155, -84.4399041 42.8139458, -84.4399028 42.814846, -84.4410876 42.8148442))","POLYGON ((-84.4399041 42.8139458, -84.439831 42.8139772, -84.4397961 42.8148921, -84.4398498 42.8149373, -84.4410501 42.8149098, -84.4410635 42.8148803, -84.4410789 42.814846, -84.4399028 42.814846, -84.4399041 42.8139458))"
Mason HS,"POLYGON ((-84.4333971 42.5705661, -84.4334024 42.5714362, -84.4334749 42.5714505, -84.4335312 42.5714644, -84.4336304 42.5714762, -84.4337082 42.5714821, -84.433794 42.5714802, -84.433837 42.5714782, -84.4339362 42.5714644, -84.434022 42.5714486, -84.434081 42.5714288, -84.4341615 42.5713992, -84.4342339 42.5713656, -84.4342822 42.5713419, -84.4343412 42.5713083, -84.4343734 42.5712846, -84.434427 42.5712402, -84.4344834 42.5711829, -84.4345236 42.5711315, -84.4345598 42.5710742, -84.4345947 42.5709992, -84.4346161 42.5709221, -84.4346322 42.5708372, -84.4346215 42.5707167, -84.4346 42.5706446, -84.4345611 42.570571, -84.4345357 42.5705705, -84.4345008 42.5705725, -84.4343721 42.5705705, -84.4333971 42.5705661))","POLYGON ((-84.4345611 42.570571, -84.4345343 42.5705214, -84.4344753 42.5704484, -84.4332925 42.5704642, -84.4332388 42.5704977, -84.4332951 42.5714014, -84.4333542 42.5714172, -84.4334024 42.5714362, -84.4333971 42.5705661, -84.4345611 42.570571))"
Grand Ledge HS,"POLYGON ((-84.7539894 42.7472938, -84.7548611 42.74672160000002, -84.7541678 42.7463503, -84.7539452 42.7463425, -84.7532371 42.7466813, -84.7539894 42.7472938))","POLYGON ((-84.7539894 42.7472938, -84.7532371 42.7466813, -84.7532238 42.746697, -84.7534477 42.747021, -84.753724 42.7472495, -84.7537267 42.7472673, -84.7538367 42.7473736, -84.7538662 42.7473854, -84.7539064 42.7474032, -84.753952 42.747411, -84.7539949 42.747415, -84.7540432 42.747411, -84.7540888 42.7474032, -84.7542578 42.7473342, -84.754357 42.7472633, -84.7543785 42.7472613, -84.7548063 42.7469757, -84.7548894 42.7467374, -84.7548611 42.7467216, -84.7539894 42.7472938))"
Muni Park,"POLYGON ((-84.506844 42.7308536, -84.5072007 42.7300073, -84.5065529 42.7298921, -84.5059669 42.7300911, -84.5056719 42.7305718, -84.506844 42.7308536))","POLYGON ((-84.5068483 42.7308541, -84.5056719 42.7305718, -84.5056883 42.7306137, -84.5064333 42.7308777, -84.5064587 42.7308491, -84.5066069 42.7308994, -84.5065841 42.7309329, -84.506851 42.7310304, -84.5070482 42.7309536, -84.5070991 42.7307309, -84.5070415 42.730727, -84.5070696 42.7306088, -84.5071259 42.7306127, -84.5072681 42.7300138, -84.5072051 42.7300029, -84.5068483 42.7308541))"
Okemos HS,"POLYGON ((-84.4558369 42.6867579, -84.4546527 42.6867678, -84.4546581 42.6870147, -84.4546796 42.6871054, -84.4546936 42.6871394, -84.4547111 42.6871897, -84.4547272 42.6872183, -84.4547781 42.6872932, -84.4548586 42.6873829, -84.4549312 42.6874444, -84.455049 42.6875126, -84.4551818 42.6875692, -84.455324 42.6876097, -84.4553737 42.687616, -84.4554279 42.6876264, -84.4555379 42.6876343, -84.455613 42.6876353, -84.4557363 42.6876333, -84.455849 42.6876274, -84.4558369 42.6867579))","POLYGON ((-84.4559105 42.6876301, -84.4560567 42.6869598, -84.4560567 42.6869302, -84.4560285 42.6869223, -84.4560191 42.6866773, -84.4559393 42.6866231, -84.4558562 42.6866221, -84.455594 42.6866221, -84.4555725 42.6866024, -84.4546532 42.6867276, -84.4546527 42.6867678, -84.4558369 42.6867579, -84.4558488 42.6876321, -84.4559105 42.6876301))"
Michigan State (Old College Field),"POLYGON ((-84.4883094 42.7319763, -84.4876322 42.73226, -84.4876912 42.7325817, -84.4877019 42.732628, -84.4877127 42.7326516, -84.4877261 42.7326723, -84.4877448 42.732692, -84.487779 42.7327206, -84.4878032 42.7327393, -84.4878347 42.7327629, -84.4878776 42.7328013, -84.4879286 42.7328358, -84.488005 42.7328664, -84.4880781 42.7328999, -84.4881666 42.7329235, -84.4882176 42.7329284, -84.4883088 42.7329274, -84.4884436 42.7329136, -84.4885596 42.7328964, -84.4886306 42.7328811, -84.4887969 42.7328339, -84.4889082 42.7327954, -84.4889914 42.7327669, -84.489088 42.7327284, -84.489159 42.7326989, -84.489214 42.7326743, -84.4885985 42.731865, -84.4883094 42.7319763))","POLYGON ((-84.489214 42.7326743, -84.4893094 42.7326256, -84.4891337 42.7323542, -84.4891096 42.7323203, -84.4890908 42.7322099, -84.4890452 42.7321395, -84.4889795 42.7320962, -84.4888394 42.7319326, -84.4888796 42.7319149, -84.4887368 42.7317233, -84.4885665 42.7316888, -84.4883103 42.7317927, -84.4883331 42.7318193, -84.4881044 42.7319139, -84.4879891 42.7319376, -84.4877028 42.7320671, -84.4876062 42.7321183, -84.4876322 42.73226, -84.4885946 42.7318597, -84.489214 42.7326743))"
Olds Park,"POLYGON ((-84.5454024 42.7348277, -84.5448338 42.7352399, -84.5448297 42.7353527, -84.5448713 42.7353896, -84.5451087 42.7355659, -84.54511 42.7356034, -84.5452897 42.7357364, -84.5455633 42.7357373, -84.5461943 42.7356014, -84.5464317 42.7353399, -84.5464384 42.7352611, -84.5456404 42.7346518, -84.5454024 42.7348277))","POLYGON ((-84.5448338 42.7352399, -84.5456404 42.7346518, -84.5464384 42.7352611, -84.5464441 42.7352544, -84.546312 42.7351086, -84.5463294 42.7351017, -84.5461517 42.7349042, -84.5461356 42.7349102, -84.5460283 42.734789, -84.5458118 42.7345427, -84.5457863 42.734523, -84.5457514 42.7345063, -84.5457179 42.7344945, -84.5456803 42.7344886, -84.5456468 42.7344876, -84.545624 42.7344876, -84.5455945 42.7344925, -84.5455583 42.7345004, -84.5455234 42.7345151, -84.5454926 42.7345289, -84.5454577 42.7345575, -84.5454269 42.7345959, -84.5452901 42.7347461, -84.5451392 42.7349097, -84.5451204 42.7348998, -84.5449367 42.7350968, -84.5449568 42.7351067, -84.544875 42.7352032, -84.5448334 42.7352288, -84.5448338 42.7352399))"
Portland HS,"POLYGON ((-84.9180249 42.882565, -84.9168635 42.8825611, -84.9168579 42.8827944, -84.9168633 42.8828995, -84.9168686 42.8829447, -84.916874 42.8829919, -84.9168954 42.883041, -84.9169196 42.8830833, -84.9169518 42.8831344, -84.9169813 42.8831717, -84.9170215 42.8832169, -84.9170658 42.8832494, -84.9171033 42.8832749, -84.9171328 42.8833005, -84.9171784 42.883328, -84.9172267 42.8833476, -84.9172884 42.8833673, -84.9173554 42.883381, -84.9174279 42.8833968, -84.9174869 42.8834066, -84.917562 42.8834125, -84.9176532 42.8834125, -84.9178034 42.8834144, -84.9180248 42.883414, -84.9180249 42.882565))","POLYGON ((-84.9180249 42.882565, -84.9180248 42.883414, -84.9182502 42.883414, -84.9182394 42.8824824, -84.9181241 42.8823999, -84.9168635 42.8824019, -84.9168635 42.8825611, -84.9180249 42.882565))"
Ionia HS,"POLYGON ((-85.0645777 42.9523427, -85.0634579 42.9523566, -85.0634633 42.9528208, -85.063474 42.9528542, -85.0634928 42.9529111, -85.0635089 42.9529425, -85.0635545 42.9529877, -85.0635893 42.9530171, -85.0636483 42.9530613, -85.0636993 42.9530888, -85.0637583 42.9531241, -85.0638093 42.9531477, -85.0638656 42.9531693, -85.0639139 42.953181, -85.0639917 42.9531987, -85.0640721 42.9532105, -85.0641097 42.9532125, -85.0643618 42.9532066, -85.0646099 42.9532017, -85.0645777 42.9523427))","POLYGON ((-85.0645777 42.9523427, -85.0645992 42.9529945, -85.0646099 42.9532017, -85.0647574 42.9531958, -85.064744 42.9522937, -85.0647253 42.9522682, -85.0646931 42.9522427, -85.0646555 42.9522191, -85.0646126 42.9522152, -85.0644517 42.9522014, -85.0639501 42.9522073, -85.0634552 42.9522112, -85.0634579 42.9523566, -85.0645777 42.9523427))"
Fowlerville HS,"POLYGON ((-84.0655802 42.6688057, -84.0643665 42.6688402, -84.0644115 42.6691796, -84.0644249 42.6692111, -84.0644517 42.6692693, -84.0644678 42.6693206, -84.0645107 42.6693817, -84.0645684 42.6694478, -84.0646435 42.6695129, -84.0647159 42.6695622, -84.0647803 42.6695937, -84.0648473 42.6696253, -84.0649251 42.6696549, -84.0649922 42.6696746, -84.06507 42.6696884, -84.0651343 42.6696963, -84.0652202 42.6697042, -84.0652658 42.6697061, -84.0653355 42.6697081, -84.0654133 42.6697101, -84.0654964 42.669712, -84.0655823 42.669714, -84.0656634 42.6697099, -84.0655802 42.6688057))","POLYGON ((-84.0655802 42.6688057, -84.0656634 42.6697099, -84.0656902 42.6697119, -84.0657412 42.669068, -84.0657358 42.6689358, -84.0657117 42.6689339, -84.0657063 42.6688116, -84.0657331 42.6688047, -84.0657358 42.6687534, -84.0656392 42.6686942, -84.065194 42.668708, -84.0643612 42.6688086, -84.0643665 42.6688402, -84.0655802 42.6688057))"
Portland St Pats,"POLYGON ((-84.9180249 42.882565, -84.9168635 42.8825611, -84.9168579 42.8827944, -84.9168633 42.8828995, -84.9168686 42.8829447, -84.916874 42.8829919, -84.9168954 42.883041, -84.9169196 42.8830833, -84.9169518 42.8831344, -84.9169813 42.8831717, -84.9170215 42.8832169, -84.9170658 42.8832494, -84.9171033 42.8832749, -84.9171328 42.8833005, -84.9171784 42.883328, -84.9172267 42.8833476, -84.9172884 42.8833673, -84.9173554 42.883381, -84.9174279 42.8833968, -84.9174869 42.8834066, -84.917562 42.8834125, -84.9176532 42.8834125, -84.9178034 42.8834144, -84.9180248 42.883414, -84.9180249 42.882565))","POLYGON ((-84.9180249 42.882565, -84.9180248 42.883414, -84.9182502 42.883414, -84.9182394 42.8824824, -84.9181241 42.8823999, -84.9168635 42.8824019, -84.9168635 42.8825611, -84.9180249 42.882565))"
