Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
Division 4,,y,,Norway -,y,http://maps.google.com/maps?q=Norway+300+Section+St++Norway%2c+MI+49870,,
Division 4,,y,,harbor springs hs,y,http://maps.google.com/maps?q=Hillman+H.S.+-+Baseball+++Hillman%2c+MI+,,
Division 4,,y,,Kosequat Field -,y,http://maps.google.com/maps?q=Kosequat+Field+++%2c+MI+,,
Division 4,,y,,Inland Lakes High School (Baseball Field) - Indian River -,y,http://maps.google.com/maps?q=Inland+Lakes+High+School+4363+S+Straits+Hwy++Indian+River%2c+MI+49749,,
Division 4,,y,,Genesee - Baseball -,y,http://maps.google.com/maps?q=Genesee+-+Baseball+7347+N.+Genesee+Rd.++Genesee%2c+MI+,,
Division 4,,y,,Kingston High School - Baseball -,y,http://maps.google.com/maps?q=Kingston+High+School+-+Baseball+5970+State+St++Kingston%2c+MI+48741,,
Division 4,,y,,Plymouth Christian (Baseball  Field) -,y,http://maps.google.com/maps?q=Stafford+Field+43065+Joy+Road+++Canton%2c+MI+,,
Division 4,,y,,Peck High School - Baseball -,y,http://maps.google.com/maps?q=Peck+High+School+-+Baseball+++Peck%2c+MI+,,
Division 4,,y,,Plymouth Christian (Baseball  Field) -,y,http://maps.google.com/maps?q=Plymouth+Christian+43065+Joy+Road++Plymouth%2c+MI+48170,,
All,,,,Old College Field - Michigan State,y,,,y
