Division,District Host?,Regional Host?,district number,Host / Field Name,Plot Note,Map Link MHSAA,District_#,SF-FNL-HOST
2,y,,40,Belding,y,"http://maps.google.com/maps?q=Belding High School, 850 Hall St  Belding, MI 48809",40,
2,y,,41,Middleville Thornapple Kellogg,y,"http://maps.google.com/maps?q=Thornapple Kellogg High School - Baseball, 3885 Bender  Middleville, MI ",41,
2,y,,42,Grand Rapids Catholic Central,y,"http://maps.google.com/maps?q=Grand Rapids Catholic Central, 319 Sheldon Blvd., SE  Grand Rapids, MI 49503",42,
2,y,,43,Hamilton,y,"http://maps.google.com/maps?q=Hamilton HS, 4911 136th Ave  Hamilton, MI 49419",43,
2,y,,44,Wayland,y,"http://maps.google.com/maps?q=Phil Regan Field, 870 E. Superior  Wayland, MI ",44,
2,y,,45,Berrien Springs,y,"http://maps.google.com/maps?q=Berrien Springs High School - Baseball, one sylvester ave  berrien springs, MI ",45,
2,y,,46,Vicksburg,y,"http://maps.google.com/maps?q=Vicksburg High School, 501 East Highway Street  Vicksburg, MI 49097",46,
2,y,,47,Coldwater,y,"http://maps.google.com/maps?q=CHS Baseball Complex (Lowe Field), 275 N Fremont St  Coldwater, MI 49036-1297",47,
2,y,,48,Lake Odessa Lakewood,y,"http://maps.google.com/maps?q=lakewood high school lake odessa - Baseball, 7223 velte rd  lake odessa, MI ",48,
2,y,,49,Mason,y,"http://maps.google.com/maps?q=Mason High School - Baseball, 1001 S. Barnes  Mason, MI ",49,
2,y,,50,Adrian,y,"http://maps.google.com/maps?q=Cliff Nelson Field, 785 Riverside  Adrian, MI ",50,
2,y,,51,Carleton Airport,y,"http://maps.google.com/maps?q=Airport High School - Carleton, 11330 Grafton Rd  Carleton, MI 48117-9392",51,
2,y,,52,Trenton,y,"http://maps.google.com/maps?q=Trenton Baseball Stadium, 2601 Charlton  Trenton, MI ",52,
2,y,,53,Dearborn Divine Child,not done - none on campus. NW is field on central park drive,"http://maps.google.com/maps?q=Divine Child High School - Dearborn, 1001 N Silvery Lane  Dearborn, MI 48128",53,
2,y,,54,Livonia Clarenceville,y,"http://maps.google.com/maps?q=Baseball Field, 20155 Middlebelt Rd  Livonia, MI ",54,
2,y,,55,Detroit University Prep Art & Design,no field near school - The Corner?,"http://maps.google.com/maps?q=Detroit University Prep Art & Design, 485 W Milwaukee St  Detroit, MI 48202",55,
2,y,,56,Grosse Pointe Woods University Liggett,y,"http://maps.google.com/maps?q=University Liggett School - Baseball, 1045 Cook Rd  Grosse Pointe Woods, MI 48236, MI ",56,
