,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,hs_div,level,icon_field
170,,,Fenway Park - Smallest MLB Park,,17744,102745,14.73,-71.0977733,42.3462476,,,,3000,3000,MLB,,Bos,Bos
163,,,Coors Field - Largest MLB Park,,24746,116886,17.47,-104.9942091,39.7557176,,,,3000,3000,MLB,,Col,Col
155,,,Adrian College,,14280,106000,11.87,-84.0697145,41.901861,,,,,,NCAA-3,,college,
160,,,CMU ,,22847,108213,17.43,-84.7794958,43.5764696,,,,,,NCAA-1,,college,
164,,,Cornerstone Baseball Field ,,21212,103016,17.08,-85.5975511,42.9811225,,,,,,NAIA,,college,
165,,,Davenport University ,,30259,111118,21.4,-85.5160374,42.8425628,,,,,,NCAA-2,,college,
169,,,EMU ,,17041,109553,13.46,-83.6487234,42.2573876,,,,,,NCAA-1,,college,
171,,,Gainey Athletic Complex - Field 1 ,,36044,104042,25.73,-85.571371,42.930952,,,,,,NCAA-3,,college,
172,,,Gainey Athletic Complex - Field 2 ,,36768,104571,26.01,-85.570642,42.9301094,,,,,,,,college,
176,,,GVSU ,,35024,102527,25.46,-85.8933881,42.9654715,,,,,,NCAA-2,,college,
180,,,Hope College,,30723,99674,23.56,-86.0883665,42.7870783,,,,,,NCAA-3,,college,
183,,,Kalamazoo College,,30733,109772,21.87,-85.6092979,42.2877622,,,,,,NCAA-3,,college,
184,,,Klenk Park - Alma College,,35379,109901,24.35,-84.6785813,43.3879303,,,,,,NCAA-3,,college,
195,,,Oakland University ,,40414,98650,29.06,-83.2113566,42.6733173,,,,,,NCAA-3,,college,
196,,,MSU - Old College Field,,33043,104911,23.95,-84.489214,42.7326743,,,,,,NCAA-1,,college,
205,,,Sagniaw Valley State ,,39799,106271,27.25,-83.9533999,43.5122297,,,,,,NCAA-2,,college,
207,,,U of M ,,19421,100851,16.15,-83.7420742,42.2678568,,,,,,NCAA-1,,college,
210,,,Wayne State Univ ,,25322,98360,20.47,-83.0772235,42.3564168,,,,,,NCAA-2,,college,
214,,,WMU ,,29814,104840,22.14,-85.6030368,42.2844309,,,,,,NCAA-1,,college,
162,,,Commerica Park - Home of the Tigers ,,28155,113641,19.86,-83.0489808,42.3394579,,,,3000,3000,MLB,,Det,Det
0,0,1,Airport High School - Carleton,,21262,88074,19.45,-83.3765218,42.0373919,Carleton - Airport HS,4654,Carleton - Airport HS,779,779,B,B,high_school,B
1,1,2,Aldai Stevenson High School,,20786,88749,18.98,-83.0144563,42.5871203,Livonia - Stevenson HS,6188,Livonia - Stevenson HS,1673,1673,A,A,high_school,A
2,2,3,Algonac High School,,30427,83362,26.74,-82.5823976,42.6286202,Algonac HS,1668,Algonac HS,433,433,B,B,high_school,B
3,3,4,Allen Park High School,,21933,94655,18.81,-83.2273711,42.2455509,Allen Park HS,5157,Allen Park HS,1140,1140,A,A,high_school,A
5,5,6,Bad Axe HS,,38845,86274,31.05,-83.0174535,43.8055552,Bad Axe HS,1362,Bad Axe HS,310,310,C,C,high_school,C
6,6,7,Bangor High School,,39832,103637,27.76,-86.1259456,42.3056833,Bangor HS,5090,Bangor HS,324,324,C,C,high_school,C
7,7,8,Bath High School,,17233,102353,14.41,-84.4399041,42.8139458,Bath HS,5743,Bath HS,310,310,C,C,high_school,C
8,8,9,Battle Creek lakeview HS,,39069,95422,29.05,-85.2302768,42.2937644,Battle Creek - Lakeview HS,2583,Battle Creek - Lakeview HS,1338,1338,A,A,high_school,A
9,9,10,Bay City All Saints HS,,25766,87055,22.84,-83.8962351,43.5560867,Bay City - All Saints Central HS,3301,Bay City - All Saints Central HS,57,57,D,D,high_school,D
10,10,12,Bay City john Glen HS,,25783,102941,20.03,-83.9280232,43.6193164,Bay City - John Glenn HS,1247,Bay City - John Glenn HS,752,752,B,B,high_school,B
11,11,13,Beal City HS,,25698,89488,22.31,-84.9127615,43.6741539,Mt Pleasant - Beal City HS,5124,Mt Pleasant - Beal City HS,227,227,C,C,high_school,C
12,12,14,Blissfield HS,,20396,92349,18.09,-83.8684514,41.8222438,Blissfield HS,7252,Blissfield HS,380,380,C,C,high_school,C
13,13,18,Breckenridge HS,,22445,82497,21.39,-84.4724901,43.413141,Breckenridge HS,7995,Breckenridge HS,194,194,C,C,high_school,C
14,14,19,Bridgman HS,,29299,94095,23.74,-86.5447454,41.9367931,Bridgman HS,3243,Bridgman HS,250,250,C,C,high_school,C
15,15,20,Bronson high School,,25822,90957,22.11,-85.1894145,41.865696,Bronson HS,7368,Bronson HS,325,325,C,C,high_school,C
16,16,21,Brownstone Woodhaven HS,,35410,85450,29.3,-83.2698289,42.121292,Brownstown Township - Woodhaven HS,4662,Brownstown Township - Woodhaven HS,1626,1626,A,A,high_school,A
17,17,22,Buchanan HS,,22660,88476,20.39,-86.3709785,41.8239409,Buchanan HS,6650,Buchanan HS,376,376,C,C,high_school,C
18,18,23,Bullock Creek HS - Midland,,29073,99260,22.65,-84.2944185,43.5717901,Midland - Bullock Creek HS100)],,,,,,,high_school,
19,19,24,Camden-Frontier High School,,30123,76954,28.13,-84.7066398,41.7801468,Camden-Frontier HS,5768,Camden-Frontier HS,177,177,D,D,high_school,D
20,20,25,Canton High School,,96250,34332,73.71,-83.4915152,42.3441818,Canton HS,5116,Canton HS,2127,2127,A,A,high_school,A
21,21,26,Centreville High School,,30617,92985,24.77,-85.5231062,41.9149684,Centreville HS,1676,Centreville HS,260,260,C,C,high_school,C
22,22,27,Charlotte High School,,35679,83501,29.94,-84.8551165,42.5604691,Charlotte HS,3516,Charlotte HS,751,751,B,B,high_school,B
23,23,28,Cheboygan HS,,28930,94239,23.49,-84.4971284,45.6300425,Cheboygan Area HS,4150,Cheboygan Area HS,605,605,B,B,high_school,B
24,24,29,Chesaning Union HS,,42709,93437,31.37,-84.1253816,43.1946837,Chesaning HS,1767,Chesaning HS,421,421,B,B,high_school,B
25,25,30,Chesaning Union HS - Field 2,,34692,83266,29.41,-84.1254496,43.1935652,Chesaning HS,1767,Chesaning HS,421,421,B,B,high_school,B
26,26,31,Clare High School,,19721,93774,17.38,-84.7809457,43.8248348,Clare HS,3788,Clare HS,469,469,B,B,high_school,B
27,27,32,Clarenceville HS - Livonia,,19166,82438,18.86,-83.3393709,42.4363394,Livonia - Clarenceville HS,5396,Livonia - Clarenceville HS,713,713,B,B,high_school,B
28,28,33,Clinton High School,,23742,91577,20.59,-83.9647212,42.0745982,Clinton HS,1635,Clinton HS,397,397,C,C,high_school,C
29,29,37,Concord High School,,18588,82374,18.41,-84.6411052,42.1722524,Concord HS,6353,Concord HS,224,224,C,C,high_school,C
30,30,40,Cranbrook High School,,33362,84811,28.23,-83.2546733,42.5730964,Bloomfield Hills - Cranbrook Kingswood HS,7203,Bloomfield Hills - Cranbrook Kingswood HS,798,798,B,B,high_school,B
31,31,41,Dansville HS,,38155,101273,27.37,-84.3074712,42.5514233,Dansville HS,5132,Dansville HS,243,243,C,C,high_school,C
32,32,43,Decatur High School,,18841,93431,16.78,-85.9816872,42.1120337,Decatur HS,2311,Decatur HS,204,204,C,C,high_school,C
33,33,45,Detroit Catholic Central HS - Field 2,,33484,90188,27.07,-83.5440067,42.4880269,Novi - Detroit Catholic Central HS,4638,Novi - Detroit Catholic Central HS,933,1866,A,A,high_school,A
34,34,46,Detroit Catholic Central HS,,18311,96537,15.94,-83.5434495,42.488053,Novi - Detroit Catholic Central HS,4638,Novi - Detroit Catholic Central HS,933,1866,A,A,high_school,A
35,35,47,Detroit Country Day HS,,17029,91589,15.68,-83.2646187,42.513942,Beverly Hills - Detroit Country Day HS,4092,Beverly Hills - Detroit Country Day HS,657,657,B,B,high_school,B
36,36,49,Dewitt High School,,20441,84827,19.42,-84.5810277,42.8262729,DeWitt HS,1354,DeWitt HS,1009,1009,A,A,high_school,A
37,37,51,East Lansing High School,,28064,89645,23.84,-84.4568141,42.7419931,East Lansing HS,3920,East Lansing HS,1211,1211,A,A,high_school,A
38,38,52,Eastern High School,,38329,86898,30.61,-84.5355748,42.7372929,Lansing - Eastern HS,2765,Lansing - Eastern HS,828,828,B,B,high_school,B
39,39,53,Eaton Rapid HS Field 2,,34107,85396,28.54,-84.6350135,42.5110331,Eaton Rapids HS,3978,Eaton Rapids HS,674,674,B,B,high_school,B
40,40,54,Eaton Rapids High School,,37223,101498,26.83,-84.635145,42.5118192,Eaton Rapids HS,3978,Eaton Rapids HS,674,674,B,B,high_school,B
41,41,55,Ecorse High School,,29411,78788,27.18,-83.149694,42.2528271,Ecorse HS,1932,Ecorse HS,402,402,B,B,high_school,B
42,42,56,Edwardsburg HS,,30166,85216,26.14,-86.091742,41.7896252,Edwardsburg HS,4175,Edwardsburg HS,803,803,B,B,high_school,B
43,43,58,Essexville Garber HS,,25204,91284,21.64,-83.8341762,43.6056341,Essexville - Garber HS,6106,Essexville - Garber HS,542,542,B,B,high_school,B
44,44,59,Everett High School,,36876,93448,28.3,-84.5561434,42.6905115,Lansing - Everett HS,1387,Lansing - Everett HS,1178,1178,A,A,high_school,A
45,45,60,Fankfort H S,,25913,89205,22.51,-86.225851,44.634408,Frankfort HS,7558,Frankfort HS,154,154,D,D,high_school,D
46,46,62,Forrest Hills Eastern High School,,34528,98244,26.01,-85.5286469,43.0058274,Ada - Forest Hills Eastern HS,4506,Ada - Forest Hills Eastern HS,783,783,B,B,high_school,B
47,47,63,Fowlerville HS,,19823,94791,17.3,-84.0655802,42.6688057,Fowlerville HS,7343,Fowlerville HS,839,839,A,A,high_school,A
48,48,64,Gabriel Richard HS,,22712,92645,19.69,-83.2089242,42.1817944,Ann Arbor - Father Gabriel Richard HS,8184,Ann Arbor - Father Gabriel Richard HS,462,462,B,B,high_school,B
49,49,67,Garber High School Essexville,,25668,91404,21.92,-83.8341769,43.6056339,Essexville - Garber HS,6106,Essexville - Garber HS,542,542,B,B,high_school,B
50,50,68,Gladstone High School,,22978,84312,21.42,-87.0388936,45.85971,Gladstone HS,6130,Gladstone HS,402,402,B,B,high_school,B
51,51,70,Gladwin High School,,26731,93477,22.24,-84.4919148,43.9902464,Gladwin HS,2253,Gladwin HS,492,492,B,B,high_school,B
52,52,72,Goodrich HS,,33688,91640,26.88,-83.5294795,42.9168576,Goodrich HS,8192,Goodrich HS,716,716,B,B,high_school,B
53,53,73,GR West Catholic HS,,23866,94829,20.11,-85.712159,42.9943182,Grand Rapids - West Catholic HS,5826,Grand Rapids - West Catholic HS,466,466,B,B,high_school,B
54,54,75,Grand Blanc HS,,26522,93196,22.15,-83.6283145,42.9187188,Grand Blanc HS,2237,Grand Blanc HS,2812,2812,A,A,high_school,A
55,55,76,Grand Ledge High School,,28836,79361,26.65,-84.7539894,42.7472938,Grand Ledge HS,6213,Grand Ledge HS,1653,1653,A,A,high_school,A
59,59,80,Kenowa Hills High School,,37758,93310,28.81,-85.7475037,43.0343372,Grand Rapids - Kenowa Hills HS,5280,Grand Rapids - Kenowa Hills HS,1033,1033,A,A,high_school,A
60,60,81,Gross Pointe North High School,,19075,80421,19.17,-82.8911176,42.4379668,Grosse Pointe North HS,7822,Grosse Pointe North HS,1171,1171,A,A,high_school,A
61,61,82,Gross Pointe South High School,,21527,83785,20.44,-82.9025228,42.3918844,Grosse Pointe South HS,,,,,,,high_school,
62,62,83,Grosse Ile High School,,36064,93917,27.75,-83.1458188,42.1340427,Grosse Ile HS,1528,Grosse Ile HS,588,588,B,B,high_school,B
63,63,84,University Liggett School,,22388,83119,21.22,-82.9007499,42.4260393,Grosse Pointe Woods - University Liggett HS,1222,Grosse Pointe Woods - University Liggett HS,303,303,C,C,high_school,C
64,64,87,Hamtramck High School,,14857,81704,15.39,-83.0476997,42.3930022,Hamtramck HS,5925,Hamtramck HS,1152,1152,A,A,high_school,A
65,65,88,Harbor Springs High School,,21382,79731,21.15,-84.9734496,45.434179,Harbor Springs HS,5520,Harbor Springs HS,256,256,C,C,high_school,C
66,66,91,Haslett High School,,30039,86400,25.8,-84.4071076,42.7419614,Haslett HS,2278,Haslett HS,845,845,A,A,high_school,A
67,67,92,Hemlock HS,,24830,87160,22.17,-84.2333581,43.4238904,Hemlock HS,6568,Hemlock HS,337,337,C,C,high_school,C
68,68,93,Holland Christian High School,,32779,95289,25.59,-86.1328152,42.7619603,Holland Christian HS,6634,Holland Christian HS,643,643,B,B,high_school,B
69,69,94,Holt High School,,38310,95406,28.65,-84.5799503,42.6367415,Holt HS,7632,Holt HS,1745,1745,A,A,high_school,A
70,70,95,Holt HS - Practice field,,39740,98054,28.84,-84.5796448,42.6372277,Holt HS,7632,Holt HS,1745,1745,A,A,high_school,A
71,71,96,Holton High School,,28877,95912,23.14,-86.0881718,43.4149801,Holton HS,4407,Holton HS,240,240,C,C,high_school,C
72,72,97,Homer HS,,20835,71860,22.48,-84.8138072,42.1386292,Homer HS,1321,Homer HS,308,308,C,C,high_school,C
73,73,99,Houghton High School,,32578,92794,25.99,-88.5639378,47.1087711,Houghton HS,5636,Houghton HS,449,449,B,B,high_school,B
74,74,100,Howell High School,,21114,92971,18.51,-83.9426426,42.6179456,Howell HS,5074,Howell HS,2375,2375,A,A,high_school,A
75,75,101,Hudson high School,,31947,88333,26.56,-84.3444884,41.8638399,Hudson Area HS,7384,Hudson Area HS,269,269,C,C,high_school,C
76,76,102,Hudsonville Christian HS,,33791,97983,25.64,-85.8456256,42.8840691,Hudsonville HS,8077,Hudsonville HS,2026,2026,A,A,high_school,A
77,77,103,Hudsonville High School,,30487,96953,23.92,-85.8754492,42.9134789,Hudsonville HS,8077,Hudsonville HS,2026,2026,A,A,high_school,A
78,78,104,Hudsonville HS - Field 2,,31075,93415,24.96,-85.8768694,42.9142415,Hudsonville HS,8077,Hudsonville HS,2026,2026,A,A,high_school,A
79,79,105,Huron High School,,27079,82445,24.72,-83.3501649,42.1258421,Ann Arbor - Huron HS,1825,Ann Arbor - Huron HS,1860,1860,A,A,high_school,A
80,80,106,Indian River Inland Lakes HS,,14836,85638,14.77,-84.6358958,45.3838713,Indian River - Inland Lakes HS,7913,Indian River - Inland Lakes HS,177,177,D,D,high_school,D
81,81,107,Ionia High School,,30676,88463,25.75,-85.0645777,42.9523427,Ionia HS,4068,Ionia HS,826,826,B,B,high_school,B
82,82,108,Ionia Practice Field,,29381,81817,26.42,-85.0646534,42.9533573,Ionia HS,4068,Ionia HS,826,826,B,B,high_school,B
83,83,109,Jackson Lumen Christi HS,,20498,92032,18.22,-84.4602665,42.2219816,Jackson - Lumen Christi HS,3482,Jackson - Lumen Christi HS,310,310,C,C,high_school,C
84,84,110,Jenison High School,,31316,98281,24.16,-85.837665,42.917629,Jenison HS,3607,Jenison HS,1508,1508,A,A,high_school,A
85,85,113,Kalamazoo Christian high school,,23934,92206,20.61,-85.6134503,42.273406,Kalamazoo Christian HS,2591,Kalamazoo Christian HS,239,239,C,C,high_school,C
86,86,115,Kalamazoo Hackett Prep High School,,21937,87095,20.12,-85.5965558,42.2474483,Kalamazoo - Hackett Catholic Prep,4720,Kalamazoo - Hackett Catholic Prep,235,235,C,C,high_school,C
87,87,116,Kingston high School,,20688,74026,21.84,-83.1919884,43.4105296,Kingston HS,3045,Kingston HS,203,203,C,C,high_school,C
88,88,118,Laingsburg HS,,28676,98635,22.52,-84.342751,42.878632,Laingsburg HS,1338,Laingsburg HS,371,371,C,C,high_school,C
89,89,119,Lake Orion HS,,32958,90214,26.76,-83.2369353,42.7539465,Lake Orion HS,3953,Lake Orion HS,2309,2309,A,A,high_school,A
90,90,120,Lansing Catholic HS,,18458,88369,17.28,-84.5276463,42.7374459,Lansing Catholic HS,2435,Lansing Catholic HS,439,439,B,B,high_school,B
91,91,121,Lincoln High School - Ypsi - Fields 2,,28282,91822,23.55,-83.6146378,42.1604794,Ypsilanti - Lincoln HS,6477,Ypsilanti - Lincoln HS,1247,1247,A,A,high_school,A
92,92,124,Lincoln High School - Ypsilanti,,26768,92794,22.39,-83.6146339,42.1610319,Ypsilanti - Lincoln HS,6477,Ypsilanti - Lincoln HS,1247,1247,A,A,high_school,A
93,93,125,Livonia Franklin HS,,19947,88016,18.48,-83.3473911,42.356909,Livonia - Franklin HS,3508,Livonia - Franklin HS,1379,1379,A,A,high_school,A
94,94,126,Marine City Cardinal Mooney Field 2,,16169,93547,14.74,-82.8879871,42.5368865,Marine City - Cardinal Mooney Catholic HS,3961,Marine City - Cardinal Mooney Catholic HS,156,156,D,D,high_school,D
95,95,127,Marine City Cardinal Mooney HS,,35258,89229,28.32,-82.8877279,42.5352846,Marine City - Cardinal Mooney Catholic HS,3961,Marine City - Cardinal Mooney Catholic HS,156,156,D,D,high_school,D
96,96,128,Marion High School,,28881,84444,25.49,-85.130365,44.1000449,Marion HS,4877,Marion HS,148,148,D,D,high_school,D
97,97,129,Marlette High School,,22629,86986,20.64,-83.070928,43.3238064,Marlette HS,7054,Marlette HS,229,229,C,C,high_school,C
98,98,131,Mason County Central High School,,33783,87956,27.75,-86.2891178,43.9590923,Scottville - Mason County Central HS,1503,Scottville - Mason County Central HS,360,360,C,C,high_school,C
99,99,132,Mason High School,,24874,96592,20.48,-84.4345611,42.570571,Mason HS,2138,Mason HS,955,955,A,A,high_school,A
100,100,133,Mayville High School,,17938,81703,18,-83.3551339,43.3310365,Mayville HS,7442,Mayville HS,187,187,D,D,high_school,D
101,101,135,Mendon High School,,36355,86309,29.64,-85.4474524,42.0126305,Mendon HS,7260,Mendon HS,164,164,D,D,high_school,D
102,102,138,Merrill High School,,28874,89658,24.36,-84.3410391,43.4071832,Merrill HS,2988,Merrill HS,203,203,C,C,high_school,C
104,104,140,Mt Pleasant HS,,28077,94255,22.95,-84.7591327,43.5913032,Mt Pleasant HS,5834,Mt Pleasant HS,1072,1072,A,A,high_school,A
105,105,142,Muskegon Mona Shores HS,,32818,90825,26.54,-86.271558,43.1845307,Muskegon - Mona Shores HS,7962,Muskegon - Mona Shores HS,1240,1240,A,A,high_school,A
106,106,143,Muskegon Western Michigan Christian,,28988,90507,24.26,-86.236793,43.1609012,Muskegon - Western Michigan Christian HS,3490,Muskegon - Western Michigan Christian HS,243,243,C,C,high_school,C
107,107,144,New Lothrop HS,,37414,89468,29.49,-83.9746703,43.122242,New Lothrop HS,3664,New Lothrop HS,292,292,C,C,high_school,C
108,108,145,Northville HS,,28784,95926,23.08,-83.493445,42.4123981,Northville HS,5628,Northville HS,2509,2509,A,A,high_school,A
109,109,146,Norway High School,,25656,82223,23.78,-87.9126582,45.7729954,Norway HS,2625,Norway HS,180,180,D,D,high_school,D
110,110,147,Novi HS,,23776,89713,20.95,-83.4924439,42.4615268,Novi HS,1833,Novi HS,2033,2033,A,A,high_school,A
111,111,152,Okemos HS,,27679,88219,23.88,-84.4559105,42.6876301,Okemos HS,6007,Okemos HS,1427,1427,A,A,high_school,A
112,112,156,Orchard Lake St Marys High School,,27391,87971,23.74,-83.35411,42.5916394,Orchard Lake - St Mary Preparatory HS,2385,Orchard Lake - St Mary Preparatory HS,523,1046,B,B,high_school,B
113,113,157,Ovid-Elsie High School,,24768,83750,22.82,-84.3932693,43.0477476,Ovid-Elsie HS,3383,Ovid-Elsie HS,452,452,B,B,high_school,B
114,114,158,Owosso HS,,20193,79372,20.28,-84.1622172,43.0168905,Owosso HS,6171,Owosso HS,794,794,B,B,high_school,B
115,115,159,Parkway Christian High School - Sterling Heights,,18986,92907,16.97,-82.9817171,42.562036,Sterling Heights - Parkway Christian School,9955,Sterling Heights - Parkway Christian School,130,130,D,D,high_school,D
116,116,160,Pelson High School,,17058,76326,18.27,-84.7891347,45.5500721,Pellston HS,5660,Pellston HS,126,126,D,D,high_school,D
117,117,163,Petoskey High School,,30315,91933,24.8,-84.9386874,45.3672303,Petoskey HS,3136,Petoskey HS,943,943,A,A,high_school,A
118,118,164,Pewamo-Westphalia HS,,27955,84958,24.76,-84.8358807,42.9403371,Pewamo-Westphalia HS,6312,Pewamo-Westphalia HS,296,296,C,C,high_school,C
119,119,165,Plymouth HS,,30570,92981,24.74,-83.4986405,42.3483182,Canton - Plymouth HS,2839,Canton - Plymouth HS,2140,2140,A,A,high_school,A
120,120,166,Portage Northern High School,,24003,89005,21.24,-85.5987309,42.2356888,Portage Northern HS,4794,Portage Northern HS,1227,1227,A,A,high_school,A
121,121,167,Portland High School,,39688,88555,30.95,-84.9180249,42.882565,Portland HS,7104,Portland HS,567,567,B,B,high_school,B
122,122,168,Portland St. Pats HS,,34252,129849,20.87,-84.9107754,42.8702585,Portland - St Patrick HS,1908,Portland - St Patrick HS,85,85,D,D,high_school,D
123,123,169,Richmond High School,,32748,88224,27.07,-82.7574992,42.8073051,Richmond HS,1148,Richmond HS,469,469,B,B,high_school,B
124,124,170,Rochester Adams HS,,29388,93346,23.94,-83.1998424,42.6972168,Rochester - Adams HS,6733,Rochester - Adams HS,1528,1528,A,A,high_school,A
