,school_id,school_name,enrollment_total,enrollment_classification,division,level,field,lat,long,State,foul_ft,fop_ft,foul_pct
179,3623,St Johns HS,922,922,A,high_school,St Johns High School,-84.5679294,42.9878827,MI,37093.80759,96143.76931,27.84034989
184,5875,Stevensville - Lakeshore HS,864,864,A,high_school,Stevenson Lakeshore HS,-86.4944752,42.0092821,MI,22071.68153,89254.41749,19.82615193
190,2278,Haslett HS,845,845,A,high_school,Haslett High School,-84.4071076,42.7419614,MI,30038.89307,86400.49907,25.79787864
192,1627,Trenton HS,841,841,A,high_school,Trenton High School,-83.2030684,42.1421346,MI,23233.94686,91703.36302,20.21445158
193,7343,Fowlerville HS,839,839,A,high_school,Fowlerville HS,-84.0655802,42.6688057,MI,19823.26999,94791.45491,17.29557001
200,4068,Ionia HS,826,826,B,high_school,Ionia High School,-85.0645777,42.9523427,MI,30676.04206,88463.37391,25.74802118
211,4175,Edwardsburg HS,803,803,B,high_school,Edwardsburg HS,-86.091742,41.7896252,MI,30166.42702,85216.10496,26.14470882
213,6171,Owosso HS,794,794,B,high_school,Owosso HS,-84.1622172,43.0168905,MI,20192.80471,79371.66582,20.28113503
215,2740,St Clair HS,787,787,B,high_school,St Clair HS,-82.5113899,42.824698,MI,31500.85263,87273.27037,26.52164616
216,4506,Ada - Forest Hills Eastern HS,783,783,B,high_school,Forrest Hills Eastern,-85.5286469,43.0058274,MI,34527.56295,98243.77763,26.00528307
218,4654,Carleton - Airport HS,779,779,B,high_school,Carleton Airport High School,-83.3765218,42.0373919,MI,21261.72608,88074.04987,19.44626623
226,2294,Adrian HS,759,759,B,high_school,Adrian College,-84.0697145,41.901861,MI,14280.3593,106000.2871,11.87253289
229,1247,Bay City - John Glenn HS,752,752,B,high_school,Bay City john Glen,-83.9280232,43.6193164,MI,25783.11916,102941.3101,20.02970167
230,3516,Charlotte HS,751,751,B,high_school,Charlotte High School,-84.8551165,42.5604691,MI,35678.8235,83501.23625,29.93690687
236,8192,Goodrich HS,716,716,B,high_school,Goodrich HS,-83.5294795,42.9168576,MI,33688.10354,91639.68415,26.87999538
245,4340,Whitehall HS,685,685,B,high_school,Whitehall High School,-86.3327856,43.4045055,MI,28215.49065,91519.09847,23.565029
250,3978,Eaton Rapids HS,674,674,B,high_school,Eaton Rapid HS Field ,-84.6350135,42.5110331,MI,34106.79852,85396.3334,28.54050599
251,3978,Eaton Rapids HS - practice,674,674,B,high_school,Eaton Rapids High School,-84.635145,42.5118192,MI,37223.00879,101498.2962,26.83294307
261,6634,Holland Christian HS,643,643,B,high_school,Holland Christian Baseball Field,-86.1328152,42.7619603,MI,32778.54852,95289.03131,25.59472785
267,3904,Hudsonville - Unity Christian HS,616,616,B,high_school,Hudsonville Christian HS,-85.8456256,42.8840691,MI,33791.3056,97983.24181,25.64327198
