host,district,park_name,Plot Note,Map Link MHSAA
Berrien Springs,45,Berrien Springs HS - high_school,,"http://maps.google.com/maps?q=Berrien Springs High School - Baseball, one sylvester ave  berrien springs, MI "
Vicksburg,46,Vicksburg HS,,"http://maps.google.com/maps?q=Vicksburg High School, 501 East Highway Street  Vicksburg, MI 49097"
Coldwater,47,Coldwater HS,,"http://maps.google.com/maps?q=CHS Baseball Complex (Lowe Field), 275 N Fremont St  Coldwater, MI 49036-1297"
Lake Odessa Lakewood,48,Lake Odessa Lakewood HS,,"http://maps.google.com/maps?q=lakewood high school lake odessa - Baseball, 7223 velte rd  lake odessa, MI "
Mason,49,Mason HS,,"http://maps.google.com/maps?q=Mason High School - Baseball, 1001 S. Barnes  Mason, MI "
Adrian,50,Adrian HS,,"http://maps.google.com/maps?q=Cliff Nelson Field, 785 Riverside  Adrian, MI "
Carleton Airport,51,Carleton Airport High School,,"http://maps.google.com/maps?q=Airport High School - Carleton, 11330 Grafton Rd  Carleton, MI 48117-9392"
Trenton,52,Trenton High School,,"http://maps.google.com/maps?q=Trenton Baseball Stadium, 2601 Charlton  Trenton, MI "
Dearborn Divine Child,53,,not done - none on campus. NW is field on central park drive,"http://maps.google.com/maps?q=Divine Child High School - Dearborn, 1001 N Silvery Lane  Dearborn, MI 48128"
Livonia Clarenceville,54,Livonia - Clarenceville HS,,"http://maps.google.com/maps?q=Baseball Field, 20155 Middlebelt Rd  Livonia, MI "
Grosse Pointe Woods University Liggett,56,Grosse Pointe Woods University Liggett School,,"http://maps.google.com/maps?q=University Liggett School - Baseball, 1045 Cook Rd  Grosse Pointe Woods, MI 48236, MI "
Hazel Park,57,Hazel Park HS,,"http://maps.google.com/maps?q=Hazel Park High School, 23400 Hughes Ave.  Hazel Park, MI 48030-1595"
Richmond,58,Richmond High School,,"http://maps.google.com/maps?q=Richmond Baseball Facility, 35320 Division  Richmond , MI "
North Branch,59,North Branch HS,,"http://maps.google.com/maps?q=North Branch High School - Baseball, 6598 Brush Street  North Branch, MI "
Goodrich,60,Goodrich HS,,"http://maps.google.com/maps?q=Goodrich High School - Baseball, 8029 S. Gale  Goodrich, MI "
Fowlerville,61,Fowlerville HS,,"http://maps.google.com/maps?q=Gehringer Field - Baseball, 7677 Sharp Road  Fowlerville, MI "
Owosso,62,Owosso HS,,"http://maps.google.com/maps?q=Owosso High School, 765 E North St  Owosso, MI 48867"
Clio,63,Clio HS,,"http://maps.google.com/maps?q=Conlee Field, 1 Mustang Drive  Clio, MI "
Saginaw Swan Valley,64,Saginaw Swan Valley High School,,"http://maps.google.com/maps?q=Swan Valley High School, 8400 O'hern Rd  Saginaw, MI 48609"
Negaunee,65,Negaunee high School - Irontown Field - high school,,"http://maps.google.com/maps?q=Irontown Field, Cherry St.  Negaunee, MI "
Gladstone,66,Gladstone High School,,"http://maps.google.com/maps?q=Gladstone Sports Park, North Bluff Drive  Gladstone, MI "
Charlevoix,67,Charlevoix HS,,"http://maps.google.com/maps?q=Charlevoix HS, 5200 Marion Center Rd  Charlevoix, MI 49720"
Houghton Lake,68,,not done on campus,"http://maps.google.com/maps?q=Houghton Lake High School, 4433 W Houghton Lake Dr  Houghton Lake, MI 48629-9786"
Hart,69,Hart HS,,"http://maps.google.com/maps?q=Hart Baseball Field, 300 West Johnson Street  Hart, MI "
Traverse City Christian,70,Traverse City Christian HS,,"http://maps.google.com/maps?q=Traverse City Christian School, 753 Emerson Rd  Traverse City, MI 49696"
Sanford Meridian,71,Sanford Meridian HS,,"http://maps.google.com/maps?q=Meridian High School - Baseball, 3303 N. M-30  Sanford, MI "
Clare,72,Clare High School,,"http://maps.google.com/maps?q=Brookwood Athletic Complex, 667 Ann Arbor Trail  Clare, MI 48617"
Watervliet,73,Watervliet HS,,"http://maps.google.com/maps?q=Watervliet - Baseball, Watervliet  Watervliet, MI "
Galesburg-Augusta,74,Galesburg-Augusta HS,,
Grandville Calvin Christian,75,Grandville Calvin Christian HS,,"http://maps.google.com/maps?q=Calvin Christian HS - Baseball, 3750 Ivanrest  Grandville, MI "
Ravenna,76,Ravenna HS,,"http://maps.google.com/maps?q=Ravenna Citizen's Field, 2766 S. Ravenna Rd.  Ravenna, MI "
Hemlock,77,Hemlock HS,,"http://maps.google.com/maps?q=Hemlock HS Baseball Field, 733 Hemlock Rd.   , MI "
Durand,78,Durand HS - high school,,"http://maps.google.com/maps?q=Durand High School - Baseball, 9575 E. Monroe Rd.  Durand, MI "
Vermontville Maple Valley,79,Vermontville Maple Valley - high school,,"http://maps.google.com/maps?q=Maplewood Elementary, 170 Seminary Street  Vermontville, MI 49096"
Grand Rapids West Catholic,80,Grand Rapids Catholic Central HS,,"http://maps.google.com/maps?q=Grand Rapids West Catholic High School, 1801 Bristol Avenue  Grand Rapids, Mi 49504"
Bridgman,81,Bridgman HS,,"http://maps.google.com/maps?q=Bridgman HS, 9964 Gast Rd  Bridgman, MI 49106"
