teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_T,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Rochester Adams,4,3.25,3.5,13.0,4,2.0,1.5,8.0,1.0,0.0,3.0,0.75,5.0,1.25,33.0,5.818181818181818,6.0,192.0,33.0,3.9393939393939394,3.0,130.0,10.0,3.0,23.0,0.696969696969697,62.0,1.878787878787879,17.0,5.117647058823529,5.0,87.0,17.0,2.8823529411764706,2.0,49.0,3.0,1.0,14.0,0.8235294117647058,38.0,2.2352941176470584,16.0,6.5625,7.5,105.0,16.0,5.0625,4.5,81.0,7.0,2.0,9.0,0.5625,24.0,1.5
Rochester Hills Lutheran Northwest,1,1.0,1.0,1.0,1,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-2.0,-2.0,14.0,3.857142857142857,3.0,54.0,14.0,5.0,3.5,70.0,7.0,14.0,7.0,0.5,-16.0,-1.1428571428571428,7.0,3.7142857142857144,3.0,26.0,7.0,3.0,3.0,21.0,2.0,5.0,5.0,0.7142857142857143,5.0,0.7142857142857144,7.0,4.0,3.0,28.0,7.0,7.0,9.0,49.0,5.0,9.0,2.0,0.2857142857142857,-21.0,-3.0
Rochester Hills Stoney Creek,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1.0,0.0,0.0,0.0,-1.0,-1.0,34.0,4.911764705882353,4.0,167.0,34.0,4.970588235294118,4.0,169.0,16.0,6.0,18.0,0.5294117647058824,-2.0,-0.0588235294117645,16.0,4.375,3.0,70.0,16.0,6.1875,5.0,99.0,9.0,2.0,7.0,0.4375,-29.0,-1.8125,18.0,5.388888888888889,4.0,97.0,18.0,3.888888888888889,3.0,70.0,7.0,4.0,11.0,0.6111111111111112,27.0,1.5000000000000004
Rockford,4,6.25,7.0,25.0,4,2.0,1.5,8.0,1.0,0.0,3.0,0.75,17.0,4.25,11.0,5.363636363636363,5.0,59.0,11.0,3.272727272727273,2.0,36.0,5.0,25.0,6.0,0.5454545454545454,23.0,2.0909090909090904,8.0,5.375,4.0,43.0,8.0,3.625,3.0,29.0,4.0,15.0,4.0,0.5,14.0,1.75,3.0,5.333333333333333,6.0,16.0,3.0,2.3333333333333335,0.0,7.0,1.0,10.0,2.0,0.6666666666666666,9.0,2.9999999999999996
Rogers City,4,4.75,5.5,19.0,4,2.25,2.0,9.0,1.0,0.0,3.0,0.75,10.0,2.5,11.0,8.727272727272727,9.0,96.0,11.0,4.454545454545454,4.0,49.0,4.0,12.0,7.0,0.6363636363636364,47.0,4.2727272727272725,2.0,3.0,3.0,6.0,2.0,5.0,5.0,10.0,1.0,6.0,1.0,0.5,-4.0,-2.0,9.0,10.0,10.0,90.0,9.0,4.333333333333333,4.0,39.0,3.0,6.0,6.0,0.6666666666666666,51.0,5.666666666666667
Romeo,1,4.0,4.0,4.0,1,6.0,6.0,6.0,1.0,0.0,0.0,0.0,-2.0,-2.0,30.0,4.266666666666667,4.0,128.0,30.0,5.533333333333333,4.5,166.0,16.0,9.0,14.0,0.4666666666666667,-38.0,-1.2666666666666666,16.0,4.4375,4.0,71.0,16.0,6.25,6.5,100.0,9.0,4.0,7.0,0.4375,-29.0,-1.8125,14.0,4.071428571428571,4.0,57.0,14.0,4.714285714285714,3.0,66.0,7.0,5.0,7.0,0.5,-9.0,-0.6428571428571432
Romulus,1,8.0,8.0,8.0,1,10.0,10.0,10.0,1.0,0.0,0.0,0.0,-2.0,-2.0,8.0,4.375,3.0,35.0,8.0,8.875,8.5,71.0,6.0,13.0,2.0,0.25,-36.0,-4.5,3.0,6.0,4.0,18.0,3.0,10.0,10.0,30.0,2.0,8.0,1.0,0.3333333333333333,-12.0,-4.0,5.0,3.4,2.0,17.0,5.0,8.2,7.0,41.0,4.0,5.0,1.0,0.2,-24.0,-4.799999999999999
Romulus Summit Academy North,2,5.0,5.0,10.0,2,12.5,12.5,25.0,1.0,0.0,1.0,0.5,-15.0,-7.5,21.0,8.333333333333334,9.0,175.0,21.0,5.190476190476191,5.0,109.0,7.0,13.0,14.0,0.6666666666666666,66.0,3.1428571428571432,9.0,9.11111111111111,10.0,82.0,9.0,4.555555555555555,3.0,41.0,2.0,2.0,7.0,0.7777777777777778,41.0,4.555555555555555,12.0,7.75,7.5,93.0,12.0,5.666666666666667,6.0,68.0,5.0,11.0,7.0,0.5833333333333334,25.0,2.083333333333333
Roscommon,2,4.5,4.5,9.0,2,4.0,4.0,8.0,1.0,0.0,1.0,0.5,1.0,0.5,22.0,4.045454545454546,2.5,89.0,22.0,6.2272727272727275,6.5,137.0,12.0,2.0,9.0,0.4090909090909091,-48.0,-2.1818181818181817,8.0,3.375,2.0,27.0,8.0,4.625,5.0,37.0,4.0,2.0,3.0,0.375,-10.0,-1.25,14.0,4.428571428571429,4.0,62.0,14.0,7.142857142857143,8.5,100.0,8.0,0.0,6.0,0.42857142857142855,-38.0,-2.7142857142857144
Roseville,1,3.0,3.0,3.0,1,13.0,13.0,13.0,1.0,0.0,0.0,0.0,-10.0,-10.0,17.0,8.470588235294118,9.0,144.0,17.0,2.4705882352941178,2.0,42.0,3.0,4.0,14.0,0.8235294117647058,102.0,6.0,8.0,8.375,8.5,67.0,8.0,2.875,2.0,23.0,2.0,1.0,6.0,0.75,44.0,5.5,9.0,8.555555555555555,9.0,77.0,9.0,2.111111111111111,1.0,19.0,1.0,3.0,8.0,0.8888888888888888,58.0,6.444444444444445
