Column1,school,Done already?,Column2,
146,Gladstone HS,,,
147,Boyne City HS,,,
148,Beaverton HS,,,
149,Grand Rapids NorthPointe Christian HS,,,
150,Ottawa Lake Whiteford HS,,,
151,Madison Heights Bishop Foley HS,,,
152,East Jordan HS,,,
153,Harbor Springs HS,,,
154,Charlevoix HS,,,
155,Elk Rapids HS,,,
156,Traverse City Christian HS,,,
157,Grayling HS,,,
158,Benzie Central HS,,,
159,McBain HS,,,
160,Lake City HS,,,
161,Hart HS,,,
162,Evart HS,,,
163,Mason County Central HS,,,
164,Farwell HS,,,
165,Houghton Lake HS,,,
166,Roscommon HS,,,
167,Oscoda HS,,,
168,Sanford Meridian HS,,,
169,Tawas HS,,,
170,Hesperia HS,,,
171,North Muskegon HS,,,
172,Ravenna HS,,,
173,Morley Stanwood HS,,,
174,Kent City HS,,,
175,Lakeview HS,,,
176,Saugatuck HS,,,
177,Fennville HS,,,
178,Grandville Calvin Christian HS,,,
179,Coloma HS,,,
180,Bloomingdale HS,,,
181,Hartford HS,,,
184,Ovid-Elsie HS,,,
185,Chesaning HS,,,
186,Montrose HS,,,
189,Vermontville Maple Valley HS,,,
192,Lawton HS,,,
193,Constantine HS,,,
195,Schoolcraft HS,,,
196,Comstock HS,,,
197,Quincy HS,x,,
198,Bronson HS,,,
199,Hillsdale HS,x,,
200,Hanover-Horton HS,,,
201,Jonesville HS,x,,
207,Ann Arbor Greenhills HS,,no home field?,
210,Sand Creek HS,,,
211,Monroe St Mary Catholic Central HS,,,
213,Canton Prep HS,,,
214,Taylor Prep HS,,,
215,Dearborn Heights Robichaud HS,,,
216,Detroit Cristo Rey HS,,,
217,Detroit Central HS,,cant find - fields on campus but no fence. More like rec field,
218,Detroit Loyola HS,,,
219,Clawson HS,x,,
220,Madison Heights Madison HS,,,
221,Clinton Township Clintondale HS,,,
222,Detroit Osborn HS,,,
223,Grosse Pointe Woods University Liggett HS,,,
224,Mt Morris HS,x,? Elisabeth Ann Johnson High School ?,
225,Burton Bentley HS,x,,
226,Burton Bendle HS,x,,
227,Reese HS,x,,
228,Saginaw Valley Lutheran HS,,,
229,Vassar HS,,,
230,Sandusky HS,,,
231,Caro HS,,,
232,Cass City HS,,,
233,Negaunee HS,,,
234,Iron Mountain HS,,,
236,Eben Junction Superior Central HS,,,
237,Newberry HS,x,,
238,Menominee HS,,,
240,Brown City HS,,can't find,
241,Memphis HS,x,,
242,Mancelona HS,x,,
243,Kalkaska HS,x,,
244,Manton HS,,,
245,Manistee HS,,,
246,Harrison HS,,,
247,Pinconning HS,,,
248,Shelby HS,,,
249,Central Montcalm HS,,,
250,Holland Black River HS,,,
251,Bangor HS,,,
252,St Louis HS,,,
253,St Charles HS,,,
254,Delton Kellogg HS,,,
256,Niles Brandywine HS,,,
257,Galesburg-Augusta HS,,,
258,Napoleon HS,,,
259,Ida HS,,,
260,Hope of Detroit Academy HS,,,
261,Detroit Southeastern HS,,,
262,Burton Atherton HS,,,
263,Otisville LakeVille Memorial HS,,,
264,Elkton-Pigeon-Bay Port Laker HS,,,
265,Almont HS,,,
266,Riverview Gabriel Richard HS,,,
267,Whitmore Lake HS,,,
268,Johannesburg-Lewiston HS,,,
269,Painesdale Jeffers HS,,,
270,Maple City Glen Lake HS,,,
