,0
0,Buchanan HS
1,Detroit Edison HS
2,Pewamo-Westphalia HS
3,Standish-Sterling HS
4,Houghton HS
5,Traverse City St Francis HS
6,Reed City HS
7,Lansing Catholic HS
8,Montague HS
9,Grand Rapids Covenant Christian HS
10,Onsted HS
11,Clinton HS
12,Hudson HS
13,Algonac HS
14,Ecorse HS
15,Millington HS
16,LeRoy Pine River HS
17,Watervliet HS
18,Laingsburg HS
19,Climax-Scotts HS
20,Union City HS
21,Jackson Lumen Christi HS
22,Brighton Charyl Stockwell Prep HS
23,Gladstone HS
24,Boyne City HS
25,Beaverton HS
26,Grand Rapids NorthPointe Christian HS
27,Hemlock HS
28,Ottawa Lake Whiteford HS
29,Madison Heights Bishop Foley HS
30,Bad Axe HS
31,East Jordan HS
32,Harbor Springs HS
33,Charlevoix HS
34,Elk Rapids HS
35,Traverse City Christian HS
36,Grayling HS
37,Benzie Central HS
38,McBain HS
39,Lake City HS
40,Hart HS
41,Evart HS
42,Mason County Central HS
43,Farwell HS
44,Houghton Lake HS
45,Roscommon HS
46,Oscoda HS
47,Sanford Meridian HS
48,Tawas HS
49,Hesperia HS
50,North Muskegon HS
51,Ravenna HS
52,Morley Stanwood HS
53,Kent City HS
54,Lakeview HS
55,Saugatuck HS
56,Fennville HS
57,Grandville Calvin Christian HS
58,Coloma HS
59,Bloomingdale HS
60,Hartford HS
61,Ithaca HS
62,Saranac HS
63,Ovid-Elsie HS
64,Chesaning HS
65,Montrose HS
66,New Lothrop HS
67,Potterville HS
68,Springport HS
69,Vermontville Maple Valley HS
70,Durand HS
71,Perry HS
72,Bridgman HS
73,Lawton HS
74,Constantine HS
75,Centreville HS
76,Schoolcraft HS
77,Comstock HS
78,Homer HS
79,Quincy HS
80,Bronson HS
81,Hillsdale HS
82,Hanover-Horton HS
83,Jonesville HS
84,Leslie HS
85,Michigan Center HS
86,Stockbridge HS
87,Grass Lake HS
88,Manchester HS
89,Ann Arbor Greenhills HS
90,Adrian Madison HS
91,Brooklyn Columbia Central HS
92,Sand Creek HS
93,Blissfield HS
94,Monroe St Mary Catholic Central HS
95,Erie Mason HS
96,Canton Prep HS
97,Taylor Prep HS
98,Dearborn Heights Robichaud HS
99,Detroit Cristo Rey HS
100,Detroit Central HS
101,Detroit Loyola HS
102,Clawson HS
103,Madison Heights Madison HS
104,Clinton Township Clintondale HS
105,Detroit Osborn HS
106,Grosse Pointe Woods University Liggett HS
107,Mt Morris HS
108,Burton Bentley HS
109,Burton Bendle HS
110,Reese HS
111,Saginaw Valley Lutheran HS
112,Vassar HS
113,Sandusky HS
114,Caro HS
115,Cass City HS
116,Negaunee HS
117,Iron Mountain HS
118,Calumet HS
119,Eben Junction Superior Central HS
120,Newberry HS
121,Menominee HS
122,New Haven HS
123,Brown City HS
124,Memphis HS
125,Mancelona HS
126,Kalkaska HS
127,Manton HS
128,Manistee HS
129,Harrison HS
130,Pinconning HS
131,Shelby HS
132,Central Montcalm HS
133,Holland Black River HS
134,Bangor HS
135,St Louis HS
136,St Charles HS
137,Delton Kellogg HS
138,Bath HS
139,Niles Brandywine HS
140,Galesburg-Augusta HS
141,Napoleon HS
142,Ida HS
143,Hope of Detroit Academy HS
144,Detroit Southeastern HS
145,Burton Atherton HS
146,Otisville LakeVille Memorial HS
147,Elkton-Pigeon-Bay Port Laker HS
148,Almont HS
