,school,Done already?,,
214,Taylor Prep HS,,,
215,Dearborn Heights Robichaud HS,,,
216,Detroit Cristo Rey HS,,,
217,Detroit Central HS,,,
218,Detroit Loyola HS,,,
219,Clawson HS,,,
220,Madison Heights Madison HS,,,
221,Clinton Township Clintondale HS,,,
222,Detroit Osborn HS,,,
223,Grosse Pointe Woods University Liggett HS,,,
224,Mt Morris HS,,,
225,Burton Bentley HS,,,
226,Burton Bendle HS,,,
227,Reese HS,,,
228,Saginaw Valley Lutheran HS,,,
229,Vassar HS,,,
230,Sandusky HS,,,
231,Caro HS,,,
232,Cass City HS,,,
233,Negaunee HS,,,
234,Iron Mountain HS,,,
235,Calumet HS,,Wolverine Baseball Field,North of high school outside of town
236,Eben Junction Superior Central HS,,,
237,Newberry HS,,,
238,Menominee HS,,,
239,New Haven HS,x,,
240,Brown City HS,,,
241,Memphis HS,,,
242,Mancelona HS,,,
243,Kalkaska HS,,,
244,Manton HS,,,
245,Manistee HS,,,
246,Harrison HS,,,
247,Pinconning HS,,,
248,Shelby HS,,,
249,Central Montcalm HS,,,
250,Holland Black River HS,,,
251,Bangor HS,,,
252,St Louis HS,,,
253,St Charles HS,,,
254,Delton Kellogg HS,,,
255,Bath HS,x,,
256,Niles Brandywine HS,,,
257,Galesburg-Augusta HS,,,
258,Napoleon HS,,,
259,Ida HS,,,
260,Hope of Detroit Academy HS,,,
261,Detroit Southeastern HS,,,
262,Burton Atherton HS,,,
263,Otisville LakeVille Memorial HS,,,
264,Elkton-Pigeon-Bay Port Laker HS,,,
265,Almont HS,,,
266,Riverview Gabriel Richard HS,,,
267,Whitmore Lake HS,,,
268,Johannesburg-Lewiston HS,,,
269,Painesdale Jeffers HS,,,
270,Maple City Glen Lake HS,,,
271,Fowler HS,,,
272,Muskegon Catholic Central HS,,,
273,Britton Deerfield HS,,,
274,Gobles HS,,,
275,Decatur HS,,,
276,Royal Oak Shrine Catholic HS,x,,
277,White Cloud HS,,,
278,St Joseph Michigan Lutheran HS,,,
279,Colon HS,,,
280,Norway HS,,,
281,Gaylord St Mary HS,,,
282,Alcona HS,,,
283,Bear Lake HS,,,
284,Portland St Patrick HS,x,,
285,Litchfield HS,,,
286,Pittsford HS,,,
287,Plymouth Christian Academy HS,,,
288,Waterford Our Lady of the Lakes HS,,,
289,Kingston HS,,,
290,Harbor Beach HS,,,
291,Lake Leelanau St Mary HS,,,
292,Suttons Bay HS,,,
293,Buckley HS,,,
294,Central Lake HS,,,
295,Bellaire HS,,,
296,Ellsworth HS,,,
297,Atlanta HS,,,
298,Onaway HS,,,
299,Au Gres-Sims HS,,,
300,Hale HS,,,
301,Mio HS,,,
302,Coleman HS,,,
303,Mount Pleasant Sacred Heart HS,,,
304,Marion HS,,,
305,Holton HS,,,
306,Muskegon Western Michigan Christian HS,,,
307,Wyoming Tri-unity Christian HS,,,
308,Byron Center Zion Christian HS,,,
309,Wyoming Potter's House Christian HS,,,
310,Morrice HS,,,
311,Lansing Christian HS,x,,
312,Webberville HS,,,
313,Blanchard Montabella HS,,,
314,Carson City-Crystal HS,,,
315,Fulton HS,,,
316,Saginaw Nouvel HS,x,,
317,Ashley HS,,,
