,school,,,
201,Grosse Pointe Woods University Liggett HS,,,
202,Vassar HS,,,
203,Caro HS,,,
204,Cass City HS,,,
205,Negaunee HS,,,
206,Iron Mountain HS,,,
207,Eben Junction Superior Central HS,,,
208,Menominee HS,,,
209,Brown City HS,,,
210,Manton HS,,,
211,Manistee HS,,,
212,Harrison HS,,,
213,Pinconning HS,,,
214,Shelby HS,,,
215,Central Montcalm HS,,,
216,Holland Black River HS,,,
217,St Louis HS,,,
218,St Charles HS,,,
219,Delton Kellogg HS,,,
220,Niles Brandywine HS,,,
221,Galesburg-Augusta HS,,,
222,Napoleon HS,,,
223,Ida HS,,,
224,Hope of Detroit Academy HS,,,
225,Detroit Southeastern HS,,,
226,Burton Atherton HS,,,
227,Otisville LakeVille Memorial HS,,,
228,Elkton-Pigeon-Bay Port Laker HS,,,
229,Almont HS,,,
230,Johannesburg-Lewiston HS,,,
231,Painesdale Jeffers HS,,,
232,Maple City Glen Lake HS,,,
233,Fowler HS,,,
234,Muskegon Catholic Central HS,,,
235,Britton Deerfield HS,,,
236,Gobles HS,,,
237,Royal Oak Shrine Catholic HS,,,
238,White Cloud HS,,,
239,St Joseph Michigan Lutheran HS,,,
240,Colon HS,,,
241,Alcona HS,,,
242,Bear Lake HS,,,
243,Litchfield HS,,,
244,Waterford Our Lady of the Lakes HS,,,
245,Kingston HS,,,
246,Onaway HS,,,
247,Mount Pleasant Sacred Heart HS,cant find,,
248,Wyoming Tri-unity Christian HS,,,
249,Byron Center Zion Christian HS,,,
250,Wyoming Potter's House Christian HS,,,
251,Morrice HS,,,
252,Petersburg Summerfield HS,,,
253,Morenci HS,,,
254,Addison HS,,,
255,Taylor Trillium Academy HS,cant find,,
256,Bloomfield Hills Roeper HS,cant find,,
257,Detroit Davis Aerospace HS,cant find,,
258,Clarkston Everest Collegiate HS,,,
259,Capac HS,,,
260,Peck HS,,,
261,Dryden HS,,,
262,Ironwood HS,,,
263,Ontonagon HS,,,
264,Bark River-Harris HS,,,
265,Manistique HS,,,
266,Powers North Central HS,,,
267,Pickford HS,,,
268,Brimley HS,,,
269,Pellston HS,,,
270,Alanson HS,,,
271,Brethren HS,,,
272,Mesick HS,,,
273,Manistee Catholic Central HS,,,
274,New Buffalo HS,,,
275,Three Oaks River Valley HS,,,
276,Eau Claire HS,,,
277,Burr Oak HS,,,
278,White Pigeon HS,,,
279,Tekonsha HS,,,
280,Bellevue HS,,,
281,East Jackson HS,,,
282,Vandercook Lake HS,,,
283,Waldron HS,,,
284,North Adams-Jerome HS,,,
285,Reading HS,,,
286,Lutheran Westland HS,,,
287,Westland Huron Valley Lutheran HS,,,
288,Akron-Fairgrove HS,,,
289,Unionville-Sebewaing HS,,,
290,Caseville HS,,,
291,Kinde North Huron HS,,,
292,Ubly HS,,,
293,Carsonville-Port Sanilac HS,,,
294,,,,
295,Wakefield-Marenisco HS,,,
296,Crystal Falls Forest Park HS,,,
297,Boyne Falls HS,,,
298,St Joseph Our Lady of the Lake Catholic HS,,,
299,Kalamazoo Heritage Christian HS,,,
