,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
26,Centreville High School,high_school,30617,92985,24.77,-85.5231062,41.9149684,"[('Centreville HS', 88)]"
27,Charlotte High School,high_school,35679,83501,29.94,-84.8551165,42.5604691,"[('Charlotte HS', 86)]"
28,Cheboygan HS,high_school,28930,94239,23.49,-84.4971284,45.6300425,"[('Cheboygan Area HS', 100)]"
29,Chesaning Union HS,high_school,42709,93437,31.37,-84.1253816,43.1946837,"[('Chesaning HS', 100)]"
30,Chesaning Union HS - Field 2,high_school,34692,83266,29.41,-84.1254496,43.1935652,"[('Chesaning HS', 100)]"
31,Clare High School,high_school,19721,93774,17.38,-84.7809457,43.8248348,"[('Clare HS', 77)]"
32,Clarenceville HS - Livonia,high_school,19166,82438,18.86,-83.3393709,42.4363394,"[('Livonia - Clarenceville HS', 100)]"
33,Clinton High School,high_school,23742,91577,20.59,-83.9647212,42.0745982,"[('Clinton HS', 82)]"
37,Concord High School,high_school,18588,82374,18.41,-84.6411052,42.1722524,"[('Concord HS', 82)]"
40,Cranbrook High School,high_school,33362,84811,28.23,-83.2546733,42.5730964,"[('Bloomfield Hills - Cranbrook Kingswood HS', 60)]"
41,Dansville HS,high_school,38155,101273,27.37,-84.3074712,42.5514233,"[('Dansville HS', 100)]"
43,Decatur High School,high_school,18841,93431,16.78,-85.9816872,42.1120337,"[('Decatur HS', 82)]"
45,Detroit Catholic Central HS - Field 2,high_school,33484,90188,27.07,-83.5440067,42.4880269,"[('Novi - Detroit Catholic Central HS', 100)]"
46,Detroit Catholic Central HS,high_school,18311,96537,15.94,-83.5434495,42.488053,"[('Novi - Detroit Catholic Central HS', 100)]"
47,Detroit Country Day HS,high_school,17029,91589,15.68,-83.2646187,42.513942,"[('Beverly Hills - Detroit Country Day HS', 100)]"
49,Dewitt High School,high_school,20441,84827,19.42,-84.5810277,42.8262729,"[('DeWitt HS', 80)]"
51,East Lansing High School,high_school,28064,89645,23.84,-84.4568141,42.7419931,"[('East Lansing HS', 89)]"
52,Eastern High School,high_school,38329,86898,30.61,-84.5355748,42.7372929,"[('Lansing - Eastern HS',100)]"
53,Eaton Rapid HS Field 2,high_school,34107,85396,28.54,-84.6350135,42.5110331,"[('Eaton Rapids HS', 76)]"
