,0
0,Riverview Gabriel Richard HS
1,Beal City HS
2,Whitmore Lake HS
3,Rudyard HS
4,Johannesburg-Lewiston HS
5,Painesdale Jeffers HS
6,Maple City Glen Lake HS
7,Fowler HS
8,Muskegon Catholic Central HS
9,Dansville HS
10,Britton Deerfield HS
11,Gobles HS
12,Decatur HS
13,Bay City All Saints HS
14,Marine City Cardinal Mooney HS
15,Royal Oak Shrine Catholic HS
16,White Cloud HS
17,St Joseph Michigan Lutheran HS
18,Colon HS
19,Norway HS
20,Indian River Inland Lakes HS
21,Gaylord St Mary HS
22,Alcona HS
23,Bear Lake HS
24,Portland St Patrick HS
25,Breckenridge HS
26,Litchfield HS
27,Pittsford HS
28,Plymouth Christian Academy HS
29,Waterford Our Lady of the Lakes HS
30,Kingston HS
31,Harbor Beach HS
32,Lake Leelanau St Mary HS
33,Suttons Bay HS
34,Buckley HS
35,Central Lake HS
36,Bellaire HS
37,Ellsworth HS
38,Rogers City HS
39,Atlanta HS
40,Onaway HS
41,Au Gres-Sims HS
42,Hale HS
43,Mio HS
44,Coleman HS
45,Mount Pleasant Sacred Heart HS
46,Marion HS
47,Holton HS
48,Muskegon Western Michigan Christian HS
49,Wyoming Tri-unity Christian HS
50,Byron Center Zion Christian HS
51,Wyoming Potter's House Christian HS
52,Morrice HS
53,Lansing Christian HS
54,Webberville HS
55,Blanchard Montabella HS
56,Carson City-Crystal HS
57,Fulton HS
58,Saginaw Nouvel HS
59,Ashley HS
60,Merrill HS
61,Kalamazoo Christian HS
62,Kalamazoo Hackett Catholic Prep HS
63,Lawrence HS
64,Cassopolis HS
65,Marcellus HS
66,Petersburg Summerfield HS
67,Morenci HS
68,Addison HS
69,Allen Park Cabrini HS
70,Allen Park Inter-City Baptist HS
71,Taylor Trillium Academy HS
72,Bloomfield Hills Roeper HS
73,Detroit Davis Aerospace HS
74,Sterling Heights Parkway Christian HS
75,Auburn Hills Oakland Christian HS
76,Clarkston Everest Collegiate HS
77,Rochester Hills Lutheran Northwest HS
78,Capac HS
79,Peck HS
80,Dryden HS
81,Ironwood HS
82,Ontonagon HS
83,Lake Linden-Hubbell HS
84,Bark River-Harris HS
85,Manistique HS
86,Powers North Central HS
87,Pickford HS
88,Brimley HS
89,Pellston HS
90,Alanson HS
91,Harbor Springs Harbor Light Christian HS
92,Brethren HS
93,Mesick HS
94,Manistee Catholic Central HS
95,Mason County Eastern HS
96,New Buffalo HS
97,Three Oaks River Valley HS
98,Eau Claire HS
99,Mendon HS
100,Burr Oak HS
101,White Pigeon HS
102,Athens HS
103,Tekonsha HS
104,Bellevue HS
105,Concord HS
106,East Jackson HS
107,Vandercook Lake HS
108,Waldron HS
109,North Adams-Jerome HS
110,Reading HS
111,Lutheran Westland HS
112,West Bloomfield Frankel Jewish Academy HS
113,Westland Huron Valley Lutheran HS
114,Genesee Christian HS
115,Marlette HS
116,Mayville HS
117,Akron-Fairgrove HS
118,Unionville-Sebewaing HS
119,Caseville HS
120,Kinde North Huron HS
121,Ubly HS
122,Carsonville-Port Sanilac HS
123,Hancock HS
124,Wakefield-Marenisco HS
125,L'Anse HS
126,Crystal Falls Forest Park HS
127,Mackinaw City HS
128,Boyne Falls HS
129,Hillman HS
130,Posen HS
131,Whittemore-Prescott HS
132,Frankfort HS
133,Martin HS
134,Vestaburg HS
135,Saginaw Michigan Lutheran Seminary HS
136,St Joseph Our Lady of the Lake Catholic HS
137,Kalamazoo Heritage Christian HS
138,Camden-Frontier HS
139,Adrian Lenawee Christian HS
140,Novi Christian Academy HS
141,Southfield Christian HS
142,New Haven Merritt Academy HS
143,Genesee HS
144,Deckerville HS
145,Fife Lake Forest Area HS
