WKT,name,description
"POLYGON ((-84.5355748 42.7372929, -84.534738 42.7378952, -84.5347822 42.7379385, -84.5348151 42.7379705, -84.5348567 42.738003, -84.5349036 42.7380336, -84.5349452 42.7380592, -84.5350015 42.7380897, -84.5350525 42.7381183, -84.5351081 42.7381459, -84.5351631 42.7381685, -84.5352181 42.7381872, -84.5353173 42.7382153, -84.5353589 42.7382261, -84.5354474 42.7382429, -84.5354877 42.7382468, -84.5355279 42.7382488, -84.5355735 42.7382517, -84.5356191 42.7382488, -84.5356989 42.738236, -84.5357606 42.7382261, -84.5358102 42.7382173, -84.5358934 42.7381946, -84.5359363 42.7381789, -84.5359792 42.7381651, -84.5360221 42.7381473, -84.5360436 42.7381355, -84.5360798 42.7381188, -84.5361857 42.7380419, -84.5363889 42.7379006, -84.5355748 42.7372929))",Fair Ground,
"POLYGON ((-84.5355748 42.7372929, -84.5363943 42.7379044, -84.5365324 42.7378098, -84.5356338 42.7370987, -84.5355199 42.7371016, -84.5347132 42.7376838, -84.5347172 42.7378778, -84.534738 42.7378952, -84.5355748 42.7372929))",Foul Ground,
