WKT,name,description
"POLYGON ((-84.6247914 42.7313105, -84.6237655 42.7317015, -84.6237628 42.7317321, -84.6238996 42.7319212, -84.6239492 42.7319833, -84.6239908 42.7320276, -84.6240625 42.7320867, -84.6241148 42.7321222, -84.6242315 42.7321818, -84.6243187 42.7322143, -84.624426 42.7322409, -84.6244944 42.7322517, -84.6245936 42.7322596, -84.6246687 42.7322625, -84.6247921 42.7322547, -84.6248498 42.7322458, -84.6249275 42.7322281, -84.6250228 42.7322, -84.6251072 42.7321665, -84.6253319 42.7320798, -84.6247914 42.7313105))",Fair Ground,
"POLYGON ((-84.6253319 42.7320798, -84.6253803 42.7320591, -84.6251503 42.7314671, -84.6250664 42.7313425, -84.6249451 42.731177, -84.6247667 42.7311356, -84.6245233 42.7312356, -84.6243932 42.7312819, -84.623726 42.7316439, -84.6237655 42.7317015, -84.6247914 42.7313105, -84.6253319 42.7320798))",Foul Ground,
