date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id,image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
2016-02-21,Arizona,Rice,,3.0,4.0,0.0,4.0,6.0,1.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371
2016-02-21,North Dakota,USC,,6.0,11.0,2.0,7.0,11.0,1.0,,,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635,53.52592468261719
2016-02-21,Cal State Fullerton,Stanford,,4.0,9.0,1.0,3.0,4.0,0.0,,,Klein Field at Sunken Diamond,Stanford,CA,Stanford,Pac-12,4000,1931,,37.43173,-122.1587444,18.79486274719238
2016-02-23,VMI,Virginia,,1.0,4.0,3.0,18.0,18.0,1.0,,,Davenport Field at Disharoon Park,Charlottesville,VA,Virginia,Atlantic Coast,5500,2000,,38.0457546,-78.513342,173.6851654052734
2016-02-23,Eastern Kentucky,Louisville,,2.0,7.0,3.0,14.0,19.0,0.0,,,Jim Patterson Stadium,Louisville,KY,Louisville,Atlantic Coast,4000,2005,,38.2055156,-85.7628651,140.28662109375
2016-02-23,Mississippi Valley State,Arkansas,,4.0,7.0,1.0,21.0,19.0,2.0,,,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.5051879882812
2016-02-23,Dallas Baptist,Rice,,2.0,7.0,2.0,6.0,7.0,4.0,,,Reckling Park,Houston,TX,Rice,The American,6193,2000,,29.7132708,-95.404089,14.29854393005371
2016-02-23,Stephen F. Austin,Texas A&M,,1.0,3.0,7.0,21.0,20.0,1.0,,,Olsen Field at Blue Bell Park,College Station,TX,Texas A&M,Southeastern,6100,1978renovated 2014,,30.6060601,-96.3413557,103.0995330810547
2016-02-23,USC,Loyola Marymount,,4.0,9.0,1.0,3.0,7.0,1.0,,,George C. Page Stadium,Los Angeles,CA,Loyola Marymount,West Coast,1200,1983,,33.9666448,-118.4143933,44.29959869384766
2016-02-23,San Francisco,California,,4.0,14.0,0.0,5.0,7.0,0.0,,,Evans Diamond,Berkeley,CA,California,Pac-12,2500,1933,,37.8694247,-122.2633963,70.94693756103516
2016-02-23,Kennesaw State,Auburn,,,,,,,,,,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.48956489999999,193.3800048828125
2016-02-23,Morehead State,NC State,,5.0,8.0,1.0,7.0,14.0,0.0,,,,,,,,,,,,,
2016-02-23,Appalachian State,South Carolina,,0.0,4.0,2.0,5.0,5.0,0.0,,,Founders Park,Columbia,SC,South Carolina,Southeastern,8242,2009,,33.9865404,-81.042621,52.44177627563477
2016-02-23,UT Martin,Vanderbilt,,6.0,4.0,6.0,11.0,6.0,0.0,,,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268310547
2016-02-23,Eastern Michigan,Florida,,4.0,7.0,0.0,12.0,12.0,1.0,,,Florida Ballpark,Gainesville,FL,Florida,Southeastern,7000,2021,[35],29.6364107,-82.3637638,29.34748268127441
2016-02-23,McNeese,Houston,,1.0,7.0,1.0,14.0,13.0,1.0,,,Schroeder Park,Houston,TX,Houston,Big 12,5000,1995,,29.7267987,-95.3453574,11.68445110321045
2016-02-23,Long Beach State,UCLA,,10.0,13.0,0.0,1.0,7.0,0.0,,,Jackie Robinson Stadium,Los Angeles,CA,UCLA,Pac-12,1820,1981,[33],34.0592278,-118.4592393,110.9767608642578
2016-02-23,Arkansas State,Ole Miss,,,,,,,,,,,,,,,,,,,,
2016-02-23,Memphis,Mississippi State,,,,,,,,,,"Dudy Noble Field, Polk–DeMent Stadium",Starkville,MS,Mississippi State,Southeastern,15000,"1967rebuilt 1987, renovated 2001, rebuilt 2019",,33.4630609,-88.7940698,110.2767028808594
2016-02-24,Missouri,Florida International,,7.0,11.0,1.0,6.0,16.0,0.0,,,,,,,,,,,,,
2016-02-24,Mississippi Valley State,Arkansas,,0.0,4.0,6.0,20.0,15.0,0.0,,,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.5051879882812
2016-02-24,Eastern Illinois,Vanderbilt,,1.0,3.0,3.0,9.0,11.0,0.0,,,Hawkins Field,Nashville,TN,Vanderbilt,Southeastern,3626,2002,,36.1433984,-86.8073934,161.9081268310547
2016-02-24,Arkansas State,Ole Miss,,3.0,6.0,3.0,4.0,6.0,0.0,,,,,,,,,,,,,
2016-02-24,Louisiana,Louisiana Tech,,2.0,7.0,0.0,6.0,11.0,0.0,,,J. C. Love Field at Pat Patterson Park,Ruston,LA,Louisiana Tech,Conference USA,3000,1971,,32.5299525,-92.6511967,82.16394805908203
