school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
West Chester University of Pennsylvania,WCU,Golden Rams,855 South New Street ,West Chester,PA,19383,9/1/1933,No,Public,Mike LaRosa,II,Pennsylvania State Athletic Conference
University of West Georgia,UWG,Wolves,1601 Maple St,Carrollton,GA,30118,9/1/1973,No,Public,Jeff Smith,II,Gulf South Conference
West Texas A&M University,WT,"Buffaloes, Lady Buffs, Buffs",2501 4th Ave,Canyon,TX,79016-0999,9/1/1941,No,Public,Matt Vanderburg,II,Lone Star Conference
West Virginia University,WVU,Mountaineers,Intercollegiate Athletics,PO Box 0877,Morgantown,WV,9/1/1907,No,Public,Randy Mazey,I,Big 12 Conference
Western Carolina University,WCU,Catamounts,Highway 107,Cullowhee,NC,28723,9/1/1972,No,Public,Alan Beck,I,Southern Conference
Western Illinois University,WIU,Leathernecks,1 University Circle,Macomb,IL,61455,9/1/1942,No,Public,Tayler Sheriff,I,The Summit League
Western Kentucky University,WKU,Hilltoppers/ Lady Toppers,1906 College Heights Blvd,Bowling Green,KY,42101-3576,9/1/1939,No,Public,Marc Rardin,I,Conference USA
McDaniel College,MCD,Green Terror,2 College Hill,Westminster,MD,21157-4390,9/1/1938,No,Private,Jim Carone,III,Centennial Conference
Western Michigan University,WMU,Broncos,1903 W Michigan Ave,Kalamazoo,MI,49008,9/1/1929,No,Public,Billy Gernon,I,Mid-American Conference
Westfield State University,WSU,Owls,577 Western Ave,Westfield,MA,1086,9/1/1965,No,Public,Nathan Bashaw,III,Massachusetts State Collegiate Athletic Conference
Wheaton College,Illinois,Thunder,501 College Avenue,Wheaton,IL,60187-5593,9/1/1946,No,Private,Matt Husted,III,College Conference of Illinois & Wisconsin
Wheaton College,Massachusetts,Lyons,26 East Main Street,Norton,MA,2766,9/1/1982,No,Private,Eric Podbelski,III,New England Women's and Men's Athletic Conference
Whitman College,WHM,Blues,345 Boyer Avenue,Walla Walla,WA,99362,9/1/1995,No,Private,Brian Kitamura,III,Northwest Conference
Wichita State University,WSU,Shockers,"1845 Fairmount, Campus Box 18",Wichita,KS,67260,9/1/1945,No,Public,Brian Green,I,American Athletic Conference
Widener University,WID,Pride,1 University Place,Chester,PA,19013,9/1/1921,No,Private,Kevin Burdick,III,Middle Atlantic Conference Commonwealth
Wilkes University,WU,Colonels,84 West South Street,Wilkes-Barre,PA,18766,9/1/1951,No,Private,Kevin Gryboski,III,Middle Atlantic Conference Freedom
Willamette University,WIL,Bearcats,900 State Street,Salem,OR,97301-3931,9/1/1995,No,Private,Aaron Swick,III,Northwest Conference
William & Mary,W&M,The Tribe,200 Richmond Rd,Williamsburg,VA,23187,9/1/1936,No,Public,Mike McRae,I,Colonial Athletic Association
Williams College,WIL,Ephs,880 Main St,Williamstown,MA,1267,9/1/1968,No,Private,Bill Barrale,III,New England Small College Athletic Conference
Winona State University,WSU,Warriors,175 West Mark Street,Winona,MN,55987,9/1/1977,No,Public,Seth Wing,II,Northern Sun Intercollegiate Conference
Winthrop University,WU,Eagles,701 Oakland Avenue,Rock Hill,SC,29733,9/1/1985,No,Public,Tom Riginos,I,Big South Conference
University of Wisconsin-Eau Claire,UWEC,Blugolds,105 Garfield Ave.,Eau Claire,WI,54702-4004,9/1/1986,No,Public,Charles Bolden II,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-La Crosse,UWL,Eagles,1725 State Street,La Crosse,WI,54601,9/1/1982,No,Public,Chris Schwarz,III,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin-Milwaukee,UWM,Panthers,2200 E. Kenwood Blvd,Milwaukee,WI,53211,9/1/1959,No,Public,Scott Doffek,I,Horizon League
