date,away_team,home_team,game_info,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,game_id
2016-02-20,North Dakota,USC,,5.0,11.0,0.0,4.0,6.0,1.0,
2016-02-20,Missouri State,Central Arkansas,,10.0,7.0,2.0,6.0,5.0,4.0,
2016-02-20,Rutgers,Miami,,0.0,4.0,1.0,2.0,6.0,0.0,
2016-02-21,NC State,Kent State,Caravelle Resort Tournament ,7.0,11.0,2.0,5.0,5.0,1.0,
2016-02-21,Dayton,Kentucky, AT SPARTANBURG SC,2.0,6.0,0.0,15.0,20.0,1.0,
2016-02-21,Rutgers,Miami,,1.0,3.0,2.0,8.0,11.0,2.0,
2016-02-21,Maryland,Alabama,,1.0,7.0,0.0,5.0,6.0,2.0,
2016-02-21,Florida International,Ole Miss,,5.0,10.0,0.0,16.0,12.0,2.0,
2016-02-21,Georgia Southern,Georgia,,1.0,2.0,1.0,5.0,7.0,1.0,
2016-02-21,Central Michigan,Arkansas,,4.0,7.0,4.0,9.0,10.0,1.0,
2016-02-21,San Diego,Vanderbilt,,1.0,6.0,4.0,17.0,17.0,1.0,
2016-02-21,SIU Edwardsville,Louisville,,1.0,4.0,3.0,10.0,10.0,0.0,
2016-02-21,Albany,South Carolina,,1.0,4.0,0.0,8.0,12.0,2.0,
2016-02-21,Loyola Marymount,TCU,,0.0,3.0,1.0,5.0,10.0,0.0,
2016-02-21,Villanova,Houston,,3.0,9.0,2.0,10.0,13.0,1.0,
2016-02-21,Sacramento State,Auburn,,7.0,11.0,1.0,6.0,11.0,0.0,
2016-02-21,Oregon,San Diego State,,4.0,7.0,2.0,3.0,9.0,0.0,
2016-02-21,North Carolina,UCLA,,14.0,12.0,3.0,5.0,5.0,5.0,
2016-02-21,South Dakota State,Mississippi State,,5.0,8.0,2.0,15.0,14.0,2.0,
2016-02-21,California,Duke,,4.0,7.0,0.0,5.0,9.0,1.0,
2016-02-21,Oklahoma State,Stephen F. Austin,Texas Arlington Tournament ,4.0,9.0,1.0,5.0,8.0,4.0,
2016-02-21,Virginia,Coastal Carolina,Caravelle Resort Tournament ,4.0,12.0,0.0,5.0,6.0,2.0,
2016-02-21,Hofstra,Texas A&M,,0.0,5.0,0.0,5.0,8.0,0.0,
2016-02-21,Cincinnati,LSU,,4.0,7.0,1.0,12.0,10.0,2.0,
2016-02-21,Florida Gulf Coast,Florida,,3.0,8.0,1.0,12.0,11.0,0.0,
2016-02-21,Memphis,Tennessee,,2.0,4.0,1.0,5.0,9.0,0.0,
2016-02-21,Seton Hall,Missouri, AT FORT MYERS FL,9.0,12.0,1.0,1.0,8.0,2.0,
2016-02-21,Rhode Island,Florida State,,4.0,9.0,1.0,23.0,24.0,2.0,
2016-02-21,UNLV,Texas,,0.0,5.0,0.0,7.0,10.0,1.0,
2016-02-21,Sam Houston,Louisiana,,3.0,6.0,4.0,13.0,17.0,0.0,
2016-02-21,Arizona,Rice,,3.0,4.0,0.0,4.0,6.0,1.0,
2016-02-21,Minnesota,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,7.0,14.0,1.0,8.0,10.0,2.0,
2016-02-21,North Dakota,USC,,6.0,11.0,2.0,7.0,11.0,1.0,
2016-02-21,Cal State Fullerton,Stanford,,4.0,9.0,1.0,3.0,4.0,0.0,
2016-02-22,Utah,Oregon State,Surprise College Baseball Classic AT SURPRISE AZ,2.0,5.0,1.0,10.0,15.0,1.0,
2016-02-23,VMI,Virginia,,1.0,4.0,3.0,18.0,18.0,1.0,
2016-02-23,Eastern Kentucky,Louisville,,2.0,7.0,3.0,14.0,19.0,0.0,
2016-02-23,Mississippi Valley State,Arkansas,,4.0,7.0,1.0,21.0,19.0,2.0,
2016-02-23,Dallas Baptist,Rice,,2.0,7.0,2.0,6.0,7.0,4.0,
2016-02-23,Stephen F. Austin,Texas A&M,,1.0,3.0,7.0,21.0,20.0,1.0,
2016-02-23,USC,Loyola Marymount,,4.0,9.0,1.0,3.0,7.0,1.0,
2016-02-23,San Francisco,California,,4.0,14.0,0.0,5.0,7.0,0.0,
2016-02-23,Kennesaw State,Auburn,,,,,,,,
