School,Nickname,Color1,Color2,Color3,Color4
Reading,Rangers,Red , Gold,,
Redford Thurston,Eagles,Navy Blue , White,,
Redford Union,Panthers,Blue , Gold,,
Redford Westfield Prep,Warriors,Black , Red,,
Reed City,Coyotes,Red , Black,,
Reese,Rockets,Maroon , Gold,,
Remus Chippewa Hills,Warriors,Royal,Red,White,
Republic-Michigamme,Hawks,Orange , Black,,
Richland Gull Lake,Blue Devils,Navy , White,,
Richmond,Blue Devils,Navy,White,Columbia Blue,
River Rouge,Panthers,Maroon , White,,
Riverview,Pirates,Maroon , Gold,,
Riverview Gabriel Richard,Pioneers,Burgundy , White,,
Rochester,Falcons,Royal Blue , White,,
Rochester Adams,Highlanders,Brown , Gold,,
Rochester Hills Lutheran Northwest,Crusaders,Red,White,Black,
Rochester Hills Stoney Creek,Cougars,Navy,Vegas Gold,White,
Rock Mid Peninsula,Wolverines,Orange , White,,
Rockford,Rams,Black , Orange,,
Rogers City,Hurons,Orange , Black,,
Romeo,Bulldogs,Red , White,,
Romulus,Eagles,Maroon , White,,
Romulus Summit Academy North,Dragons,Teal , Black,,
Roscommon,Bucks,Blue , Gold,,
Roseville,Panthers,Red,White,Black,
Royal Oak,Ravens,Black,Royal,Silver,
Royal Oak Shrine Catholic,Knights,Blue , Gold,,
Rudyard,Bulldogs,Orange , Black,,
Saginaw,Trojans,Black , Gold,,
Saginaw Arthur Hill,Lumberjacks,Navy , Gold,,
Saginaw Arts & Sciences Academy,Dragons,Burgundy , Navy,,
Saginaw Heritage,Hawks,Navy Blue , Kelly Green,,
Saginaw Michigan Lutheran Seminary,Cardinals,Red , White,,
Saginaw Nouvel,Panthers,Royal Blue , Silver,,
Saginaw Swan Valley,Vikings,Purple , White,,
Saginaw Valley Lutheran,Chargers,Blue , Gold,,
Salem,Rocks,Royal Blue , White,,
Saline,Hornets,Blue , Gold,,
Sand Creek,Aggies,Green , White,,
Sandusky,Redskins,Red , Black,,
Sanford Meridian,Mustangs,Carolina Blue , White,,
Saranac,Redskins,Red , White,,
Saugatuck,Indians,Royal Blue , Orange,,
Sault Ste Marie,Blue Devils,Navy Blue , White,,
Schoolcraft,Eagles,Purple , Gold,,
Shelby,Tigers,Purple , White,,
Shepherd,Bluejays,Blue , Gold,,
South Haven,Rams,Purple , Gold,,
South Lyon,Lions,Blue , Gold,,
South Lyon East,Cougars,Black , Silver,,
Southfield Arts & Technology,Warriors,Navy,Red,White,
Southfield Bradford Academy,Bulldogs,Red , White,,
Southfield Christian,Eagles,Blue , Gold,,
Southfield Manoogian,Cougars,Navy , Gold,,
Southgate Anderson,Titans,Burgundy , Silver,,
Sparta,Spartans,Royal Blue , White,,
Spring Lake,Lakers,Red , Gray,,
Springport,Spartans,Royal Blue , White,,
St Charles,Bulldogs,Red , Black,,
St Clair,Saints,Scarlet Red , Royal Blue,,
St Clair Shores Lake Shore,Shorians,Red , White,,
St Clair Shores Lakeview,Huskies,Blue , Silver,,
St Clair Shores South Lake,Cavaliers,Royal Blue , Gold,,
St Helen Charlton Heston Academy,Patriots,Red,White,Blue,
St Ignace,Saints,Vegas Gold,Black,White,
St Johns,Redwings,Red , White,,
St Joseph,Bears,Maize , Blue,,
St Joseph Lake Michigan Catholic,Lakers,Royal Blue,Gold,White,
St Joseph Michigan Lutheran,Titans,Purple , White,,
St Louis,Sharks,Red , Black,,
Standish-Sterling,Panthers,Blue,White,Gold,
Starr Albion Prep,Wildcats,Black , Red,,
Stephenson,Eagles,Royal Blue , Gold,,
Sterling Heights,Stallions,Black , Gold,,
Sterling Heights Parkway Christian,Eagles,Royal Blue,Red,White,
Sterling Heights Stevenson,Titans,Navy Blue , White,,
Stevensville Lakeshore,Lancers,Red , White,,
Stockbridge,Panthers,Orange , Black,,
Sturgis,Trojans,Orange , Black,,
Suttons Bay,Norsemen,Red , White,,
Swartz Creek,Dragons,Red , White,,
Swartz Creek Valley School,Gators,Green , Black,,
Tawas,Braves,Red , White,,
Taylor,Griffins,Black , Gold,,
Taylor Prep,Tigers,Orange , Black,,
Taylor Trillium Academy,Wildcats,Royal Blue,White,Silver,
Tecumseh,Indians,Orange , Black,,
Tekonsha,Indians,Red , White,,
Temperance Bedford,Kicking Mules,Scarlet , Gray,,
The Leelanau School,Thunderbirds,Green , White(sand),,
Three Oaks River Valley,Mustangs,Navy , White,,
Three Rivers,Wildcats,Purple , White,,
Traverse City Central,Trojans,Black , Gold,,
Traverse City Christian,Sabres,Maroon,White,Black,
Traverse City St Francis,Gladiators,Navy , Vegas Gold,,
Traverse City West,Titans,Forest Green , Vegas Gold,,
Trenton,Trojans,Blue , Gold,,
Troy,Colts,Black , Silver,,
White Pigeon,Chiefs,Red , Black,,
Whitehall,Vikings,Red,White,Black,
Whitmore Lake,Trojans,Red , White,,
Whittemore-Prescott,Cardinals,Red , White,,
Williamston,Hornets,Green , White,,
Wixom St Catherine,Stars,Purple , Gold,,
Wolverine,Wildcats,Navy Blue , Gold,,
Wyandotte Roosevelt,Bears,Blue , Gold,,
Wyoming,Wolves,Black , Purple,,
Wyoming Godwin Heights,Wolverines,Navy , Gold,,
Wyoming Kelloggsville,Rockets,Navy , Orange,,
Wyoming Lee,Legends,Navy Blue , Vegas Gold,,
Wyoming Potter's House Christian,Pumas,Navy , White,,
Wyoming Tri-unity Christian,Defenders,Royal Blue , White,,
Wyoming West Michigan Lutheran,Mustangs,Navy , White,,
Yale,Bulldogs,Navy , White,,
Ypsilanti Arbor Prep,Gators,Green , White,,
Ypsilanti Community,Grizzlies,Black , Vegas Gold,,
Ypsilanti Lincoln,Railsplitters,Blue , Grey,,
Zeeland East,Chix,Brown , Gold,,
Zeeland West,Dux,Forest Green , Vegas Gold,,
