School,Nickname,Color1,Color2,Color3,Color4
Chassell,Panthers,Blue , Gold,,
Cheboygan,Chiefs,Orange , Black,,
Chelsea,Bulldogs,Blue , Gold,,
Chesaning,Indians,Orange , Black,,
Chesterfield Austin Catholic,Crusaders,Navy , Silver,,
Clare,Pioneers,Green , White,,
Clarkston,Wolves,Blue , Gold,,
Clarkston Everest Collegiate,Mountaineers,Black , Gold,,
Clawson,Trojans,Blue , Gold,,
Climax-Scotts,Panthers,Blue , Gold,,
Clinton,Redskins,Red , Black,,
Clinton Township Chippewa Valley,Big Reds,Red , White,,
Clinton Township Clintondale,Dragons,Blue , Gold,,
Clio,Mustangs,Orange , Black,,
Coldwater,Cardinals,Red , White,,
Coldwater Pansophia Academy,Pumas,Green , White,,
Coleman,Comets,Blue , White,,
Coloma,Comets,Forest Green , Gold,,
Colon,Magi,Red , White,,
Comstock,Colts,Carolina Blue , White,,
Comstock Park,Panthers,Green , Gold,,
Concord,Yellow Jackets,Purple , Gold,,
Concord Academy of Petoskey,None,Forrest Green,White,Maroon,
Constantine,Falcons,Red,White,,
Cooks Big Bay de Noc,Black Bears,Black , White,,
Coopersville,Broncos,Green , White,,
Corunna,Cavaliers,Black , Gold,,
Covert,Bulldogs,Navy Blue , Gold,,
Croswell-Lexington,Pioneers,Royal Blue , White,,
Crystal Falls Forest Park,Trojans,Red , Black,,
Dansville,Aggies,Black,White,Gold,
Davison,Cardinals,Maroon , Gold,,
Dearborn,Pioneers,Orange , Black,,
Dearborn Advanced Tech Academy,Lakers,Royal , Gold,,
Dearborn Divine Child,Falcons,Red , Gray,,
Dearborn Edsel Ford,Thunderbirds,Black , White,,
Dearborn Fordson,Tractors,Maize,Blue,,
Dearborn Heights Annapolis,Cougars,Blue , Gold,,
Dearborn Heights Crestwood,Chargers,Navy Blue , Gold,,
Dearborn Heights Robichaud,Bulldogs,Red,Black,White,
Dearborn Heights Star International,Falcons,Blue , Gold,,
Dearborn Heights WISE Academy,Lions,Navy Blue , Gold,,
Dearborn Henry Ford Academy,Navigators,Royal Blue , Silver,,
Dearborn Riverside Academy West,Wildcats,Black , Silver,,
Decatur,Raiders,Brown , Gold,,
Deckerville,Eagles,Maroon , Gold,,
Delton Kellogg,Panthers,Maroon , White,,
DeTour,Raiders,Red , White,,
Detroit Academy of the Americas,Tigers,Columbia Blue,White,Navy,
Detroit Benjamin Carson Science & Medicine,Blue Jays,Green,Blue,,
Detroit Cass Tech,Technicians,Forest Green , White,,
Detroit Catholic Central,Shamrocks,Royal Blue , White,,
Detroit Central,Trail Blazers,Navy Blue , White,,
Detroit Cesar Chavez Academy,Aztec Eagles,Navy Blue,Red,White,
Detroit Cody,Comets,Green , Gray,,
Detroit Collegiate Prep,Colts,Red , Gray,,
Detroit Communication Media Arts,Pharaohs,Purple,Black,White,
Detroit Community,Hurricanes,Black,Red,Silver,
Detroit Cornerstone Health & Technology,Wolves,Blue , White,,
Detroit Country Day,Yellowjackets,Blue , Gold,,
Detroit Cristo Rey,Wolves,Green , Vegas Gold,,
Detroit Davis Aerospace,Aviators,Maroon , Gold,,
Detroit Denby,Tars,Blue , Gold,,
Detroit Douglass,Hurricanes,Orange , Green,,
Detroit East English,Bulldogs,Maize , Blue,,
Detroit Edison,Pioneers,Red,Black,White,
Detroit Frontier International,Frontier Knights,Black,Red,,
Detroit Henry Ford,Trojans,Brown , Gold,,
Detroit International Academy,Pink Panthers,Pink , Black,,
Detroit Jalen Rose Leadership Academy,Jaguars,Navy Blue , Gold,,
Detroit Leadership Academy,Cougars,Red , Black,,
Detroit Lincoln-King Academy,Hawks,Blue,Gray,Black,
Detroit Loyola,Bulldogs,Blue , White,,
Detroit Martin Luther King,Crusaders,Black , Gold,,
Detroit Mumford,Mustangs,Blue , Burgundy,,
Detroit Old Redford,Ravens,Red,Black,White,
Detroit Osborn,Knights,Red,White,,
Detroit Pershing,Doughboys,Royal Blue , Gold,,
Detroit Public Safety Academy,Eagles,Red,White,Blue,
Detroit Renaissance,Phoenix,Burgundy , White,,
Detroit School of Arts,Achievers,Black , Gold,,
Detroit Southeastern,Jungaleers,Purple , White,,
Detroit The School at Marygrove,,Navy , Honey,,
Detroit U-D Jesuit,Cubs,Maroon , White,,
Detroit Universal Academy,Eagles,Royal Blue , Gold,,
Detroit University Prep,Panthers,Black,Red,White,
Detroit University Prep Art & Design,Mustangs,Royal Blue,White,Black,
Detroit University Prep Science & Math,Cobras,Royal Blue,Black,White,
Detroit Voyageur Prep,Cougars,Carolina Blue , Navy Blue,,
Detroit West Side Academy,Panthers,Black , Silver,,
Detroit Western,Cowboys/Cowgirls,Red , White,,
Detroit Westside Christian,Warriors,Black,Red,White,
DeWitt,Panthers,Blue , Gold,,
Dexter,Dreadnaughts,Maroon , Gold,,
Dollar Bay,Blue Bolts,Royal Blue , White,,
Dowagiac,Chieftains,Orange , Black,,
Dryden,Cardinals,Red , Black,,
Dundee,Vikings,Royal Blue , White,,
Durand,Railroaders,Blue , White,,
East Grand Rapids,Pioneers,Blue , Gold,,
East Jackson,Trojans,Navy Blue , White,,
East Jordan,Red Devils,Red , Black,,
East Kentwood,Falcons,Red , Black,,
East Lansing,Trojans,Blue , White,,
Eastpointe,Shamrocks,Green , White,,
Eaton Rapids,Greyhounds,Maroon , White,,
Eau Claire,Fighting Beavers,Maroon , White,,
Eben Junction Superior Central,Cougars,Blue , Silver,,
Ecorse,Red Raiders,Red , White,,
Edwardsburg,Eddies,Orange , Royal Blue,,
Elk Rapids,Elks,Orange , Black,,
Elkton-Pigeon-Bay Port Laker,Lakers,Green , White,,
Ellsworth,Lancer,Black , White,,
Engadine,Eagles,Green , Gold,,
Erie Mason,Eagles,Blue , Gold,,
Escanaba,Eskymos,Orange , Black,,
Essexville Garber,Dukes,Carolina Blue , White,,
Evart,Wildcats,Royal Blue , Gold,,
Ewen-Trout Creek,Panthers,Black,White,Gold,
Fairview,Eagles,Maroon , Gold,,
Farmington,Falcons,Blue , White,,
Farmington Hills Mercy,Marlins,Maroon , Gold,,
Farwell,Eagles,Purple , Gold,,
Felch North Dickinson,Nordics,Maroon , White,,
Fennville,Blackhawks,Black , Orange,,
