PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
A1502018,INTERNATIONAL ISLAMIC ACADEMY,2,17,14350 TIREMAN ST,DETROIT,26163,163,MI,26,48228,3135846448,180,7.75,Yes,,26,4,19,18,9,18,20,14,11,8,7,2,4,4,164,138,0,37,0,2,98,0,1,16.8,11,1,1,3,2,1,0,26.81,0,1.44,71.01,0,0.72,8.21,17,WAYNE,School does not belong to ANY associations or organizations,,
X0644442,JACKSON CHRISTIAN MIDDLE/HIGH SCHOOL,2,17,4200 LOWE RD,JACKSON,26075,075,MI,26,49203,5177832658,193,6.91,Yes,,28,16,15,15,17,21,12,17,11,14,12,18,19,16,231,203,0,8,6,12,172,0,5,20,23,1,1,3,2,2,0,3.94,2.95,5.91,84.72,0,2.46,10.15,8,JACKSON,Association of Christian Schools International (ACSI),Other religious school associations,
00645468,JUNIATA CHRISTIAN SCHOOL,2,17,5656 WASHBURN RD,VASSAR,26157,157,MI,26,48768,9898435326,171,7.5,Yes,,4,10,6,11,11,11,9,13,9,10,14,6,10,6,130,126,0,0,4,0,122,0,0,11.1,42,1,1,3,2,4,0,0,3.17,0,96.82,0,0,11.35,5,TUSCOLA,American Association of Christian Schools (AACS),,
A1702067,KALAMAZOO CHRISTIAN SCHOOL,2,17,3800 S 12TH ST,KALAMAZOO,26077,077,MI,26,49009,2695442332,177,6.83,Yes,,100,60,60,74,66,53,70,49,73,49,63,64,58,56,895,795,2,23,45,21,680,0,24,56.4,22,1,1,3,2,2,0.25,2.89,5.66,2.64,85.53,0,3.01,14.09,8,KALAMAZOO,Christian Schools International (CSI),,
A1990465,KALAMAZOO CHRISTIAN SCHOOLS,14,17,2121 STADIUM DR,KALAMAZOO,26077,077,MI,26,49008,2693812044,177,6.83,No,,,,,,,,,,,,61,64,58,55,238,238,,,,,,,,16.9,13,1,1,2,2,1,,,,,,,,14.08,29,KALAMAZOO,Christian Schools International (CSI),,
00641306,LAINGSBURG CHRISTIAN SCHOOL,2,16,PO BOX 250,LAINGSBURG,26155,155,MI,26,48848,5176516166,120,8,Yes,,5,3,1,4,4,2,2,2,2,,2,,1,,28,23,0,0,0,1,22,0,0,6.4,42,1,1,3,2,4,0,0,0,4.34,95.65,0,0,3.59,5,SHIAWASSEE,American Association of Christian Schools (AACS),,
A9303515,LAKE AREA CHRISTIAN SCHOOL,3,17,63590 BORGERT RD,STURGIS,26149,149,MI,26,49091,2696515135,180,7.5,Yes,,,8,1,2,,2,2,1,,2,4,1,2,1,26,26,,,,,,,,3.6,42,1,1,3,2,4,,,,,,,,7.22,8,ST. JOSEPH,School does not belong to ANY associations or organizations,,
A9103505,LAKE MICHIGAN ACADEMY,7,17,2428 BURTON ST SE,GRAND RAPIDS,26081,081,MI,26,49546,6164643330,171,7,No,,,,,1,,,,6,6,5,5,6,8,5,42,42,0,0,0,3,37,0,2,6.9,12,1,4,3,3,1,0,0,0,7.14,88.09,0,4.76,6.08,30,KENT,School does not belong to ANY associations or organizations,,
A1502026,LAKE MICHIGAN CATHOLIC SCHOOL,11,17,915 PLEASANT ST,SAINT JOSEPH,26021,021,MI,26,49085,2699832511,180,6.5,Yes,,,,,,,,,23,28,30,17,14,27,22,161,161,2,4,8,5,136,0,6,14.1,23,1,1,3,1,2,1.24,2.48,4.96,3.1,84.47,0,3.72,11.41,1,BERRIEN,American Association of Christian Schools (AACS),,
A0501988,LAKE ORION BAPTIST SCHOOL,2,17,255 E SCRIPPS RD,LAKE ORION,26125,125,MI,26,48360,2486936203,177,7.08,No,,2,4,1,3,2,4,4,4,4,4,5,4,7,11,59,57,0,1,0,0,56,0,0,10.5,21,1,1,3,2,2,0,1.75,0,0,98.24,0,0,5.42,5,OAKLAND,American Association of Christian Schools (AACS),,
A0104649,LAKECREST BAPTIST SCHOOL,2,17,35 AIRPORT RD,WATERFORD,26125,125,MI,26,48327,2486813214,180,7.05,No,,2,10,2,4,5,4,7,5,6,7,4,3,5,5,69,67,0,0,7,1,44,0,15,10.4,21,1,1,3,2,2,0,0,10.44,1.49,65.67,0,22.38,6.44,5,OAKLAND,School does not belong to ANY associations or organizations,,
A1502030,LEARNING DISABILITIES CLINIC- INC.,2,17,25611 COOLIDGE HWY,OAK PARK,26125,125,MI,26,48237,2485456677,180,1,Yes,50,3,10,2,4,10,5,4,2,,1,3,4,5,2,105,102,0,0,0,53,49,0,0,10.3,21,1,4,3,3,2,0,0,0,51.96,48.03,0,0,9.9,30,OAKLAND,Other special emphasis association(s),Other school association(s),
00644996,LENAWEE CHRISTIAN SCHOOL,2,17,111 WOLF CREEK HWY,ADRIAN,26091,091,MI,26,49221,5172657590,177,7.33,Yes,,94,41,30,32,22,35,28,32,33,41,50,58,40,54,590,496,2,17,36,5,424,0,12,30,32,1,1,3,2,3,0.4,3.42,7.25,1,85.48,0,2.41,16.53,8,LENAWEE,Association of Christian Schools International (ACSI),,
A1702070,LIBERTAS CHRISTIAN SCHOOL,2,17,5181 64TH AVE,HUDSONVILLE,26139,139,MI,26,49426,6166692270,180,7,No,,15,21,22,23,18,24,13,24,14,19,14,19,13,11,250,235,0,0,3,4,228,0,0,18.3,41,1,1,3,2,4,0,0,1.27,1.7,97.02,0,0,12.84,8,OTTAWA,Association of Classical and Christian Schools (ACCS),,
BB201065,LIVINGSTON CHRISTIAN SCHOOLS,2,17,7669 BRIGHTON RD,BRICHTON,26093,093,MI,26,48116,8109001200,180,7,Yes,,31,12,8,10,16,10,8,11,,12,12,17,20,13,180,149,0,2,2,0,145,0,0,15.3,22,1,1,3,2,2,0,1.34,1.34,0,97.31,0,0,9.73,8,LIVINGSTON,School does not belong to ANY associations or organizations,,
A9502346,LOYOLA HIGH SCHOOL,14,17,15325 PINEHURST ST,DETROIT,26163,163,MI,26,48238,3138612407,183,8,Yes,,,,,,,,,,,,51,37,37,34,159,159,0,0,0,156,2,0,1,14.9,11,3,1,2,1,1,0,0,0,98.11,1.25,0,0.62,10.67,1,WAYNE,Jesuit Secondary Education Association (JSEA),,
00640084,LUMEN CHRISTI CATHOLIC SCHOOL,12,17,3483 SPRING ARBOR RD,JACKSON,26075,075,MI,26,49203,5177870630,183,8.08,Yes,,,,,,,,,,70,70,66,93,63,85,447,447,5,3,34,12,371,0,22,39.1,23,1,1,2,1,2,1.11,0.67,7.6,2.68,82.99,0,4.92,11.43,1,JACKSON,National Catholic Educational Association (NCEA),,
00642059,LUTHERAN HIGH SCHOOL NORTH,14,17,16825 24 MILE RD,MACOMB,26099,099,MI,26,48042,5867819151,182,7.25,Yes,,,,,,,,,,,,138,144,135,143,560,560,0,17,4,3,536,0,0,35,21,1,1,2,2,2,0,3.03,0.71,0.53,95.71,0,0,16,20,MACOMB,School does not belong to ANY associations or organizations,,
A1702075,MCCULLY'S EDUCATIONAL RESOURCE CENTER,6,17,7664 N CANTON CENTER RD,CANTON,26163,163,MI,26,48187,7344147884,200,1,Yes,15,,,15,15,15,16,16,16,16,16,16,16,16,16,,204,,,,,,,,3.4,21,1,3,3,3,2,,,,,,,,60,30,WAYNE,School does not belong to ANY associations or organizations,,
A9103516,MEADOW MONTESSORI SCHOOL,2,17,1670 S RAISINVILLE RD,MONROE,26115,115,MI,26,48161,7342419496,176,7.5,Yes,,26,12,20,12,9,8,14,10,9,8,5,2,4,4,143,117,0,1,2,2,112,0,0,13.9,41,1,2,3,3,4,0,0.85,1.7,1.7,95.72,0,0,8.41,30,MONROE,Other school association(s),,
00636249,MERCY HIGH SCHOOL,14,17,29300 W 11 MILE RD,FARMINGTON HILLS,26125,125,MI,26,48336,2488933586,181,6.61,Yes,,,,,,,,,,,,159,179,172,186,696,696,2,27,26,51,569,1,20,55.5,13,2,1,2,1,1,0.28,3.87,3.73,7.32,81.75,0.14,2.87,12.54,1,OAKLAND,Other religious school associations,,
A1301693,MESIVTA OF WEST BLOOMFIELD,14,17,4200 WALNUT LAKE RD,WEST BLOOMFIELD,26125,125,MI,26,48323,2487387230,243,10.5,Yes,2,,,,,,,,,,,13,11,9,5,40,40,0,0,0,0,40,0,0,9.4,21,3,1,2,2,2,0,0,0,0,100,0,0,4.25,18,OAKLAND,National Society for Hebrew Day Schools (Torah U’Mesorah),,
02038418,METRO BAPTIST SCHOOL,3,17,PO BOX 247,BELLEVILLE,26163,163,MI,26,48112,7346990529,,5.83,No,,,8,,,2,2,4,4,1,6,1,5,1,6,40,40,0,0,1,2,35,0,2,7.1,21,1,1,3,2,2,0,0,2.5,5,87.5,0,5,5.63,5,WAYNE,School does not belong to ANY associations or organizations,,
00643303,MICHIGAN LUTHERAN SEMINARY,14,17,2777 HARDIN ST,SAGINAW,26145,145,MI,26,48602,9897931010,168,7.25,Yes,,,,,,,,,,,,56,42,42,56,196,196,0,15,1,0,170,1,9,22.1,13,1,1,2,2,1,0,7.65,0.51,0,86.73,0.51,4.59,8.86,22,SAGINAW,School does not belong to ANY associations or organizations,,
00643664,MIDLAND CHRISTIAN SCHOOL,2,17,4417 W WACKERLY ST,MIDLAND,26111,111,MI,26,48640,9898359881,172,7,Yes,,4,4,1,8,3,3,1,1,2,1,2,3,3,2,38,34,0,0,0,1,31,0,2,3.6,13,1,1,3,2,1,0,0,0,2.94,91.17,0,5.88,9.44,8,MIDLAND,Association of Christian Schools International (ACSI),Christian Schools International (CSI),
A1902469,MT. OLIVET CHRISTIAN SCHOOL,6,17,PO BOX 8,BELLEVUE,26025,025,MI,26,49021,6996444722,175,6,Yes,,,,1,,,,,,1,,,2,1,1,6,6,0,0,0,0,6,0,0,2,42,1,1,3,2,4,0,0,0,0,100,0,0,3,8,CALHOUN,Accelerated Christian Education (ACE),,
02036294,MUNISING BAPTIST SCHOOL,3,17,PO BOX 339,WETMORE,26003,003,MI,26,49895,9063873041,178,6.83,Yes,,,2,3,3,3,5,2,3,6,4,2,5,7,5,50,50,0,0,0,0,47,0,3,8.6,41,1,1,3,2,4,0,0,0,0,94,0,6,5.81,5,ALGER,American Association of Christian Schools (AACS),,
00639046,MUSKEGON CATHOLIC CENTRAL,2,17,1145 W LAKETON AVE,MUSKEGON,26121,121,MI,26,49441,2312910324,180,7,Yes,,29,18,19,17,20,20,29,25,29,25,29,32,31,34,357,328,2,17,42,17,236,0,14,17,13,1,1,3,1,1,0.6,5.18,12.8,5.18,71.95,0,4.26,19.29,1,MUSKEGON,National Catholic Educational Association (NCEA),,
A9103531,NEW COVENANT CHRISTIAN SCHOOL,2,17,PO BOX 80737,LANSING,26045,045,MI,26,48908,5173238903,186,6.5,No,,5,10,4,7,8,6,5,5,3,3,5,6,2,6,75,70,0,1,5,2,62,0,0,11.5,21,1,1,3,2,2,0,1.42,7.14,2.85,88.57,0,0,6.08,8,EATON,American Association of Christian Schools (AACS),,
A9303580,NEW LIFE CHRISTIAN ACADEMY,2,17,5517 GRISWOLD RD,KIMBALL,26147,147,MI,26,48074,8103673770,180,6.91,Yes,,14,17,10,10,10,6,10,9,8,7,7,9,10,11,138,124,0,0,2,4,118,0,0,13.6,23,1,1,3,2,2,0,0,1.61,3.22,95.16,0,0,9.11,8,ST. CLAIR,Association of Christian Schools International (ACSI),Christian Schools International (CSI),
A9702015,NORTH POINTE CHRISTIAN SCHOOLS,2,17,3101 LEONARD ST NE,GRAND RAPIDS,26081,081,MI,26,49525,6169420363,178,6.75,Yes,,147,68,41,47,45,49,41,46,46,56,72,85,87,70,900,753,0,52,24,29,648,0,0,50.9,12,1,1,3,2,1,0,6.9,3.18,3.85,86.05,0,0,14.79,8,KENT,Christian Schools International (CSI),,
AA890486,NORTHERN MICHIGAN CHRISTIAN ACADEMY,2,17,PO BOX 287,BURT LAKE,26031,031,MI,26,49717,2315482216,180,6.25,Yes,,3,5,7,6,10,5,7,6,4,5,6,5,3,7,79,76,0,0,0,0,76,0,0,8,42,1,1,3,2,4,0,0,0,0,100,0,0,9.5,5,CHEBOYGAN,American Association of Christian Schools (AACS),Other religious school associations,
A9103539,NORTHERN MICHIGAN CHRISTIAN SCHOOL,2,17,128 S MARTIN ST,MC BAIN,26113,113,MI,26,49657,2318252492,178,7.03,Yes,,64,22,9,21,19,19,20,13,19,17,27,17,13,16,296,232,2,8,1,2,219,0,0,22,42,1,1,3,2,4,0.86,3.44,0.43,0.86,94.39,0,0,10.54,8,MISSAUKEE,Christian Schools International (CSI),,
00637399,NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY,2,17,1300 GIDDINGS RD,PONTIAC,26125,125,MI,26,48340,2483735300,186,7,Yes,2,27,19,17,23,21,22,23,40,71,61,136,188,175,134,959,932,1,55,65,40,748,0,23,80.3,13,1,1,3,1,1,0.1,5.9,6.97,4.29,80.25,0,2.46,11.6,1,OAKLAND,National Catholic Educational Association (NCEA),State or regional independent school association,
A1902481,NOTTAWA CHRISTIAN DAY SCHOOL,3,16,26239 M 86,STURGIS,26149,149,MI,26,49091,,170,6.75,Yes,,,3,3,5,2,4,5,1,4,7,2,3,2,,41,41,0,0,0,0,41,0,0,3.1,42,1,1,3,2,4,0,0,0,0,100,0,0,13.22,24,ST. JOSEPH,School does not belong to ANY associations or organizations,,
00644602,NOTTAWA CHRISTIAN SCHOOL,6,17,26239 M 86,STURGIS,26149,149,MI,26,49091,2694676454,180,6.75,No,,,,3,5,2,4,5,1,4,7,2,3,1,1,38,38,0,0,0,0,38,0,0,3,42,1,1,3,2,4,0,0,0,0,100,0,0,12.66,24,ST. JOSEPH,School does not belong to ANY associations or organizations,,
A1902482,NOVI CHRISTIAN ACADEMY,3,17,40800 W 13 MILE RD,NOVI,26125,125,MI,26,48377,2486687100,178,7,Yes,,,28,31,20,18,19,16,35,28,34,18,19,19,18,303,303,0,15,4,74,202,4,4,33,13,1,1,3,2,1,0,4.95,1.32,24.42,66.66,1.32,1.32,9.18,4,OAKLAND,Association of Christian Schools International (ACSI),,
A1902487,OAKDALE ACADEMY,2,17,3200 BEACHAM DR,WATERFORD,26125,125,MI,26,48329,2484819039,171,7.25,Yes,,6,9,9,5,7,11,11,14,13,14,8,8,6,10,131,125,0,1,0,2,106,0,16,19.3,21,1,1,3,2,2,0,0.8,0,1.6,84.8,0,12.8,6.47,8,OAKLAND,Association of Classical and Christian Schools (ACCS),,
00641328,OAKLAND CHRISTIAN SCHOOL,2,17,3075 SHIMMONS RD,AUBURN HILLS,26125,125,MI,26,48326,2483732700,180,7,Yes,,41,29,22,30,28,35,24,40,49,34,40,42,53,48,515,474,0,35,20,33,373,0,13,41.6,21,1,1,3,2,2,0,7.38,4.21,6.96,78.69,0,2.74,11.39,8,OAKLAND,Association of Christian Schools International (ACSI),Christian Schools International (CSI),Other school association(s)
A1501955,ONE SCHOOL GLOBAL,8,17,1050 E SQ LAKE RD,BLOOMFIELD TOWNSHIP,26125,125,MI,26,48304,2487317176,186,6.26,Yes,,,,,,3,6,6,5,4,9,8,1,8,5,55,55,0,0,0,0,55,0,0,7,21,1,1,3,2,2,0,0,0,0,100,0,0,7.85,6,OAKLAND,School does not belong to ANY associations or organizations,,
01606519,OUR LADY OF THE LAKES CATHOLIC SCHOOL,2,17,5495 DIXIE HWY,WATERFORD,26125,125,MI,26,48329,2486230340,181,7.08,Yes,4,37,21,10,14,12,19,15,19,20,19,35,19,28,30,302,265,0,173,17,0,23,6,46,39.8,21,1,1,3,1,2,0,65.28,6.41,0,8.67,2.26,17.35,6.65,1,OAKLAND,National Catholic Educational Association (NCEA),,
A9103422,PARKWAY CHRISTIAN SCHOOL,2,17,14500 METROPOLITAN PKWY,STERLING HEIGHTS,26099,099,MI,26,48312,5864469900,180,7,Yes,,55,28,49,35,22,34,26,31,35,27,33,30,53,50,508,453,40,34,13,87,278,1,0,43,21,1,1,3,2,2,8.83,7.5,2.86,19.2,61.36,0.22,0,10.53,8,MACOMB,Christian Schools International (CSI),,
A0301864,PINECREST SCHOOL,13,17,2603 WOODLAND DR,HALE,26069,069,MI,26,48739,9897286490,180,6,Yes,,,,,,,,,,,1,2,2,3,2,10,10,0,0,0,0,9,0,1,1,43,1,4,2,3,4,0,0,0,0,90,0,10,10,30,IOSCO,School does not belong to ANY associations or organizations,,
00644657,PLYMOUTH CHRISTIAN ACADEMY,2,17,43065 JOY RD,CANTON,26163,163,MI,26,48187,7344593505,180,7.58,Yes,,78,46,24,29,29,28,35,28,27,23,53,34,45,45,524,446,3,20,21,43,357,2,0,47.4,21,1,1,3,2,2,0.67,4.48,4.7,9.64,80.04,0.44,0,9.4,5,WAYNE,Association of Christian Schools International (ACSI),National Christian School Association (NCSA),
A1502062,POTTERS HOUSE SCHOOL,2,17,810 VAN RAALTE DR SW,GRAND RAPIDS,26081,081,MI,26,49509,6162415720,177,7.41,Yes,,45,37,36,35,34,34,36,38,49,49,59,52,68,56,628,583,5,29,146,151,251,0,1,40.6,21,1,1,3,2,2,0.85,4.97,25.04,25.9,43.05,0,0.17,14.35,8,KENT,Association of Christian Schools International (ACSI),Christian Schools International (CSI),
02037276,PRAIRIE BAPTIST SCHOOL,2,17,11210 PQ AVE E,SCOTTS,26077,077,MI,26,49088,2696268101,170,7,Yes,,1,1,1,4,1,2,2,3,4,,3,,1,2,25,24,0,0,0,0,24,0,0,8.3,41,1,1,3,2,4,0,0,0,0,100,0,0,2.89,5,KALAMAZOO,American Association of Christian Schools (AACS),Other religious school associations,
A9502388,REFORMED HERITAGE CHRISTIAN SCHOOL,2,17,700 FLETCHER AVE,KALAMAZOO,26077,077,MI,26,49006,2693830505,178,6.83,Yes,,4,1,2,1,1,4,2,3,4,5,2,3,,1,33,29,0,0,1,0,28,0,0,6.1,22,1,1,3,2,2,0,0,3.44,0,96.55,0,0,4.75,7,KALAMAZOO,Christian Schools International (CSI),,
00637118,REGINA HIGH SCHOOL,14,17,13900 MASONIC BLVD,WARREN,26099,099,MI,26,48088,5865850500,173,6.75,Yes,,,,,,,,,,,,64,62,80,64,270,270,0,4,2,22,240,0,2,28.6,12,2,1,2,1,1,0,1.48,0.74,8.14,88.88,0,0.74,9.44,1,MACOMB,National Catholic Educational Association (NCEA),,
00645617,ROCHESTER HILLS CHRISTIAN SCHOOL,2,17,3300 S LIVERNOIS RD,ROCHESTER HILLS,26125,125,MI,26,48307,2488520585,180,7.11,Yes,,18,8,12,11,14,15,7,10,13,17,17,18,14,11,185,167,0,0,0,0,167,0,0,31,21,1,1,3,2,2,0,0,0,0,100,0,0,5.38,5,OAKLAND,Other school association(s),,
A9902435,ROEPER CITY & COUNTRY SCHOOL,2,17,41190 WOODWARD AVE,BLOOMFIELD HILLS,26125,125,MI,26,48304,2482037300,164,7.5,Yes,,63,29,28,34,28,30,30,35,49,44,49,42,47,48,556,493,1,27,9,67,350,0,39,65.1,21,1,3,3,3,2,0.2,5.47,1.82,13.59,70.99,0,7.91,7.57,30,OAKLAND,National Association of Independent Schools (NAIS),Other school association(s),
BB181501,RUDOLF STEINER SCHOOL OF ANN ARBOR,2,17,2230 PONTIAC TRL,ANN ARBOR,26161,161,MI,26,48105,7346699394,175,7.16,Yes,,24,42,16,15,19,17,16,15,26,16,17,26,21,29,299,275,7,19,17,5,197,0,30,49.9,21,1,3,3,3,2,2.54,6.9,6.18,1.81,71.63,0,10.9,5.51,30,WASHTENAW,Association of Waldorf Schools of North America (AWSNA),Other special emphasis association(s),Other school association(s)
02038382,RUDOLF STEINER SCHOOL OF ANN ARBOR,2,17,2230 PONTIAC TRL,ANN ARBOR,26161,161,MI,26,48105,7346699394,175,7.16,Yes,,24,42,16,15,19,17,16,15,26,16,17,26,21,29,299,275,7,19,17,5,197,0,30,49.9,12,1,3,3,3,1,2.54,6.9,6.18,1.81,71.63,0,10.9,5.51,30,WASHTENAW,Association of Waldorf Schools of North America (AWSNA),,
00640914,SACRED HEART ACADEMY,2,17,316 E MICHIGAN ST,MOUNT PLEASANT,26073,073,MI,26,48858,9897721457,180,6.5,No,,15,28,20,27,36,34,36,37,34,28,28,24,24,32,403,388,4,12,6,8,333,0,25,34.3,32,1,1,3,1,3,1.03,3.09,1.54,2.06,85.82,0,6.44,11.31,1,ISABELLA,National Catholic Educational Association (NCEA),,
00637581,SHRINE CATHOLIC HIGH SCHOOL,14,17,3500 W 13 MILE RD,ROYAL OAK,26125,125,MI,26,48073,2485492925,180,7.21,No,,,,,,,,,,,,60,71,61,70,262,262,0,25,14,14,205,0,4,26,21,1,1,2,1,2,0,9.54,5.34,5.34,78.24,0,1.52,10.07,1,OAKLAND,National Catholic Educational Association (NCEA),,
A9303532,SKEELS CHRISTIAN SCHOOL,2,16,3956 N M 18,GLADWIN,26051,051,MI,26,48624,9892402190,185,6.75,Yes,,7,7,11,7,5,5,4,9,11,6,5,4,2,,83,76,0,1,0,0,75,0,0,10.6,42,1,1,3,2,4,0,1.31,0,0,98.68,0,0,7.16,5,GLADWIN,American Association of Christian Schools (AACS),State or regional independent school association,
00643391,SOUTH CHRISTIAN HIGH SCHOOL,14,17,7979 KALAMAZOO AVE SE,BYRON CENTER,26081,081,MI,26,49315,6164553210,180,6.75,Yes,,,,,,,,,,,,166,153,156,150,625,625,0,20,5,5,595,0,0,37.8,41,1,1,2,2,4,0,3.2,0.8,0.8,95.2,0,0,16.53,7,KENT,Christian Schools International (CSI),,
01614111,SOUTHFIELD CHRISTIAN SCHOOL,2,17,28650 LAHSER RD,SOUTHFIELD,26125,125,MI,26,48034,2483573660,178,7,Yes,,20,39,38,45,43,44,43,51,50,53,38,39,41,50,594,574,0,9,4,358,158,1,44,43.5,13,1,1,3,2,1,0,1.56,0.69,62.36,27.52,0.17,7.66,13.19,8,OAKLAND,Association of Christian Schools International (ACSI),State or regional independent school association,
00643234,SPRING VALE ACADEMY,3,17,4150 S M 52,OWOSSO,26155,155,MI,26,48867,9897252391,180,7,Yes,,,2,1,1,2,2,2,,4,2,5,5,10,14,50,50,0,1,16,2,31,0,0,8.1,42,1,1,3,2,4,0,2,32,4,62,0,0,6.17,8,SHIAWASSEE,Other religious school associations,Other school association(s),
A1301701,ST CATHERINE OF SIENA ACADEMY,14,17,28200 NAPIER RD,WIXOM,26125,125,MI,26,48393,2489464848,181,7.26,Yes,,,,,,,,,,,,64,59,65,70,258,258,3,10,12,1,229,0,3,20.3,21,2,1,2,1,2,1.16,3.87,4.65,0.38,88.75,0,1.16,12.7,1,OAKLAND,National Catholic Educational Association (NCEA),,
00638927,ST MARY CATHEDRAL SCHOOL,2,17,321 N OTSEGO AVE,GAYLORD,26137,137,MI,26,49735,9897325801,184,7,Yes,,46,29,24,20,18,15,15,24,9,17,22,13,19,24,295,249,0,3,9,0,237,0,0,25.5,33,1,1,3,1,3,0,1.2,3.61,0,95.18,0,0,9.76,1,OTSEGO,National Catholic Educational Association (NCEA),,
00637311,ST MARY CATHOLIC CENTRAL HIGH SCHOOL,14,17,108 W ELM AVE,MONROE,26115,115,MI,26,48162,7342417622,182,6.58,Yes,,,,,,,,,,,,77,89,79,93,338,338,2,8,13,5,301,0,9,26.8,13,1,1,2,1,1,0.59,2.36,3.84,1.47,89.05,0,2.66,12.61,1,MONROE,National Catholic Educational Association (NCEA),,
01983724,ST MARY SCHOOL,3,17,PO BOX 340,LAKE LEELANAU,26089,089,MI,26,49653,2312569636,180,7.16,Yes,,,14,10,12,7,13,16,15,25,16,17,16,14,15,190,190,0,0,8,0,182,0,0,16.8,42,1,1,3,1,4,0,0,4.21,0,95.78,0,0,11.3,1,LEELANAU,National Catholic Educational Association (NCEA),,
00638632,ST MARY'S PREPARATORY SCHOOL,14,17,3535 COMMERCE RD,ORCHARD LAKE,26125,125,MI,26,48324,2488361271,180,7,Yes,,,,,,,,,,,,125,125,125,125,500,500,0,40,20,40,400,0,0,33.8,21,3,1,2,1,2,0,8,4,8,80,0,0,14.79,1,OAKLAND,National Catholic Educational Association (NCEA),,
A0105062,ST PATRICK SCHOOL,2,17,122 N W ST,PORTLAND,26067,067,MI,26,48875,5176477551,180,7,Yes,,31,29,28,17,27,23,25,22,21,27,19,23,25,26,343,312,2,5,13,10,282,0,0,18,32,1,1,3,1,3,0.64,1.6,4.16,3.2,90.38,0,0,17.33,1,IONIA,Other school association(s),,
02037662,STATE LINE CHRISTIAN SCHOOL,2,17,6320 LEWIS AVE,TEMPERANCE,26115,115,MI,26,48182,7348476773,180,7.25,No,,34,25,19,16,27,17,17,18,13,12,22,13,10,14,257,223,0,4,11,8,198,0,2,21.8,21,1,1,3,2,2,0,1.79,4.93,3.58,88.78,0,0.89,10.22,5,MONROE,School does not belong to ANY associations or organizations,,
A0104565,SUNDAI MICHIGAN INTERNATIONAL ACADEMY,13,16,24277 NOVI RD,NOVI,26125,125,MI,26,48375,2483495234,190,6.5,No,,,,,,,,,,,1,,,1,,2,2,0,2,0,0,0,0,0,6.6,13,1,1,2,3,1,0,100,0,0,0,0,0,0.3,30,OAKLAND,School does not belong to ANY associations or organizations,,
00643904,THE LEELANAU SCHOOL,14,17,1 OLD HOMESTEAD RD,GLEN ARBOR,26089,089,MI,26,49636,2313345800,180,7.5,Yes,,,,,,,,,,,,6,5,12,14,37,37,0,2,4,0,31,0,0,12.9,43,1,1,2,3,4,0,5.4,10.81,0,83.78,0,0,2.86,30,LEELANAU,National Association of Private Special Education Centers (NAPSEC),National Association of Independent Schools (NAIS),The Association of Boarding Schools (TABS)
A1301706,THE NEW MILLENNIUM ACADEMY,8,17,3427 ADAMS AVE,SAGINAW,26145,145,MI,26,48602,9894847363,190,6,Yes,,,,,,1,1,2,3,5,4,4,8,7,5,40,40,2,0,20,9,9,0,0,3.9,13,1,1,3,2,1,5,0,50,22.5,22.5,0,0,10.25,8,SAGINAW,Other religious school associations,Other school association(s),
A9103599,THE VALLEY SCHOOL,3,17,5255 LINDEN RD,SWARTZ CREEK,26049,049,MI,26,48473,8106550841,170,6.66,No,,,4,2,,3,7,2,1,7,4,1,4,5,4,44,44,2,0,0,18,22,0,2,9.1,21,1,1,3,3,2,4.54,0,0,40.9,50,0,4.54,4.83,30,GENESEE,School does not belong to ANY associations or organizations,,
A9103601,TRAVERSE BAY MENNONITE SCHOOL,6,17,915 CARVER ST,TRAVERSE CITY,26055,055,MI,26,49686,2319959793,170,7,Yes,,,,4,1,2,2,2,2,2,1,3,1,,1,21,21,0,0,0,0,21,0,0,3.3,33,1,1,3,2,3,0,0,0,0,100,0,0,6.36,24,GRAND TRAVERSE,School does not belong to ANY associations or organizations,,
