PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3
00638621,CATHOLIC CENTRAL HIGH SCHOOL,14,17,27225 WIXOM RD,NOVI,26125,125,MI,26,48374,2485963810,186,6.75,Yes,,,,,,,,,,,,253,279,216,243,991,991,3,14,28,14,888,3,41,65,13,3,1,2,1,1,0.3,1.41,2.82,1.41,89.6,0.3,4.13,15.24,1,OAKLAND,National Catholic Educational Association (NCEA),,
A9103435,CEDAR CREEK CHRISTIAN SCHOOL,2,17,9213 CEDAR CREEK RD,DELTON,26015,015,MI,26,49046,2696235543,170,7,Yes,,5,6,4,1,5,1,1,3,1,3,3,1,,1,35,30,0,0,0,0,30,0,0,4.6,42,1,1,3,2,4,0,0,0,0,100,0,0,6.52,5,BARRY,School does not belong to ANY associations or organizations,,
00646133,CLONLARA SCHOOL,3,17,1289 JEWETT ST,ANN ARBOR,26161,161,MI,26,48104,7349264612,180,6.5,Yes,,,33,79,105,89,107,103,102,97,123,174,160,163,122,1457,1457,0,87,0,44,1326,0,0,50,12,1,1,3,3,1,0,5.97,0,3.01,91,0,0,29.14,30,WASHTENAW,School does not belong to ANY associations or organizations,,
02038134,COMMUNITY BAPTIST CHRISTIAN SCHOOL,3,17,8331 GRATIOT RD,SAGINAW,26145,145,MI,26,48609,9897812340,180,6.91,Yes,,,3,4,6,7,3,10,6,6,7,6,8,8,4,78,78,0,0,13,1,64,0,0,8.9,22,1,1,3,2,2,0,0,16.66,1.28,82.05,0,0,8.76,5,SAGINAW,American Association of Christian Schools (AACS),,
A9103446,COPPER COUNTRY CHRISTIAN SCHOOL,2,17,56172 CALUMET AVE,CALUMET,26061,061,MI,26,49913,9064871718,165,7,Yes,,1,6,2,5,2,6,1,1,3,1,2,3,,2,35,34,,2,,3,,0,,5.8,41,1,1,3,2,4,,5.88,,8.82,,0,,5.86,8,HOUGHTON,School does not belong to ANY associations or organizations,,
A9103449,CORNERSTONE CHRISTIAN SCHOOL,3,17,900 S WESTERN AVE,CHEBOYGAN,26031,031,MI,26,49721,2316272160,200,8,Yes,,,4,7,2,2,4,2,3,8,4,1,4,2,2,45,45,2,1,0,0,40,0,2,5.4,33,1,1,3,2,3,4.44,2.22,0,0,88.88,0,4.44,8.33,8,CHEBOYGAN,School does not belong to ANY associations or organizations,,
00643245,COVENANT CHRISTIAN HIGH SCHOOL,14,17,1401 FERNDALE AVE SW,GRAND RAPIDS,26081,081,MI,26,49534,6164535048,178,6.5,Yes,,,,,,,,,,,,102,97,93,98,390,390,0,1,1,0,388,0,0,26.3,21,1,1,2,2,2,0,0.25,0.25,0,99.48,0,0,14.82,7,KENT,State or regional independent school association,,
00638133,DE LA SALLE COLLEGIATE HIGH SCHOOL,14,17,14600 COMMON RD,WARREN,26099,099,MI,26,48088,5867782207,182,6.75,Yes,,,,,,,,,,,,176,171,171,168,686,686,6,21,13,62,569,10,5,64.6,12,3,1,2,1,1,0.87,3.06,1.89,9.03,82.94,1.45,0.72,10.61,1,MACOMB,National Catholic Educational Association (NCEA),,
A1501991,DETROIT CHRISTIAN SCHOOLS OF EXCELLENCE,3,17,19370 GREENFIELD RD,DETROIT,26163,163,MI,26,48235,3132818144,182,6.1,No,,,1,2,6,3,1,5,3,1,5,2,2,,1,32,32,0,0,0,30,0,0,2,6.4,11,1,1,3,2,1,0,0,0,93.75,0,0,6.25,5,8,WAYNE,School does not belong to ANY associations or organizations,,
A1501994,DETROIT COUNTRY DAY SCHOOL,2,17,22305 W 13 MILE RD,BEVERLY HILLS,26125,125,MI,26,48025,2484301071,171,7.33,Yes,,72,63,60,46,60,71,78,113,114,125,162,163,178,153,1458,1386,1,322,25,161,803,1,73,175,21,1,3,3,3,2,0.07,23.23,1.8,11.61,57.93,0.07,5.26,7.92,30,OAKLAND,State or regional independent school association,,
00643201,DETROIT COUNTRY DAY SCHOOL,2,17,22305 W 13 MILE RD,BEVERLY HILLS,26125,125,MI,26,48025,2484301071,171,7.33,Yes,,62,63,60,46,60,71,78,113,114,125,162,163,178,153,1448,1386,4,118,51,58,1072,0,83,175,21,1,3,3,3,2,0.28,8.51,3.67,4.18,77.34,0,5.98,7.92,30,OAKLAND,National Association of Independent Schools (NAIS),,
A1101281,DETROIT CRISTO REY HIGH SCHOOL,14,17,5679 W VERNOR HWY,DETROIT,26163,163,MI,26,48209,3138432747,180,8.5,Yes,,,,,,,,,,,,98,83,92,82,355,355,0,0,278,73,4,0,0,21,11,1,1,2,1,1,0,0,78.3,20.56,1.12,0,0,16.9,1,WAYNE,Other religious school associations,,
00637945,DIVINE CHILD HIGH SCHOOL,14,17,1001 N SILVERY LN,DEARBORN,26163,163,MI,26,48128,3135621990,187,7.83,Yes,,,,,,,,,,,,207,231,229,217,884,884,13,38,52,26,721,13,21,51,13,1,1,2,1,1,1.47,4.29,5.88,2.94,81.56,1.47,2.37,17.33,1,WAYNE,National Catholic Educational Association (NCEA),,
AA000474,ETON ACADEMY,6,17,1755 E MELTON RD,BIRMINGHAM,26125,125,MI,26,48009,2486421150,180,6.75,Yes,,,,4,6,8,12,16,24,33,27,23,32,11,18,214,214,0,5,5,23,174,0,7,48,21,1,4,3,3,2,0,2.33,2.33,10.74,81.3,0,3.27,4.45,30,OAKLAND,National Association of Independent Schools (NAIS),,
A9303503,EVEREST ACADEMY,2,17,5935 CLARKSTON RD,CLARKSTON,26125,125,MI,26,48348,2482419068,183,7.25,Yes,,25,26,15,28,32,30,19,42,28,54,41,27,25,26,418,393,0,9,74,2,308,0,0,34.9,21,1,1,3,1,2,0,2.29,18.82,0.5,78.37,0,0,11.26,1,OAKLAND,National Catholic Educational Association (NCEA),Other school association(s),
00644056,FACTORYVILLE CHRISTIAN SCHOOL,2,17,33650 FACTORYVILLE RD,ATHENS,26149,149,MI,26,49011,2697294203,180,6.5,Yes,,6,2,6,3,10,5,5,2,9,4,3,5,2,3,65,59,1,3,2,0,53,0,0,6.9,42,1,1,3,2,4,1.69,5.08,3.38,0,89.83,0,0,8.55,8,ST. JOSEPH,American Association of Christian Schools (AACS),,
02036851,FAITH BAPTIST SCHOOL,2,17,7306 E ATHERTON RD,DAVISON,26049,049,MI,26,48423,8106539661,175,6.66,Yes,,12,7,19,12,12,15,12,20,19,24,21,19,22,22,236,224,0,0,5,2,217,0,0,21.1,21,1,1,3,2,2,0,0,2.23,0.89,96.87,0,0,10.61,5,GENESEE,American Association of Christian Schools (AACS),,
00645606,FAITH CHRISTIAN SCHOOL,3,17,23130 N REMICK DR,CLINTON TOWNSHIP,26099,099,MI,26,48036,5867839630,180,7.08,Yes,,,5,8,10,9,17,17,18,12,15,12,12,16,14,165,165,0,3,0,8,152,0,2,14.6,21,1,1,3,2,2,0,1.81,0,4.84,92.12,0,1.21,11.3,5,MACOMB,American Association of Christian Schools (AACS),Other school association(s),
A0701332,FAITH CHRISTIAN SCHOOL,2,17,7455 WOODLAND RD,LAKE ODESSA,26015,015,MI,26,48849,6165374100,173,7.08,Yes,,10,10,7,7,8,6,4,4,5,3,4,4,7,2,81,71,0,0,0,2,69,0,0,6.4,42,1,1,3,2,4,0,0,0,2.81,97.18,0,0,11.09,5,BARRY,American Association of Christian Schools (AACS),Other religious school associations,
A9103467,FAITHWAY CHRISTIAN ACADEMY,2,16,1225 S CENTER RD,BURTON,26049,049,MI,26,48509,8107430055,167,7,Yes,,30,4,3,2,4,5,2,4,8,10,7,8,4,,91,61,0,0,2,8,50,0,1,7.6,21,1,1,3,2,2,0,0,3.27,13.11,81.96,0,1.63,8.02,8,GENESEE,Association of Christian Schools International (ACSI),,
