school_id,school_name,students,enrollment,division
7046,St Clair Shores - Lake Shore HS,1039,1039,A
9920,Zeeland West HS,1037,1037,A
7987,Southgate Anderson HS,1034,1034,A
5280,Grand Rapids - Kenowa Hills HS,1033,1033,A
2328,Bloomfield Hills - Brother Rice HS,516,1032,B
2708,St Joseph HS,1020,1020,A
2055,River Rouge HS,1013,1013,A
6114,Holland HS,1010,1010,A
1354,DeWitt HS,1009,1009,A
2501,Lansing - Waverly HS,999,999,A
1070,Ypsilanti Community,985,985,A
6667,Sturgis HS,965,965,A
1288,Coldwater HS,964,964,A
4712,Flint - Kearsley HS,963,963,A
2138,Mason HS,955,955,A
7970,Melvindale HS,950,950,A
7285,Jackson - Northwest HS,949,949,A
3136,Petoskey HS,943,943,A
6147,Detroit - Martin Luther King HS,941,941,A
5388,Middleville - Thornapple Kellogg HS,939,939,A
7847,Riverview Community HS,936,936,A
2690,Marquette HS,934,934,A
3813,Zeeland East HS,934,934,A
5297,Richland - Gull Lake HS,933,933,A
7946,East Grand Rapids HS,927,927,A
1373,Pontiac HS,924,924,A
3623,St Johns HS,922,922,A
3284,Gaylord HS,901,901,A
1494,Detroit - Mumford HS,900,900,A
3870,Linden HS,890,890,A
1370,Warren - Fitzgerald HS,881,881,A
5875,Stevensville - Lakeshore HS,864,864,A
7657,Garden City HS,859,859,A
4200,Dearborn - Divine Child HS,850,850,A
1032,Detroit - East English Village Preparatory Acad,849,849,A
2781,Coopersville HS,847,847,A
5272,Flint Southwestern Classical,845,845,A
2278,Haslett HS,845,845,A
5198,Parma - Western HS,844,844,A
1627,Trenton HS,841,841,A
7343,Fowlerville HS,839,839,A
2922,Marysville HS,837,837,A
4357,Pinckney HS,837,837,A
6072,Harper Woods HS,835,835,A
2765,Lansing - Eastern HS,828,828,B
7483,Battle Creek - Harper Creek HS,828,828,B
1890,Eastpointe HS,827,827,B
4068,Ionia HS,826,826,B
4687,Spring Lake HS,825,825,B
2914,Cadillac HS,811,811,B
3706,Clio HS,810,810,B
8036,Wayland Union HS,810,810,B
7211,Plainwell HS,808,808,B
4217,Ortonville - Brandon HS,807,807,B
1486,Niles HS,807,807,B
4992,Detroit - Henry Ford HS,805,805,B
1916,New Boston - Huron HS,804,804,B
1651,Chelsea HS,803,803,B
4175,Edwardsburg HS,803,803,B
7203,Bloomfield Hills - Cranbrook Kingswood HS,798,798,B
6171,Owosso HS,794,794,B
7062,Grand Rapids Christian HS,787,787,B
2740,St Clair HS,787,787,B
4506,Ada - Forest Hills Eastern HS,783,783,B
7855,Marshall HS,783,783,B
4654,Carleton - Airport HS,779,779,B
2410,Hastings HS,779,779,B
1412,Hamilton HS,772,772,B
5974,Sparta HS,771,771,B
3160,Bloomfield Hills - Marian HS,385,770,C
1610,Vicksburg HS,766,766,B
6683,Fruitport HS,764,764,B
1154,Ann Arbor - Washtenaw Technical Middle College,763,763,B
2294,Adrian HS,759,759,B
5248,Allendale HS,756,756,B
1218,Harper Woods - Chandler Park Academy,755,755,B
1247,Bay City - John Glenn HS,752,752,B
3516,Charlotte HS,751,751,B
8110,Wyoming - Godwin Heights HS,742,742,B
4191,Madison Heights - Lamphere HS,730,730,B
