school_name,school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9,10,11,12,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,White,Two or MoreRaces,Male,Female,Male_Pct,Female_Pct,KG,1,2,3,4,5,6,7,8,PK,Ungraded
Rogers City High School,2.63006E+11,Rogers City Area Schools,2630060,275,17.98,15.29,135,25,160,51,41,48,,0,0.003636364,0.003636364,0.032727273,0,0.952727273,0.007272727,140,135,0.509090909,0.490909091,,,,,,,38,29,27,,
Romeo High School,2.63009E+11,Romeo Community Schools,2630090,1640,84.95,19.31,297,32,329,394,410,420,416,0.001829268,0.009756098,0.015243902,0.088414634,0,0.862195122,0.022560976,819,821,0.499390244,0.500609756,,,,,,,,,,,
Romulus Adult Education Alternative,2.63012E+11,Romulus Community Schools,2630120,19,1,19,12,0,12,0,0,0,19,0,0,0.631578947,0.052631579,0,0.315789474,0,10,9,0.526315789,0.473684211,,,,,,,,,,,
Romulus Senior High School,2.63012E+11,Romulus Community Schools,2630120,651,31.5,20.67,407,13,420,172,153,157,169,0.003072197,0.00921659,0.755760369,0.041474654,0,0.150537634,0.039938556,341,310,0.523809524,0.476190476,,,,,,,,,,,0
Romulus Virtual Learning Center,2.63012E+11,Romulus Community Schools,2630120,245,5.5,44.55,191,0,191,,,,,0.004081633,0,0.771428571,0.036734694,0,0.159183673,0.028571429,135,110,0.551020408,0.448979592,6,13,13,26,18,30,,,,,
Roosevelt High School,2.63654E+11,Wyandotte School District Of The City Of,2636540,1349,66,20.44,584,65,649,443,338,321,247,0.008895478,0.00222387,0.034099333,0.131949592,0.003706449,0.782802076,0.036323202,694,655,0.514455152,0.485544848,,,,,,,,,,,
Roscommon High School,2.61583E+11,Roscommon Area Public Schools,2615830,362,20.54,17.62,157,10,167,64,89,63,69,0.005524862,0.011049724,0.005524862,0.022099448,0,0.936464088,0.019337017,186,176,0.513812155,0.486187845,,,,,,,,0,77,,
Roseville High School,2.63021E+11,Roseville Community Schools,2630210,1230,59.6,20.64,797,56,853,332,293,325,280,0.003252033,0.015447154,0.42601626,0.02195122,0.001626016,0.464227642,0.067479675,677,553,0.550406504,0.449593496,,,,,,,,,,,
Royal Oak High School,2.6303E+11,Royal Oak Schools,2630300,1392,118.6,11.74,313,28,341,340,365,323,364,0.002873563,0.021551724,0.083333333,0.046695402,0.001436782,0.780890805,0.063218391,682,710,0.489942529,0.510057471,,,,,,,,,,,
Rudyard Area Schools,2.63036E+11,Rudyard Area Schools,2630360,627,42.2,14.86,353,55,408,,,,,0.370015949,0.012759171,0.025518341,0.004784689,0,0.583732057,0.003189793,306,321,0.488038278,0.511961722,48,60,41,44,42,,,,,–,
Saginaw Arts and Sciences Academy,2.63039E+11,Saginaw School District Of The City Of,2630390,412,29,14.21,136,16,152,67,60,43,,0,0.155339806,0.247572816,0.072815534,0.004854369,0.509708738,0.009708738,179,233,0.434466019,0.565533981,,,,,,,68,66,61,,
Saginaw Correctional Facility,2.6E+11,Michigan Department Of Corrections,2600001,6,0,†,‡,‡,‡,0,0,0,0,0,0,0.833333333,0,0,0.166666667,0,6,0,1,0,,,,,,,,,,,6
Saginaw County Juvenile Center,2.68093E+11,Saginaw Isd,2680930,15,4,3.75,12,0,12,2,,,,0,0,0.733333333,0,0,0.266666667,0,13,2,0.866666667,0.133333333,,,,,0,0,0,2,1,,
Saginaw Covenant Academy,2.60111E+11,Saginaw Covenant Academy,2601106,102,7,14.57,102,0,102,30,33,25,14,0,0,0.588235294,0.176470588,0,0.156862745,0.078431373,48,54,0.470588235,0.529411765,,,,,,,,,,,
Saginaw High School,2.63039E+11,Saginaw School District Of The City Of,2630390,413,28,14.75,353,9,362,118,103,84,105,0.002421308,0,0.895883777,0.04842615,0.014527845,0.02905569,0.00968523,230,183,0.556900726,0.443099274,,,,,,,,,,,3
Saginaw ISD Transitions Center,2.68093E+11,Saginaw Isd,2680930,8,11,0.73,‡,‡,‡,,,,,0,0,0.5,0,0,0.375,0.125,8,0,1,0,0,0,1,1,0,2,,,,,
SAIL Skills for Adult Independent Living,2.68052E+11,Ingham Isd,2680520,15,2,7.5,9,0,9,0,0,0,0,0,0,0.066666667,0.066666667,0,0.866666667,0,9,6,0.6,0.4,,,,,,,,,,,15
Salem High School,2.62856E+11,Plymouth-canton Community Schools,2628560,1941,95.1,20.41,356,28,384,477,487,479,,0.004121587,0.194229778,0.097887687,0.048428645,0,0.608964451,0.046367852,993,948,0.511591963,0.488408037,,,,,,,0,0,0,,
Saline Alternative High School,2.63066E+11,Saline Area Schools,2630660,42,1,42,16,2,18,0,10,16,16,0,0,0.071428571,0.047619048,0,0.761904762,0.119047619,23,19,0.547619048,0.452380952,,,,,,,,,,,
Saline High School,2.63066E+11,Saline Area Schools,2630660,1666,88.75,18.77,157,19,176,426,409,398,433,0.007202881,0.052220888,0.014405762,0.030612245,0.00060024,0.851740696,0.043217287,867,799,0.520408163,0.479591837,,,,,,,,,,,
Sand Creek High School,2.63078E+11,Sand Creek Community Schools,2630780,444,24.05,18.46,177,18,195,64,62,75,,0,0.006756757,0.002252252,0.065315315,0,0.90990991,0.015765766,232,212,0.522522523,0.477477477,,,,,,,48,77,62,,
Sandusky JuniorSenior High School,2.63084E+11,Sandusky Community School District,2630840,470,20.51,22.92,173,22,195,90,72,74,77,0.006382979,0.008510638,0,0.05106383,0,0.931914894,0.00212766,219,251,0.465957447,0.534042553,,,,,,,,85,72,,
Sanilac Career Center,2.68097E+11,Sanilac Isd,2680965,0,12,0,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Sanilac ISD Special Education Services,2.68097E+11,Sanilac Isd,2680965,56,13.21,4.24,29,2,31,,,,,0,0,0.035714286,0.017857143,0,0.946428571,0,33,23,0.589285714,0.410714286,3,2,7,3,4,,,,,–,
