school_name,school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9,10,11,12,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,White,Two or MoreRaces,Male,Female,Male_Pct,Female_Pct,KG,1,2,3,4,5,6,7,8,PK,Ungraded
Bellaire MiddleHigh School,2.60462E+11,Bellaire Public Schools,2604620,172,12.86,13.37,63,7,70,27,21,30,,0.01744186,0,0,0.046511628,0,0.889534884,0.046511628,88,84,0.511627907,0.488372093,,,,,,,21,25,18,,
Bellamy Creek Correctional Facility,2.6E+11,Michigan Department Of Corrections,2600001,8,0,†,‡,‡,‡,0,0,0,0,0,0,0.5,0,0,0.5,0,8,0,1,0,,,,,,,,,,,8
Belleville High School,2.63456E+11,Van Buren Public Schools,2634560,1790,76.5,23.4,793,70,863,520,469,405,393,0.003910615,0.011173184,0.467597765,0.044692737,0,0.437430168,0.035195531,926,864,0.517318436,0.482681564,,,,,,,,0,0,,
Bellevue JrSr High School,2.60465E+11,Bellevue Community Schools,2604650,283,12.5,22.64,132,6,138,62,43,38,47,0,0.003533569,0.035335689,0.024734982,0.007067138,0.901060071,0.028268551,133,150,0.469964664,0.530035336,,,,,,,,45,48,,
Bendle High School,2.60474E+11,Bendle Public Schools,2604740,339,19.4,17.47,289,14,303,94,83,89,73,0.008849558,0,0.076696165,0.04719764,0,0.752212389,0.115044248,182,157,0.536873156,0.463126844,,,,,,,,,,,
Benjamin Carson High School of Science and Medicine,2.6011E+11,Detroit Public Schools Community District,2601103,187,18,10.39,155,0,155,30,36,62,59,0.005347594,0.096256684,0.796791444,0.010695187,0.010695187,0.07486631,0.005347594,69,118,0.368983957,0.631016043,,,,,,,,,,,
Benjamin Franklin Middle School,2.60002E+11,Wayne-westland Community School District,2600015,685,43.1,15.89,456,12,468,3,0,0,,0.005839416,0.011678832,0.413138686,0.061313869,0.001459854,0.437956204,0.068613139,370,315,0.540145985,0.459854015,,,,,,,216,228,238,,
Bentley High School BOLD Academy,2.6048E+11,Bentley Community School District,2604800,35,23.2,1.51,27,2,29,2,3,7,23,0,0,0,0.057142857,0,0.857142857,0.085714286,25,10,0.714285714,0.285714286,,,,,,,,,,,
Bentley Senior High School,2.6048E+11,Bentley Community School District,2604800,250,13.1,19.08,184,26,210,67,65,61,57,0.008,0.008,0.136,0.104,0,0.712,0.032,135,115,0.54,0.46,,,,,,,,,,,
Benton Harbor High School,2.60483E+11,Benton Harbor Area Schools,2604830,475,25,19,451,10,461,137,119,108,111,0.002105263,0.002105263,0.938947368,0.014736842,0.002105263,0.018947368,0.021052632,270,205,0.568421053,0.431578947,,,,,,,,,,,
Benzie Academy,2.60495E+11,Benzie County Central Schools,2604950,94,1.79,52.51,70,3,73,12,20,21,,0.085106383,0.010638298,0.010638298,0.053191489,0,0.819148936,0.021276596,52,42,0.553191489,0.446808511,,,,,,,3,4,5,,
Benzie Central Sr High School,2.60495E+11,Benzie County Central Schools,2604950,330,16.89,19.54,157,9,166,84,104,67,75,0.012121212,0.012121212,0.003030303,0.045454545,0.003030303,0.9,0.024242424,169,161,0.512121212,0.487878788,,,,,,,,,,,
Berkley High School,2.60501E+11,Berkley School District,2605010,1259,71.7,17.56,215,9,224,301,315,285,346,0.000794281,0.021445592,0.170770453,0.034154091,0,0.746624305,0.026211279,600,659,0.476568705,0.523431295,,,,,,,,,0,,12
Berrien County Juvenile Center,2.68016E+11,Berrien Resa,2680160,19,4,4.75,16,0,16,4,7,3,,0,0,0.631578947,0,0,0.263157895,0.105263158,16,3,0.842105263,0.157894737,,,,,,,1,1,1,,
Berrien Springs Discovery Academy,2.60543E+11,Berrien Springs Public Schools,2605430,85,3,28.33,58,2,60,13,22,18,32,0,0,0.164705882,0.176470588,0.011764706,0.635294118,0.011764706,45,40,0.529411765,0.470588235,,,,,,,,,,,
Berrien Springs High School,2.60543E+11,Berrien Springs Public Schools,2605430,527,29.67,17.76,239,28,267,162,127,138,100,0.001897533,0.062618596,0.229601518,0.165085389,0.013282732,0.478178368,0.049335863,285,242,0.540796964,0.459203036,,,,,,,,,,,
Berrien Springs Virtual Academy,2.60543E+11,Berrien Springs Public Schools,2605430,125,6.62,18.88,77,1,78,,,,,0.008,0.008,0.176,0.16,0,0.544,0.104,55,70,0.44,0.56,2,10,7,7,4,8,,,,,
Bert Goens Learning Center,2.68099E+11,Van Buren Isd,2680985,75,28.82,2.6,35,2,37,,,,,0,0,0.053333333,0.213333333,0,0.706666667,0.026666667,49,26,0.653333333,0.346666667,0,2,4,2,3,,,,,–,
Bethany Based School,2.61644E+11,Grand Rapids Public Schools,2616440,21,2.4,8.75,12,0,12,5,,,,0,0,0.047619048,0.047619048,0,0.857142857,0.047619048,21,0,1,0,,,,,0,0,0,0,1,,
Big Bay De Noc School,2.60569E+11,Big Bay De Noc School District,2605690,175,8.94,19.57,102,3,105,,,,,0.188571429,0,0,0.057142857,0,0.588571429,0.165714286,100,75,0.571428571,0.428571429,18,17,8,11,11,,,,,–,
Big Rapids High School,2.60578E+11,Big Rapids Public Schools,2605780,650,29.2,22.26,240,27,267,191,183,149,127,0.001538462,0.009230769,0.027692308,0.013846154,0,0.92,0.027692308,348,302,0.535384615,0.464615385,,,,,,,,,,,
Big Rapids Virtual School,2.60578E+11,Big Rapids Public Schools,2605780,139,2,69.5,89,6,95,,,,,0,0.007194245,0.014388489,0.043165468,0,0.841726619,0.09352518,63,76,0.45323741,0.54676259,5,2,4,6,5,4,,,,,
Birch Run High School,2.60582E+11,Birch Run Area Schools,2605820,618,27.07,22.83,245,32,277,169,154,155,140,0.009708738,0.001618123,0.017799353,0.074433657,0,0.868932039,0.027508091,309,309,0.5,0.5,,,,,,,,,,,
Birch Run Progressive High School,2.60582E+11,Birch Run Area Schools,2605820,22,0.75,29.33,13,1,14,1,0,3,18,0.045454545,0.090909091,0.090909091,0.090909091,0,0.681818182,0,14,8,0.636363636,0.363636364,,,,,,,,,,,
Black River Public School MiddleHigh,2.60011E+11,Black River Public School,2600114,508,40.17,12.65,95,9,104,82,67,73,,0,0.035433071,0.021653543,0.214566929,0,0.655511811,0.072834646,247,261,0.486220472,0.513779528,,,,,,,70,81,78,,
Blended Learning Academies Credit Recovery High School,2.60107E+11,Blended Learning Academies Credit Recovery High School,2601072,123,6,20.5,83,1,84,34,37,28,24,0.016260163,0.008130081,0.146341463,0.203252033,0,0.544715447,0.081300813,66,57,0.536585366,0.463414634,,,,,,,,,,,
Blended Learning Academies Credit Recovery High School Liv,2.60107E+11,Blended Learning Academies Credit Recovery High School,2601072,18,2,9,11,0,11,4,8,5,1,0,0,0.222222222,0,0,0.777777778,0,12,6,0.666666667,0.333333333,,,,,,,,,,,
Blissfield High School,2.606E+11,Blissfield Community Schools,2606000,355,22.7,15.64,102,8,110,92,90,91,82,0,0.002816901,0.014084507,0.107042254,0,0.870422535,0.005633803,185,170,0.521126761,0.478873239,,,,,,,,,,,
Bloomfield Hills High School,2.60609E+11,Bloomfield Hills Schools,2606090,1715,108.67,15.78,216,21,237,410,422,396,487,0.00058309,0.085714286,0.089795918,0.040233236,0.00058309,0.732944606,0.050145773,859,856,0.500874636,0.499125364,,,,,,,,,,,
Bloomingdale Middle and High School,2.60627E+11,Bloomingdale Public School District,2606270,589,36.34,16.21,403,44,447,110,105,60,,0.005093379,0.003395586,0.0475382,0.417657046,0,0.512733447,0.013582343,292,297,0.495755518,0.504244482,,,,,,,78,77,75,,
Blossomland Learning Center,2.68016E+11,Berrien Resa,2680160,135,26,5.19,82,7,89,,,,,0,0.02962963,0.355555556,0.066666667,0,0.525925926,0.022222222,70,65,0.518518519,0.481481481,11,9,8,0,8,,,,,–,
Blue Water Middle College Academy,2.60099E+11,Blue Water Middle College,2600992,296,19.22,15.4,119,2,121,0,8,17,271,0,0.003378378,0.040540541,0.043918919,0,0.888513514,0.023648649,96,200,0.324324324,0.675675676,,,,,,,,,,,
Boyne City High School,2.6065E+11,Boyne City Public Schools,2606500,436,25.52,17.08,132,9,141,112,118,102,104,0.006880734,0.01146789,0,0.038990826,0.002293578,0.915137615,0.025229358,195,241,0.447247706,0.552752294,,,,,,,,,0,,
Boyne Falls Public School,2.60651E+11,Boyne Falls Public School District,2606510,178,17.06,10.43,107,13,120,,,,,0.011235955,0.005617978,0.011235955,0.011235955,0,0.91011236,0.050561798,97,81,0.54494382,0.45505618,14,20,18,23,12,,,,,–,
Boys To Men Group Home,2.61995E+11,Kalamazoo Public Schools,2619950,0,0,†,–,–,–,0,0,0,,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,0,0,0,,
Bozymowski Center,2.68072E+11,Macomb Isd,2680720,243,64,3.8,117,9,126,,,,,0.004115226,0.041152263,0.164609053,0.016460905,0.012345679,0.736625514,0.024691358,197,46,0.810699588,0.189300412,2,4,5,13,29,,,,,–,
Bradford Academy,2.60028E+11,Bradford Academy,2600284,1067,50.2,21.25,931,22,953,,,,,0,0,0.982193065,0.003748828,0,0.000937207,0.0131209,548,519,0.513589503,0.486410497,80,86,83,79,71,,,,,–,
Branch Area Careers Center,2.68018E+11,Branch Isd,2680180,0,21,0,–,–,–,,,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Brandon High School,2.60657E+11,Brandon School District In The Counties Of Oakland And Lapee,2606570,774,36,21.5,240,25,265,177,205,189,203,0.009043928,0.024547804,0.028423773,0.07881137,0,0.833333333,0.025839793,392,382,0.506459948,0.493540052,,,,,,,,0,0,,
Brandywine Innovation Academy,2.6066E+11,Brandywine Community Schools,2606600,84,2,42,50,3,53,17,15,20,,0.011904762,0,0.011904762,0.011904762,0,0.857142857,0.107142857,42,42,0.5,0.5,,,,,,,0,4,6,,
Brandywine Senior High School,2.6066E+11,Brandywine Community Schools,2606600,382,19.5,19.59,152,16,168,137,89,90,66,0.015706806,0.005235602,0.039267016,0.073298429,0,0.803664921,0.062827225,188,194,0.492146597,0.507853403,,,,,,,,,,,
Breckenridge High School,2.60663E+11,Breckenridge Community Schools,2606630,331,19.46,17.01,154,22,176,37,46,56,,0.003021148,0.003021148,0.003021148,0.081570997,0,0.888217523,0.021148036,164,167,0.495468278,0.504531722,,,,,,,44,51,51,,
Breithaupt Career and Technical Center,2.6011E+11,Detroit Public Schools Community District,2601103,0,13,0,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Brethren High School,2.62001E+11,Kaleva Norman Dickson School District,2620010,182,11.16,16.31,124,7,131,43,55,48,36,0.049450549,0,0.021978022,0.049450549,0.021978022,0.818681319,0.038461538,90,92,0.494505495,0.505494505,,,,,,,,,,,
Bridge Academy,2.60031E+11,Bridge Academy,2600306,413,5.75,71.83,410,0,410,102,115,104,92,0,0.10653753,0.024213075,0.004842615,0,0.86440678,0,126,287,0.305084746,0.694915254,,,,,,,,,,,
Bridge Academy of Southwest Michigan,2.60114E+11,Bridge Academy Of Southwest Michigan,2601136,72,3.5,20.57,58,0,58,31,23,14,4,0,0,0.694444444,0.138888889,0,0.152777778,0.013888889,32,40,0.444444444,0.555555556,,,,,,,,,,,
Bridge Alternative High School,2.60687E+11,Brighton Area Schools,2606870,76,5.8,13.1,37,7,44,3,12,22,39,0,0,0,0.013157895,0,0.934210526,0.052631579,47,29,0.618421053,0.381578947,,,,,,,,,,,
Bridgeport High School,2.60678E+11,Bridgeport-spaulding Community School District,2606780,564,27.15,20.77,477,7,484,157,144,142,110,0.00177305,0,0.712765957,0.115248227,0.00177305,0.127659574,0.040780142,310,254,0.54964539,0.45035461,,,,,,,,,,,11
Bridgman High School,2.60684E+11,Bridgman Public Schools,2606840,275,19.6,14.03,75,10,85,77,69,63,66,0,0.021818182,0.021818182,0.043636364,0,0.876363636,0.036363636,131,144,0.476363636,0.523636364,,,,,,,,,,,
Brighton High School,2.60687E+11,Brighton Area Schools,2606870,1963,102.8,19.1,193,16,209,489,493,477,504,0.002037697,0.016811004,0.004584819,0.046357616,0.001018849,0.90626592,0.022924096,968,995,0.493122771,0.506877229,,,,,,,,,,,
Brimley Area School,2.6069E+11,Brimley Area Schools,2606900,484,34.79,13.91,205,241,446,,,,,0.493801653,0.004132231,0.010330579,0.018595041,0,0.464876033,0.008264463,253,231,0.522727273,0.477272727,25,26,38,34,27,,,,,–,
Britton Deerfield SchoolsBritton Building,2.60693E+11,Britton Deerfield Schools,2606930,276,14,19.71,113,19,132,,,,,0,0.003623188,0.003623188,0.043478261,0,0.916666667,0.032608696,140,136,0.507246377,0.492753623,33,27,19,30,0,,,,,–,
Bronson JrSr High School,2.60696E+11,Bronson Community School District,2606960,545,25,21.8,283,43,326,91,82,76,,0,0.005504587,0.001834862,0.203669725,0,0.774311927,0.014678899,292,253,0.535779817,0.464220183,,,,,,,80,61,72,,
Brooks Correctional Facility,2.6E+11,Michigan Department Of Corrections,2600001,0,0,†,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Brookside Learning Center,2.68022E+11,Heritage Southwest Intermediate School District,2680220,50,14,3.57,28,1,29,,,,,0.02,0,0.08,0.1,0,0.7,0.1,30,20,0.6,0.4,4,7,5,4,6,,,,,–,
Brown City High School,2.60704E+11,Brown City Community Schools,2607040,362,16.45,22.01,179,23,202,58,51,69,64,0.002762431,0.005524862,0.019337017,0.024861878,0,0.94198895,0.005524862,189,173,0.522099448,0.477900552,,,,,,,,51,69,,
Buchanan High School,2.60714E+11,Buchanan Community Schools,2607140,537,32.2,16.68,187,20,207,119,105,97,104,0.005586592,0.001862197,0.026070764,0.027932961,0,0.886405959,0.052141527,259,278,0.482309125,0.517690875,,,,,,,,,112,,
Buchanan Step Up,2.60714E+11,Buchanan Community Schools,2607140,25,1.75,14.29,19,0,19,,,,,0,0,0.04,0.04,0,0.76,0.16,11,14,0.44,0.56,0,0,0,0,0,0,,,,,
Buchanan Virtual Academy,2.60714E+11,Buchanan Community Schools,2607140,110,1.75,62.86,59,4,63,,,,,0,0,0.045454545,0.063636364,0,0.7,0.190909091,48,62,0.436363636,0.563636364,1,1,3,4,1,5,,,,,
Buckley Community Schools,2.60717E+11,Buckley Community Schools,2607170,468,29.79,15.71,200,37,237,,,,,0,0.004273504,0.010683761,0.025641026,0,0.944444444,0.014957265,264,204,0.564102564,0.435897436,51,29,36,35,39,,,,,–,
Bullock Creek High School,2.60732E+11,Bullock Creek School District,2607320,518,27.4,18.91,138,16,154,125,142,100,151,0.003861004,0.007722008,0.00965251,0.021235521,0.001930502,0.932432432,0.023166023,247,271,0.476833977,0.523166023,,,,,,,,,,,
Burger Development Center,2.61554E+11,Garden City Public Schools,2615540,118,44,2.68,55,4,59,,,,,0,0.059322034,0.288135593,0.042372881,0,0.601694915,0.008474576,94,24,0.796610169,0.203389831,0,0,0,2,3,6,,,,,
Burr Oak High School,2.60741E+11,Burr Oak Community School District,2607410,80,3.48,22.99,55,9,64,18,25,18,19,0,0,0.0125,0.125,0,0.85,0.0125,44,36,0.55,0.45,,,,,,,,,,,
Burr Oak Virtual Academy,2.60741E+11,Burr Oak Community School District,2607410,167,0,†,127,7,134,,,,,0.035928144,0,0.137724551,0.125748503,0,0.610778443,0.089820359,62,105,0.371257485,0.628742515,7,6,3,6,8,6,,,,,
Burt Township School,2.60747E+11,Burt Township School District,2607470,29,6,4.83,23,0,23,,,,,0.137931034,0,0,0,0,0.827586207,0.034482759,16,13,0.551724138,0.448275862,2,1,5,1,3,2,,,,,
Byron Area High School,2.60753E+11,Byron Area Schools,2607530,261,13.37,19.52,87,7,94,63,44,66,88,0.011494253,0.003831418,0,0.022988506,0,0.927203065,0.034482759,128,133,0.490421456,0.509578544,,,,,,,,,,,
Byron Center Charter School,2.6001E+11,Byron Center Charter School,2600096,197,17.11,11.51,71,18,89,,,,,0,0.005076142,0.015228426,0.106598985,0,0.847715736,0.025380711,93,104,0.472081218,0.527918782,16,9,16,16,13,21,,,,,
Byron Center High School,2.60756E+11,Byron Center Public Schools,2607560,1306,77.09,16.94,218,38,256,376,332,303,295,0.006125574,0.041347626,0.01914242,0.086523737,0.000765697,0.797856049,0.048238897,644,662,0.493108729,0.506891271,,,,,,,,,,,0
CA Alternative EdAtlantis,2.60789E+11,Carman-ainsworth Community Schools,2607890,80,2.9,27.59,66,1,67,21,22,16,20,0,0,0.6125,0.025,0,0.2625,0.1,43,37,0.5375,0.4625,,,,,,,,0,1,,
CA Frost Environmental Science Academy Middle High School,2.61644E+11,Grand Rapids Public Schools,2616440,367,19,19.32,222,41,263,53,57,48,,0.008174387,0.005449591,0.201634877,0.280653951,0,0.414168937,0.089918256,182,185,0.495912807,0.504087193,,,,,,,50,55,63,,
Cadillac Innovation High School,2.60759E+11,Cadillac Area Public Schools,2607590,148,5.21,28.41,108,5,113,40,41,42,25,0.006756757,0,0,0.02027027,0,0.945945946,0.027027027,76,72,0.513513514,0.486486486,,,,,,,,,,,
Cadillac Senior High School,2.60759E+11,Cadillac Area Public Schools,2607590,899,39.34,22.85,366,45,411,274,215,208,202,0.004449388,0.006674082,0.012235818,0.03003337,0.003337041,0.917686318,0.025583982,461,438,0.512791991,0.487208009,,,,,,,,,,,
Caledonia High School,2.60762E+11,Caledonia Community Schools,2607620,1500,68.73,21.82,218,36,254,413,364,351,372,0,0.020666667,0.010666667,0.066666667,0.000666667,0.854,0.047333333,796,704,0.530666667,0.469333333,,,,,,,,,,,
Calhoun Area Career Center,2.6802E+11,Calhoun Intermediate School District,2680200,0,19.66,0,–,–,–,,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Calhoun County Juvenile Home,2.6802E+11,Calhoun Intermediate School District,2680200,15,4,3.75,10,0,10,2,,,,0,0,0.2,0,0,0.8,0,11,4,0.733333333,0.266666667,,,,,0,0,0,1,0,,
Calumet High School,2.60769E+11,Public Schools Of Calumet Laurium & Keweenaw,2607690,491,26.04,18.86,181,36,217,113,110,110,158,0,0,0.00814664,0.00610998,0,0.971486762,0.014256619,238,253,0.484725051,0.515274949,,,,,,,,,,,
Cambridge Alternative High School,2.61554E+11,Garden City Public Schools,2615540,305,12.5,24.4,214,9,223,21,89,102,93,0.003278689,0.003278689,0.298360656,0.032786885,0,0.632786885,0.029508197,175,130,0.573770492,0.426229508,,,,,,,,,,,
CamdenFrontier K12 School,2.60771E+11,Camden-frontier School,2607710,492,33.93,14.5,249,22,271,,,,,0,0,0.008130081,0.022357724,0,0.953252033,0.016260163,235,257,0.477642276,0.522357724,61,38,38,33,23,36,,,,,
Canton High School,2.62856E+11,Plymouth-canton Community Schools,2628560,1957,96.65,20.25,323,50,373,542,473,,,0.002554931,0.170158406,0.10628513,0.042922841,0.000510986,0.636688809,0.040878896,977,980,0.499233521,0.500766479,,,,,,,0,0,0,–,
Canton Preparatory High School,2.60108E+11,Canton Preparatory High School,2601080,581,25.43,22.85,194,26,220,147,114,109,78,0,0.160068847,0.416523236,0.065404475,0.00172117,0.339070568,0.017211704,268,313,0.461273666,0.538726334,,,,,,,,70,63,,
Capac JrSr High School,2.6078E+11,Capac Community Schools,2607800,331,16.25,20.37,152,14,166,59,60,52,36,0.003021148,0.009063444,0.003021148,0.178247734,0,0.80060423,0.006042296,170,161,0.513595166,0.486404834,,,,,,,,66,58,,
Capac Virtual Education Program,2.6078E+11,Capac Community Schools,2607800,98,10.4,9.42,49,6,55,,,,,0,0.030612245,0,0.153061224,0,0.816326531,0,52,46,0.530612245,0.469387755,2,3,1,0,5,3,,,,,
Capital Area K12 Online,2.62115E+11,Lansing Public School District,2621150,651,12,54.25,480,16,496,,,,,0.001536098,0.055299539,0.360983103,0.21812596,0,0.248847926,0.115207373,341,310,0.523809524,0.476190476,59,52,48,50,55,65,,,,,
CAPS Academy,2.61083E+11,Coopersville Area Public School District,2610830,21,0,†,14,2,16,1,3,5,12,0,0,0.047619048,0.095238095,0,0.80952381,0.047619048,13,8,0.619047619,0.380952381,,,,,,,,,,,
Capstone Academy Charter School SDA South Campus,2.60101E+11,Capstone Academy Charter School (sda),2601013,49,2.8,17.5,49,0,49,6,,,,0,0,0.653061224,0.081632653,0,0.244897959,0.020408163,28,21,0.571428571,0.428571429,,,,,0,0,0,0,3,,
Capstone Academy Charter SchoolMayfield,2.60101E+11,Capstone Academy Charter School (sda),2601013,11,1.1,10,11,0,11,0,,,,0,0,0.363636364,0.090909091,0,0.545454545,0,6,5,0.545454545,0.454545455,,,,,0,0,0,0,0,,
CapstoneWayne Co Juvenile Detention Fac,2.60101E+11,Capstone Academy Charter School (sda),2601013,74,3.35,22.09,71,0,71,22,,,,0,0.013513514,0.851351351,0,0,0.135135135,0,61,13,0.824324324,0.175675676,,,,,0,0,1,2,8,,
Career and Alternative Pathways to Education Center,2.60483E+11,Benton Harbor Area Schools,2604830,96,2.5,38.4,95,0,95,14,19,26,,0,0,0.9375,0.010416667,0,0,0.052083333,37,59,0.385416667,0.614583333,,,,,,,2,2,11,,
Career and Technical Education,2.68051E+11,Copper Country Isd,2680505,0,7.25,0,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Career and Technical Education Center,2.68056E+11,Iosco Resa,2680560,0,6,0,–,–,–,,,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Career Connections Academy,2.63555E+11,Wayland Union Schools,2635550,35,1,35,19,0,19,0,6,11,18,0,0,0.028571429,0.085714286,0,0.771428571,0.114285714,23,12,0.657142857,0.342857143,,,,,,,,,,,
Career Development School,2.61638E+11,Grand Haven Area Public Schools,2616380,9,0.14,64.29,4,0,4,0,0,0,9,0,0,0,0.111111111,0,0.888888889,0,6,3,0.666666667,0.333333333,,,,,,,,,,,
Career Opportunities Center,2.63039E+11,Saginaw School District Of The City Of,2630390,9,24.6,0.37,0,3,3,0,0,4,5,0,0,0.222222222,0.111111111,0,0.555555556,0.111111111,8,1,0.888888889,0.111111111,,,,,,,,,,,
Career Preparation,2.62613E+11,Novi Community School District,2626130,34,2.28,14.91,16,0,16,0,1,4,29,0,0.088235294,0.117647059,0.058823529,0,0.647058824,0.088235294,18,16,0.529411765,0.470588235,,,,,,,,,,,
Career Preparation Center,2.63519E+11,Warren Consolidated Schools,2635190,0,15,0,–,–,–,,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Careerline Tech Center,2.6809E+11,Ottawa Area Isd,2680900,0,34,0,–,–,–,,,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
CarmanAinsworth High School,2.60789E+11,Carman-ainsworth Community Schools,2607890,1138,59.7,19.06,797,65,862,330,292,249,267,0.001757469,0.010544815,0.589630931,0.040421793,0,0.246924429,0.110720562,569,569,0.5,0.5,,,,,,,,,0,,
CarneyNadeau Public School,2.60801E+11,Carney-nadeau Public Schools,2608010,242,16.9,14.32,125,24,149,,,,,0.012396694,0,0,0.033057851,0.004132231,0.91322314,0.037190083,128,114,0.52892562,0.47107438,16,19,15,22,14,,,,,–,
Caro Alternative High School,2.60804E+11,Caro Community Schools,2608040,61,2.17,28.11,41,1,42,0,6,15,38,0,0,0.016393443,0.032786885,0,0.93442623,0.016393443,31,30,0.508196721,0.491803279,,,,,,,,0,0,,
Caro High School,2.60804E+11,Caro Community Schools,2608040,441,22.98,19.19,201,20,221,115,127,93,99,0.006802721,0.011337868,0.006802721,0.063492063,0,0.884353741,0.027210884,227,214,0.514739229,0.485260771,,,,,,,,,,,7
Carrollton High School,2.60807E+11,Carrollton Public Schools,2608070,498,25.1,19.84,335,42,377,140,139,127,88,0,0.002008032,0.319277108,0.240963855,0,0.397590361,0.040160643,254,244,0.510040161,0.489959839,,,,,,,,,0,,4
Carson City Correctional Facility,2.6E+11,Michigan Department Of Corrections,2600001,0,0,†,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Carson CityCrystal Alternative Academy,2.60813E+11,Carson City-crystal Area Schools,2608130,49,1,49,39,1,40,4,11,13,,0.020408163,0,0,0.06122449,0.040816327,0.87755102,0,26,23,0.530612245,0.469387755,,,,,,,0,0,1,,
Carson CityCrystal High School,2.60813E+11,Carson City-crystal Area Schools,2608130,260,11.45,22.71,117,10,127,59,69,55,77,0.003846154,0,0.003846154,0.069230769,0,0.911538462,0.011538462,140,120,0.538461538,0.461538462,,,,,,,,,,,
CarsonvillePort Sanilac HS,2.60816E+11,Carsonville-port Sanilac School District,2608160,174,9.55,18.22,92,16,108,20,18,27,,0.005747126,0,0.022988506,0.005747126,0,0.965517241,0,92,82,0.528735632,0.471264368,,,,,,,23,29,32,,
CarsonvillePort Sanilac Learning Center,2.60816E+11,Carsonville-port Sanilac School District,2608160,48,0.17,282.35,35,2,37,9,10,15,,0.020833333,0,0,0.041666667,0,0.9375,0,31,17,0.645833333,0.354166667,,,,,,,3,2,4,,
CASA,2.61428E+11,Ferndale Public Schools,2614280,0,1.3,0,–,–,–,0,0,0,0,,,,,,,,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,
Caseville School K12,2.60828E+11,Caseville Public Schools,2608280,248,16.9,14.67,150,19,169,,,,,0.008064516,0.004032258,0.024193548,0.056451613,0,0.907258065,0,128,120,0.516129032,0.483870968,20,18,17,12,15,,,,,–,
Casman Alternative Academy,2.60015E+11,Casman Alternative Academy,2600152,65,5.02,12.95,62,0,62,28,17,6,3,0.046153846,0,0.030769231,0.092307692,0,0.738461538,0.092307692,27,38,0.415384615,0.584615385,,,,,,,,7,4,,
Cass City Jr and Sr High School,2.6084E+11,Cass City Public Schools,2608400,454,21.69,20.93,181,30,211,88,85,62,62,0,0.011013216,0.008810573,0.046255507,0.002202643,0.920704846,0.011013216,240,214,0.528634361,0.471365639,,,,,,,,76,81,,
Cass Technical High School,2.6011E+11,Detroit Public Schools Community District,2601103,2405,100.5,23.93,"1,346",34,"1,380",587,637,606,575,0.002494802,0.092723493,0.761746362,0.115176715,0.0004158,0.023700624,0.003742204,842,1563,0.35010395,0.64989605,,,,,,,,,,,
Cassopolis Alternative Ed,2.60843E+11,Cassopolis Public Schools,2608430,10,0.15,66.67,2,1,3,0,3,2,5,0,0,0.2,0.1,0,0.7,0,6,4,0.6,0.4,,,,,,,,,,,
Cassopolis High School,2.60843E+11,Cassopolis Public Schools,2608430,280,13.78,20.32,148,10,158,83,67,64,66,0.010714286,0.014285714,0.132142857,0.071428571,0,0.6,0.171428571,140,140,0.5,0.5,,,,,,,,,,,
Cedar Springs High School,2.60852E+11,Cedar Springs Public Schools,2608520,1108,48.48,22.85,331,42,373,268,272,262,306,0.007220217,0.007220217,0.008122744,0.064981949,0,0.863718412,0.048736462,554,554,0.5,0.5,,,,,,,,,,,
Cedar Street Community and Family Center,2.62766E+11,Paw Paw Public School District,2627660,112,3.65,30.68,58,0,58,,,,,0,0,0,0.080357143,0,0.857142857,0.0625,45,67,0.401785714,0.598214286,2,0,5,5,5,,,,,–,
Cedarville School,2.62142E+11,Les Cheneaux Community Schools,2621420,208,16.05,12.96,67,6,73,,,,,0.3125,0,0.004807692,0.014423077,0,0.649038462,0.019230769,98,110,0.471153846,0.528846154,18,18,20,13,18,,,,,–,
Center for Innovation,2.62118E+11,Lapeer Community Schools,2621180,193,15.65,12.33,120,4,124,,,,,0,0,0.015544041,0.07253886,0,0.886010363,0.025906736,114,79,0.590673575,0.409326425,21,19,11,18,12,,,,,–,
Center for Success at Pleasant View,2.62115E+11,Lansing Public School District,2621150,21,0,†,16,0,16,1,3,5,12,0,0,0.238095238,0.238095238,0,0.285714286,0.238095238,8,13,0.380952381,0.619047619,,,,,,,,0,0,,
