PopularName_Score,ProperName_Score,MHSAA_SchoolId,SchoolInfo_Index,Matched_School_Name
67,76,4024,512,hanoverhorton high school
52,67,4025,894,north edbridgeway
61,77,4026,621,jackson pathways
59,59,4027,785,marion high school
53,100,4028,1039,riverside academy
54,62,4029,493,greenfield school
81,62,4030,1126,sterling heights senior hs
68,82,4031,1369,grand rapids christian high school
77,69,4032,75,battle creek central high school
56,69,4033,787,marquette branch prison
67,84,4034,161,byron center high school
60,73,4035,1119,st joseph high school
67,62,4036,1322,battle creek academy
55,59,4037,1255,way eau claire
64,93,4038,1245,waterford mott high school
57,71,4039,1116,st clair high school
77,84,4040,1230,walled lake northern high school
65,76,4041,1063,saginaw covenant academy
73,69,4042,705,learning center
62,67,4043,1213,veritas
67,77,4044,294,coopersville high school
60,73,4045,756,ludington high school
55,48,4046,385,edsel ford high school
70,77,4047,1432,rochester hills christian school
60,75,4048,865,muskegon river youth home
57,78,4049,654,kelloggsville high school
57,71,4050,998,plymouth high school
60,73,4051,873,new haven high school
60,73,4052,255,clarkston high school
57,71,4053,282,comstock high school
48,50,4054,143,brighton high school
60,73,4055,1076,saugatuck high school
89,100,4056,1333,cadillac heritage christian school
67,81,4057,1156,tekonsha schools
55,61,4058,9,ace
50,58,4059,200,casa
62,74,4060,795,marysville high school
67,53,4061,200,casa
65,100,4062,1316,algoma christian school
47,58,4063,1257,way niles
54,59,4064,407,farwell high school
47,79,4065,299,correctional services
70,79,4066,929,ogemaw heights high school
54,69,4067,814,merrill high school
67,77,4068,730,lincoln park high school
85,88,4069,1440,southfield christian school
55,62,4070,1122,standishsterling central jrsr high school
61,63,4071,1202,utica high school
67,67,4072,519,harper woods virtual academy
77,69,4073,384,edison
57,71,4074,384,edison
62,74,4075,126,boyne city high school
87,100,4076,1407,michigan lutheran seminary
56,74,4077,1413,new life christian academy
56,62,4078,1353,eton academy
77,69,4079,384,edison
65,76,4080,1233,warren mott high school
57,72,4081,341,detroit school of arts
57,71,4082,979,petoskey high school
83,83,4083,213,central academy
67,71,4084,613,ishpeming high school
71,59,4085,122,bloomfield hills high school
68,78,4086,1291,whitmore lake high school
76,100,4087,1314,academy of the sacred heart
77,72,4088,1291,whitmore lake high school
57,79,4089,1042,riverview east high school
57,53,4090,717,lifetech academy
57,71,4091,142,bridgman high school
52,69,4092,1380,huron valley lutheran high school
