,school_id,school_name,enrollment_total,enrollment_classification,division,level,match
102,1040,Roseville HS,1221,1221,A,high_school,roseville hs
103,3573,Oak Park HS,1215,1215,A,high_school,oak park hs
104,3920,East Lansing HS,1211,1211,A,high_school,east lansing hs
105,4778,Port Huron HS,1211,1211,A,high_school,port huron hs
106,1033,Wyoming HS,1205,1205,A,high_school,wyoming hs
107,5306,Warren - De La Salle Collegiate,602,1204,B,high_school,warren - de la salle collegiate
108,6527,Waterford Kettering HS,1200,1200,A,high_school,waterford kettering hs
109,2633,Jackson HS,1195,1195,A,high_school,jackson hs
110,2542,Byron Center HS,1189,1189,A,high_school,byron center hs
111,2071,Dexter HS,1188,1188,A,high_school,dexter hs
112,8127,Alpena HS,1180,1180,A,high_school,alpena hs
113,1387,Lansing - Everett HS,1178,1178,A,high_school,lansing - everett hs
114,6964,Grand Rapids - Forest Hills Northern HS,1177,1177,A,high_school,grand rapids - forest hills northern hs
115,3854,Walled Lake Western HS,1177,1177,A,high_school,walled lake western hs
116,1791,Warren Woods-Tower HS,1174,1174,A,high_school,warren woods-tower hs
117,7822,Grosse Pointe North HS,1171,1171,A,high_school,grosse pointe north hs
118,5727,Detroit - Renaissance HS,1171,1171,A,high_school,detroit - renaissance hs
119,5355,Grand Rapids - Forest Hills Central HS,1165,1165,A,high_school,grand rapids - forest hills central hs
120,4803,Swartz Creek HS,1164,1164,A,high_school,swartz creek hs
121,7335,Grand Rapids - Ottawa Hills HS,1159,1159,A,high_school,grand rapids - ottawa hills hs
122,5438,Fenton HS,1158,1158,A,high_school,fenton hs
123,4290,Flint - Carman-Ainsworth HS,1155,1155,A,high_school,flint - carman-ainsworth hs
124,3524,Auburn - Bay City Western HS,1153,1153,A,high_school,auburn - bay city western hs
125,5925,Hamtramck HS,1152,1152,A,high_school,hamtramck hs
126,2682,Battle Creek - Central HS,1146,1146,A,high_school,battle creek - central hs
127,4027,Mattawan HS,1146,1146,A,high_school,mattawan hs
128,5157,Allen Park HS,1140,1140,A,high_school,allen park hs
129,7665,Redford - Thurston HS,1123,1123,A,high_school,redford - thurston hs
130,9976,South Lyon East HS,1121,1121,A,high_school,south lyon east hs
131,2823,Muskegon - Reeths-Puffer HS,1118,1118,A,high_school,muskegon - reeths-puffer hs
132,6378,Lowell HS,1107,1107,A,high_school,lowell hs
133,4142,Grand Rapids - Northview HS,1102,1102,A,high_school,grand rapids - northview hs
134,7640,Gibraltar - OA Carlson HS,1093,1093,A,high_school,gibraltar - oa carlson hs
135,7434,Muskegon HS,1082,1082,A,high_school,muskegon hs
136,7517,Cedar Springs HS,1074,1074,A,high_school,cedar springs hs
137,5834,Mt Pleasant HS,1072,1072,A,high_school,mt pleasant hs
138,3367,Greenville HS,1068,1068,A,high_school,greenville hs
139,2492,Auburn Hills - Avondale HS,1055,1055,A,high_school,auburn hills - avondale hs
140,2385,Orchard Lake - St Mary Preparatory HS,523,1046,B,high_school,orchard lake - st mary preparatory hs
141,4266,Holly HS,1042,1042,A,high_school,holly hs
142,7046,St Clair Shores - Lake Shore HS,1039,1039,A,high_school,st clair shores - lake shore hs
143,9920,Zeeland West HS,1037,1037,A,high_school,zeeland west hs
144,7987,Southgate Anderson HS,1034,1034,A,high_school,southgate anderson hs
145,5280,Grand Rapids - Kenowa Hills HS,1033,1033,A,high_school,grand rapids - kenowa hills hs
146,2328,Bloomfield Hills - Brother Rice HS,516,1032,B,high_school,bloomfield hills - brother rice hs
147,2708,St Joseph HS,1020,1020,A,high_school,st joseph hs
148,2055,River Rouge HS,1013,1013,A,high_school,river rouge hs
149,6114,Holland HS,1010,1010,A,high_school,holland hs
150,1354,DeWitt HS,1009,1009,A,high_school,dewitt hs
151,2501,Lansing - Waverly HS,999,999,A,high_school,lansing - waverly hs
152,1070,Ypsilanti Community,985,985,A,high_school,ypsilanti community
153,6667,Sturgis HS,965,965,A,high_school,sturgis hs
154,1288,Coldwater HS,964,964,A,high_school,coldwater hs
155,4712,Flint - Kearsley HS,963,963,A,high_school,flint - kearsley hs
156,2138,Mason HS,955,955,A,high_school,mason hs
157,7970,Melvindale HS,950,950,A,high_school,melvindale hs
158,7285,Jackson - Northwest HS,949,949,A,high_school,jackson - northwest hs
159,3136,Petoskey HS,943,943,A,high_school,petoskey hs
160,6147,Detroit - Martin Luther King HS,941,941,A,high_school,detroit - martin luther king hs
161,5388,Middleville - Thornapple Kellogg HS,939,939,A,high_school,middleville - thornapple kellogg hs
162,7847,Riverview Community HS,936,936,A,high_school,riverview community hs
163,2690,Marquette HS,934,934,A,high_school,marquette hs
164,3813,Zeeland East HS,934,934,A,high_school,zeeland east hs
165,5297,Richland - Gull Lake HS,933,933,A,high_school,richland - gull lake hs
166,7946,East Grand Rapids HS,927,927,A,high_school,east grand rapids hs
167,1373,Pontiac HS,924,924,A,high_school,pontiac hs
168,3623,St Johns HS,922,922,A,high_school,st johns hs
169,3284,Gaylord HS,901,901,A,high_school,gaylord hs
170,1494,Detroit - Mumford HS,900,900,A,high_school,detroit - mumford hs
171,3870,Linden HS,890,890,A,high_school,linden hs
172,1370,Warren - Fitzgerald HS,881,881,A,high_school,warren - fitzgerald hs
173,5875,Stevensville - Lakeshore HS,864,864,A,high_school,stevensville - lakeshore hs
174,7657,Garden City HS,859,859,A,high_school,garden city hs
175,4200,Dearborn - Divine Child HS,850,850,A,high_school,dearborn - divine child hs
176,1032,Detroit - East English Village Preparatory Acad,849,849,A,high_school,detroit - east english village preparatory acad
177,2781,Coopersville HS,847,847,A,high_school,coopersville hs
178,5272,Flint Southwestern Classical,845,845,A,high_school,flint southwestern classical
179,2278,Haslett HS,845,845,A,high_school,haslett hs
180,5198,Parma - Western HS,844,844,A,high_school,parma - western hs
181,1627,Trenton HS,841,841,A,high_school,trenton hs
182,7343,Fowlerville HS,839,839,A,high_school,fowlerville hs
183,2922,Marysville HS,837,837,A,high_school,marysville hs
184,4357,Pinckney HS,837,837,A,high_school,pinckney hs
185,6072,Harper Woods HS,835,835,A,high_school,harper woods hs
186,2765,Lansing - Eastern HS,828,828,B,high_school,lansing - eastern hs
187,7483,Battle Creek - Harper Creek HS,828,828,B,high_school,battle creek - harper creek hs
188,1890,Eastpointe HS,827,827,B,high_school,eastpointe hs
189,4068,Ionia HS,826,826,B,high_school,ionia hs
190,4687,Spring Lake HS,825,825,B,high_school,spring lake hs
191,2914,Cadillac HS,811,811,B,high_school,cadillac hs
192,3706,Clio HS,810,810,B,high_school,clio hs
193,8036,Wayland Union HS,810,810,B,high_school,wayland union hs
194,7211,Plainwell HS,808,808,B,high_school,plainwell hs
195,4217,Ortonville - Brandon HS,807,807,B,high_school,ortonville - brandon hs
196,1486,Niles HS,807,807,B,high_school,niles hs
197,4992,Detroit - Henry Ford HS,805,805,B,high_school,detroit - henry ford hs
198,1916,New Boston - Huron HS,804,804,B,high_school,new boston - huron hs
199,1651,Chelsea HS,803,803,B,high_school,chelsea hs
200,4175,Edwardsburg HS,803,803,B,high_school,edwardsburg hs
201,7203,Bloomfield Hills - Cranbrook Kingswood HS,798,798,B,high_school,bloomfield hills - cranbrook kingswood hs
202,6171,Owosso HS,794,794,B,high_school,owosso hs
203,7062,Grand Rapids Christian HS,787,787,B,high_school,grand rapids christian hs
204,2740,St Clair HS,787,787,B,high_school,st clair hs
205,4506,Ada - Forest Hills Eastern HS,783,783,B,high_school,ada - forest hills eastern hs
206,7855,Marshall HS,783,783,B,high_school,marshall hs
207,4654,Carleton - Airport HS,779,779,B,high_school,carleton - airport hs
208,2410,Hastings HS,779,779,B,high_school,hastings hs
209,1412,Hamilton HS,772,772,B,high_school,hamilton hs
210,5974,Sparta HS,771,771,B,high_school,sparta hs
211,3160,Bloomfield Hills - Marian HS,385,770,C,high_school,bloomfield hills - marian hs
212,1610,Vicksburg HS,766,766,B,high_school,vicksburg hs
213,6683,Fruitport HS,764,764,B,high_school,fruitport hs
214,1154,Ann Arbor - Washtenaw Technical Middle College,763,763,B,high_school,ann arbor - washtenaw technical middle college
215,2294,Adrian HS,759,759,B,high_school,adrian hs
216,5248,Allendale HS,756,756,B,high_school,allendale hs
217,1218,Harper Woods - Chandler Park Academy,755,755,B,high_school,harper woods - chandler park academy
218,1247,Bay City - John Glenn HS,752,752,B,high_school,bay city - john glenn hs
219,3516,Charlotte HS,751,751,B,high_school,charlotte hs
220,8110,Wyoming - Godwin Heights HS,742,742,B,high_school,wyoming - godwin heights hs
221,4191,Madison Heights - Lamphere HS,730,730,B,high_school,madison heights - lamphere hs
222,2550,Escanaba HS,727,727,B,high_school,escanaba hs
223,8028,Sault Ste Marie - Sault Area HS,719,719,B,high_school,sault ste marie - sault area hs
224,3350,Tecumseh HS,719,719,B,high_school,tecumseh hs
225,8192,Goodrich HS,716,716,B,high_school,goodrich hs
226,5396,Livonia - Clarenceville HS,713,713,B,high_school,livonia - clarenceville hs
227,7830,Lansing - JW Sexton HS,713,713,B,high_school,lansing - jw sexton hs
228,6205,Dearborn Heights - Annapolis HS,709,709,B,high_school,dearborn heights - annapolis hs
229,4753,Saginaw - Arthur Hill HS,702,702,B,high_school,saginaw - arthur hill hs
230,5288,Detroit - Cesar Chavez Academy HS,702,702,B,high_school,detroit - cesar chavez academy hs
231,2047,Redford Union HS,698,698,B,high_school,redford union hs
232,2716,Battle Creek - Pennfield HS,689,689,B,high_school,battle creek - pennfield hs
233,6155,North Branch HS,686,686,B,high_school,north branch hs
234,4340,Whitehall HS,685,685,B,high_school,whitehall hs
235,2518,Fremont HS,684,684,B,high_school,fremont hs
236,1981,Ferndale HS,681,681,B,high_school,ferndale hs
237,2798,Ludington HS,678,678,B,high_school,ludington hs
238,1255,Paw Paw HS,677,677,B,high_school,paw paw hs
239,3978,Eaton Rapids HS,674,674,B,high_school,eaton rapids hs
240,7137,Linden - Lake Fenton HS,672,672,B,high_school,linden - lake fenton hs
241,2261,Allegan HS,670,670,B,high_school,allegan hs
242,2831,Wyoming - Kelloggsville HS,670,670,B,high_school,wyoming - kelloggsville hs
243,2451,Milan HS,669,669,B,high_school,milan hs
244,4134,Three Rivers HS,669,669,B,high_school,three rivers hs
245,4984,Otsego HS,667,667,B,high_school,otsego hs
246,1841,Croswell-Lexington HS,663,663,B,high_school,croswell-lexington hs
247,2402,Romulus HS,663,663,B,high_school,romulus hs
248,4092,Beverly Hills - Detroit Country Day HS,657,657,B,high_school,beverly hills - detroit country day hs
249,6634,Holland Christian HS,643,643,B,high_school,holland christian hs
250,2303,Alma HS,640,640,B,high_school,alma hs
251,9213,Pontiac - Notre Dame Preparatory School,633,633,B,high_school,pontiac - notre dame preparatory school
252,1181,Romulus - Summit Academy North,632,632,B,high_school,romulus - summit academy north
253,3895,Byron Center - South Christian HS,631,631,B,high_school,byron center - south christian hs
254,7021,Benton Harbor HS,621,621,B,high_school,benton harbor hs
255,3904,Hudsonville - Unity Christian HS,616,616,B,high_school,hudsonville - unity christian hs
256,7590,Freeland HS,615,615,B,high_school,freeland hs
257,7186,Yale HS,612,612,B,high_school,yale hs
258,4968,Birch Run HS,609,609,B,high_school,birch run hs
259,9478,Kentwood - Grand River Prep,608,608,B,high_school,kentwood - grand river prep
260,7277,Williamston HS,607,607,B,high_school,williamston hs
261,4150,Cheboygan Area HS,605,605,B,high_school,cheboygan area hs
262,2484,Flint - Powers Catholic HS,603,603,B,high_school,flint - powers catholic hs
263,2468,Hazel Park HS,602,602,B,high_school,hazel park hs
264,1271,Bridgeport HS,599,599,B,high_school,bridgeport hs
265,5594,Armada HS,598,598,B,high_school,armada hs
266,5181,Muskegon - Orchard View HS,594,594,B,high_school,muskegon - orchard view hs
267,9833,Detroit - Frontier International Academy,590,590,B,high_school,detroit - frontier international academy
268,1061,Grand Rapids - West Michigan Aviation Academy,589,589,B,high_school,grand rapids - west michigan aviation academy
269,1528,Grosse Ile HS,588,588,B,high_school,grosse ile hs
270,2757,Saginaw - Swan Valley HS,586,586,B,high_school,saginaw - swan valley hs
271,8085,Detroit - Cody HS,579,579,B,high_school,detroit - cody hs
272,4282,Imlay City HS,573,573,B,high_school,imlay city hs
273,6337,Howard City - Tri County Area HS,573,573,B,high_school,howard city - tri county area hs
274,5958,Macomb - Lutheran North,572,572,B,high_school,macomb - lutheran north
275,2971,West Branch - Ogemaw Heights HS,572,572,B,high_school,west branch - ogemaw heights hs
276,1602,Big Rapids HS,571,571,B,high_school,big rapids hs
277,3425,Kingsford HS,570,570,B,high_school,kingsford hs
278,4902,Belding Area HS,569,569,B,high_school,belding area hs
279,4943,Flat Rock HS,569,569,B,high_school,flat rock hs
280,7491,Newport - Jefferson HS,569,569,B,high_school,newport - jefferson hs
281,3862,Detroit - Edwin Denby HS,568,568,B,high_school,detroit - edwin denby hs
282,4415,Muskegon - Oakridge HS,568,568,B,high_school,muskegon - oakridge hs
283,6238,Grand Rapids - Catholic Central HS,567,567,B,high_school,grand rapids - catholic central hs
284,7723,Frankenmuth HS,567,567,B,high_school,frankenmuth hs
285,7104,Portland HS,567,567,B,high_school,portland hs
286,3821,Warren - Lincoln HS,555,555,B,high_school,warren - lincoln hs
287,1123,Corunna HS,550,550,B,high_school,corunna hs
288,4488,Detroit - University Prep Academy,548,548,B,high_school,detroit - university prep academy
289,7756,Grant HS,546,546,B,high_school,grant hs
290,4522,Warren - Regina HS,273,546,C,high_school,warren - regina hs
291,6106,Essexville - Garber HS,542,542,B,high_school,essexville - garber hs
292,2006,Comstock Park HS,535,535,B,high_school,comstock park hs
293,8143,Midland - Bullock Creek HS,530,530,B,high_school,midland - bullock creek hs
294,1585,Marine City HS,528,528,B,high_school,marine city hs
295,5801,Lake Odessa - Lakewood HS,525,525,B,high_school,lake odessa - lakewood hs
296,6782,South Haven HS,524,524,B,high_school,south haven hs
297,6411,Center Line HS,522,522,B,high_school,center line hs
298,4365,Dowagiac Union HS,518,518,B,high_school,dowagiac union hs
299,9887,Dearborn - Henry Ford Academy,510,510,B,high_school,dearborn - henry ford academy
300,1113,Detroit - Cornerstone Health & Technology HS,380,506,C,high_school,detroit - cornerstone health & technology hs
301,2352,St Clair Shores - South Lake HS,505,505,B,high_school,st clair shores - south lake hs
302,1191,Redford - Westfield Preparatory HS,505,505,B,high_school,redford - westfield preparatory hs
303,1023,Wixom - St Catherine of Siena Academy,251,502,C,high_school,wixom - st catherine of siena academy
304,5487,Wyoming - Lee HS,501,501,B,high_school,wyoming - lee hs
305,9714,Detroit - University Prep Art & Design,497,497,B,high_school,detroit - university prep art & design
306,6502,Carrollton HS,495,495,B,high_school,carrollton hs
307,1060,Detroit - University Prep Science & Math HS,494,494,B,high_school,detroit - university prep science & math hs
308,3887,Remus - Chippewa Hills HS,492,492,B,high_school,remus - chippewa hills hs
309,2253,Gladwin HS,492,492,B,high_school,gladwin hs
310,1346,Berrien Springs HS,491,491,B,high_school,berrien springs hs
311,1057,Shepherd HS,489,489,B,high_school,shepherd hs
312,9145,Detroit - Communication Media Arts HS,488,488,B,high_school,detroit - communication media arts hs
313,5339,Detroit - Old Redford Preparatory HS,488,488,B,high_school,detroit - old redford preparatory hs
314,4844,Hopkins HS,487,487,B,high_school,hopkins hs
315,4241,Saginaw HS,487,487,B,high_school,saginaw hs
316,1305,Kingsley Area HS,486,486,B,high_school,kingsley area hs
317,6436,Olivet HS,485,485,B,high_school,olivet hs
318,6535,Parchment HS,485,485,B,high_school,parchment hs
319,4563,Dundee HS,480,480,B,high_school,dundee hs
320,1621,Ferndale - University HS,478,478,B,high_school,ferndale - university hs
321,3235,Flint - Hamady HS,476,476,B,high_school,flint - hamady hs
322,3788,Clare HS,469,469,B,high_school,clare hs
323,1148,Richmond HS,469,469,B,high_school,richmond hs
324,5867,Newaygo HS,467,467,B,high_school,newaygo hs
325,5826,Grand Rapids - West Catholic HS,466,466,B,high_school,grand rapids - west catholic hs
326,8184,Ann Arbor - Father Gabriel Richard HS,462,462,B,high_school,ann arbor - father gabriel richard hs
327,4885,Onsted HS,458,458,B,high_school,onsted hs
328,3012,Standish-Sterling HS,455,455,B,high_school,standish-sterling hs
329,4010,Montague HS,453,453,B,high_school,montague hs
330,3383,Ovid-Elsie HS,452,452,B,high_school,ovid-elsie hs
331,5603,Mt Morris (EAJ) HS,451,451,B,high_school,mt morris (eaj) hs
332,1726,Stanton - Central Montcalm HS,450,450,B,high_school,stanton - central montcalm hs
333,2947,Manistee HS,450,450,B,high_school,manistee hs
334,5636,Houghton HS,449,449,B,high_school,houghton hs
335,5165,Durand Area HS,447,447,B,high_school,durand area hs
336,5685,Detroit - Pershing HS,447,447,B,high_school,detroit - pershing hs
337,6254,Detroit - Osborn HS,446,446,B,high_school,detroit - osborn hs
338,1296,Detroit - Southeastern HS,445,445,B,high_school,detroit - southeastern hs
339,1109,Detroit School of Arts,440,440,B,high_school,detroit school of arts
340,2435,Lansing Catholic HS,439,439,B,high_school,lansing catholic hs
341,4836,Ida HS,438,438,B,high_school,ida hs
342,4786,Almont HS,437,437,B,high_school,almont hs
343,3053,Boyne City HS,436,436,B,high_school,boyne city hs
344,4348,Dearborn - Advanced Technology Academy,435,435,B,high_school,dearborn - advanced technology academy
345,1668,Algonac HS,433,433,B,high_school,algonac hs
346,5041,Hillsdale HS,429,429,B,high_school,hillsdale hs
347,1028,Detroit - Jalen Rose Leadership Academy,425,425,B,high_school,detroit - jalen rose leadership academy
348,6907,Kalkaska HS,425,425,B,high_school,kalkaska hs
349,7608,Stockbridge HS,424,424,B,high_school,stockbridge hs
350,9057,Detroit Collegiate Prep @ Northwestern,422,422,B,high_school,detroit collegiate prep @ northwestern
351,1767,Chesaning HS,421,421,B,high_school,chesaning hs
352,9060,Detroit Edison PSA Early College of Excellence,420,420,B,high_school,detroit edison psa early college of excellence
353,7806,Clawson HS,418,418,B,high_school,clawson hs
354,5379,Warren - Michigan Collegiate HS,417,417,B,high_school,warren - michigan collegiate hs
355,5710,Negaunee HS,416,416,B,high_school,negaunee hs
356,5033,Reed City HS,416,416,B,high_school,reed city hs
357,6931,Constantine HS,411,411,B,high_school,constantine hs
358,6460,Otisville - LakeVille Memorial HS,410,410,B,high_school,otisville - lakeville memorial hs
359,4126,Coloma HS,409,409,B,high_school,coloma hs
360,2864,Kalamazoo - Comstock HS,408,408,B,high_school,kalamazoo - comstock hs
361,3474,Jonesville HS,406,406,B,high_school,jonesville hs
362,1684,Dearborn Heights - Robichaud HS,406,406,B,high_school,dearborn heights - robichaud hs
363,5883,Benzonia - Benzie Central HS,403,403,B,high_school,benzonia - benzie central hs
364,1085,Taylor Preparatory HS,403,403,B,high_school,taylor preparatory hs
365,1932,Ecorse HS,402,402,B,high_school,ecorse hs
366,6130,Gladstone HS,402,402,B,high_school,gladstone hs
367,7871,Michigan Center HS,401,401,B,high_school,michigan center hs
368,5421,Fennville HS,400,400,B,high_school,fennville hs
369,3598,Caro HS,399,399,B,high_school,caro hs
370,1817,Shelby HS,399,399,B,high_school,shelby hs
371,5578,Watervliet HS,399,399,B,high_school,watervliet hs
372,1635,Clinton HS,397,397,C,high_school,clinton hs
373,1783,Elk Rapids HS,396,396,C,high_school,elk rapids hs
374,3805,Hart HS,396,396,C,high_school,hart hs
375,3639,Dearborn Heights - Star International Academy,395,395,C,high_school,dearborn heights - star international academy
376,1111,Canton Preparatory HS,392,392,C,high_school,canton preparatory hs
377,1453,Brooklyn - Columbia Central HS,391,391,C,high_school,brooklyn - columbia central hs
378,5314,Grayling HS,390,390,C,high_school,grayling hs
379,5966,Sanford - Meridian Early College HS,390,390,C,high_school,sanford - meridian early college hs
380,4258,Quincy HS,390,390,C,high_school,quincy hs
381,2170,Clinton Township - Clintondale HS,389,389,C,high_school,clinton township - clintondale hs
382,1692,Adrian - Madison HS,388,388,C,high_school,adrian - madison hs
383,4439,Detroit - Voyageur College Prep,388,388,C,high_school,detroit - voyageur college prep
384,2674,Grand Rapids - Covenant Christian HS,387,387,C,high_school,grand rapids - covenant christian hs
