,Unnamed: 0,field,home_plate,foul_ft,fop_ft,foul_pct,match,mat2
193,215,Sand Creek High School - Baseball,"-84.1047473,41.8229202,0",26365.9359547794,79294.7409791515,24.9534043504812,sand creek high school - baseball,[]
194,216,Sandusky High School,"-82.82497170000001,43.4102931,0",33613.7784956039,84661.168620427,28.4200325726021,sandusky high school,[]
195,217,Sexton High School,"-84.57957949999999,42.7327867,0",25173.3798510863,95742.2374320915,20.8189648423426,sexton high school,[]
196,218,St Clair HS,"-82.5113899,42.824698,0",31500.8526252983,87273.2703666113,26.521646156414,st clair hs,['st clair hs']
197,219,St Gerard (Lansing),"-84.6106279,42.7466265,0",12688.9034573626,51029.0545325973,19.9141715422864,st gerard (lansing),[]
198,220,St Gerard Field ,"-84.6117048,42.7462672,0",14288.7059048878,62521.1383522809,18.6027013113677,st gerard field ,[]
199,221,St Johns High School,"-84.5679294,42.9878827,0",37093.8075885804,96143.769309421,27.8403498864116,st johns high school,[]
200,222,Stevenson Lakeshore HS,"-86.4944752,42.0092821,0",22071.6815265779,89254.4174887199,19.8261519282598,stevenson lakeshore hs,['stevensville - lakeshore hs']
201,223,SV State,"-83.95339989999999,43.5122297,0",39798.7242000193,106271.04743047,27.2463794224978,sv state,[]
202,224,Traverse City St Frances,"-85.55975530000001,44.7118419,0",14023.5542523718,94784.6286378154,12.8883268517818,traverse city st frances,['traverse city - st francis hs']
203,225,Trenton High School,"-83.20306840000001,42.1421346,0",23233.9468552447,91703.3630225479,20.2144515823002,trenton high school,[]
