,field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long,match
163,Moose Lodge Field (14u),high_school,10342.0,48686.0,17.52,-84.5978297,42.6602298,"[('Montrose Hill-McCloy HS', 50)]"
164,Mt Pleasant HS,high_school,28077.0,94255.0,22.95,-84.7591327,43.5913032,"[('Mt Pleasant HS', 100)]"
165,Muskegon Mona Shores HS,high_school,32818.0,90825.0,26.54,-86.271558,43.1845307,"[('Muskegon - Mona Shores HS', 100)]"
166,Muskegon Western Michigan Christian,high_school,28988.0,90507.0,24.26,-86.236793,43.1609012,"[('Muskegon - Western Michigan Christian HS', 100)]"
167,New Haven Merritt Academy HS,high_school,13658.0,78696.0,14.79,-82.7985517,42.7415202,"[('New Haven HS', 100)]"
168,New Lothrop HS,high_school,37414.0,89468.0,29.49,-83.9746703,43.122242,"[('New Lothrop HS', 100)]"
169,Northville HS,high_school,28784.0,95926.0,23.08,-83.493445,42.4123981,"[('Northville HS', 100)]"
170,Norway High School,high_school,25656.0,82223.0,23.78,-87.9126582,45.7729954,"[('Norway HS', 80)]"
171,Novi Christian Academy HS,high_school,19236.0,78293.0,19.72,-83.4485037,42.5142468,"[('Novi HS', 100)]"
172,Novi HS,high_school,23776.0,89713.0,20.95,-83.4924439,42.4615268,"[('Novi HS', 100)]"
176,Oakland University ,high_school,40414.0,98650.0,29.06,-83.2113566,42.6733173,"[('Detroit - University Prep Academy', 71)]"
178,Orchard Lake St Marys High School,high_school,27391.0,87971.0,23.74,-83.35411,42.5916394,"[('Orchard Lake - St Mary Preparatory HS', 71)]"
179,Ovid-Elsie High School,high_school,24768.0,83750.0,22.82,-84.3932693,43.0477476,"[('Ovid-Elsie HS', 87)]"
180,Owosso HS,high_school,20193.0,79372.0,20.28,-84.1622172,43.0168905,"[('Owosso HS', 100)]"
181,Parkway Christian High School - Sterling Heights,high_school,18986.0,92907.0,16.97,-82.9817171,42.562036,"[('Sterling Heights - Parkway Christian School', 100)]"
182,Pelson High School,high_school,17058.0,76326.0,18.27,-84.7891347,45.55007209999999,"[('Jackson Christian School', 62)]"
183,Pelson HS,high_school,27420.0,78058.0,26.0,-83.7003876,45.2547685,"[('Pellston HS', 90)]"
186,Petoskey High School,high_school,30315.0,91933.0,24.8,-84.9386874,45.36723030000001,"[('Petoskey HS', 84)]"
187,Pewamo-Westphalia HS,high_school,27955.0,84958.0,24.76,-84.8358807,42.9403371,"[('Pewamo-Westphalia HS', 100)]"
188,Plymouth HS,high_school,30570.0,92981.0,24.74,-83.4986405,42.3483182,"[('Canton - Plymouth HS', 100)]"
189,Portage Northern High School,high_school,24003.0,89005.0,21.24,-85.5987309,42.2356888,"[('Portage Northern HS', 91)]"
190,Portland High School,high_school,39688.0,88555.0,30.95,-84.9180249,42.882565,"[('Portland HS', 84)]"
191,Portland St. Pats HS,high_school,34252.0,129849.0,20.87,-84.9107754,42.8702585,"[('Portland HS', 100)]"
192,Richmond High School,high_school,32748.0,88224.0,27.07,-82.7574992,42.8073051,"[('Richmond HS', 84)]"
193,Rochester Adams HS,high_school,29388.0,93346.0,23.94,-83.1998424,42.6972168,"[('Rochester - Adams HS', 100)]"
194,Rochester Hills Lutheran Northwest HS,high_school,19787.0,71053.0,21.78,-83.1544493,42.6409811,"[('Rochester Hills - Rochester HS', 100)]"
195,Rochester HS,high_school,29531.0,88582.0,25.0,-83.1562451,42.6774369,"[('Rochester Hills - Rochester HS', 100)]"
196,Rockford HS,high_school,33509.0,99484.0,25.2,-85.5686971,43.0900641,"[('Rockford HS', 100)]"
197,Rogers City HS,high_school,18535.0,71875.0,20.5,-83.8041977,45.41751360000001,"[('Rogers City HS', 100)]"
198,Rudyard HS,high_school,26169.0,85299.0,23.48,-84.5878023,46.2351548,"[('Rudyard HS', 100)]"
199,Saginaw Heritage HS,high_school,36530.0,103302.0,26.12,-84.0129481,43.4554596,"[('Saginaw - Heritage HS', 100)]"
200,Saginaw Heritage HS - Field 2,high_school,20534.0,98697.0,17.22,-84.0135834,43.4547419,"[('Saginaw - Heritage HS', 100)]"
202,Saginaw Swan Valley High School,high_school,21585.0,87095.0,19.86,-84.0822261,43.4116302,"[('Saginaw - Swan Valley HS', 93)]"
203,Sagniaw Valley State ,high_school,39799.0,106271.0,27.25,-83.9533999,43.5122297,"[('Saginaw - Swan Valley HS', 76)]"
204,Salem High School,high_school,30248.0,89191.0,25.33,-83.4972427,42.3458381,"[('Schoolcraft HS', 58)]"
206,Sand Creek High School - Baseball,high_school,26366.0,79295.0,24.95,-84.1047473,41.8229202,"[('Sand Creek HS', 87)]"
207,Sandusky High School,high_school,33614.0,84661.0,28.42,-82.8249717,43.4102931,"[('Sandusky HS', 84)]"
208,Sexton High School,high_school,25173.0,95742.0,20.82,-84.5795795,42.7327867,"[('Jackson Christian School', 62)]"
209,Shrine HS Royal Oak,high_school,14713.0,97502.0,13.11,-83.1842663,42.5195961,"[('Royal Oak HS', 100)]"
210,Southfield Christian HS,high_school,13609.0,69417.0,16.39,-83.2582113,42.499334,"[('Southfield Christian HS', 100)]"
211,St Clair HS,high_school,31501.0,87273.0,26.52,-82.5113899,42.824698,"[('St Clair Shores - Lakeview HS', 100)]"
214,St Johns High School,high_school,37094.0,96144.0,27.84,-84.5679294,42.9878827,"[('St Johns HS', 84)]"
215,Standish-Sterling HS,high_school,27613.0,95495.0,22.43,-83.9548964,44.0156178,"[('Standish-Sterling HS', 100)]"
216,Stevenson Lakeshore HS,high_school,22072.0,89254.0,19.83,-86.4944752,42.0092821,"[('Stevensville - Lakeshore HS', 85)]"
217,Traverse City St Frances HS,high_school,14024.0,94785.0,12.89,-85.5597553,44.7118419,"[('Traverse City - St Francis HS', 96)]"
218,Trenton High School,high_school,23234.0,91703.0,20.21,-83.2030684,42.1421346,"[('Trenton HS', 82)]"
219,Troy - Athens High School,high_school,17790.0,85160.0,17.28,-83.111861,42.5828923,"[('Troy - Athens HS', 88)]"
220,Turtle Creek Stadium (Traverse City) ,high_school,29643.0,109822.0,21.25,-85.6606873,44.6817024,"[('Traverse City West HS', 76)]"
221,U of M ,high_school,19421.0,100851.0,16.15,-83.7420742,42.2678568,"[('Detroit - U of D Jesuit HS', 80)]"
222,Ubly high School,high_school,19713.0,86330.0,18.59,-82.9346814,43.7078311,"[('Ubly HS', 73)]"
223,University Liggett School,high_school,22388.0,83119.0,21.22,-82.9007499,42.4260393,"[('Grosse Pointe Woods - University Liggett HS', 84)]"
226,USA - Unionville Seabawing High School,high_school,27687.0,84002.0,24.79,-83.4644195,43.6938966,"[('Unionville Sebewaing HS', 71)]"
227,Vestaburg HS,high_school,31689.0,91931.0,25.63,-84.9133162,43.3964138,"[('Vestaburg HS', 100)]"
228,Watervliet HS,high_school,29977.0,90757.0,24.83,-86.2497962,42.1861372,"[('Watervliet HS', 100)]"
229,Wayne State Univ ,high_school,25322.0,98360.0,20.47,-83.0772235,42.3564168,"[('Wayland Union HS', 62)]"
230,West Bloomfield HS,high_school,23399.0,95261.0,19.72,-83.3594581,42.5673665,"[('West Bloomfield HS', 100)]"
231,West Michigan Whitecaps ,high_school,32999.0,111690.0,22.81,-85.659582,43.0402454,"[('Grand Rapids - West Michigan Aviation Academy', 72)]"
234,Whiteford High School - Ottawa Lake,high_school,34576.0,140217.0,19.78,-83.7011192,41.7665817,"[('Ottawa Lake - Whiteford HS', 93)]"
235,Whitehall High School,high_school,28215.0,91519.0,23.56,-86.3327856,43.4045055,"[('Whitehall HS', 86)]"
236,Whitmore Lake High School,high_school,34917.0,93542.0,27.18,-83.7708313,42.3876304,"[('Whitmore Lake HS', 90)]"
237,Whittemore-Prescott High School,high_school,16955.0,82035.0,17.13,-83.8844484,44.2293306,"[('Whittemore-Prescott HS', 93)]"
238,Williamston High School,high_school,31596.0,90369.0,25.91,-84.28087,42.6987035,"[('Williamston HS', 88)]"
239,WMU ,high_school,29814.0,104840.0,22.14,-85.6030368,42.2844309,"[('Wyoming HS', 31)]"
