School,Mascot,Colors,Class (enrollment),City,County,Year joined,Previous league,conference,"('Team', 'Blue Division')","('Class', 'Blue Division')","('Enrollment', 'Blue Division')","('Joined', 'Blue Division')","('City', 'Blue Division')","('County', 'Blue Division')","('Previous Conference', 'Blue Division')","('conference', '')","('Catholic High School League', 'School')","('Catholic High School League', 'Location')","('Catholic High School League', 'Enrollment[1]')","('Catholic High School League', 'Class')","('Catholic High School League', 'Nickname')","('Catholic High School League', 'Colors')","('Catholic High School League', 'Gender')","('Catholic High School League', 'Established')",Nickname,Enrollment,Class,Team[1],Location,Joined,Previous Conference,"('Team', 'West Division')","('Location', 'West Division')","('Enrollment', 'West Division')","('Joined', 'West Division')","('Previous Conference', 'West Division')",Affiliation,Year Admitted,Division,"('School', 'North Division')","('Nickname', 'North Division')","('Location', 'North Division')","('Joined', 'North Division')","('Previous Conference', 'North Division')","('Unnamed: 5_level_0', 'North Division')","('Unnamed: 6_level_0', 'North Division')","('School', 'Red Division')","('Nickname', 'Red Division')","('Location', 'Red Division')","('Joined', 'Red Division')","('Enrollment', 'Red Division')","('Class', 'Red Division')","('Colors', 'Red Division')","('Previous Conference', 'Red Division')",School[1],Year Joined,District Website,0,1,2,3,4,5,6,7,Sports Division,Football Division,Team,Address,Unnamed: 5,Unnamed: 6,Unnamed: 7,School[3],Enrollment[a],Year Joined [2],School[5],MHSAAClass,Team & Mascot,Boys Champ,Girls Champ,Total Champ,Year,Conference Champion(s),Year.1,Conference Champion(s).1,Year.2,Conference Champion(s).2,Year.3,Conference Champion(s).3
Detroit Renaissance,,,,,,,,Detroit Public School League,,,,,,,,,,,,,,,,,Phoenix,1131.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit School of Arts,,,,,,,,Detroit Public School League,,,,,,,,,,,,,,,,,Achievers,386.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Southeastern,,,,,,,,Detroit Public School League,,,,,,,,,,,,,,,,,Jungaleers,223.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit West Side Academy,,,,,,,,Detroit Public School League,,,,,,,,,,,,,,,,,Panthers,441.0,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Western International,,,,,,,,Detroit Public School League,,,,,,,,,,,,,,,,,Cowboys/Cowgirls,1701.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1099.0,A,Allen Park Jaguars,Allen Park,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1657.0,A,Dearborn Edsel Ford Thunderbirds,Dearborn,2018,Western Wayne Athletic Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1123.0,A,Gibraltar Carlson Marauders,Gibraltar,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1362.0,A,Lincoln Park Railsplitters,Lincoln Park,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1030.0,A,Southgate Anderson Titans,Southgate,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1678.0,A,Taylor Griffins,Taylor,2018,None (school first established),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,886.0,A,Trenton Trojans,Trenton,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1614.0,A,Woodhaven Warriors,Brownstown Township,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Downriver League,,,,,,,,,,,,,,,,,,1295.0,A,Wyandotte Roosevelt Bears,Wyandotte,2009,Michigan Mega Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenton,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Tigers,,,,Fenton,1968,Genesee County B League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flint Kearsley,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Hornets,,,,Genesee Township,2008,Big Nine Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Raiders,,,,Flushing Township,2014,Saginaw Valley League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holly,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Bronchos,,,,Holly Township,1968,Wayne-Oakland County League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linden,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Eagles,,,,Argentine Township,1984,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swartz Creek,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Dragons,,,,Swartz Creek,1968,Genesee County B League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swartz Creek,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Dragons,,,,Swartz Creek,2006,Big Nine Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortonville Brandon,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Blackhawks,,,,Brandon Township,2002,Oakland Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clio,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Mustangs,,,,Vienna Township,2005,Big Nine Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owosso,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Trojans,,,,Owosso,2017,Capital Area Activities Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodrich,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Martians,,,,Goodrich,2019,Genesee Area Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corunna,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Cavaliers,,,,Corunna,2019,Genesee Area Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Fenton,,,,,,,,Flint Metro League,,,,,,,,,,,,,,,,,Blue Devils,,,,Fenton,2019,Genesee Area Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Brighton Bulldogs,Brighton,2079,2008,Kensington Valley Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Canton Chiefs,Canton Township,1977,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Hartland Eagles,Hartland Township,1935,2008,Kensington Valley Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Howell Highlanders,Howell,2200,2008,Kensington Valley Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Northville Mustangs,Northville Township,2500,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Novi Wildcats,Novi,2070,2008,Kensington Valley Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Plymouth Wildcats,Canton Township,2050,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Salem Rocks,Canton Township,2019,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,East Division,East Division,East Division,East Division,East Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Belleville Tigers,Belleville,1701,2018,Western Wayne Athletic Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Dearborn Pioneers,Dearborn,2115,2018,Western Wayne Athletic Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Dearborn Fordson Tractors,Dearborn,2756,2018,Western Wayne Athletic Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Livonia Churchill Chargers,Livonia,1396,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Livonia Franklin Patriots,Livonia,1456,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Livonia Stevenson Spartans,Livonia,1790,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Wayne Memorial Zebras,Wayne,1621,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Kensington Lakes Activities Association,,,,,,,,,,,,,,,,Westland Glenn Rockets,Westland,1665,2008,Western Lakes Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clinton Township Chippewa Valley, Fraser, Romeo, Sterling Heights, Sterling Heights Stevenson, Utica, Utica Eisenhower, Utica Ford, Warren Cousino, Warren Woods-Tower",,,,,,,Macomb Conference,Macomb Area Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clinton Township Clintondale, Grosse Pointe North, Harrison Township L'Anse Creuse, Roseville Brablec, St. Clair Shores Lake Shore, St. Clair Shores Lakeview, St. Clair Shores South Lake",,,,,,,Bi-County Conference,Macomb Area Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clarkston, Lake Orion, Pontiac Northern, Waterford Kettering, Waterford Mott",,,,,,,Greater Oakland Activities League,Oakland Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmingham Groves, Bloomfield Hills Lahser, Rochester, Rochester Adams, Royal Oak Dondero, Southfield-Lathrup, Troy Athens, West Bloomfield",,,,,,,Metro Suburban Activities Association,Oakland Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berkley, Birmingham Seaholm, Bloomfield Hills Andover, Ferndale, Hazel Park, Royal Oak Kimball, Southfield, Troy",,,,,,,Southeastern Michigan Association,Oakland Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortonville Brandon,,,,,,,Independent,Oakland Activities Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allendale,Falcons,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,771.0,B,,,,,,,,,,Public,1994,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belding,Black Knights,,,,Ionia,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,569.0,B,,,,,,,,,,Public,1995,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Center,Bulldogs,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1298.0,A,,,,,,,,,,Public,1958#,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonia,Fighting Scots,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1490.0,A,,,,,,,,,,Public,1970,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Springs,Red Hawks,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1075.0,A,,,,,,,,,,Public,1984,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Park,Panthers,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,556.0,B,,,,,,,,,,Public,1970,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coopersville,Broncos,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,854.0,A,,,,,,,,,,Public,1984,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Grand Rapids,Pioneers,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,923.0,A,,,,,,,,,,Public,1970,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Kentwood,Falcons,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,2697.0,A,,,,,,,,,,Public,1961,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills Central,Rangers,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1127.0,A,,,,,,,,,,Public,1960,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills Eastern,Hawks,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,806.0,B,,,,,,,,,,Public,2005,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills Northern,Huskies,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1141.0,A,,,,,,,,,,Public,1972,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruitport,Trojans,,,,Muskegon,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,786.0,B,,,,,,,,,,Public,2016,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godfrey-Lee,Legends,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,594.0,B,,,,,,,,,,Public,1958#,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godwin Heights,Wolverines,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,722.0,B,,,,,,,,,,Public,1967,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Catholic Central,Cougars,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,550.0,B,,,,,,,,,,Private,2008,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Christian,Eagles,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,780.0,B,,,,,,,,,,Private,2008,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Ottawa Hills,Bengals,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1266.0,A,,,,,,,,,,Public,2008,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Union,Red Hawks,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,2037.0,A,,,,,,,,,,Public,2008,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids West Catholic,Falcons,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,467.0,B,,,,,,,,,,Private,2008,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Haven,Buccaneers,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1919.0,A,,,,,,,,,,Public,1985,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandville,Bulldogs,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1831.0,A,,,,,,,,,,Public,1970,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandville Calvin Christian,Squires,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,271.0,C,,,,,,,,,,Private,1975,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville,Yellow Jackets,,,,Montcalm,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1082.0,A,,,,,,,,,,Public,2003,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Hawkeyes,,,,Allegan,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,726.0,B,,,,,,,,,,Public,1970,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland,Dutch,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,961.0,A,,,,,,,,,,Public,1985,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland Christian,Maroons,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,653.0,B,,,,,,,,,,Private,2003,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holland West Ottawa,Panthers,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,2304.0,A,,,,,,,,,,Public,1965,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,Vikings,,,,Allegan,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,503.0,B,,,,,,,,,,Public,1994,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudsonville,Eagles,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,2043.0,A,,,,,,,,,,Public,1958#,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudsonville Unity Christian,Crusaders,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,639.0,B,,,,,,,,,,Private,1995,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenison,Wildcats,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1578.0,A,,,,,,,,,,Public,1970,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelloggsville,Rockets,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,615.0,B,,,,,,,,,,Public,1958#,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenowa Hills,Knights,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1042.0,A,,,,,,,,,,Public,1965,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell,Red Arrows,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1106.0,A,,,,,,,,,,Public,1984,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleville Thornapple Kellogg,Trojans,,,,Barry,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,925.0,A,,,,,,,,,,Public,1970,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon,Big Reds,,,,Muskegon,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1109.0,A,,,,,,,,,,Public,2003,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon Mona Shores,Sailors,,,,Muskegon,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1256.0,A,,,,,,,,,,Public,1985,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon Reeths-Puffer,Rockets,,,,Muskegon,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1149.0,A,,,,,,,,,,Public,2003,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northview,Wildcats,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1110.0,A,,,,,,,,,,Public,1965,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,Rams,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,2469.0,A,,,,,,,,,,Public,1970,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Christian,Sailors,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,637.0,B,,,,,,,,,,Private,1967,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparta,Spartans,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,847.0,B,,,,,,,,,,Public,1984,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Lake,Lakers,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,815.0,B,,,,,,,,,,Public,2016,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayland,Wildcats,,,,Allegan,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,787.0,B,,,,,,,,,,Public,1970,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Wolves,,,,Kent,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1217.0,A,,,,,,,,,,Public,2012,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeeland East,Chix,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,971.0,A,,,,,,,,,,Public,1965,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeeland West,Dux,,,,Ottawa,,,Ottawa-Kent Conference,,,,,,,,,,,,,,,,,,1058.0,A,,,,,,,,,,Public,2005,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Saginaw Valley League,,,,,,,,,,,,,,,,,,,,,,,,Bay City Central,Wolves,Bay City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Saginaw Valley League,,,,,,,,,,,,,,,,,,,,,,,,Bay City Western,Warriors,Auburn,1974,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Saginaw Valley League,,,,,,,,,,,,,,,,,,,,,,,,Midland,Chemics,Midland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Saginaw Valley League,,,,,,,,,,,,,,,,,,,,,,,,Midland Dow,Chargers,Midland,"1971, 1981",Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
