,Unnamed: 0.1,Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division
40,40,54,Eaton Rapids High School,high_school,37223,101498,26.83,-84.635145,42.5118192,Eaton Rapids HS,3978.0,Eaton Rapids HS,674.0,674.0,B
41,41,55,Ecorse High School,high_school,29411,78788,27.18,-83.149694,42.2528271,Ecorse HS,1932.0,Ecorse HS,402.0,402.0,B
42,42,56,Edwardsburg HS,high_school,30166,85216,26.14,-86.091742,41.7896252,Edwardsburg HS,4175.0,Edwardsburg HS,803.0,803.0,B
43,43,58,Essexville Garber HS,high_school,25204,91284,21.64,-83.8341762,43.6056341,Essexville - Garber HS,6106.0,Essexville - Garber HS,542.0,542.0,B
44,44,59,Everett High School,high_school,36876,93448,28.3,-84.5561434,42.6905115,Lansing - Everett HS,1387.0,Lansing - Everett HS,1178.0,1178.0,A
45,45,60,Fankfort H S,high_school,25913,89205,22.51,-86.225851,44.634408,Frankfort HS,7558.0,Frankfort HS,154.0,154.0,D
46,46,62,Forrest Hills Eastern High School,high_school,34528,98244,26.01,-85.5286469,43.0058274,Ada - Forest Hills Eastern HS,4506.0,Ada - Forest Hills Eastern HS,783.0,783.0,B
47,47,63,Fowlerville HS,high_school,19823,94791,17.3,-84.0655802,42.6688057,Fowlerville HS,7343.0,Fowlerville HS,839.0,839.0,A
48,48,64,Gabriel Richard HS,high_school,22712,92645,19.69,-83.2089242,42.1817944,Ann Arbor - Father Gabriel Richard HS,8184.0,Ann Arbor - Father Gabriel Richard HS,462.0,462.0,B
49,49,67,Garber High School Essexville,high_school,25668,91404,21.92,-83.8341769,43.6056339,Essexville - Garber HS,6106.0,Essexville - Garber HS,542.0,542.0,B
50,50,68,Gladstone High School,high_school,22978,84312,21.42,-87.0388936,45.85971,Gladstone HS,6130.0,Gladstone HS,402.0,402.0,B
51,51,70,Gladwin High School,high_school,26731,93477,22.24,-84.4919148,43.9902464,Gladwin HS,2253.0,Gladwin HS,492.0,492.0,B
52,52,72,Goodrich HS,high_school,33688,91640,26.88,-83.5294795,42.9168576,Goodrich HS,8192.0,Goodrich HS,716.0,716.0,B
53,53,73,GR West Catholic HS,high_school,23866,94829,20.11,-85.712159,42.9943182,Grand Rapids - West Catholic HS,5826.0,Grand Rapids - West Catholic HS,466.0,466.0,B
54,54,75,Grand Blanc HS,high_school,26522,93196,22.15,-83.6283145,42.9187188,Grand Blanc HS,2237.0,Grand Blanc HS,2812.0,2812.0,A
55,55,76,Grand Ledge High School,high_school,28836,79361,26.65,-84.7539894,42.7472938,Grand Ledge HS,6213.0,Grand Ledge HS,1653.0,1653.0,A
56,56,77,Grand Ledge Bridge St (10u),youth,11531,37086,23.72,-84.7448975,42.7543876,,,,,,
57,57,78,Grand Ledge Hayes (12u),youth,8452,43893,16.15,-84.7006386,42.7518189,,,,,,
58,58,79,Grand Ledge JV,youth,23247,70057,24.92,-84.7588678,42.7462458,,,,,,
59,59,80,Kenowa Hills High School,high_school,37758,93310,28.81,-85.7475037,43.0343372,Grand Rapids - Kenowa Hills HS,5280.0,Grand Rapids - Kenowa Hills HS,1033.0,1033.0,A
60,60,81,Gross Pointe North High School,high_school,19075,80421,19.17,-82.8911176,42.4379668,Grosse Pointe North HS,7822.0,Grosse Pointe North HS,1171.0,1171.0,A
61,61,82,Gross Pointe South High School,high_school,21527,83785,20.44,-82.9025228,42.3918844,Grosse Pointe South HS,,,,,
62,62,83,Grosse Ile High School,high_school,36064,93917,27.75,-83.1458188,42.1340427,Grosse Ile HS,1528.0,Grosse Ile HS,588.0,588.0,B
63,63,84,University Liggett School,high_school,22388,83119,21.22,-82.9007499,42.4260393,Grosse Pointe Woods - University Liggett HS,1222.0,Grosse Pointe Woods - University Liggett HS,303.0,303.0,C
64,64,87,Hamtramck High School,high_school,14857,81704,15.39,-83.0476997,42.3930022,Hamtramck HS,5925.0,Hamtramck HS,1152.0,1152.0,A
65,65,88,Harbor Springs High School,high_school,21382,79731,21.15,-84.9734496,45.434179,Harbor Springs HS,5520.0,Harbor Springs HS,256.0,256.0,C
66,66,91,Haslett High School,high_school,30039,86400,25.8,-84.4071076,42.7419614,Haslett HS,2278.0,Haslett HS,845.0,845.0,A
67,67,92,Hemlock HS,high_school,24830,87160,22.17,-84.2333581,43.4238904,Hemlock HS,6568.0,Hemlock HS,337.0,337.0,C
68,68,93,Holland Christian High School,high_school,32779,95289,25.59,-86.1328152,42.7619603,Holland Christian HS,6634.0,Holland Christian HS,643.0,643.0,B
69,69,94,Holt High School,high_school,38310,95406,28.65,-84.5799503,42.6367415,Holt HS,7632.0,Holt HS,1745.0,1745.0,A
70,70,95,Holt HS - Practice field,high_school,39740,98054,28.84,-84.5796448,42.6372277,Holt HS,7632.0,Holt HS,1745.0,1745.0,A
71,71,96,Holton High School,high_school,28877,95912,23.14,-86.0881718,43.4149801,Holton HS,4407.0,Holton HS,240.0,240.0,C
72,72,97,Homer HS,high_school,20835,71860,22.48,-84.8138072,42.1386292,Homer HS,1321.0,Homer HS,308.0,308.0,C
73,73,99,Houghton High School,high_school,32578,92794,25.99,-88.5639378,47.1087711,Houghton HS,5636.0,Houghton HS,449.0,449.0,B
74,74,100,Howell High School,high_school,21114,92971,18.51,-83.9426426,42.6179456,Howell HS,5074.0,Howell HS,2375.0,2375.0,A
75,75,101,Hudson high School,high_school,31947,88333,26.56,-84.3444884,41.8638399,Hudson Area HS,7384.0,Hudson Area HS,269.0,269.0,C
76,76,102,Hudsonville Christian HS,high_school,33791,97983,25.64,-85.8456256,42.8840691,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A
77,77,103,Hudsonville High School,high_school,30487,96953,23.92,-85.8754492,42.9134789,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A
78,78,104,Hudsonville HS - Field 2,high_school,31075,93415,24.96,-85.8768694,42.9142415,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A
79,79,105,Huron High School,high_school,27079,82445,24.72,-83.3501649,42.1258421,Ann Arbor - Huron HS,1825.0,Ann Arbor - Huron HS,1860.0,1860.0,A
80,80,106,Indian River Inland Lakes HS,high_school,14836,85638,14.77,-84.6358958,45.3838713,Indian River - Inland Lakes HS,7913.0,Indian River - Inland Lakes HS,177.0,177.0,D
81,81,107,Ionia High School,high_school,30676,88463,25.75,-85.0645777,42.9523427,Ionia HS,4068.0,Ionia HS,826.0,826.0,B
82,82,108,Ionia Practice Field,high_school,29381,81817,26.42,-85.0646534,42.9533573,Ionia HS,4068.0,Ionia HS,826.0,826.0,B
83,83,109,Jackson Lumen Christi HS,high_school,20498,92032,18.22,-84.4602665,42.2219816,Jackson - Lumen Christi HS,3482.0,Jackson - Lumen Christi HS,310.0,310.0,C
84,84,110,Jenison High School,high_school,31316,98281,24.16,-85.837665,42.917629,Jenison HS,3607.0,Jenison HS,1508.0,1508.0,A
85,85,113,Kalamazoo Christian high school,high_school,23934,92206,20.61,-85.6134503,42.273406,Kalamazoo Christian HS,2591.0,Kalamazoo Christian HS,239.0,239.0,C
86,86,115,Kalamazoo Hackett Prep High School,high_school,21937,87095,20.12,-85.5965558,42.2474483,Kalamazoo - Hackett Catholic Prep,4720.0,Kalamazoo - Hackett Catholic Prep,235.0,235.0,C
87,87,116,Kingston high School,high_school,20688,74026,21.84,-83.1919884,43.4105296,Kingston HS,3045.0,Kingston HS,203.0,203.0,C
88,88,118,Laingsburg HS,high_school,28676,98635,22.52,-84.342751,42.878632,Laingsburg HS,1338.0,Laingsburg HS,371.0,371.0,C
89,89,119,Lake Orion HS,high_school,32958,90214,26.76,-83.2369353,42.7539465,Lake Orion HS,3953.0,Lake Orion HS,2309.0,2309.0,A
90,90,120,Lansing Catholic HS,high_school,18458,88369,17.28,-84.5276463,42.7374459,Lansing Catholic HS,2435.0,Lansing Catholic HS,439.0,439.0,B
91,91,121,Lincoln High School - Ypsi - Fields 2,high_school,28282,91822,23.55,-83.6146378,42.1604794,Ypsilanti - Lincoln HS,6477.0,Ypsilanti - Lincoln HS,1247.0,1247.0,A
92,92,124,Lincoln High School - Ypsilanti,high_school,26768,92794,22.39,-83.6146339,42.1610319,Ypsilanti - Lincoln HS,6477.0,Ypsilanti - Lincoln HS,1247.0,1247.0,A
93,93,125,Livonia Franklin HS,high_school,19947,88016,18.48,-83.3473911,42.356909,Livonia - Franklin HS,3508.0,Livonia - Franklin HS,1379.0,1379.0,A
94,94,126,Marine City Cardinal Mooney Field 2,high_school,16169,93547,14.74,-82.8879871,42.5368865,Marine City - Cardinal Mooney Catholic HS,3961.0,Marine City - Cardinal Mooney Catholic HS,156.0,156.0,D
95,95,127,Marine City Cardinal Mooney HS,high_school,35258,89229,28.32,-82.8877279,42.5352846,Marine City - Cardinal Mooney Catholic HS,3961.0,Marine City - Cardinal Mooney Catholic HS,156.0,156.0,D
96,96,128,Marion High School,high_school,28881,84444,25.49,-85.130365,44.1000449,Marion HS,4877.0,Marion HS,148.0,148.0,D
97,97,129,Marlette High School,high_school,22629,86986,20.64,-83.070928,43.3238064,Marlette HS,7054.0,Marlette HS,229.0,229.0,C
98,98,131,Mason County Central High School,high_school,33783,87956,27.75,-86.2891178,43.9590923,Scottville - Mason County Central HS,1503.0,Scottville - Mason County Central HS,360.0,360.0,C
99,99,132,Mason High School,high_school,24874,96592,20.48,-84.4345611,42.570571,Mason HS,2138.0,Mason HS,955.0,955.0,A
100,100,133,Mayville High School,high_school,17938,81703,18.0,-83.3551339,43.3310365,Mayville HS,7442.0,Mayville HS,187.0,187.0,D
101,101,135,Mendon High School,high_school,36355,86309,29.64,-85.4474524,42.0126305,Mendon HS,7260.0,Mendon HS,164.0,164.0,D
102,102,138,Merrill High School,high_school,28874,89658,24.36,-84.3410391,43.4071832,Merrill HS,2988.0,Merrill HS,203.0,203.0,C
103,103,139,Moose Lodge Field (14u),youth,10342,48686,17.52,-84.5978297,42.6602298,,,,,,
104,104,140,Mt Pleasant HS,high_school,28077,94255,22.95,-84.7591327,43.5913032,Mt Pleasant HS,5834.0,Mt Pleasant HS,1072.0,1072.0,A
105,105,142,Muskegon Mona Shores HS,high_school,32818,90825,26.54,-86.271558,43.1845307,Muskegon - Mona Shores HS,7962.0,Muskegon - Mona Shores HS,1240.0,1240.0,A
106,106,143,Muskegon Western Michigan Christian,high_school,28988,90507,24.26,-86.236793,43.1609012,Muskegon - Western Michigan Christian HS,3490.0,Muskegon - Western Michigan Christian HS,243.0,243.0,C
107,107,144,New Lothrop HS,high_school,37414,89468,29.49,-83.9746703,43.122242,New Lothrop HS,3664.0,New Lothrop HS,292.0,292.0,C
108,108,145,Northville HS,high_school,28784,95926,23.08,-83.493445,42.4123981,Northville HS,5628.0,Northville HS,2509.0,2509.0,A
109,109,146,Norway High School,high_school,25656,82223,23.78,-87.9126582,45.7729954,Norway HS,2625.0,Norway HS,180.0,180.0,D
110,110,147,Novi HS,high_school,23776,89713,20.95,-83.4924439,42.4615268,Novi HS,1833.0,Novi HS,2033.0,2033.0,A
111,111,152,Okemos HS,high_school,27679,88219,23.88,-84.4559105,42.6876301,Okemos HS,6007.0,Okemos HS,1427.0,1427.0,A
112,112,156,Orchard Lake St Marys High School,high_school,27391,87971,23.74,-83.35411,42.5916394,Orchard Lake - St Mary Preparatory HS,2385.0,Orchard Lake - St Mary Preparatory HS,523.0,1046.0,B
113,113,157,Ovid-Elsie High School,high_school,24768,83750,22.82,-84.3932693,43.0477476,Ovid-Elsie HS,3383.0,Ovid-Elsie HS,452.0,452.0,B
114,114,158,Owosso HS,high_school,20193,79372,20.28,-84.1622172,43.0168905,Owosso HS,6171.0,Owosso HS,794.0,794.0,B
115,115,159,Parkway Christian High School - Sterling Heights,high_school,18986,92907,16.97,-82.9817171,42.562036,Sterling Heights - Parkway Christian School,9955.0,Sterling Heights - Parkway Christian School,130.0,130.0,D
116,116,160,Pelson High School,high_school,17058,76326,18.27,-84.7891347,45.5500721,Pellston HS,5660.0,Pellston HS,126.0,126.0,D
117,117,163,Petoskey High School,high_school,30315,91933,24.8,-84.9386874,45.3672303,Petoskey HS,3136.0,Petoskey HS,943.0,943.0,A
118,118,164,Pewamo-Westphalia HS,high_school,27955,84958,24.76,-84.8358807,42.9403371,Pewamo-Westphalia HS,6312.0,Pewamo-Westphalia HS,296.0,296.0,C
119,119,165,Plymouth HS,high_school,30570,92981,24.74,-83.4986405,42.3483182,Canton - Plymouth HS,2839.0,Canton - Plymouth HS,2140.0,2140.0,A
120,120,166,Portage Northern High School,high_school,24003,89005,21.24,-85.5987309,42.2356888,Portage Northern HS,4794.0,Portage Northern HS,1227.0,1227.0,A
121,121,167,Portland High School,high_school,39688,88555,30.95,-84.9180249,42.882565,Portland HS,7104.0,Portland HS,567.0,567.0,B
122,122,168,Portland St. Pats HS,high_school,34252,129849,20.87,-84.9107754,42.8702585,Portland - St Patrick HS,1908.0,Portland - St Patrick HS,85.0,85.0,D
123,123,169,Richmond High School,high_school,32748,88224,27.07,-82.7574992,42.8073051,Richmond HS,1148.0,Richmond HS,469.0,469.0,B
124,124,170,Rochester Adams HS,high_school,29388,93346,23.94,-83.1998424,42.6972168,Rochester - Adams HS,6733.0,Rochester - Adams HS,1528.0,1528.0,A
125,125,171,Rochester Hills Lutheran Northwest HS,high_school,19787,71053,21.78,-83.1544493,42.6409811,Rochester Hills - Lutheran Northwest HS,3458.0,Rochester Hills - Lutheran Northwest HS,227.0,227.0,C
126,126,172,Rochester HS,high_school,29531,88582,25.0,-83.1562451,42.6774369,Rochester Hills - Rochester HS,6824.0,Rochester Hills - Rochester HS,1721.0,1721.0,A
127,127,173,Rockford HS,high_school,33509,99484,25.2,-85.5686971,43.0900641,Rockford HS,4183.0,Rockford HS,2480.0,2480.0,A
128,128,174,Rogers City HS,high_school,18535,71875,20.5,-83.8041977,45.4175136,Rogers City HS,1577.0,Rogers City HS,192.0,192.0,C
129,129,175,Rudyard HS,high_school,26169,85299,23.48,-84.5878023,46.2351548,Rudyard HS,5891.0,Rudyard HS,169.0,169.0,D
130,130,176,Saginaw Heritage HS,high_school,36530,103302,26.12,-84.0129481,43.4554596,Saginaw - Heritage HS,4547.0,Saginaw - Heritage HS,1398.0,1398.0,A
131,131,177,Saginaw Heritage HS - Field 2,high_school,20534,98697,17.22,-84.0135834,43.4547419,Saginaw - Heritage HS,4547.0,Saginaw - Heritage HS,1398.0,1398.0,A
132,132,179,Saginaw Swan Valley High School,high_school,21585,87095,19.86,-84.0822261,43.4116302,Saginaw - Swan Valley HS,2757.0,Saginaw - Swan Valley HS,586.0,586.0,B
133,133,180,Salem High School,high_school,30248,89191,25.33,-83.4972427,42.3458381,Canton - Salem HS,3747.0,Canton - Salem HS,2183.0,2183.0,A
134,134,182,Sand Creek High School - Baseball,high_school,26366,79295,24.95,-84.1047473,41.8229202,Sand Creek HS,1924.0,Sand Creek HS,265.0,265.0,C
135,135,183,Sandusky High School,high_school,33614,84661,28.42,-82.8249717,43.4102931,Sandusky HS,7525.0,Sandusky HS,310.0,310.0,C
136,136,184,Sexton High School,high_school,25173,95742,20.82,-84.5795795,42.7327867,Lansing - JW Sexton HS,7830.0,Lansing - JW Sexton HS,713.0,713.0,B
137,137,185,Shrine HS Royal Oak,high_school,14713,97502,13.11,-83.1842663,42.5195961,Royal Oak - Shrine Catholic HS,4613.0,Royal Oak - Shrine Catholic HS,241.0,241.0,C
138,138,186,St Clair HS,high_school,31501,87273,26.52,-82.5113899,42.824698,St Clair HS,2740.0,St Clair HS,787.0,787.0,B
139,139,189,St Johns High School,high_school,37094,96144,27.84,-84.5679294,42.9878827,St Johns HS,3623.0,St Johns HS,922.0,922.0,A
140,140,190,Standish-Sterling HS,high_school,27613,95495,22.43,-83.9548964,44.0156178,Standish-Sterling HS,3012.0,Standish-Sterling HS,455.0,455.0,B
141,141,191,Stevenson Lakeshore HS,high_school,22072,89254,19.83,-86.4944752,42.0092821,Stevensville - Lakeshore HS,5875.0,Stevensville - Lakeshore HS,864.0,864.0,A
142,142,193,Traverse City St Frances HS,high_school,14024,94785,12.89,-85.5597553,44.7118419,Traverse City - St Francis HS,1107.0,Traverse City - St Francis HS,329.0,329.0,C
143,143,194,Trenton High School,high_school,23234,91703,20.21,-83.2030684,42.1421346,Trenton HS,1627.0,Trenton HS,841.0,841.0,A
144,144,195,Troy - Athens High School,high_school,17790,85160,17.28,-83.111861,42.5828923,Troy - Athens HS,1957.0,Troy - Athens HS,1775.0,1775.0,A
145,145,198,Ubly high School,high_school,19713,86330,18.59,-82.9346814,43.7078311,Ubly HS,1395.0,Ubly HS,170.0,170.0,D
146,146,201,USA - Unionville Seabawing High School,high_school,27687,84002,24.79,-83.4644195,43.6938966,Unionville Sebewaing HS,4225.0,Unionville Sebewaing HS,234.0,234.0,C
147,147,202,Watervliet HS,high_school,29977,90757,24.83,-86.2497962,42.1861372,Watervliet HS,5578.0,Watervliet HS,399.0,399.0,B
148,148,203,Waverly High School,high_school,31021,88726,25.91,-84.6253319,42.7320798,Lansing - Waverly HS,2501.0,Lansing - Waverly HS,999.0,999.0,A
149,149,205,West Bloomfield HS,high_school,23399,95261,19.72,-83.3594581,42.5673665,West Bloomfield HS,5140.0,West Bloomfield HS,2052.0,2052.0,A
150,150,209,Whiteford High School - Ottawa Lake,high_school,34576,140217,19.78,-83.7011192,41.7665817,Ottawa Lake - Whiteford HS,3755.0,Ottawa Lake - Whiteford HS,257.0,257.0,C
151,151,210,Whitehall High School,high_school,28215,91519,23.56,-86.3327856,43.4045055,Whitehall HS,4340.0,Whitehall HS,685.0,685.0,B
152,152,211,Whitmore Lake High School,high_school,34917,93542,27.18,-83.7708313,42.3876304,Whitmore Lake HS,3185.0,Whitmore Lake HS,224.0,224.0,C
153,153,212,Whittemore-Prescott High School,high_school,16955,82035,17.13,-83.8844484,44.2293306,Whittemore-Prescott HS,1478.0,Whittemore-Prescott HS,230.0,230.0,C
154,154,213,Williamston High School,high_school,31596,90369,25.91,-84.28087,42.6987035,Williamston HS,7277.0,Williamston HS,607.0,607.0,B
