Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 12:30 PM, Kingsley Athletic Complex, Kingsley ,7-3-1 , Cadillac ,7-11 ,/gameeventdetails/contestid/3960854/schoolid/3870/view/contest,35 ,2
 Round 1, 5/30/2023, 5:00 PM, Bay City John Glenn High School, Freeland ,16-5-1 , Essexville Garber ,15-6 ,/gameeventdetails/contestid/3960857/schoolid/4523/view/contest,36 ,2
 SemiFin, 6/3/2023, 10:00 AM, Bay City John Glenn High School,  , , Midland Bullock Creek ,20-3-1 ,/gameeventdetails/contestid/3960859/schoolid/0/view/contest,36 ,2
 SemiFin, 6/3/2023, 12:00 PM, Bay City John Glenn High School, Bay City John Glenn ,20-3 , Shepherd ,7-8 ,/gameeventdetails/contestid/3960858/schoolid/3863/view/contest,36 ,2
 Round 1, 5/26/2023, 3:00 PM, Meridian High School - Baseball - Sanford, Beaverton ,14-8 , Sanford Meridian ,9-10 ,/gameeventdetails/contestid/3960983/schoolid/4327/view/contest,71 ,3
 Round 1, 5/26/2023, 5:00 PM, Meridian High School - Baseball - Sanford, Pinconning ,2-11 , Standish-Sterling ,12-6 ,/gameeventdetails/contestid/3960984/schoolid/4317/view/contest,71 ,3
 SemiFin, 6/2/2023, 12:00 PM, Meridian High School - Baseball - Sanford,  , , Oscoda ,2-6 ,/gameeventdetails/contestid/3960986/schoolid/0/view/contest,71 ,3
 SemiFin, 6/2/2023, 2:00 PM, Meridian High School - Baseball - Sanford, Tawas ,11-7 ,  , ,/gameeventdetails/contestid/3960985/schoolid/3918/view/contest,71 ,3
 Round 1, 5/30/2023, 4:00 PM, Brookwood Athletic Complex - Clare, Reed City ,10-10 , Evart ,7-5 ,/gameeventdetails/contestid/3960988/schoolid/4276/view/contest,72 ,3
 Round 1, 5/30/2023, 6:00 PM, Brookwood Athletic Complex - Clare, Clare ,11-5 , Harrison ,0-9 ,/gameeventdetails/contestid/3960989/schoolid/4147/view/contest,72 ,3
 SemiFin, 6/3/2023, 10:00 AM, Brookwood Athletic Complex - Clare,  , , LeRoy Pine River ,10-4 ,/gameeventdetails/contestid/3960991/schoolid/0/view/contest,72 ,3
 SemiFin, 6/3/2023, 12:00 PM, Brookwood Athletic Complex - Clare, Remus Chippewa Hills ,7-12 ,  , ,/gameeventdetails/contestid/3960990/schoolid/4159/view/contest,72 ,3
 Round 1, 5/30/2023, 5:00 PM, Charlevoix HS, Boyne City ,2-9-2 , Elk Rapids ,10-11-1 ,/gameeventdetails/contestid/3960966/schoolid/4075/view/contest,67 ,3
 SemiFin, 6/3/2023, 10:00 AM, Charlevoix HS,  , , Kalkaska ,4-11 ,/gameeventdetails/contestid/3960968/schoolid/0/view/contest,67 ,3
 SemiFin, 6/3/2023, 12:00 PM, Charlevoix HS, Charlevoix ,15-3-1 , Mancelona ,5-8 ,/gameeventdetails/contestid/3960967/schoolid/4540/view/contest,67 ,3
 Round 1, 5/30/2023, 5:00 PM, Houghton Lake High School (baseball field), Grayling ,11-11 , McBain ,3-7-1 ,/gameeventdetails/contestid/3960970/schoolid/4306/view/contest,68 ,3
 SemiFin, 6/3/2023, 12:00 PM, Houghton Lake High School (baseball field),  , , Roscommon ,2-7 ,/gameeventdetails/contestid/3960972/schoolid/0/view/contest,68 ,3
 SemiFin, 6/3/2023, 10:00 AM, Houghton Lake High School (baseball field), Houghton Lake ,0-11 , Lake City ,4-17 ,/gameeventdetails/contestid/3960971/schoolid/3975/view/contest,68 ,3
 SemiFin, 6/3/2023, 10:00 AM, Central Lake Gymnasium, Ellsworth ,7-3 , East Jordan ,15-1 ,/gameeventdetails/contestid/3961096/schoolid/4364/view/contest,01 ,4
 SemiFin, 6/3/2023, 12:00 PM, Central Lake Gymnasium, Bellaire ,2-8 , Central Lake ,5-5 ,/gameeventdetails/contestid/3961095/schoolid/4037/view/contest,01 ,4
 Round 1, 5/30/2023, 4:00 PM, Gaylord St Mary, Mio ,10-5 , Johannesburg-Lewiston ,11-7 ,/gameeventdetails/contestid/3961098/schoolid/4186/view/contest,02 ,4
 SemiFin, 6/3/2023, 10:00 AM, Gaylord St Mary,  , , Wolverine ,0-9 ,/gameeventdetails/contestid/3961100/schoolid/0/view/contest,02 ,4
 SemiFin, 6/3/2023, 12:00 PM, Gaylord St Mary, Gaylord St Mary ,15-1-1 , Boyne Falls ,1-11 ,/gameeventdetails/contestid/3961099/schoolid/4145/view/contest,02 ,4
 Round 1, 5/30/2023, 4:00 PM, Rudyard Township fields - Baseball - rudyard, Brimley ,1-10 , Pickford ,2-4 ,/gameeventdetails/contestid/3961087/schoolid/4448/view/contest,99 ,4
 SemiFin, 6/2/2023, 10:00 AM, Rudyard Township fields - Baseball - rudyard,  , , Mackinaw City ,19-6 ,/gameeventdetails/contestid/3961089/schoolid/0/view/contest,99 ,4
 SemiFin, 6/2/2023, 12:00 PM, Rudyard Township fields - Baseball - rudyard, Rudyard ,10-15 , Pellston ,0-7-1 ,/gameeventdetails/contestid/3961088/schoolid/4360/view/contest,99 ,4
 Round 1, 5/30/2023, 5:00 PM, Kosequat Field, Harbor Springs Harbor Light Christian ,9-9 , Burt Lake Northern Michigan Christian ,5-5 ,/gameeventdetails/contestid/3961091/schoolid/4604/view/contest,00 ,4
 SemiFin, 6/3/2023, 10:00 AM, Kosequat Field,  , , Harbor Springs ,1-10-1 ,/gameeventdetails/contestid/3961093/schoolid/0/view/contest,00 ,4
 SemiFin, 6/3/2023, 12:00 PM, Kosequat Field, Alanson ,2-7 , Indian River Inland Lakes ,10-0 ,/gameeventdetails/contestid/3961092/schoolid/4307/view/contest,00 ,4
