Round,Date,Time,Location,Team1,Record1,Team2,Record2,MoreInfo,District,Division
 SemiFin, 6/3/2023, 12:00 PM, Northville High School - Baseball, Salem ,7-9 , Northville ,21-2 ,/gameeventdetails/contestid/3960792/schoolid/4142/view/contest,15 ,1
 Round 1, 5/30/2023, 4:30 PM, Adlai E Stevenson HS - Livonia, Farmington ,9-13 , Detroit Catholic Central ,16-11 ,/gameeventdetails/contestid/3958975/schoolid/4350/view/contest,16 ,1
 SemiFin, 6/3/2023, 11:00 AM, Adlai E Stevenson HS - Livonia,  , , North Farmington ,4-18 ,/gameeventdetails/contestid/3958977/schoolid/0/view/contest,16 ,1
 SemiFin, 6/3/2023, 1:00 PM, Adlai E Stevenson HS - Livonia, Novi ,10-5 , Livonia Stevenson ,12-17 ,/gameeventdetails/contestid/3958976/schoolid/3933/view/contest,16 ,1
 Round 1, 5/30/2023, 4:30 PM, BHS Baseball - Brighton, Brighton ,18-7 , South Lyon East ,5-14-1 ,/gameeventdetails/contestid/3960775/schoolid/3834/view/contest,11 ,1
 SemiFin, 6/3/2023, 10:00 AM, BHS Baseball - Brighton,  , , Howell ,11-7 ,/gameeventdetails/contestid/3960777/schoolid/0/view/contest,11 ,1
 SemiFin, 6/3/2023, 12:00 PM, BHS Baseball - Brighton, Hartland ,10-6 , South Lyon ,16-7 ,/gameeventdetails/contestid/3960776/schoolid/4450/view/contest,11 ,1
 Round 1, 5/30/2023, 4:30 PM, Saline High School - Baseball, Saline ,18-10 , Ann Arbor Huron ,3-17 ,/gameeventdetails/contestid/3960779/schoolid/4427/view/contest,12 ,1
 SemiFin, 6/3/2023, 10:00 AM, Saline High School - Baseball,  , , Ann Arbor Skyline ,11-16 ,/gameeventdetails/contestid/3960781/schoolid/0/view/contest,12 ,1
 SemiFin, 6/3/2023, 12:30 PM, Saline High School - Baseball, Ann Arbor Pioneer ,8-20 , Dexter ,8-7 ,/gameeventdetails/contestid/3960780/schoolid/4134/view/contest,12 ,1
 Round 1, 5/25/2023, 4:30 PM," University Liggett School - Baseball - Grosse Pointe Woods, MI 48236", St Clair Shores South Lake ,1-6 , Harper Woods Chandler Park ,1-11 ,/gameeventdetails/contestid/3960921/schoolid/3992/view/contest,56 ,2
