school_id,school_name,students,enrollment,division,level
4803,Swartz Creek HS,1164,1164,A,high_school
7335,Grand Rapids - Ottawa Hills HS,1159,1159,A,high_school
5438,Fenton HS,1158,1158,A,high_school
4290,Flint - Carman-Ainsworth HS,1155,1155,A,high_school
3524,Auburn - Bay City Western HS,1153,1153,A,high_school
5925,Hamtramck HS,1152,1152,A,high_school
2682,Battle Creek - Central HS,1146,1146,A,high_school
4027,Mattawan HS,1146,1146,A,high_school
5157,Allen Park HS,1140,1140,A,high_school
7665,Redford - Thurston HS,1123,1123,A,high_school
9976,South Lyon East HS,1121,1121,A,high_school
2823,Muskegon - Reeths-Puffer HS,1118,1118,A,high_school
6378,Lowell HS,1107,1107,A,high_school
4142,Grand Rapids - Northview HS,1102,1102,A,high_school
7640,Gibraltar - OA Carlson HS,1093,1093,A,high_school
7434,Muskegon HS,1082,1082,A,high_school
7517,Cedar Springs HS,1074,1074,A,high_school
5834,Mt Pleasant HS,1072,1072,A,high_school
3367,Greenville HS,1068,1068,A,high_school
2492,Auburn Hills - Avondale HS,1055,1055,A,high_school
2385,Orchard Lake - St Mary Preparatory HS,523,1046,B,high_school
4266,Holly HS,1042,1042,A,high_school
7046,St Clair Shores - Lake Shore HS,1039,1039,A,high_school
9920,Zeeland West HS,1037,1037,A,high_school
7987,Southgate Anderson HS,1034,1034,A,high_school
5280,Grand Rapids - Kenowa Hills HS,1033,1033,A,high_school
2328,Bloomfield Hills - Brother Rice HS,516,1032,B,high_school
2708,St Joseph HS,1020,1020,A,high_school
2055,River Rouge HS,1013,1013,A,high_school
6114,Holland HS,1010,1010,A,high_school
1354,DeWitt HS,1009,1009,A,high_school
2501,Lansing - Waverly HS,999,999,A,high_school
1070,Ypsilanti Community,985,985,A,high_school
6667,Sturgis HS,965,965,A,high_school
1288,Coldwater HS,964,964,A,high_school
4712,Flint - Kearsley HS,963,963,A,high_school
2138,Mason HS,955,955,A,high_school
7970,Melvindale HS,950,950,A,high_school
7285,Jackson - Northwest HS,949,949,A,high_school
3136,Petoskey HS,943,943,A,high_school
6147,Detroit - Martin Luther King HS,941,941,A,high_school
5388,Middleville - Thornapple Kellogg HS,939,939,A,high_school
7847,Riverview Community HS,936,936,A,high_school
2690,Marquette HS,934,934,A,high_school
3813,Zeeland East HS,934,934,A,high_school
5297,Richland - Gull Lake HS,933,933,A,high_school
7946,East Grand Rapids HS,927,927,A,high_school
1373,Pontiac HS,924,924,A,high_school
3623,St Johns HS,922,922,A,high_school
3284,Gaylord HS,901,901,A,high_school
1494,Detroit - Mumford HS,900,900,A,high_school
3870,Linden HS,890,890,A,high_school
1370,Warren - Fitzgerald HS,881,881,A,high_school
5875,Stevensville - Lakeshore HS,864,864,A,high_school
7657,Garden City HS,859,859,A,high_school
4200,Dearborn - Divine Child HS,850,850,A,high_school
1032,Detroit - East English Village Preparatory Acad,849,849,A,high_school
2781,Coopersville HS,847,847,A,high_school
5272,Flint Southwestern Classical,845,845,A,high_school
2278,Haslett HS,845,845,A,high_school
5198,Parma - Western HS,844,844,A,high_school
1627,Trenton HS,841,841,A,high_school
7343,Fowlerville HS,839,839,A,high_school
2922,Marysville HS,837,837,A,high_school
4357,Pinckney HS,837,837,A,high_school
6072,Harper Woods HS,835,835,A,high_school
2765,Lansing - Eastern HS,828,828,B,high_school
7483,Battle Creek - Harper Creek HS,828,828,B,high_school
1890,Eastpointe HS,827,827,B,high_school
4068,Ionia HS,826,826,B,high_school
4687,Spring Lake HS,825,825,B,high_school
2914,Cadillac HS,811,811,B,high_school
3706,Clio HS,810,810,B,high_school
8036,Wayland Union HS,810,810,B,high_school
7211,Plainwell HS,808,808,B,high_school
4217,Ortonville - Brandon HS,807,807,B,high_school
1486,Niles HS,807,807,B,high_school
4992,Detroit - Henry Ford HS,805,805,B,high_school
1916,New Boston - Huron HS,804,804,B,high_school
1651,Chelsea HS,803,803,B,high_school
4175,Edwardsburg HS,803,803,B,high_school
7203,Bloomfield Hills - Cranbrook Kingswood HS,798,798,B,high_school
6171,Owosso HS,794,794,B,high_school
7062,Grand Rapids Christian HS,787,787,B,high_school
2740,St Clair HS,787,787,B,high_school
4506,Ada - Forest Hills Eastern HS,783,783,B,high_school
7855,Marshall HS,783,783,B,high_school
4654,Carleton - Airport HS,779,779,B,high_school
2410,Hastings HS,779,779,B,high_school
1412,Hamilton HS,772,772,B,high_school
5974,Sparta HS,771,771,B,high_school
3160,Bloomfield Hills - Marian HS,385,770,C,high_school
1610,Vicksburg HS,766,766,B,high_school
6683,Fruitport HS,764,764,B,high_school
1154,Ann Arbor - Washtenaw Technical Middle College,763,763,B,high_school
2294,Adrian HS,759,759,B,high_school
5248,Allendale HS,756,756,B,high_school
1218,Harper Woods - Chandler Park Academy,755,755,B,high_school
1247,Bay City - John Glenn HS,752,752,B,high_school
3516,Charlotte HS,751,751,B,high_school
8110,Wyoming - Godwin Heights HS,742,742,B,high_school
4191,Madison Heights - Lamphere HS,730,730,B,high_school
2550,Escanaba HS,727,727,B,high_school
8028,Sault Ste Marie - Sault Area HS,719,719,B,high_school
3350,Tecumseh HS,719,719,B,high_school
8192,Goodrich HS,716,716,B,high_school
5396,Livonia - Clarenceville HS,713,713,B,high_school
7830,Lansing - JW Sexton HS,713,713,B,high_school
6205,Dearborn Heights - Annapolis HS,709,709,B,high_school
4753,Saginaw - Arthur Hill HS,702,702,B,high_school
5288,Detroit - Cesar Chavez Academy HS,702,702,B,high_school
2047,Redford Union HS,698,698,B,high_school
2716,Battle Creek - Pennfield HS,689,689,B,high_school
6155,North Branch HS,686,686,B,high_school
4340,Whitehall HS,685,685,B,high_school
2518,Fremont HS,684,684,B,high_school
1981,Ferndale HS,681,681,B,high_school
2798,Ludington HS,678,678,B,high_school
1255,Paw Paw HS,677,677,B,high_school
3978,Eaton Rapids HS,674,674,B,high_school
7137,Linden - Lake Fenton HS,672,672,B,high_school
2261,Allegan HS,670,670,B,high_school
2831,Wyoming - Kelloggsville HS,670,670,B,high_school
2451,Milan HS,669,669,B,high_school
4134,Three Rivers HS,669,669,B,high_school
4984,Otsego HS,667,667,B,high_school
1841,Croswell-Lexington HS,663,663,B,high_school
2402,Romulus HS,663,663,B,high_school
4092,Beverly Hills - Detroit Country Day HS,657,657,B,high_school
6634,Holland Christian HS,643,643,B,high_school
2303,Alma HS,640,640,B,high_school
9213,Pontiac - Notre Dame Preparatory School,633,633,B,high_school
1181,Romulus - Summit Academy North,632,632,B,high_school
3895,Byron Center - South Christian HS,631,631,B,high_school
7021,Benton Harbor HS,621,621,B,high_school
3904,Hudsonville - Unity Christian HS,616,616,B,high_school
7590,Freeland HS,615,615,B,high_school
7186,Yale HS,612,612,B,high_school
4968,Birch Run HS,609,609,B,high_school
9478,Kentwood - Grand River Prep,608,608,B,high_school
7277,Williamston HS,607,607,B,high_school
4150,Cheboygan Area HS,605,605,B,high_school
2484,Flint - Powers Catholic HS,603,603,B,high_school
2468,Hazel Park HS,602,602,B,high_school
1271,Bridgeport HS,599,599,B,high_school
5594,Armada HS,598,598,B,high_school
5181,Muskegon - Orchard View HS,594,594,B,high_school
9833,Detroit - Frontier International Academy,590,590,B,high_school
1061,Grand Rapids - West Michigan Aviation Academy,589,589,B,high_school
1528,Grosse Ile HS,588,588,B,high_school
2757,Saginaw - Swan Valley HS,586,586,B,high_school
8085,Detroit - Cody HS,579,579,B,high_school
4282,Imlay City HS,573,573,B,high_school
6337,Howard City - Tri County Area HS,573,573,B,high_school
5958,Macomb - Lutheran North,572,572,B,high_school
2971,West Branch - Ogemaw Heights HS,572,572,B,high_school
1602,Big Rapids HS,571,571,B,high_school
3425,Kingsford HS,570,570,B,high_school
4902,Belding Area HS,569,569,B,high_school
4943,Flat Rock HS,569,569,B,high_school
7491,Newport - Jefferson HS,569,569,B,high_school
3862,Detroit - Edwin Denby HS,568,568,B,high_school
4415,Muskegon - Oakridge HS,568,568,B,high_school
6238,Grand Rapids - Catholic Central HS,567,567,B,high_school
7723,Frankenmuth HS,567,567,B,high_school
7104,Portland HS,567,567,B,high_school
3821,Warren - Lincoln HS,555,555,B,high_school
1123,Corunna HS,550,550,B,high_school
4488,Detroit - University Prep Academy,548,548,B,high_school
7756,Grant HS,546,546,B,high_school
4522,Warren - Regina HS,273,546,C,high_school
6106,Essexville - Garber HS,542,542,B,high_school
2006,Comstock Park HS,535,535,B,high_school
8143,Midland - Bullock Creek HS,530,530,B,high_school
1585,Marine City HS,528,528,B,high_school
5801,Lake Odessa - Lakewood HS,525,525,B,high_school
6782,South Haven HS,524,524,B,high_school
6411,Center Line HS,522,522,B,high_school
4365,Dowagiac Union HS,518,518,B,high_school
9887,Dearborn - Henry Ford Academy,510,510,B,high_school
1113,Detroit - Cornerstone Health & Technology HS,380,506,C,high_school
2352,St Clair Shores - South Lake HS,505,505,B,high_school
1191,Redford - Westfield Preparatory HS,505,505,B,high_school
1023,Wixom - St Catherine of Siena Academy,251,502,C,high_school
5487,Wyoming - Lee HS,501,501,B,high_school
9714,Detroit - University Prep Art & Design,497,497,B,high_school
6502,Carrollton HS,495,495,B,high_school
1060,Detroit - University Prep Science & Math HS,494,494,B,high_school
3887,Remus - Chippewa Hills HS,492,492,B,high_school
2253,Gladwin HS,492,492,B,high_school
1346,Berrien Springs HS,491,491,B,high_school
1057,Shepherd HS,489,489,B,high_school
9145,Detroit - Communication Media Arts HS,488,488,B,high_school
5339,Detroit - Old Redford Preparatory HS,488,488,B,high_school
4844,Hopkins HS,487,487,B,high_school
4241,Saginaw HS,487,487,B,high_school
1305,Kingsley Area HS,486,486,B,high_school
6436,Olivet HS,485,485,B,high_school
6535,Parchment HS,485,485,B,high_school
4563,Dundee HS,480,480,B,high_school
