Location,Map Link
"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236 - MAP",http://maps.google.com/maps?q=University+Liggett+School+-+Baseball+1045+Cook+Rd++Grosse+Pointe+Woods%2c+MI+48236%2c+MI+
Sanborn Park - Port Huron - MAP,http://maps.google.com/maps?q=Sanborn+Park+1901+Sanborn++Port+Huron%2c+MI+48060
Davenport University - Grand Rapids - MAP,http://maps.google.com/maps?q=Davenport+University+6191+Kraft+Ave+SE++Grand+Rapids%2c+MI+49512
Lansing Catholic High School (Baseball Diamond) - MAP,http://maps.google.com/maps?q=Lansing+Catholic+High+School+501+Marshall+St++Lansing%2c+MI+48912
Chesaning Baseball Field - MAP,http://maps.google.com/maps?q=Chesaning+Baseball+Field+850+N.+Fourth+St.++Chesaning%2c+MI+
Bangor High School - Baseball - MAP,http://maps.google.com/maps?q=Bangor+High+School+-+Baseball+801+W.+Arlington++Bangor%2c+MI+
Centreville High School - Baseball - MAP,http://maps.google.com/maps?q=Centreville+High+School+-+Baseball+190+Hogan+St++Centreville%2c+MI+
Sand Creek High School - Baseball - MAP,http://maps.google.com/maps?q=Sand+Creek+High+School+-+Baseball+6518+Sand+Creek+Hwy++Sand+Creek%2c+MI+
Lumen Christi Catholic High School - Baseball - Jackson - MAP,http://maps.google.com/maps?q=Lumen+Christi+Catholic+High+School+-+Baseball+3433+Spring+Arbor+Road++Jackson%2c+MI+
Bronson High School - Baseball - MAP,http://maps.google.com/maps?q=Bronson+High+School+-+Baseball+450+East+Grant+Street++Bronson%2c+MI+
Adrian College - MAP,http://maps.google.com/maps?q=Adrian+College+110+S+Madison+St++Adrian%2c+MI+49221
Gladstone Sports Park - MAP,http://maps.google.com/maps?q=Gladstone+Sports+Park+North+Bluff+Drive++Gladstone%2c+MI+
Standish-Sterling Central High School - Baseball - MAP,http://maps.google.com/maps?q=Standish-Sterling+Central+High+School+-+Baseball+2401+Grove+Road++Standish%2c+MI+48658
Mason County Central - Baseball - Scottville - MAP,http://maps.google.com/maps?q=Mason+County+Central+-+Baseball+300+W.+Broadway++Scottville%2c+MI+
Traverse City St Francis - MAP,http://maps.google.com/maps?q=Traverse+City+St+Francis+123+E+Eleventh+St++Traverse+City%2c+MI+49684
Harbor Springs High School - MAP,http://maps.google.com/maps?q=Harbor+Springs+High+School+500+N+Springs+St++Harbor+Springs%2c+MI+49740
Kalamazoo College - MAP,http://maps.google.com/maps?q=Kalamazoo+College+1015+Academy+St++Kalamazoo%2c+MI+49006
Camden-Frontier High School - MAP,http://maps.google.com/maps?q=Camden-Frontier+High+School+4971+W+Montgomery+Rd++Camden%2c+MI+0
Concord Baseball Field (Concord Baseball Field) - MAP,http://maps.google.com/maps?q=Concord+Baseball+Field+219+E+Monroe++Concord%2c+MI+
Decatur High School - Baseball (Raider Baseball) - MAP,http://maps.google.com/maps?q=Decatur+High+School+-+Baseball+110+Cedar+St++Decatur%2c+MI+
Lockhart Field - Frankfort - MAP,http://maps.google.com/maps?q=Lockhart+Field+534+11th+Street++Frankfort%2c+MI+
Merrill High School - MAP,http://maps.google.com/maps?q=Merrill+High+School+555+W+Alice++Merrill%2c+MI+48637
Dansville Baseball Field (None) - MAP,http://maps.google.com/maps?q=Dansville+Baseball+Field+1264+Adams+St.++Dansville%2c+MI+
