,field,home_plate,foul_ft,fop_ft,foul_pct
58,Clare High School,"-84.7809457,43.8248348,0",19720.51683294228,93773.66822752485,17.375794911814765
59,Clarenceville - Livonia,"-83.33937090000001,42.4363394,0",19165.720049069154,82437.50631879232,18.86329867092837
60,Clinton High School,"-83.9647212,42.0745982,0",23741.90416128249,91577.13603897141,20.588017486144683
61,CMU,"-84.77949580000001,43.5764696,0",22847.054624477896,108212.85247792823,17.432527711640997
62,Coldwater Heritage Park,"-85.02037970000001,41.9515984,0",44480.753133981045,89491.64919183984,33.20142981821275
64,Comerica Park,"-83.0489808,42.3394579,0",28154.590364332496,113641.24196682031,19.85572488377494
65,Concord High School,"-84.6411052,42.1722524,0",18587.870418381044,82374.38349346197,18.41071261603507
66,Coors Field - Colorado MLB,"-104.9942091,39.7557176,0",24746.112813117074,116885.73067766792,17.47213917661612
67,Cornerstone Baseball Field - Grand Rapids,"-85.5975511,42.9811225,0",21212.065271320596,103015.75952274566,17.075132166633406
69,Cranbrook High School,"-83.25467329999999,42.5730964,0",33362.246927504355,84810.92150319552,28.231659834921775
70,Dansville Baseball Field HS,"-84.30747119999999,42.5514233,0",38155.475593937976,101273.41173982163,27.365545493168025
71,Davenport University,"-85.5160374,42.8425628,0",30258.733790529317,111118.05911678712,21.40290012828788
72,Decatur High School,"-85.9816872,42.1120337,0",18841.03790220729,93430.89021677373,16.781610699907425
73,Decatur High School - Baseball,"-85.98168920000001,42.1120346,0",18970.670645148366,93057.53306879332,16.933834531158787
74,Decatur Youth Field,"-85.9858847,42.1126558,0",10576.588097131078,39318.2692698192,21.197751943343317
75,Detroit Catholic Central - Field ,"-83.5440067,42.4880269,0",33484.08651521486,90187.56369357585,27.074989667142628
76,Detroit Catholic Central HS - Novi,"-83.54344949999999,42.488053,0",18311.14016986226,96536.82368316704,15.943809150412966
77,Detroit Country Day,"-83.2646187,42.513942,0",17028.759385363974,91589.48191547625,15.677623925247856
78,Detroit Western,"-83.0689599,42.3320337,0",28788.73856020944,108026.16093724979,21.04210774261766
79,Dewitt High School,"-84.58102770000001,42.8262729,0",20440.806267228058,84826.50233713406,19.41800026830079
80,Dow Diamond (Midland),"-84.2371778,43.609054,0",29101.193762458435,106467.65543680133,21.465988635549568
81,East Lansing High School,"-84.4568141,42.7419931,0",28064.48434984461,89645.335974471,23.842092590508575
82,Eastern High School,"-84.53557480000001,42.7372929,0",38328.764865619196,86897.67434595551,30.6075658678287
83,Eaton Rapids High School,"-84.63514499999999,42.5118192,0",37223.00879161922,101498.29621420524,26.832943065274904
84,Ecorse High School,"-83.149694,42.2528271,0",29410.767721147302,78787.63831758185,27.182256003494032
85,Edwardsburg HS,"-86.091742,41.7896252,0",30166.427017300903,85216.1049591399,26.144708822528166
86,EMU,"-83.64872339999999,42.2573876,0",17041.105627986904,109552.68291466663,13.461249421605867
87,Everett High School,"-84.5561434,42.6905115,0",36876.173198382734,93447.61380893784,28.295811566856415
88,Fankfort H S,"-86.22585100000001,44.634408,0",25912.509644736863,89205.26372341164,22.509564671537067
89,Fenway Park - Boston,"-71.0977733,42.3462476,0",17744.318871489893,102744.69070018081,14.72691902321183
90,Forrest Hills Eastern,"-85.5286469,43.0058274,0",34527.562953791654,98243.77763101638,26.00528306915534
91,Fowlerville HS,"-84.0655802,42.6688057,0",19823.269989720986,94791.45491374427,17.295570011983383
92,Gabriel Richard HS - Baseball,"-83.2089242,42.1817944,0",22711.757738857024,92645.04414926609,19.688269236939878
93,Garber High School Essexville,"-83.8341769,43.6056339,0",25668.218924433957,91404.34865675567,21.925049953852845
96,Gladstone High School,"-87.03889359999999,45.85971000000001,0",22977.76982340443,84311.83807144007,21.4165847692585
97,Gladstone_youth,"-87.0393735,45.8605932,0",10047.92257065137,36433.68040463718,21.616988071588754
98,Gladwin High School,"-84.4919148,43.9902464,0",26731.1271124326,93476.74989433846,22.23741719598533
99,Goodrich HS,"-83.52947949999999,42.9168576,0",33688.103537484385,91639.68415324896,26.879995377094858
100,GR West Catholic,"-85.712159,42.9943182,0",23865.535436351962,94829.16202346057,20.1066567817255
101,GR West Catholic Youth Field,"-85.7121231,42.9958129,0",13310.970062104048,34313.2633204942,27.949993347226954
102,Grand Blanc,"-83.6283145,42.9187188,0",26521.945922898336,93196.20356245499,22.15365509483014
103,Grand Ledge,"-84.75398939999999,42.7472938,0",28836.4431519731,79360.8768110812,26.651716661576984
104,Grand Ledge Bridge St (u),"-84.74489749999999,42.7543876,0",11531.24657854607,37085.62343325263,23.718611617217604
105,Grand Ledge Hayes (u),"-84.7006386,42.7518189,0",8451.511666590863,43892.76376488105,16.146009466986342
106,Grand Ledge JV,"-84.7588678,42.7462458,0",23246.968137460888,70056.74482407526,24.91537303241544
107,Grand Rapids Kenowa Hills,"-85.7475037,43.0343372,0",37757.91941080423,93309.52246187239,28.80800820655641
108,Gross Pointe North High School,"-82.8911176,42.4379668,0",19074.693294236225,80421.3129844877,19.171315520746816
110,Gross Pointe South,"-82.9025228,42.3918844,0",21526.507732963764,83785.35245818367,20.440724998961983
111,Grosse Ile High School,"-83.1458188,42.1340427,0",36064.37742136181,93916.64642600187,27.7458788628347
112,GVSU,"-85.8933881,42.9654715,0",35023.937146905206,102526.63352494253,25.46258948678684
113,Hamtramck Historical,"-83.0505764,42.390044,0",46502.84440086308,123991.02353122948,27.275376507608524
114,Hamtramck Historical Field ,"-83.0476997,42.3930022,0",14856.501206692064,81704.18060720424,15.38566311630375
115,Harbor Springs High School,"-84.9734496,45.434179,0",21382.122842632518,79731.13343215003,21.14670581325663
116,Harbor Springs Youth ,"-84.97434610000001,45.434841,0",6824.079779465193,28912.954626212915,19.095260401296596
117,Harbor Springs Youth ,"-84.9733378,45.43516,0",9684.848295995213,37083.82606073365,20.707981205804266
118,Haslett High School,"-84.4071076,42.7419614,0",30038.893070413502,86400.49907233364,25.797878636799965
119,Holland Christian Baseball Field,"-86.1328152,42.7619603,0",32778.548515511866,95289.03131450691,25.594727845265837
121,Holt High School,"-84.57995029999999,42.6367415,0",38310.321637456,95405.74017133722,28.65050100880005
122,Holt HS - Field ,"-84.5796448,42.6372277,0",39740.353989837626,98054.46889728654,28.840237359564142
123,Holton High School,"-86.0881718,43.4149801,0",28877.412296009607,95912.47410687413,23.14082745678522
124,Homer,"-84.8138072,42.1386292,0",20835.43300643108,71859.97834370394,22.47730788715113
125,Hope College - Holland,"-86.08836650000001,42.7870783,0",30723.02450693408,99673.62687417664,23.56120665793771
126,Houghton High School,"-88.56393780000001,47.10877110000001,0",32578.153350564633,92793.9452197411,25.98517032264206
127,Howell,"-83.9426426,42.6179456,0",21113.744573115117,92971.30237110773,18.507021856631052
128,Hudson high School,"-84.3444884,41.8638399,0",31946.96803145042,88332.99444914487,26.56050714731841
129,Hudsonville Christian HS,"-85.84562560000001,42.8840691,0",33791.305595847145,97983.24180507938,25.64327198410818
130,Hudsonville High School,"-85.87544920000001,42.9134789,0",30486.64898665078,96953.2158959621,23.92238018671204
131,Hudsonville HS - Field ,"-85.8768694,42.9142415,0",31074.669080793297,93415.48668502667,24.96154727225842
132,Huron High School,"-83.3501649,42.1258421,0",27079.066990504838,82444.92467308299,24.72432439613822
133,Ionia High School,"-85.0645777,42.9523427,0",30676.04206341846,88463.37391450717,25.748021183100455
134,Ionia Practice Field,"-85.0646534,42.9533573,0",29381.094568822184,81816.82367993805,26.422342280809524
135,Jenison High School,"-85.837665,42.917629,0",31315.79972221289,98281.33664564944,24.163959636671898
137,Jimmy Johns Stadium (Utica),"-83.0400041,42.6261647,0",35340.21210457484,95356.13134203418,27.039939429530968
138,Kalamazoo (Growlers),"-85.5621405,42.2904771,0",28703.903797887047,99711.97972311231,22.35230020684568
139,Kalamazoo College,"-85.6092979,42.2877622,0",30733.438083660298,109771.80756361186,21.873516495472547
140,Kalamazoo Hackett Prep High School,"-85.5965558,42.2474483,0",21936.925120750344,87094.98613412629,20.11972904837911
141,Kingston high School,"-83.1919884,43.4105296,0",20687.597546147834,74025.70182678587,21.842336486125777
142,Klenk Park - Alma Scots,"-84.6785813,43.3879303,0",35378.686933336874,109900.71667428776,24.352169719039313
145,Laingsburg HS,"-84.34275100000001,42.878632,0",28675.73581711367,98635.21565702603,22.5241705329164
146,Lake Orion,"-83.2369353,42.7539465,0",32957.70367126159,90213.89902884109,26.75755040023857
147,Lansing Catholic,"-84.5276463,42.7374459,0",18457.875962658276,88368.82360095721,17.27833588237609
148,Lincoln High - Ypsi - Fields ,"-83.6146378,42.1604794,0",28281.893416405015,91821.74293786449,23.547907686143624
149,Lincoln High - Ypsi - Youth ,"-83.6149003,42.1607613,0",9876.709608097182,31202.95247532375,24.042820965860034
150,Lincoln High - Ypsi - Youth ,"-83.6143836,42.1607571,0",9925.255666714063,31323.833707360776,24.061757040755698
151,Lincoln High School - Ypsilanti,"-83.6146339,42.1610319,0",26767.984811298276,92793.87168051886,22.388398438033864
153,Lincoln HS - Ypsi Field ,"-83.6146378,42.1604794,0",28281.893416405015,91821.74293786449,23.547907686143624
154,Lincoln HS - Ypsi Youth ,"-83.6149003,42.1607613,0",9876.709608097182,31202.95247532375,24.042820965860034
155,Lincoln HS - Ypsi Youth ,"-83.6143836,42.1607571,0",9925.255666714063,31323.833707360776,24.061757040755698
156,Livonia Franklin HS,"-83.3473911,42.356909,0",19946.900593106686,88016.32906177112,18.475642732132254
157,Marine City Cardinal Mooney Field ,"-82.8879871,42.5368865,0",16169.26463317929,93546.95167757125,14.737351666760809
158,Marion High School,"-85.130365,44.1000449,0",28880.617473432605,84443.57858419165,25.48495244453099
159,Marlette High School,"-83.07092799999999,43.3238064,0",22629.029730975515,86985.63353841778,20.64416297604411
160,Marsh Field Muskegon,"-86.2433912,43.2189761,0",44994.8921066772,93865.9822195239,32.40285813049018
161,Mason County Central High School,"-86.2891178,43.9590923,0",33783.13604577152,87955.89541400301,27.75045574182531
162,Mason High School,"-84.4345611,42.570571,0",24873.849075993694,96592.16214295548,20.478032353558735
163,Mayville High School,"-83.3551339,43.3310365,0",17938.260448053137,81702.59523521611,18.002916900948655
164,Mendon High School,"-85.4474524,42.0126305,0",36355.3444980997,86309.09286728005,29.638047733271115
165,Mendon Youth ,"-85.4456151,42.0114783,0",7531.414278691262,23323.69312467186,24.408971196354866
166,Mendon Youth ,"-85.4460878,42.0112333,0",8964.33386707847,32827.46741209411,21.449982036419062
167,Merrill High School,"-84.3410391,43.4071832,0",28874.138369871383,89657.73342388269,24.35980967221415
168,Moose Lodge Field (u),"-84.59782970000001,42.6602298,0",10341.619640864606,48686.083236705956,17.519942563772425
169,Mt Pleasant HS,"-84.75913269999999,43.5913032,0",28077.42628253428,94255.09172581288,22.951727586134098
171,Municipal Park,"-84.5068483,42.7308541,0",25469.69802448315,90986.57663777038,21.870610319925106
172,Muskegon Mona Shores,"-86.271558,43.1845307,0",32818.44376171392,90825.49528682299,26.542703196176003
173,Muskegon Western Michigan Christian,"-86.23679300000001,43.1609012,0",28987.91853979666,90506.75134834346,24.258754442296443
174,Northville HS,"-83.49344499999999,42.4123981,0",28783.62472174631,95926.11183605649,23.08049516920047
175,Norway High School,"-87.9126582,45.7729954,0",25656.291343425488,82222.65950597168,23.78248132876503
176,Novi HS,"-83.4924439,42.4615268,0",23776.27840342033,89712.79508616617,20.950279769093353
178,Noway Youth ,"-87.9014622,45.7904849,0",17330.039111709008,64305.32685099708,21.2285924211156
179,Noway Youth ,"-87.9104722,45.7729944,0",9686.765435060213,32295.55335862814,23.07344070884557
180,Noway Youth ,"-87.9101182,45.7729103,0",8356.264891143677,32016.120873771204,20.697971479321353
181,Oakland University,"-83.2113566,42.6733173,0",40414.31295895344,98649.59864624352,29.0616828567931
182,Okemos HS,"-84.4559105,42.6876301,0",27678.98938817087,88218.98883944983,23.882202098305836
183,Old College Field,"-84.489214,42.7326743,0",33043.15629943081,104910.86570849398,23.95229643796296
184,Olds Park,"-84.54483380000001,42.7352399,0",22689.715362206924,104238.88716317108,17.875967205792218
185,Onsted,"-84.19140640000001,41.99781,0",25174.166621196953,88631.03674766776,22.120400364825677
186,Orchard Lake St Marys,"-83.35411000000001,42.5916394,0",27390.759279190213,87970.71047211412,23.74342086507659
187,Ovid-Elsie,"-84.3932693,43.0477476,0",24768.039340117935,83750.42763476056,22.823801358944387
188,Owosso HS,"-84.1622172,43.0168905,0",20192.804706417708,79371.66582433488,20.28113502615447
189,Parkway Christian School - Baseball - Sterling Heights,"-82.9817171,42.562036,0",18985.523550157435,92907.00041931319,16.96764258829084
190,Pelson High School,"-84.78913470000001,45.55007209999999,0",17057.566193757055,76325.80544768673,18.26617083312385
191,Pelson HS - Youth ,"-84.78832079999999,45.5499753,0",9639.31163113829,32049.00411806071,23.122334059090644
192,Pelson HS - Youth ,"-84.789241,45.5497813,0",11164.838471691473,60612.29330868002,15.55486851418694
193,Petoskey High School,"-84.93868740000001,45.36723030000001,0",30314.74365884388,91933.29179124237,24.79773482431246
194,Pewamo-Westphalia,"-84.8358807,42.9403371,0",27955.461557774815,84958.40033168886,24.758219309814805
195,Plymouth-Canton-Salem,"-83.49864049999999,42.3483182,0",30570.455289382877,92980.9777129216,24.7431005424378
196,Portage Northern High School,"-85.59873090000001,42.2356888,0",24002.983479207447,89004.59756166955,21.2401533225679
198,Portland High School,"-84.91802490000001,42.882565,0",39688.117941251214,88555.37103197309,30.947472077539633
199,Portland St. Pats,"-84.91077540000001,42.8702585,0",34252.43351878411,129849.2647255623,20.872686806557265
200,Richmond High School,"-82.7574992,42.8073051,0",32747.533802047703,88224.29391996656,27.070380284986268
202,Rochester Adams,"-83.19984239999999,42.6972168,0",29388.405559575855,93346.11326287108,23.944694484923506
203,Rochester HS,"-83.15624510000001,42.6774369,0",29531.016910585757,88582.21744428486,25.002292987642655
205,Rockford,"-85.56869709999999,43.0900641,0",33509.41989004341,99484.05650413068,25.196288418483153
206,Rudyard HS,"-84.58780230000001,46.2351548,0",26169.112019291028,85298.52172208854,23.476870496782063
207,Saginaw Heritage HS,"-84.0129481,43.4554596,0",36530.40682695454,103302.1499513998,26.124393108865284
209,Saginaw Heritage HS - Field ,"-84.0135834,43.4547419,0",20533.802422314406,98696.82566479118,17.221919192871443
210,Saginaw Heritage HS Field ,"-84.0135834,43.4547419,0",20533.802422314406,98696.82566479118,17.221919192871443
211,Saginaw Swan Valley - Youth Field,"-84.08623729999999,43.4096575,0",14395.76681506989,56176.70076266475,20.39855953628537
212,Saginaw Swan Valley High School,"-84.0822261,43.4116302,0",21585.143241051162,87095.00070496001,19.8611654873902
213,Salem High School,"-83.4972427,42.3458381,0",30247.519350390496,89191.05448270495,25.324749266228398
214,Sanborn Park - Port Huron,"-82.44334000000001,43.0117653,0",18780.666322966346,95217.7434057131,16.474498519466234
215,Sand Creek High School - Baseball,"-84.1047473,41.8229202,0",26365.93595477944,79294.74097915155,24.953404350481218
216,Sandusky High School,"-82.82497170000001,43.4102931,0",33613.77849560391,84661.168620427,28.420032572602118
217,Sexton High School,"-84.57957949999999,42.7327867,0",25173.379851086323,95742.2374320915,20.8189648423426
218,St Clair HS,"-82.5113899,42.824698,0",31500.852625298307,87273.27036661131,26.521646156414057
219,St Gerard (Lansing),"-84.6106279,42.7466265,0",12688.903457362656,51029.05453259738,19.91417154228645
220,St Gerard Field ,"-84.6117048,42.7462672,0",14288.705904887836,62521.13835228097,18.60270131136771
221,St Johns High School,"-84.5679294,42.9878827,0",37093.807588580414,96143.76930942107,27.84034988641167
222,Stevenson Lakeshore HS,"-86.4944752,42.0092821,0",22071.681526577908,89254.4174887199,19.826151928259826
223,SV State,"-83.95339989999999,43.5122297,0",39798.724200019315,106271.04743047028,27.246379422497846
224,Traverse City St Frances,"-85.55975530000001,44.7118419,0",14023.554252371861,94784.62863781543,12.8883268517818
225,Trenton High School,"-83.20306840000001,42.1421346,0",23233.946855244758,91703.36302254794,20.214451582300207
227,Turtle Creek Stadium (Traverse City),"-85.66068730000001,44.6817024,0",29642.80900880088,109821.92966606443,21.25469799065646
228,U of M,"-83.7420742,42.2678568,0",19421.18523795465,100851.27232770846,16.147658101483124
229,Ubly high School,"-82.9346814,43.7078311,0",19712.90426397964,86329.70401425971,18.58960712495494
230,USA - unionville - Youth ,"-83.4709366,43.650357,0",35923.70752331055,12533.450026022783,74.13498715176863
231,USA - Unionville Seabawing - Youth ,"-83.47093599999999,43.650734,0",8032.990374888568,40293.722099406994,16.62225705744256
232,USA - Unionville Seabawing High School,"-83.46441950000001,43.6938966,0",27687.447202189833,84001.53422015178,24.789775006983277
233,Waverly High School,"-84.62533190000001,42.7320798,0",31021.212201052535,88726.07329839574,25.905566102536383
234,Wayne State Univ,"-83.0772235,42.3564168,0",25322.183297346255,98360.1359206714,20.473567650935024
236,West Bloomfield HS,"-83.3594581,42.5673665,0",23398.923948060958,95260.59986142132,19.719381299414177
238,West Michigan Whitecaps,"-85.659582,43.0402454,0",32999.13707134791,111689.7794914956,22.8069556779183
239,Westside Park (Lansing),"-84.58129580000001,42.7423296,0",37391.631693805844,96628.63206509726,27.899983662971923
240,Whaley Park - Flint,"-83.6667195,43.0507408,0",37414.106011272896,112630.90567446405,24.935254821823193
241,Whiteford High School - Ottawa Lake,"-83.70111919999999,41.7665817,0",34576.09397739259,140217.06867510692,19.78114787369125
242,Whitehall High School,"-86.33278559999999,43.4045055,0",28215.49064787245,91519.09847435649,23.56502899848695
243,Whitmore Lake High School,"-83.7708313,42.3876304,0",34917.13504647463,93541.66532271783,27.181582691199257
244,Whittemore-Prescott High School,"-83.8844484,44.2293306,0",16954.53692559044,82035.26662090275,17.127558918355962
245,Williamston High School,"-84.28086999999999,42.6987035,0",31596.11321386098,90368.65273867155,25.905935183082196
246,WMU,"-85.6030368,42.2844309,0",29814.013693961402,104839.84850713453,22.141224326292473
