school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Kansas State University,KSU,Wildcats,919 Mid-Campus Dr,Manhattan,KS,66506,9/1/1922,No,Public,Pete Hughes,I,Big 12 Conference
University of Kansas,KU,Jayhawks,1450 Jayhawk Bldg.,Lawrence,KS,66045,9/1/1908,No,Public,Dan Fitzgerald,I,Big 12 Conference
Keene State College,KSC,Owls,229 Main Street,Keene,NH,03435-0000,9/1/1972,No,Public,Justin Blood,III,Little East Conference
Kent State University,KSU,Golden Flashes,800 E Summit St,Kent,OH,44240,9/1/1937,No,Public,Jeffrey Duncan,I,Mid-American Conference
Kentucky State University,KSU,Thorobreds,400 East Main St.,Frankfort,KY,40601,9/1/1951,Yes,Public,Robert Henry,II,Southern Intercol. Ath. Conf.
Kentucky Wesleyan College,KWC,Panthers,3000 Frederica Street,Owensboro,KY,42301,9/1/1958,No,Private,Todd Lillpop,II,Great Midwest Athletic Conference
University of Kentucky,UK,Wildcats,South Limestone,Lexington,KY,40506,9/1/1936,No,Public,Nick Mingione,I,Southeastern Conference
King's College,Pennsylvania,Monarchs,133 N River St,Wilkes-Barre,PA,18711,9/1/1958,No,Private,Jerry Greeley,III,Middle Atlantic Conference Freedom
Kutztown University of Pennsylvania,KU,Golden Bears,15200 Kutztown Road,P O Box 730,Kutztown,PA,9/1/1964,No,Public,Eric Folmar,II,Pennsylvania State Athletic Conference
Lafayette College,LC,Leopards,High Street,Easton,PA,18042,9/1/1908,No,Private,A.J. Miller,I,Patriot League
Lamar University,LU,Cardinals,4400 S M L King Jr Pkwy,Beaumont,TX,77705,9/1/1957,No,Public,William E. Davis,I,Southland Conference
Le Moyne College,LEM,Dolphins,1419 Salt Springs Road,Syracuse,NY,13214-1399,9/1/1955,No,Private,Scott Cassidy,II,Northeast-10 Conference
LeMoyne-Owen College,LOC,Magicians,807 Walker Ave.,Memphis,TN,38126,9/1/1958,Yes,Private,Johnny Rudd,II,Southern Intercol. Ath. Conf.
Lebanon Valley College,LVC,Flying Dutchmen,101 N. College Avenue,Annville,PA,17003-1400,9/1/1951,No,Private,Jonas Fester,III,Middle Atlantic Conference Commonwealth
Lehigh University,LU,Mountain Hawks,641 Taylor Street,Bethlehem,PA,18015,9/1/1906,No,Private,Sean Leary,I,Patriot League
Liberty University,LU,Flames,1971 University Boulevard,Lynchburg,VA,24515,9/1/1981,No,Private,Scott Jackson,I,ASUN Conference
Lincoln University,Pennsylvania,Lions,1570 Baltimore Pike,Lincoln University,PA,19352,9/1/1951,Yes,Public,Anthony Pla,II,East Coast Conference
University of West Alabama,UWA,Tigers,Highway 11 North,Livingston,AL,35470,9/1/1973,No,Public,Vacant,II,Gulf South Conference
Lock Haven University of Pennsylvania,LHU,Bald Eagles,401 N Fairview St,Lock Haven,PA,17745,9/1/1939,No,Public,Heath Stover,II,Pennsylvania State Athletic Conference
Long Island University,LIU,Sharks,720 Northern Blvd,Brookville,NY,11548,9/1/1956,No,Private,Dan Pirillo,I,Northeast Conference
Longwood University,LU,Lancers,201 High Street,Farmville,VA,23909-1899,9/1/1978,No,Public,Chad Oxendine,I,Big South Conference
Loras College,LOR,Duhawks,1450 Alta Vista,Dubuque,IA,52004,9/1/1986,No,Private,Carl Tebon,III,American Rivers Conference
Louisiana State University,LSU,Tigers,156 Thomas Boyd Hall,Baton Rouge,LA,70803,9/1/1936,No,Public,Jay Johnson,I,Southeastern Conference
University of Louisville,UofL,Cardinals,2301 South 3rd Street,Louisville,KY,40292,9/1/1947,No,Public,Dan McDonnell,I,Atlantic Coast Conference
University of Massachusetts Lowell,UML,River Hawks,1 University Avenue,Lowell,MA,01854,9/1/1975,No,Public,Ken Harring,I,America East Conference
Loyola Marymount University,LMU,Lions,1 Loyola Marymount University Dr,Los Angeles,CA,90045,9/1/1947,No,Private,Nathan Choate,I,West Coast Conference
Luther College,LUT,Norse,700 College Drive,Decorah,IA,52101-1045,9/1/1953,No,Private,Bryan Nikkel,III,American Rivers Conference
Lycoming College,Lyco,Warriors,One College Place,Williamsport,PA,17701-5192,9/1/1951,No,Private,Rick Oliveri,III,Middle Atlantic Conference Freedom
University of Lynchburg,LYN,Hornets,1501 Lakeside Drive,Lynchburg,VA,24501-3199,9/1/1974,No,Private,Lucas Jones,III,Old Dominion Athletic Conf.
Macalester College,Mac,Scots,1600 Grand Avenue,St. Paul,MN,55105,9/1/1958,No,Private,Matt Parrington,III,Minnesota Intercollegiate Athletic Conference
"University of Maine, Farmington",UMF,Beavers,224 Main St.,Farmington,ME,04938,9/1/1995,No,Public,Christopher Bessey,III,North Atlantic Conference
University of Maine,UMaine,Black Bears,168 College Avenue,Orono,ME,04469,9/1/1952,No,Public,Nicholas Derba,I,America East Conference
Manhattan College,MC,Jaspers,4513 Manhattan College Pkwy,The Bronx,NY,10471,9/1/1928,No,Private,David Miller,I,Metro Atlantic Athletic Conference
"Minnesota State University, Mankato",MSU,Mavericks,South Rd and Ellis Ave,Mankato,MN,56001,9/1/1954,No,Public,Matt Magers,II,Northern Sun Intercollegiate Conference
Mansfield University of Pennsylvania,MU,"Mountaineers, Mounties",5 Swan Street,Mansfield,PA,16933,9/1/1972,No,Public,Andrew Chalot,II,Pennsylvania State Athletic Conference
Marist College,MC,Red Foxes,3399 North Road,Poughkeepsie,NY,12601-1387,9/1/1968,No,Private,Lance Ratchford,I,Metro Atlantic Athletic Conference
Marshall University,MU,The Herd,1 John Marshall Drive,P.O. Box 1360,Huntington,WV,9/1/1950,No,Public,Greg Beals,I,Sun Belt Conference
"University of Maryland, Baltimore County",UMBC,Retrievers,1000 Hilltop Circle,Baltimore,MD,21250-0000,9/1/1969,No,Public,Liam Bowen,I,America East Conference
"University of Maryland, College Park",UMD,Terrapins/ Terps,7950 Baltimore Ave,College Park,MD,20742,9/1/1919,No,Public,Matt Swope,I,Big Ten Conference
University of Maryland Eastern Shore,UMES,Hawks,1 College Backbone Rd,Princess Anne,MD,21853,9/1/1956,Yes,Public,Shawn Phillips,I,Northeast Conference
Marymount University,Virginia,NCAA Applications Administrators,2807 North Glebe Road,Arlington,VA,22207-4299,9/1/1982,No,Private,Mike Cassidy,III,Atlantic East Conference
Maryville University of Saint Louis,MU,Saints,650 Maryville University Dr.,St. Louis,MO,63141-7299,9/1/1978,No,Private,Patrick Evers,II,Great Lakes Valley Conference
Maryville College,Tennessee,Scots,502 E. Lamar Alexander Parkway,Maryville,TN,37804-5907,9/1/1965,No,Private,Clint Helton,III,Collegiate Conference of the South
