park_name,foul,fop,level,home_plate,foul_area_sqft,fop_area_sqft,field_area_sqft,foul_area_per,fair_to_foul,distances,max_distance,min_distance,avg_distance,median_distance,num_distances,lng,lat,state,country,max_distance_rank,min_distance_rank,avg_distance_rank,median_distance_rank,field_area_rank,foul_area_rank,fop_area_per_rank,ratio_rank,fop_centroid,field_orientation,field_cardinal_direction,school_id,school_name,students,division,Nickname,Color1,Color2,Color3,Color4
Ann Arbor Greenhills HS,"[(-84.01479353123523, 41.86694552754826), (-84.01514347607345, 41.86772410422692), (-84.0151778755618, 41.86771063823864), (-84.01521631903404, 41.86769587358082), (-84.01525657666288, 41.86767850314082), (-84.01528950498047, 41.86766544090445), (-84.0153201503983, 41.86765496626932), (-84.0153472565478, 41.86764100437355), (-84.01523773481192, 41.86739494520413), (-84.0150999917386, 41.86708112412062), (-84.01505977932297, 41.86700223629157), (-84.0149960936379, 41.86686663610395), (-84.01498971182284, 41.86684385064245), (-84.01497636964346, 41.86683183600567), (-84.01495260612572, 41.86681770792614), (-84.01493003602545, 41.86680616771122), (-84.01491097883934, 41.86680061909198), (-84.01489828939665, 41.86679376525623), (-84.0148711831695, 41.86678651261901), (-84.01485851226583, 41.86678093247528), (-84.01483606379341, 41.86677484963578), (-84.01481647140588, 41.86677092321995), (-84.01479743680879, 41.8667644003602), (-84.01476222303614, 41.8667677822519), (-84.01472522669434, 41.86677285066214), (-84.0146835181496, 41.86677874661384), (-84.0146318347159, 41.86678849615232), (-84.01453034374299, 41.86680351298756), (-84.0145415835725, 41.86682638844762), (-84.01444061479955, 41.86685393356029), (-84.01440219828233, 41.86686383402997), (-84.01415170289646, 41.8669285235466), (-84.01392944744005, 41.86698688076766), (-84.01371667756605, 41.86704169984607), (-84.01371790365897, 41.86705222498355), (-84.01371915271655, 41.8670684317748), (-84.01372276455452, 41.8670863647209), (-84.01372400308372, 41.86710121393136), (-84.0137276194198, 41.86711821543832), (-84.0137300346919, 41.86713127154229), (-84.013733049742, 41.86714778166137), (-84.01373661185355, 41.86716124102478), (-84.01374014888624, 41.86717340032551), (-84.0137448218278, 41.86719325061626), (-84.01374773619173, 41.86720369600694), (-84.01479353123523, 41.86694552754826)]","[(-84.01374704390223, 41.86720354412398), (-84.01375288393093, 41.86722572640714), (-84.01375931370015, 41.86724010941233), (-84.01376574016265, 41.8672623010113), (-84.01377917872237, 41.86730062938256), (-84.01378268968443, 41.86732236324303), (-84.01380767328172, 41.86736892638139), (-84.01381583525962, 41.86739107167364), (-84.01383218439406, 41.86741848402728), (-84.01384910752849, 41.86744197469702), (-84.01387143598382, 41.86747520053571), (-84.01388716831276, 41.86749393447433), (-84.01391499647727, 41.8675285967228), (-84.01393826743005, 41.8675533476548), (-84.01398334859817, 41.86760112605779), (-84.01400603975198, 41.8676210537714), (-84.0140316419605, 41.86764489487166), (-84.01406506632556, 41.86767105749865), (-84.01409065481815, 41.86769141922858), (-84.01412639987771, 41.8677171175475), (-84.01414856972161, 41.86773409636123), (-84.01416371544656, 41.86774192753458), (-84.01419222995517, 41.86775580347921), (-84.01421782869014, 41.86776620890055), (-84.01424158022785, 41.86777651786849), (-84.01426131298975, 41.86778470633914), (-84.01428643090529, 41.86778956330235), (-84.01430795869855, 41.86779650285186), (-84.01433471904035, 41.86780388312193), (-84.0143573963864, 41.86780780468899), (-84.01440431923605, 41.86781258122026), (-84.0144633184035, 41.86781863792471), (-84.0145159605939, 41.86782037004507), (-84.01455361413122, 41.86781948905908), (-84.01457451878002, 41.86782121384534), (-84.01460124052721, 41.86782120375099), (-84.01462564969928, 41.86781902700429), (-84.01465589037275, 41.86782031576012), (-84.01468368460908, 41.86781641491693), (-84.01471160512969, 41.86781554307695), (-84.0147336529017, 41.86781508254249), (-84.0147557627415, 41.86781160084539), (-84.01477728245806, 41.86780984242836), (-84.01481541146777, 41.86780546712146), (-84.01483579471457, 41.86780241286206), (-84.01485794497326, 41.86779849210919), (-84.01488418010648, 41.86779456288201), (-84.0149022854359, 41.8677897949383), (-84.01492929152498, 41.86778483579448), (-84.01495207690839, 41.86778005676241), (-84.01497311027617, 41.86777527944555), (-84.01499704267694, 41.86777050372341), (-84.01501575222059, 41.86776312866304), (-84.01503323858664, 41.8677583537956), (-84.01506528246462, 41.8677500948595), (-84.0150851119804, 41.86774314634035), (-84.01511019105118, 41.86773532389113), (-84.01512769213589, 41.867729673917), (-84.01514344349262, 41.86772402684545), (-84.01479394248477, 41.86694572675937), (-84.01374704390223, 41.86720354412398)]",High School,"(-84.01374704390223, 41.86720354412398)",39865.29060734342,80393.42632877843,120258.71693612184,0.33149605802395826,2.0166271235953186,"[8, 36, 63, 91, 118, 145, 172, 198, 224, 249, 272, 292, 311, 331, 350, 369, 387, 404, 422, 408, 390, 373, 357, 343, 330, 320, 311, 305, 301, 300]",422,8,272.6666666666667,308.0,30,-84.01374704390223,41.86720354412398,Michigan,United States,10.0,480.0,483.0,468.0,190.0,20.0,443.0,482.0,"(-84.01441494507088, 41.86766336827169)",312.7533785002757,NW,6543.0,Ann Arbor - Greenhills HS,319.0,C,Gryphons,Navy , Forest,,
Ann Arbor Skyline HS,"[(-83.77545696328717, 42.30415973972723), (-83.77551658431938, 42.30502102483347), (-83.77561166369453, 42.30501431939601), (-83.77565926083797, 42.30482598812019), (-83.77567162723817, 42.3047740689164), (-83.7756649261178, 42.3044880460478), (-83.77569132319769, 42.30448644892581), (-83.77567577436433, 42.30434704824633), (-83.77565337226032, 42.30408710713493), (-83.77551410815467, 42.30399295782969), (-83.77516687251672, 42.3040032117628), (-83.77428267166768, 42.30410612541241), (-83.77427875962402, 42.3041087132719), (-83.77428052028745, 42.30418099458366), (-83.77545696328717, 42.30415973972723)]","[(-83.77427962289079, 42.30418142498592), (-83.77427914341048, 42.30420073309865), (-83.77427832261684, 42.30423640899205), (-83.77427858031376, 42.30425818135043), (-83.77427701655863, 42.3043155941909), (-83.7742759725578, 42.30434699052637), (-83.77427480483217, 42.30439047680431), (-83.77427495392392, 42.3044155040266), (-83.77427489607634, 42.30445451426392), (-83.77427431013844, 42.30447541943811), (-83.77427583751455, 42.30450484036724), (-83.77427856423391, 42.30453784122376), (-83.77427964144474, 42.30455979923994), (-83.77428574924835, 42.3045874642201), (-83.77430080741544, 42.30463333742951), (-83.77431292864173, 42.30466275422097), (-83.77433409653395, 42.30469708192314), (-83.77435074718419, 42.3047221932472), (-83.77437823975825, 42.30475855192178), (-83.77439795180483, 42.30478181550924), (-83.77442945552627, 42.30481274976184), (-83.77446969650691, 42.30485214960503), (-83.77450564338758, 42.30488098618679), (-83.77455462411467, 42.30491279633782), (-83.7746014457305, 42.30494009619893), (-83.77465424801463, 42.30496568959883), (-83.7746976318424, 42.30498323671132), (-83.77474609045522, 42.30499968128521), (-83.77478617689081, 42.30501116592472), (-83.77482170329819, 42.30502006177714), (-83.77486189475324, 42.30502916544848), (-83.77490439811119, 42.30503602886066), (-83.77492873132536, 42.30504111284008), (-83.77497226760407, 42.30504379186115), (-83.77501097188605, 42.3050465358783), (-83.77506621188796, 42.30504817441904), (-83.77510226812718, 42.30504757134079), (-83.77514471117357, 42.30504460583602), (-83.77520293536976, 42.30504112782389), (-83.77531016305481, 42.30503449705193), (-83.77539172715751, 42.30502837734733), (-83.77546407379549, 42.30502416767651), (-83.77551570064078, 42.30502012764699), (-83.77545506596819, 42.30416119554323), (-83.77427962289079, 42.30418142498592)]",High School,"(-83.77427962289079, 42.30418142498592)",32529.386733979452,94610.65652431961,127140.04325829906,0.25585477163864423,2.9084672667834677,"[7, 37, 67, 97, 127, 156, 185, 213, 240, 266, 290, 313, 335, 355, 373, 390, 406, 423, 442, 442, 422, 403, 385, 369, 355, 342, 332, 325, 320, 317]",442,7,291.1333333333333,328.5,30,-83.77427962289079,42.30418142498592,Michigan,United States,7.0,482.0,479.0,348.0,96.0,131.0,106.0,322.0,"(-83.7746490914482, 42.30474422772596)",334.1026998212794,NW,,,,,,,,,
Bellaire HS,"[(-85.19125608380878, 44.97663506300876), (-85.19024162175758, 44.97713256668181), (-85.19025088150813, 44.97713983449538), (-85.19026197133921, 44.97714692363097), (-85.19031766484514, 44.97713156413543), (-85.19037331731865, 44.97711408652296), (-85.19047894574872, 44.97708139625129), (-85.19055148183534, 44.97705915428508), (-85.19067339702485, 44.97701896296517), (-85.19074187407065, 44.97699957077894), (-85.19082291548489, 44.97697291508079), (-85.19099635408779, 44.97692533663031), (-85.19104371185907, 44.97690544719192), (-85.19117686628614, 44.97684652400512), (-85.19126549329371, 44.97679598022979), (-85.19132881869785, 44.97676364754935), (-85.19132098792912, 44.97675220895432), (-85.19135994561297, 44.97672344908851), (-85.19139133699022, 44.97669440263105), (-85.19140393516278, 44.97667816800023), (-85.1914205440753, 44.97666208771545), (-85.1914194746274, 44.97664376878804), (-85.19140917825156, 44.97661780901564), (-85.19139616092063, 44.97658973879663), (-85.1913667720431, 44.97655782600276), (-85.1913444115962, 44.97653228258258), (-85.19135207876683, 44.97651304872555), (-85.19125628528907, 44.97642779206596), (-85.19122139830765, 44.97639283293867), (-85.19113777794604, 44.97631597366645), (-85.1910439110256, 44.97621790739714), (-85.1909792194862, 44.97615127686129), (-85.1909305902316, 44.9760909319838), (-85.19078618342432, 44.97604157606327), (-85.19072960169665, 44.97598773724308), (-85.19070542725878, 44.97596590795935), (-85.19068752963369, 44.97595370361839), (-85.19067523868797, 44.97595085908403), (-85.1906570064488, 44.97594641079061), (-85.1906405721193, 44.97594619888338), (-85.1906286328615, 44.97594655213262), (-85.19125608380878, 44.97663506300876)]","[(-85.19062986396423, 44.97594663020872), (-85.19061269764748, 44.97594878252366), (-85.19060191033158, 44.97594878147152), (-85.19058483018608, 44.97594935158627), (-85.19056602248324, 44.97595021195246), (-85.19053067785958, 44.97595144484389), (-85.19049502134298, 44.97595381793281), (-85.19046286767079, 44.97595966383614), (-85.19043712386517, 44.97597092619853), (-85.19041000081745, 44.97598453726621), (-85.19037950706843, 44.97600372745928), (-85.19035207250064, 44.97601843350997), (-85.19033068396844, 44.97602867536402), (-85.19031285350292, 44.9760450461763), (-85.19028791067237, 44.97606490975611), (-85.19025386604307, 44.97609853947004), (-85.19023095145886, 44.97612213387812), (-85.19020774290279, 44.97614202867383), (-85.1901785826861, 44.97617305992809), (-85.1901535677481, 44.97620184978606), (-85.19010724207102, 44.97625881897365), (-85.19008683712167, 44.97628740478959), (-85.1900683130491, 44.97632136440597), (-85.19004696871556, 44.97635426418972), (-85.19002955569322, 44.97638019607223), (-85.19001924502743, 44.97640459059278), (-85.19000395045468, 44.97643450801161), (-85.18998769492221, 44.9764851295532), (-85.18997909169289, 44.97650960163149), (-85.1899687482594, 44.97654254426983), (-85.18996558261895, 44.97658808868327), (-85.18996672667345, 44.97662104442941), (-85.18996681533709, 44.97664422245986), (-85.18996939552162, 44.97667276370309), (-85.1899732582061, 44.97669930517563), (-85.18998212805276, 44.97672803658305), (-85.18998744344067, 44.97675824931613), (-85.19000538258689, 44.97680100962945), (-85.19001785936595, 44.97682742457272), (-85.1900347739581, 44.97686371430331), (-85.19005436150026, 44.97690022908464), (-85.19006593522622, 44.97692333202092), (-85.1900778512757, 44.97694157050247), (-85.19010801099297, 44.97698899595822), (-85.19012309983304, 44.97701058358825), (-85.19013917009092, 44.97702573901679), (-85.19015886387344, 44.97704631683794), (-85.19017689402378, 44.9770664616388), (-85.19019503721965, 44.97708541956873), (-85.19021572705434, 44.97710938528088), (-85.19024109926956, 44.97713282260025), (-85.19125458983703, 44.97663344765087), (-85.19062986396423, 44.97594663020872)]",High School,"(-85.19062986396423, 44.97594663020872)",22443.107113328475,85074.55338028054,107517.66049360902,0.20873879705243886,3.7906762620117163,"[4, 34, 61, 88, 114, 141, 168, 195, 222, 248, 274, 298, 321, 343, 364, 385, 406, 424, 443, 424, 404, 385, 367, 351, 336, 324, 314, 306, 300, 298]",443,4,278.06666666666666,310.0,30,-85.19062986396423,44.97594663020872,Michigan,United States,6.0,485.0,480.0,466.0,404.0,377.0,357.0,133.0,"(-85.19021146937858, 44.97645209878686)",30.35056969318771,NE,2724.0,Bellaire HS,101.0,D,Eagles,Red , Black,,
Benton Harbor HS,"[(-86.46242873648274, 42.10208032631181), (-86.46224985654622, 42.10298126448849), (-86.4622488797349, 42.10298061490639), (-86.46229541980836, 42.10298926880564), (-86.46232670790081, 42.10299381480984), (-86.46238153384189, 42.10291608935548), (-86.46242984304405, 42.10280189173429), (-86.46248399974687, 42.10268109435059), (-86.46251294272392, 42.10260587525519), (-86.46254855960743, 42.10252911499941), (-86.46251324595136, 42.10248926137278), (-86.462577501702, 42.10233304908005), (-86.46258705953537, 42.10231513685775), (-86.46250809806422, 42.10228145210497), (-86.46252469008313, 42.10219958380157), (-86.46254644311955, 42.10217979456858), (-86.4626384118248, 42.10219301278143), (-86.46264626583509, 42.10207056384435), (-86.4626445689483, 42.10206972368939), (-86.46265299069222, 42.10202619921733), (-86.46258520570449, 42.10195028260694), (-86.4625181453956, 42.10191643567571), (-86.46243831721488, 42.1018636805328), (-86.46238280240948, 42.10185822714072), (-86.46239152032152, 42.10193702693123), (-86.46223588332616, 42.10194146740393), (-86.46221909292804, 42.10186385214216), (-86.46125388597319, 42.10188040937297), (-86.46122844734728, 42.10192797659487), (-86.46242873648274, 42.10208032631181)]","[(-86.46122939592095, 42.1019280504408), (-86.46122608337906, 42.10195502968956), (-86.46121940433528, 42.10197756828818), (-86.46121287813989, 42.10200989377062), (-86.46119546027172, 42.10202139876482), (-86.46113432894249, 42.1020549369287), (-86.4611492293705, 42.1020801040445), (-86.46115767355062, 42.10210355165081), (-86.46116522622337, 42.10213267713954), (-86.46117110759681, 42.10216786907201), (-86.46117117016115, 42.10219817055942), (-86.46117578312918, 42.1022373580353), (-86.46117054148228, 42.10226622280166), (-86.46115584585499, 42.10229216786128), (-86.46114426789876, 42.10232372501977), (-86.46112160782329, 42.10234707236574), (-86.46111167199882, 42.10237110070021), (-86.46113257247539, 42.10242688106397), (-86.46113725684253, 42.10244273114382), (-86.46115245937611, 42.10248290790044), (-86.46118457675611, 42.10255106283032), (-86.46120992476494, 42.10261384743746), (-86.46126445530156, 42.1027233542745), (-86.46130152760888, 42.1027435882773), (-86.46137719839025, 42.10278666382809), (-86.46144332460896, 42.10282107054913), (-86.46151312546426, 42.10285862503703), (-86.461579736296, 42.10289108866842), (-86.46166180375955, 42.10291137578358), (-86.46171494966404, 42.1029183923167), (-86.46177467212344, 42.10292411527062), (-86.46185454259911, 42.10293444597645), (-86.46191545696571, 42.10294050113214), (-86.46197770656704, 42.10294827725702), (-86.4620508531855, 42.10295689805738), (-86.46212521519139, 42.10296567957828), (-86.46218522133371, 42.10297134187336), (-86.46225007061356, 42.10298011399654), (-86.46242878880217, 42.10208085031322), (-86.46122939592095, 42.1019280504408)]",High School,"(-86.46122939592095, 42.1019280504408)",32751.777878672514,103091.28719635506,135843.06507502758,0.24110010960503103,3.1476546884951433,"[10, 39, 65, 95, 126, 156, 186, 215, 245, 275, 300, 322, 345, 367, 385, 401, 419, 439, 459, 464, 442, 421, 402, 385, 369, 356, 345, 337, 332, 329]",464,10,301.03333333333336,341.0,30,-86.46122939592095,42.1019280504408,Michigan,United States,3.0,479.0,471.0,183.0,25.0,124.0,13.0,262.0,"(-86.46143966960946, 42.10249591563331)",344.63792568804337,N,7021.0,Benton Harbor HS,621.0,B,Tigers,Orange , Black,,
Canton HS,"[(-83.49149558809128, 42.34417276686442), (-83.49152878877555, 42.34504934219019), (-83.49173328554542, 42.34504169731903), (-83.49170390983961, 42.3443668744178), (-83.49168320069462, 42.34422955486878), (-83.49164174624525, 42.34412913927793), (-83.49155074409805, 42.34406301721422), (-83.49139405411687, 42.34402501222632), (-83.49138934874824, 42.34403082916432), (-83.4912562830071, 42.34403201481218), (-83.49123135793751, 42.34402810924747), (-83.49089907990644, 42.34404113486045), (-83.49031091062032, 42.34406305243609), (-83.49030957410105, 42.34419313038006), (-83.49149558809128, 42.34417276686442)]","[(-83.49030791170583, 42.34419402535652), (-83.49030708525494, 42.34424749326443), (-83.49030576597872, 42.34431738598625), (-83.4903057854995, 42.34438381606056), (-83.49030517577138, 42.34443272001236), (-83.49030581813997, 42.34446533681652), (-83.49030859756654, 42.34450555877779), (-83.49031463840535, 42.34453309076235), (-83.49031673286632, 42.34455325497725), (-83.49032490619274, 42.34457823328905), (-83.49033999151597, 42.34462266293439), (-83.4903493434107, 42.34464619317739), (-83.49035962963876, 42.34467406521117), (-83.49037165221219, 42.34469397143849), (-83.49038776821719, 42.34471906292843), (-83.49040181829238, 42.34474173287477), (-83.4904133079747, 42.34476364921633), (-83.4904233694181, 42.34478338155464), (-83.49043283506522, 42.3447999149076), (-83.49045129531733, 42.34482291705702), (-83.49047441049508, 42.34485080940163), (-83.49049613976166, 42.34487479892965), (-83.4905266182033, 42.34490855056752), (-83.49054552386573, 42.34492772569907), (-83.49055099375934, 42.34493187147778), (-83.49057815347047, 42.34494443773407), (-83.49061388177303, 42.34495920733722), (-83.49064360128439, 42.34497066158185), (-83.49069960310439, 42.34499006838256), (-83.4907350229106, 42.34500122286647), (-83.4907694885369, 42.34501338110954), (-83.49082431065376, 42.34502934489901), (-83.49086295502153, 42.34504054952777), (-83.49091188267357, 42.34505070323972), (-83.49094799008598, 42.34505687495026), (-83.49099636534856, 42.34506498047071), (-83.49105704076574, 42.34507084661074), (-83.4910910857526, 42.3450729693015), (-83.49112737410903, 42.34507170815552), (-83.49116277581406, 42.34507044013457), (-83.49122031620692, 42.34506688081493), (-83.49129134741526, 42.34506205682641), (-83.4913516359483, 42.34505895385675), (-83.4914542171579, 42.34505469359308), (-83.49152821737219, 42.34504932939127), (-83.49149383314648, 42.34417352784034), (-83.49030791170583, 42.34419402535652)]",High School,"(-83.49030791170583, 42.34419402535652)",34854.21331818069,94981.26944992055,129835.48276810124,0.26844906011120007,2.7251015130608707,"[20, 49, 79, 108, 138, 167, 195, 224, 251, 278, 299, 320, 341, 361, 380, 396, 412, 430, 449, 437, 418, 399, 382, 367, 353, 342, 332, 326, 321, 320]",449,20,296.46666666666664,329.0,30,-83.49030791170583,42.34419402535652,Michigan,United States,5.0,477.0,474.0,342.0,70.0,79.0,99.0,373.0,"(-83.4906736568061, 42.34480097959356)",335.9928943397323,NW,5116.0,Canton HS,2127.0,A,Chiefs,Scarlet , White,,
Homer HS,"[(-84.8137718923171, 42.1386105227878), (-84.81377782988126, 42.13947270127144), (-84.81380214457461, 42.13947380126134), (-84.81388312386287, 42.13946856544967), (-84.81390520332923, 42.13907670385792), (-84.81391093688183, 42.13906612901077), (-84.81390522658374, 42.13901681350607), (-84.81390549605766, 42.13881023739485), (-84.81390773209277, 42.1387819400943), (-84.81390789076859, 42.13872681453466), (-84.81394192027162, 42.13871111430517), (-84.81394603156576, 42.13863671981591), (-84.8139387378524, 42.13858787925772), (-84.81380829773697, 42.13848402824819), (-84.81353655751687, 42.13847868265131), (-84.81326015073364, 42.13847774953145), (-84.81323102021645, 42.13851308606556), (-84.81279916079922, 42.13851343236863), (-84.81280505048129, 42.13860758360602), (-84.8137718923171, 42.1386105227878)]","[(-84.81280525065634, 42.13860765815915), (-84.81280834304027, 42.13865545068068), (-84.81280818116632, 42.13869148044999), (-84.81280994005147, 42.13875140514767), (-84.81281399284082, 42.13883321486184), (-84.81281419777245, 42.13887559400921), (-84.81281873445792, 42.13894000485691), (-84.81282242709838, 42.1389969024364), (-84.81282144665668, 42.13903702571459), (-84.812829723186, 42.13904949781051), (-84.81284892359824, 42.13908397767583), (-84.812870470436, 42.13911571998896), (-84.81289496758129, 42.13914819389129), (-84.8129223409463, 42.13917793410176), (-84.8129454518624, 42.13920150970439), (-84.81296842400754, 42.13922288387916), (-84.81299017561943, 42.1392433127021), (-84.81300824393786, 42.1392568237016), (-84.81303791172286, 42.13927905169876), (-84.81306656747381, 42.13929764979952), (-84.81308638796364, 42.1393106342726), (-84.81311604287913, 42.13932928010271), (-84.81313839602318, 42.13933754260871), (-84.81317313487489, 42.13935231722652), (-84.81321426204575, 42.13936869507577), (-84.81324006595148, 42.13937910078094), (-84.8132919382086, 42.13939841814543), (-84.81331896795677, 42.13940604748829), (-84.81335351680185, 42.13941713753986), (-84.81339478022596, 42.13942870085344), (-84.8134282493973, 42.13943682583665), (-84.81347636716946, 42.13944653993475), (-84.81349953570326, 42.13945089463208), (-84.81352669048543, 42.13945548973506), (-84.8135480883543, 42.13945989022927), (-84.81358995955358, 42.13946405018934), (-84.81361988447077, 42.13946772436881), (-84.81364563758227, 42.13946982715954), (-84.8136862206448, 42.13947173156873), (-84.81371175009407, 42.1394719413782), (-84.81374640854439, 42.13947357004789), (-84.81377675881355, 42.13947270145022), (-84.81377168299915, 42.13861090001852), (-84.81280525065634, 42.13860765815915)]",High School,"(-84.81280525065634, 42.13860765815915)",23478.09803351492,71024.35656034875,94502.45459386367,0.24843902874708426,3.0251324642635735,"[17, 44, 71, 98, 125, 151, 177, 201, 225, 249, 271, 292, 312, 332, 352, 371, 389, 406, 396, 376, 357, 340, 323, 308, 295, 283, 274, 267, 263, 261]",406,17,260.8666666666667,278.5,30,-84.81280525065634,42.13860765815915,Michigan,United States,13.0,478.0,484.0,484.0,468.0,346.0,479.0,293.0,"(-84.81318745211294, 42.139217331439845)",335.0684943736807,NW,1321.0,Homer HS,308.0,C,,,,,
Richland Gull Lake,"[(-85.44622380566936, 42.37312335353401), (-85.44619111270727, 42.37397538889455), (-85.44623176797889, 42.37397698767927), (-85.44626576357408, 42.3739761310781), (-85.44630287655413, 42.37397846489066), (-85.44633863886779, 42.37397831324361), (-85.44638789335013, 42.37394029690529), (-85.44639367788106, 42.37392333056455), (-85.4464121124636, 42.37357712792539), (-85.4464132101655, 42.37348443712937), (-85.44641752898718, 42.37335575651847), (-85.44641707501732, 42.37333812593318), (-85.44641495153424, 42.37320306843011), (-85.4464195484113, 42.3730705545716), (-85.44631009591602, 42.37298547869555), (-85.44601337280056, 42.37297982388662), (-85.44580281713588, 42.37297750132898), (-85.44557381168116, 42.37297647709994), (-85.44507048751268, 42.37296710831499), (-85.4450687636369, 42.37297455533691), (-85.44506853807047, 42.37299579088376), (-85.44506907607109, 42.37302417276837), (-85.44507114961166, 42.37310629793245), (-85.44622380566936, 42.37312335353401)]","[(-85.44507205456412, 42.37310652526858), (-85.4450713624779, 42.37311949302857), (-85.4450705049493, 42.37313865874506), (-85.44507237058413, 42.37315344261074), (-85.44507632815842, 42.37327734127732), (-85.44507358943422, 42.37329441197019), (-85.4450774106465, 42.37339710142049), (-85.44507908655139, 42.37343436891288), (-85.44507907453777, 42.37346966719643), (-85.44508098304095, 42.37348699641034), (-85.44508560817849, 42.37349711693123), (-85.44509667110084, 42.37351564293855), (-85.4451074090136, 42.3735398140388), (-85.44511959914676, 42.37356378407594), (-85.44512832511049, 42.3735871252303), (-85.44514196004529, 42.37361303901034), (-85.44515587227518, 42.37364385557289), (-85.44516753613978, 42.3736729745717), (-85.44518449439552, 42.37370306241392), (-85.44519336328386, 42.37372026793245), (-85.4452100510727, 42.37374118947433), (-85.4452271798304, 42.37376374381176), (-85.44523964654176, 42.3737767632486), (-85.44525999647261, 42.37379896866888), (-85.44527825861509, 42.3738076421359), (-85.44530292062909, 42.37381843493605), (-85.44532278103793, 42.37382895661447), (-85.44535616826568, 42.37384316652036), (-85.44538773894799, 42.37385483417362), (-85.44542676098264, 42.37387053791099), (-85.44548315432186, 42.3738934046386), (-85.44551514990437, 42.37390427642094), (-85.44555220462514, 42.37391486955011), (-85.44558960796918, 42.37392429766254), (-85.44566660957318, 42.37394035084503), (-85.44571100273217, 42.37394824462323), (-85.44574494038022, 42.37395381449193), (-85.44578356413099, 42.37396038735454), (-85.44582208417056, 42.37396429880819), (-85.44584111312803, 42.37396497137319), (-85.44587011281882, 42.37396565329249), (-85.44591434476935, 42.37396733979747), (-85.44597730244877, 42.37396832777562), (-85.44600518880958, 42.37396927935777), (-85.44604554102378, 42.37397088902102), (-85.44607231515317, 42.37397289841293), (-85.44611434798075, 42.37397390288789), (-85.44615461243846, 42.37397521192374), (-85.44619039669603, 42.37397587003492), (-85.44622342355584, 42.37312391691619), (-85.44507205456412, 42.37310652526858)]",Unknown,"(-85.44507205456412, 42.37310652526858)",34817.04106133327,85730.6107601921,120547.65182152536,0.2888238844575837,2.4623175360930327,"[5, 33, 62, 91, 120, 148, 175, 203, 231, 258, 278, 299, 320, 339, 359, 377, 395, 414, 434, 421, 402, 385, 368, 354, 341, 330, 321, 315, 311, 310]",434,5,279.96666666666664,317.5,30,-85.44507205456412,42.37310652526858,Michigan,United States,1.0,6.0,6.0,5.0,1.0,1.0,3.0,6.0,"(-85.44544844245321, 42.37370542264482)",335.09504930983525,NW,5297.0,Richland - Gull Lake HS,933.0,A,Blue Devils,Navy , White,,
Traverse City Central HS - field 1,"[(-85.57887650953, 44.74952077896879), (-85.57887656089294, 44.74869362078241), (-85.57887091490689, 44.74869471730619), (-85.57879004267265, 44.74882712285688), (-85.57872614600075, 44.74893407161323), (-85.57869513389682, 44.7489836908758), (-85.57869815272515, 44.74924082964836), (-85.57869421609328, 44.749329464535), (-85.57868386599212, 44.74933900049257), (-85.57868297907415, 44.7495723440403), (-85.57879193127854, 44.74965215303633), (-85.57956015189212, 44.74965507461506), (-85.58003516999612, 44.74953262283475), (-85.58003988743606, 44.74951944704277), (-85.57887650953, 44.74952077896879)]","[(-85.58003967507219, 44.7495188724411), (-85.58004472458514, 44.74950496709602), (-85.58005416498534, 44.74948278500778), (-85.58006499245784, 44.74944847692416), (-85.58007372092231, 44.74941996657043), (-85.58007853291812, 44.74939526250984), (-85.58008387577762, 44.74935637301462), (-85.58008772551106, 44.74932628117787), (-85.58008960683401, 44.74929031128672), (-85.58008885204109, 44.7492369606481), (-85.58008723370378, 44.74920783410556), (-85.58008294014971, 44.74917973788151), (-85.58008045030506, 44.74915797120423), (-85.58007747910517, 44.74913303321653), (-85.5800686345327, 44.74909881174479), (-85.580062357164, 44.74907706319441), (-85.58005193977928, 44.74905483533077), (-85.58003803569925, 44.74901713618249), (-85.58002922576, 44.74899626582419), (-85.58001655042362, 44.74896972057581), (-85.57998068700348, 44.74890835781711), (-85.5799665457856, 44.74888679293826), (-85.57994917411244, 44.74886398480367), (-85.57992160862808, 44.74883314841079), (-85.57988044886861, 44.74880236658068), (-85.57984330261081, 44.74878000777008), (-85.5797928670427, 44.74875653590798), (-85.57974389603764, 44.74873789797593), (-85.57966585135092, 44.74871462178032), (-85.57960743223087, 44.74869765583513), (-85.57954457253477, 44.74868665756109), (-85.5794982056908, 44.74867753489729), (-85.57944816086123, 44.74866964843993), (-85.57937150156789, 44.74866219334308), (-85.57932279124705, 44.74865866629972), (-85.57927030340495, 44.7486549124976), (-85.57922145928525, 44.74865417569563), (-85.57916616047551, 44.74865630836896), (-85.57910964018997, 44.74865942042902), (-85.57904688703451, 44.74866572840871), (-85.57900318629412, 44.74867142041956), (-85.5789514213949, 44.7486815370104), (-85.57890625513419, 44.74868671511641), (-85.57887704235083, 44.74869476723604), (-85.57887660525684, 44.74952045479954), (-85.58003967507219, 44.7495188724411)]",High School,"(-85.58003967507219, 44.7495188724411)",25919.61784844997,90069.34397013519,115988.96181858516,0.22346624577078344,3.4749487626231135,"[5, 34, 63, 92, 121, 149, 177, 205, 233, 258, 280, 300, 319, 337, 354, 371, 387, 402, 416, 419, 399, 380, 363, 348, 334, 323, 314, 307, 303, 301]",419,5,276.46666666666664,310.5,30,-85.58003967507219,44.7495188724411,Michigan,United States,11.0,483.0,481.0,465.0,270.0,293.0,226.0,187.0,"(-85.5797170383138, 44.748972315028446)",157.2548476531175,SE,,,,,,,,,
