game_id,game_info,away_team_runs,home_team_runs,total_runs,team_1,team_2,runs_1,hits_1,errors_1,home_runs_1,runs_2,hits_2,errors_2,home_runs_2
401552619,Eugene,8,9,17,UK,LSU,0,4,1,0.0,14,15,1,0.0
401552634,Winston-Salem,4,5,9,TEX,STAN,7,6,0,1.0,5,9,3,1.0
401552614,Baton Rouge,0,14,14,USM,TENN,5,8,1,2.0,3,4,0,2.0
401552629,Stanford,7,5,12,FLA,SC,4,6,1,0.0,0,3,1,0.0
401552628,Hattiesburg,5,3,8,UVA,DUKE,14,14,1,4.0,4,12,0,4.0
401552626,Gainesville,4,0,4,INST,TCU,4,10,2,0.0,6,6,0,0.0
401552615,Charlottesville,14,4,18,ORE,ORU,7,11,0,2.0,8,12,0,2.0
401552623,Fort Worth,4,6,10,USM,TENN,5,8,1,2.0,3,4,0,2.0
401552621,Eugene,7,8,15,WAKE,ALA,22,18,0,9.0,5,9,0,9.0
401552628,Hattiesburg,5,3,8,DUKE,UVA,2,9,1,1.0,12,16,0,1.0
401552635,Winston-Salem,22,5,27,TENN,USM,8,10,1,1.0,4,7,4,1.0
401552618,Charlottesville,2,12,14,LSU,UK,8,9,0,1.0,3,10,0,1.0
401552631,Hattiesburg,8,4,12,STAN,TEX,8,15,0,1.0,3,8,1,1.0
401552616,Baton Rouge,8,3,11,ORU,ORE,11,8,0,0.0,6,8,1,0.0
401552630,Stanford,8,3,11,TEX,STAN,6,11,2,0.0,7,13,0,0.0
401552622,Eugene,11,6,17,USM,TENN,0,7,0,0.0,5,6,1,0.0
