WKT,name,description
"POLYGON ((-84.4566129 42.7411185, -84.4554356 42.741134, -84.4554369 42.7413931, -84.4554476 42.7414778, -84.4554745 42.7415654, -84.4555107 42.7416344, -84.4555496 42.7416871, -84.4555978 42.7417393, -84.4556367 42.7417796, -84.4556795 42.74181, -84.4557534 42.7418594, -84.4558513 42.7419057, -84.4558996 42.7419274, -84.4559452 42.7419441, -84.4560149 42.7419638, -84.456082 42.7419806, -84.4561886 42.7419914, -84.4562449 42.7419944, -84.45632 42.7419944, -84.4566258 42.7419944, -84.4566129 42.7411185))",Field of Play,
"POLYGON ((-84.4568141 42.7419931, -84.4568088 42.7413391, -84.4567672 42.7413401, -84.4567538 42.7413292, -84.4567538 42.7411909, -84.4567793 42.7411643, -84.4567725 42.7410806, -84.4566693 42.7410057, -84.456566 42.7410037, -84.4564051 42.7410077, -84.4554335 42.7410589, -84.4554356 42.741134, -84.4566129 42.7411185, -84.4566258 42.7419944, -84.4568141 42.7419931))",Foul Ground,
