WKT,name,description
"POLYGON ((-84.4558369 42.6867579, -84.4546527 42.6867678, -84.4546581 42.6870147, -84.4546796 42.6871054, -84.4546936 42.6871394, -84.4547111 42.6871897, -84.4547272 42.6872183, -84.4547781 42.6872932, -84.4548586 42.6873829, -84.4549312 42.6874444, -84.455049 42.6875126, -84.4551818 42.6875692, -84.455324 42.6876097, -84.4553737 42.687616, -84.4554279 42.6876264, -84.4555379 42.6876343, -84.455613 42.6876353, -84.4557363 42.6876333, -84.455849 42.6876274, -84.4558369 42.6867579))",Fair Ground,
"POLYGON ((-84.4559105 42.6876301, -84.4560567 42.6869598, -84.4560567 42.6869302, -84.4560285 42.6869223, -84.4560191 42.6866773, -84.4559393 42.6866231, -84.4558562 42.6866221, -84.455594 42.6866221, -84.4555725 42.6866024, -84.4546532 42.6867276, -84.4546527 42.6867678, -84.4558369 42.6867579, -84.4558488 42.6876321, -84.4559105 42.6876301))",Foul Ground,
