WKT,name,description
"POLYGON ((-84.5454024 42.7348277, -84.5448338 42.7352399, -84.5448297 42.7353527, -84.5448713 42.7353896, -84.5451087 42.7355659, -84.54511 42.7356034, -84.5452897 42.7357364, -84.5455633 42.7357373, -84.5461943 42.7356014, -84.5464317 42.7353399, -84.5464384 42.7352611, -84.5456404 42.7346518, -84.5454024 42.7348277))",Fair Ground,
"POLYGON ((-84.5448338 42.7352399, -84.5456404 42.7346518, -84.5464384 42.7352611, -84.5464441 42.7352544, -84.546312 42.7351086, -84.5463294 42.7351017, -84.5461517 42.7349042, -84.5461356 42.7349102, -84.5460283 42.734789, -84.5458118 42.7345427, -84.5457863 42.734523, -84.5457514 42.7345063, -84.5457179 42.7344945, -84.5456803 42.7344886, -84.5456468 42.7344876, -84.545624 42.7344876, -84.5455945 42.7344925, -84.5455583 42.7345004, -84.5455234 42.7345151, -84.5454926 42.7345289, -84.5454577 42.7345575, -84.5454269 42.7345959, -84.5452901 42.7347461, -84.5451392 42.7349097, -84.5451204 42.7348998, -84.5449367 42.7350968, -84.5449568 42.7351067, -84.544875 42.7352032, -84.5448334 42.7352288, -84.5448338 42.7352399))",Foul Ground,
