WKT,name,description
"POLYGON ((-84.4883094 42.7319763, -84.4876322 42.73226, -84.4876912 42.7325817, -84.4877019 42.732628, -84.4877127 42.7326516, -84.4877261 42.7326723, -84.4877448 42.732692, -84.487779 42.7327206, -84.4878032 42.7327393, -84.4878347 42.7327629, -84.4878776 42.7328013, -84.4879286 42.7328358, -84.488005 42.7328664, -84.4880781 42.7328999, -84.4881666 42.7329235, -84.4882176 42.7329284, -84.4883088 42.7329274, -84.4884436 42.7329136, -84.4885596 42.7328964, -84.4886306 42.7328811, -84.4887969 42.7328339, -84.4889082 42.7327954, -84.4889914 42.7327669, -84.489088 42.7327284, -84.489159 42.7326989, -84.489214 42.7326743, -84.4885985 42.731865, -84.4883094 42.7319763))",Fair Ground,
"POLYGON ((-84.489214 42.7326743, -84.4893094 42.7326256, -84.4891337 42.7323542, -84.4891096 42.7323203, -84.4890908 42.7322099, -84.4890452 42.7321395, -84.4889795 42.7320962, -84.4888394 42.7319326, -84.4888796 42.7319149, -84.4887368 42.7317233, -84.4885665 42.7316888, -84.4883103 42.7317927, -84.4883331 42.7318193, -84.4881044 42.7319139, -84.4879891 42.7319376, -84.4877028 42.7320671, -84.4876062 42.7321183, -84.4876322 42.73226, -84.4885946 42.7318597, -84.489214 42.7326743))",Foul Ground,
