WKT,name,description
"POLYGON ((-84.5068386 42.730851599999994, -84.5072007 42.7300073, -84.5065529 42.72989210000001, -84.5059669 42.7300911, -84.5056692 42.7305817, -84.5068386 42.730851599999994))",Muni Fair Territory,
"POLYGON ((-84.5068413 42.730847700000005, -84.5069499 42.730990500000004, -84.5070425 42.730959, -84.507084 42.7307896, -84.5070586 42.730745199999994, -84.5070907 42.7306103, -84.507135 42.7305689, -84.507257 42.7300172, -84.5072007 42.7300073, -84.5068413 42.730847700000005))",Muni - RF Foul Ground,
"POLYGON ((-84.5068413 42.730847700000005, -84.5056719 42.7305778, -84.5056853 42.73061719999999, -84.5063142 42.7308487, -84.5064403 42.7308713, -84.5065704 42.7309137, -84.5066549 42.730965899999994, -84.5068413 42.73103090000001, -84.5069499 42.730990500000004, -84.5068413 42.730847700000005))",Muni - LF Foul Territory,
