teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Mayville,2,8.5,8.5,17.0,2,5.5,5.5,11.0,1.0,1.0,0.5,6.0,3.0,1,6.0,6.0,6.0,1,1.0,1.0,1.0,0.0,7.0,1.0,1.0,5.0,5.0,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,,0.0,,1.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,5.0
McBain,1,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,0.0,0.0,-1.0,-1.0,7,4.285714285714286,5.0,30.0,7,11.142857142857142,14.0,78.0,5.0,23.0,2.0,0.2857142857142857,-48.0,-6.857142857142857,3.0,5.333333333333333,5.0,16.0,3.0,8.0,6.0,24.0,2.0,10.0,1.0,0.3333333333333333,-8.0,-2.666666666666667,4.0,3.5,2.5,14.0,4.0,13.5,15.5,54.0,3.0,13.0,1.0,0.25,-40.0,-10.0
Melvindale,4,7.25,6.0,29.0,4,1.5,1.0,6.0,1.0,3.0,0.75,23.0,5.75,8,3.5,3.0,28.0,8,6.25,7.0,50.0,6.0,23.0,2.0,0.25,-22.0,-2.75,4.0,1.5,1.0,6.0,4.0,5.75,4.5,23.0,3.0,11.0,1.0,0.25,-17.0,-4.25,4.0,5.5,5.0,22.0,4.0,6.75,8.0,27.0,3.0,12.0,1.0,0.25,-5.0,-1.25
Memphis,1,2.0,2.0,2.0,1,12.0,12.0,12.0,1.0,0.0,0.0,-10.0,-10.0,2,5.5,5.5,11.0,2,6.0,6.0,12.0,1.0,21.0,1.0,0.5,-1.0,-0.5,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,,2.0,5.5,5.5,11.0,2.0,6.0,6.0,12.0,1.0,14.0,1.0,0.5,-1.0,-0.5
Mendon,1,4.0,4.0,4.0,1,5.0,5.0,5.0,1.0,0.0,0.0,-1.0,-1.0,0,,,0.0,0,,,0.0,0.0,15.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,8.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,7.0,0.0,,0.0,
Menominee,2,2.5,2.5,5.0,2,7.0,7.0,14.0,1.0,1.0,0.5,-9.0,-4.5,1,4.0,4.0,4.0,1,13.0,13.0,13.0,1.0,9.0,0.0,0.0,-9.0,-9.0,0.0,,,0.0,0.0,,,0.0,0.0,5.0,0.0,,0.0,,1.0,4.0,4.0,4.0,1.0,13.0,13.0,13.0,1.0,4.0,0.0,0.0,-9.0,-9.0
Merrill,1,0.0,0.0,0.0,1,10.0,10.0,10.0,1.0,0.0,0.0,-10.0,-10.0,8,2.625,0.0,21.0,8,9.5,10.5,76.0,5.0,11.0,3.0,0.375,-55.0,-6.875,4.0,0.5,0.0,2.0,4.0,10.75,12.0,43.0,3.0,6.0,1.0,0.25,-41.0,-10.25,4.0,4.75,2.5,19.0,4.0,8.25,8.5,33.0,2.0,5.0,2.0,0.5,-14.0,-3.5
Mesick,1,2.0,2.0,2.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-5.0,-5.0,29,5.0344827586206895,3.0,146.0,29,8.172413793103448,8.0,237.0,17.0,2.0,10.0,0.3448275862068966,-91.0,-3.137931034482759,14.0,3.5,2.0,49.0,14.0,9.285714285714286,8.5,130.0,10.0,1.0,3.0,0.21428571428571427,-81.0,-5.7857142857142865,15.0,6.466666666666667,6.0,97.0,15.0,7.133333333333334,7.0,107.0,7.0,1.0,7.0,0.4666666666666667,-10.0,-0.666666666666667
Michigan Center,6,5.333333333333333,2.5,32.0,6,3.1666666666666665,1.5,19.0,1.0,5.0,0.8333333333333334,13.0,2.1666666666666665,3,5.666666666666667,5.0,17.0,3,12.0,12.0,36.0,3.0,13.0,0.0,0.0,-19.0,-6.333333333333333,2.0,6.0,6.0,12.0,2.0,13.0,13.0,26.0,2.0,6.0,0.0,0.0,-14.0,-7.0,1.0,5.0,5.0,5.0,1.0,10.0,10.0,10.0,1.0,7.0,0.0,0.0,-5.0,-5.0
Middleville Thornapple Kellogg,4,2.5,2.5,10.0,4,1.0,0.5,4.0,1.0,3.0,0.75,6.0,1.5,6,4.5,2.5,27.0,6,5.0,3.5,30.0,3.0,30.0,3.0,0.5,-3.0,-0.5,2.0,11.0,11.0,22.0,2.0,3.5,3.5,7.0,0.0,16.0,2.0,1.0,15.0,7.5,4.0,1.25,0.0,5.0,4.0,5.75,6.5,23.0,3.0,14.0,1.0,0.25,-18.0,-4.5
