teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Addison,2,8.5,8.5,17.0,2,6.0,6.0,12.0,1.0,1.0,0.5,5.0,2.5,4.0,5.75,5.0,23.0,4.0,8.0,9.5,32.0,2.0,1.0,2.0,0.5,-9.0,-2.25,,,,,,,,,,,,,,,4.0,5.75,5.0,23.0,4.0,8.0,9.5,32.0,2.0,1.0,2.0,0.5,-9.0,-2.25
Adrian,1,4.0,4.0,4.0,1,7.0,7.0,7.0,1.0,0.0,0.0,-3.0,-3.0,30.0,6.666666666666667,6.0,200.0,30.0,5.8,5.0,174.0,15.0,2.0,15.0,0.5,26.0,0.8666666666666671,18.0,7.833333333333333,7.0,141.0,18.0,6.166666666666667,5.5,111.0,8.0,1.0,10.0,0.5555555555555556,30.0,1.666666666666666,12.0,4.916666666666667,3.5,59.0,12.0,5.25,3.5,63.0,7.0,1.0,5.0,0.4166666666666667,-4.0,-0.33333333333333304
Adrian Lenawee Christian,3,9.333333333333334,8.0,28.0,3,6.0,6.0,18.0,1.0,2.0,0.6666666666666666,10.0,3.333333333333334,2.0,4.5,4.5,9.0,2.0,4.5,4.5,9.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,6.0,6.0,6.0,1.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,-2.0,-2.0
Adrian Madison,1,7.0,7.0,7.0,1,13.0,13.0,13.0,1.0,0.0,0.0,-6.0,-6.0,2.0,2.5,2.5,5.0,2.0,9.0,9.0,18.0,2.0,0.0,0.0,0.0,-13.0,-6.5,,,,,,,,,,,,,,,2.0,2.5,2.5,5.0,2.0,9.0,9.0,18.0,2.0,0.0,0.0,0.0,-13.0,-6.5
Akron-Fairgrove,1,7.0,7.0,7.0,1,8.0,8.0,8.0,1.0,0.0,0.0,-1.0,-1.0,4.0,2.25,0.5,9.0,4.0,12.25,12.5,49.0,4.0,2.0,0.0,0.0,-40.0,-10.0,2.0,0.5,0.5,1.0,2.0,12.5,12.5,25.0,2.0,2.0,0.0,0.0,-24.0,-12.0,2.0,4.0,4.0,8.0,2.0,12.0,12.0,24.0,2.0,0.0,0.0,0.0,-16.0,-8.0
Alanson ,1,1.0,1.0,1.0,1,11.0,11.0,11.0,1.0,0.0,0.0,-10.0,-10.0,2.0,4.5,4.5,9.0,2.0,12.0,12.0,24.0,2.0,2.0,0.0,0.0,-15.0,-7.5,2.0,4.5,4.5,9.0,2.0,12.0,12.0,24.0,2.0,1.0,0.0,0.0,-15.0,-7.5,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,
Algonac,2,4.5,4.5,9.0,2,8.5,8.5,17.0,1.0,1.0,0.5,-8.0,-4.0,14.0,3.357142857142857,3.5,47.0,14.0,7.714285714285714,5.5,108.0,10.0,12.0,4.0,0.2857142857142857,-61.0,-4.357142857142858,8.0,3.375,3.5,27.0,8.0,8.625,7.0,69.0,5.0,6.0,3.0,0.375,-42.0,-5.25,6.0,3.3333333333333335,3.5,20.0,6.0,6.5,4.5,39.0,5.0,6.0,1.0,0.16666666666666666,-19.0,-3.1666666666666665
Allegan,2,7.0,7.0,14.0,2,5.5,5.5,11.0,1.0,1.0,0.5,3.0,1.5,22.0,4.136363636363637,3.0,91.0,22.0,5.954545454545454,4.5,131.0,15.0,2.0,7.0,0.3181818181818182,-40.0,-1.8181818181818175,12.0,4.083333333333333,3.5,49.0,12.0,5.0,4.0,60.0,8.0,1.0,4.0,0.3333333333333333,-11.0,-0.916666666666667,10.0,4.2,3.0,42.0,10.0,7.1,5.0,71.0,7.0,1.0,3.0,0.3,-29.0,-2.8999999999999995
Allen Park,3,8.666666666666666,9.0,26.0,3,5.0,2.0,15.0,1.0,2.0,0.6666666666666666,11.0,3.666666666666666,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,,0.0,
Allen Park Cabrini,3,5.333333333333333,1.0,16.0,3,3.3333333333333335,0.0,10.0,1.0,2.0,0.6666666666666666,6.0,1.9999999999999996,13.0,5.153846153846154,5.0,67.0,13.0,5.6923076923076925,6.0,74.0,7.0,2.0,6.0,0.46153846153846156,-7.0,-0.5384615384615383,10.0,6.2,6.5,62.0,10.0,4.8,4.0,48.0,4.0,1.0,6.0,0.6,14.0,1.4000000000000004,3.0,1.6666666666666667,0.0,5.0,3.0,8.666666666666666,9.0,26.0,3.0,1.0,0.0,0.0,-21.0,-6.999999999999999
