teamName,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,6,6.333333333333333,4.5,38.0,6,1.0,1.0,6.0,1.0,5.0,0.8333333333333334,32.0,5.333333333333333,34,7.117647058823529,7.0,242.0,34,3.264705882352941,2.0,111.0,7.0,7.0,27.0,0.7941176470588235,131.0,3.852941176470588,18.0,6.666666666666667,7.0,120.0,18.0,3.1666666666666665,2.0,57.0,5.0,5.0,13.0,0.7222222222222222,63.0,3.5000000000000004,16,7.625,6.5,122.0,16,3.375,2.5,54.0,2.0,2.0,14.0,0.875,68.0,4.25
Addison,2,2.5,2.5,5.0,2,4.0,4.0,8.0,1.0,1.0,0.5,-3.0,-1.5,29,6.068965517241379,4.0,176.0,29,5.517241379310345,5.0,160.0,14.0,0.0,15.0,0.5172413793103449,16.0,0.5517241379310338,14.0,6.642857142857143,3.5,93.0,14.0,4.285714285714286,5.0,60.0,7.0,0.0,7.0,0.5,33.0,2.3571428571428577,15,5.533333333333333,5.0,83.0,15,6.666666666666667,6.0,100.0,7.0,0.0,8.0,0.5333333333333333,-17.0,-1.1333333333333337
Adrian,5,5.8,4.0,29.0,5,4.0,2.0,20.0,1.0,4.0,0.8,9.0,1.7999999999999998,35,8.6,7.0,301.0,35,2.942857142857143,2.0,103.0,8.0,10.0,27.0,0.7714285714285715,198.0,5.657142857142857,18.0,6.666666666666667,6.0,120.0,18.0,2.9444444444444446,2.0,53.0,6.0,7.0,12.0,0.6666666666666666,67.0,3.7222222222222223,17,10.647058823529411,10.0,181.0,17,2.9411764705882355,2.0,50.0,2.0,3.0,15.0,0.8823529411764706,131.0,7.705882352941176
Adrian Lenawee Christian,1,7.0,7.0,7.0,1,17.0,17.0,17.0,1.0,0.0,0.0,-10.0,-10.0,11,4.818181818181818,4.0,53.0,11,13.0,13.0,143.0,10.0,1.0,1.0,0.09090909090909091,-90.0,-8.181818181818182,3.0,6.666666666666667,8.0,20.0,3.0,19.333333333333332,17.0,58.0,3.0,1.0,0.0,0.0,-38.0,-12.666666666666664,8,4.125,3.0,33.0,8,10.625,11.5,85.0,7.0,0.0,1.0,0.125,-52.0,-6.5
Adrian Madison,1,4.0,4.0,4.0,1,9.0,9.0,9.0,1.0,0.0,0.0,-5.0,-5.0,33,8.969696969696969,9.0,296.0,33,4.696969696969697,4.0,155.0,12.0,3.0,21.0,0.6363636363636364,141.0,4.272727272727272,15.0,7.133333333333334,7.0,107.0,15.0,5.866666666666666,4.0,88.0,7.0,0.0,8.0,0.5333333333333333,19.0,1.2666666666666675,18,10.5,10.0,189.0,18,3.7222222222222223,4.0,67.0,5.0,3.0,13.0,0.7222222222222222,122.0,6.777777777777778
Akron-Fairgrove,1,2.0,2.0,2.0,1,14.0,14.0,14.0,1.0,0.0,0.0,-12.0,-12.0,20,5.25,2.5,105.0,20,9.0,9.0,180.0,12.0,3.0,8.0,0.4,-75.0,-3.75,9.0,8.222222222222221,7.0,74.0,9.0,5.777777777777778,4.0,52.0,3.0,2.0,6.0,0.6666666666666666,22.0,2.4444444444444438,11,2.8181818181818183,2.0,31.0,11,11.636363636363637,12.0,128.0,9.0,1.0,2.0,0.18181818181818182,-97.0,-8.818181818181818
Alanson ,1,0.0,0.0,0.0,1,12.0,12.0,12.0,1.0,0.0,0.0,-12.0,-12.0,17,4.588235294117647,1.0,78.0,17,12.176470588235293,12.0,207.0,15.0,9.0,2.0,0.11764705882352941,-129.0,-7.588235294117647,15.0,5.133333333333334,2.0,77.0,15.0,12.2,12.0,183.0,13.0,9.0,2.0,0.13333333333333333,-106.0,-7.0666666666666655,2,0.5,0.5,1.0,2,12.0,12.0,24.0,2.0,0.0,0.0,0.0,-23.0,-11.5
Alcona,3,11.333333333333334,16.0,34.0,3,6.0,8.0,18.0,1.0,2.0,0.6666666666666666,16.0,5.333333333333334,19,7.7368421052631575,3.0,147.0,19,5.421052631578948,4.0,103.0,10.0,8.0,9.0,0.47368421052631576,44.0,2.3157894736842097,7.0,6.428571428571429,3.0,45.0,7.0,5.857142857142857,4.0,41.0,4.0,5.0,3.0,0.42857142857142855,4.0,0.5714285714285721,12,8.5,5.0,102.0,12,5.166666666666667,5.0,62.0,6.0,3.0,6.0,0.5,40.0,3.333333333333333
Algonac,7,7.0,5.0,49.0,7,1.8571428571428572,1.0,13.0,1.0,6.0,0.8571428571428571,36.0,5.142857142857142,34,7.823529411764706,9.0,266.0,34,1.911764705882353,1.0,65.0,3.0,9.0,31.0,0.9117647058823529,201.0,5.911764705882352,24.0,7.791666666666667,7.5,187.0,24.0,1.7916666666666667,1.0,43.0,2.0,4.0,22.0,0.9166666666666666,144.0,6.0,10,7.9,9.5,79.0,10,2.2,2.0,22.0,1.0,5.0,9.0,0.9,57.0,5.7
Allegan,1,3.0,3.0,3.0,1,12.0,12.0,12.0,1.0,0.0,0.0,-9.0,-9.0,23,4.695652173913044,3.0,108.0,23,5.304347826086956,3.0,122.0,12.0,13.0,10.0,0.43478260869565216,-14.0,-0.6086956521739122,14.0,3.857142857142857,3.0,54.0,14.0,6.714285714285714,5.5,94.0,10.0,8.0,4.0,0.2857142857142857,-40.0,-2.857142857142857,9,6.0,5.0,54.0,9,3.111111111111111,2.0,28.0,2.0,5.0,6.0,0.6666666666666666,26.0,2.888888888888889
