school,record,wins,losses,ties,match,id
Charlevoix,2-1,2,1,,Charlevoix HS,7764
Elk Rapids,3-4,3,4,,Elk Rapids HS,1783
Kalkaska,2-2,2,2,,Kalkaska HS,6907
Traverse City Christian,7-4,7,4,,Traverse City Christian School,9707
Traverse City St Francis,8-3,8,3,,Traverse City - St Francis HS,1107
Grayling,2-2,2,2,,Grayling HS,5314
Three Oaks River Valley,20-12,20,12,,Three Oaks - River Valley HS,2162
St Joseph Our Lady of the Lake Catholic,7-17,7,17,,St Joseph HS,2708
Eau Claire,0-19,0,19,,Eau Claire HS,1965
St Joseph Michigan Lutheran,18-6,18,6,,St Joseph - Michigan Lutheran HS,1800
New Buffalo,7-8,7,8,,New Buffalo HS,2286
Lawrence,14-7,14,7,,Lawrence HS,2906
Kalamazoo Heritage Christian,3-15,3,15,,Kalamazoo - Heritage Christian Academy,9584
Gobles,8-4,8,4,,Gobles HS,2105
Kalamazoo Hackett Catholic Prep,21-11,21,11,,Kalamazoo - Hackett Catholic Prep,4720
Kalamazoo Christian,8-8,8,8,,Kalamazoo Christian HS,2591
Decatur,20-9,20,9,,Decatur HS,2311
Marcellus,8-13,8,13,,Marcellus HS,5446
Cassopolis,6-6-2,6,6,2,Cassopolis - Ross Beatty HS,5776
Burr Oak,1-6,1,6,,Burr Oak HS,5413
Mendon,17-8-1,17,8,1,Mendon HS,7260
White Pigeon,0-14,0,14,,White Pigeon HS,5900
Colon,4-3,4,3,,Colon Community HS,1552
Athens,0-6,0,6,,Troy - Athens HS,1957
Litchfield,2-4,2,4,,Litchfield HS,7533
Tekonsha,6-6,6,6,,Tekonsha HS,2897
Bellevue,0-6-1,0,6,1,Bellevue HS,6163
Vandercook Lake,0-14,0,14,,Jackson - Vandercook Lake HS,2526
Concord,2-5,2,5,,Concord HS,6353
East Jackson,1-6,1,6,,East Jackson HS,6997
Whitmore Lake,14-5,14,5,,Whitmore Lake HS,3185
Reading,3-7,3,7,,Reading HS,7715
Camden-Frontier,4-7,4,7,,Camden-Frontier HS,5768
Pittsford,12-4,12,4,,Pittsford HS,1544
North Adams-Jerome,2-10-1,2,10,1,North Adams-Jerome HS,5231
Waldron,2-9,2,9,,Waldron HS,6031
Adrian Lenawee Christian,2-8,2,8,,Adrian - Lenawee Christian HS,8698
Morenci,4-6-1,4,6,1,Morenci Area HS,7178
Britton Deerfield,15-15,15,15,,Britton Deerfield Schools,1017
Petersburg Summerfield,1-18-2,1,18,2,Petersburg - Summerfield HS,2121
Addison,11-11-1,11,11,1,Addison HS,3037
Frankfort,4-5,4,5,,Frankfort HS,7558
Bear Lake,3-3,3,3,,Bear Lake HS,7707
Mesick,0-1,0,1,,Mesick HS,7153
Manistee Catholic Central,0-3-1,0,3,1,Manistee Catholic Central HS,6857
Brethren,1-1-1,1,1,1,Brethren HS,3557
Beal City,31-3,31,3,,Mt Pleasant - Beal City HS,5124
Coleman,1-8,1,8,,Coleman HS,1131
Marion,3-3,3,3,,Marion HS,4877
Mount Pleasant Sacred Heart,9-7,9,7,,Mt Pleasant - Sacred Heart Academy HS,4274
Fowler,17-6,17,6,,Fowler HS,6015
Vestaburg,14-7,14,7,,Vestaburg HS,7005
Blanchard Montabella,3-14,3,14,,Blanchard - Montabella HS,4588
Fulton,3-18,3,18,,Middleton - Fulton HS,7401
Carson City-Crystal,8-10,8,10,,Carson City-Crystal HS,3846
Saginaw Michigan Lutheran Seminary,6-11,6,11,,Saginaw - Michigan Lutheran Seminary,3061
Merrill,15-10-1,15,10,1,Merrill HS,2988
Breckenridge,23-5,23,5,,Breckenridge HS,7995
Ashley,0-4,0,4,,Ashley HS,7500
Saginaw Nouvel,7-12,7,12,,Saginaw - Nouvel Catholic Central HS,8481
Byron Center Zion Christian,18-11,18,11,,Byron Center - Zion Christian HS,2699
Martin,0-16,0,16,,Detroit - Martin Luther King HS,6147
Wyoming Tri-unity Christian,11-2,11,2,,Wyoming - Tri-unity Christian HS,8631
Portland St Patrick,10-8,10,8,,Portland - St Patrick HS,1908
Wyoming Potter's House Christian,5-5,5,5,,Wyoming - The Potter's House Christian HS,2079
Lansing Christian,5-13,5,13,,Lansing Christian HS,1858
Webberville,11-8,11,8,,Webberville Community HS,2088
Dansville,29-7-2,29,7,2,Dansville HS,5132
Morrice,2-13-2,2,13,2,Morrice HS,7194
White Cloud,1-2,1,2,,White Cloud HS,6246
Mason County Eastern,0-3,0,3,,Custer - Mason County Eastern HS,5941
Muskegon Catholic Central,5-7,5,7,,Muskegon Catholic Central HS,1445
Holton,0-1,0,1,,Holton HS,4407
Muskegon Western Michigan Christian,3-2,3,2,,Muskegon - Western Michigan Christian HS,3490
Plymouth Christian Academy,20-10-1,20,10,1,Canton - Plymouth Christian Academy,8358
Novi Christian Academy,4-7,4,7,,Novi Christian Academy,9189
Westland Huron Valley Lutheran,1-17,1,17,,Westland - Huron Valley Lutheran HS,7954
Lutheran Westland,15-9,15,9,,Lutheran HS Westland,8623
West Bloomfield Frankel Jewish Academy,5-5,5,5,,West Bloomfield - Frankel Jewish Academy,4455
Allen Park Inter-City Baptist,8-2,8,2,,Allen Park - Inter-City Baptist HS,8341
Southfield Christian,7-14,7,14,,Southfield Christian HS,3004
Taylor Trillium Academy,2-4,2,4,,Taylor - Trillium Academy,2405
Allen Park Cabrini,9-16,9,16,,Allen Park - Cabrini HS,2204
Riverview Gabriel Richard,19-8,19,8,,Riverview - Gabriel Richard HS,4316
Bloomfield Hills Roeper,5-4,5,4,,Bloomfield Hills HS,1069
Detroit Davis Aerospace,0-4,0,4,,Detroit - Davis Aerospace Technical HS,9639
Sterling Heights Parkway Christian,1-8,1,8,,Sterling Heights - Parkway Christian School,9955
Royal Oak Shrine Catholic,30-7,30,7,,Royal Oak - Shrine Catholic HS,4613
Auburn Hills Oakland Christian,7-9,7,9,,Auburn Hills - Oakland Christian HS,3532
New Haven Merritt Academy,3-6,3,6,,New Haven - Merritt Academy HS,1319
Clarkston Everest Collegiate,7-11,7,11,,Clarkston - Everest Collegiate HS,9826
Waterford Our Lady of the Lakes,11-8,11,8,,Waterford - Our Lady Of The Lakes HS,4745
Rochester Hills Lutheran Northwest,17-10,17,10,,Rochester Hills - Lutheran Northwest HS,3458
Capac,17-19,17,19,,Capac HS,2930
Peck,2-9,2,9,,Peck Community HS,3400
Marine City Cardinal Mooney,17-11,17,11,,Marine City - Cardinal Mooney Catholic HS,3961
Dryden,20-6-1,20,6,1,Dryden HS,2534
Genesee,0-11,0,11,,Genesee HS,5677
Mayville,1-15,1,15,,Mayville HS,7442
Marlette,18-10,18,10,,Marlette HS,7054
Genesee Christian,7-8-1,7,8,1,Burton - Genesee Christian HS,9101
Kingston,19-4,19,4,,Kingston HS,3045
Akron-Fairgrove,0-5,0,5,,Akron-Fairgrove HS,6262
Bay City All Saints,24-5,24,5,,Bay City - All Saints Central HS,3301
Unionville-Sebewaing,1-9,1,9,,Unionville Sebewaing HS,4225
Caseville,0-9,0,9,,Caseville HS,7698
Ubly,5-8,5,8,,Ubly HS,1395
Deckerville,2-7,2,7,,Deckerville Community HS,3417
Carsonville-Port Sanilac,2-8,2,8,,Carsonville-Port Sanilac,7426
Kinde North Huron,0-6-1,0,6,1,Kinde - North Huron HS,4448
Harbor Beach,5-7,5,7,,Harbor Beach HS,6287
Ironwood,10-11,10,11,,Ironwood - Luther L Wright HS,5751
Hancock,2-3,2,3,,Hancock HS,3441
L'Anse,2-5,2,5,,Macomb - L'Anse Creuse North HS,4555
Painesdale Jeffers,14-3,14,3,,Painesdale - Jeffers HS,6774
Lake Linden-Hubbell,4-5,4,5,,Lake Linden-Hubbell HS,5173
Wakefield-Marenisco,3-11,3,11,,Wakefield-Marenisco HS,5545
Ontonagon,0-7,0,7,,Ontonagon Area HS,4571
Crystal Falls Forest Park,0-13,0,13,,Crystal Falls - Forest Park HS,1214
Norway,16-4,16,4,,Norway HS,2625
Powers North Central,11-9,11,9,,Powers - North Central HS,1940
Manistique,8-11-1,8,11,1,Manistique HS,2245
Bark River-Harris,11-11,11,11,,Bark River-Harris HS,5652
Onaway,7-3,7,3,,Onaway Area HS,3094
Posen,2-14,2,14,,Posen HS,3391
Hillman,13-5,13,5,,Hillman HS,6270
Rogers City,8-3,8,3,,Rogers City HS,1577
Johannesburg-Lewiston,11-2,11,2,,Johannesburg-Lewiston HS,3631
Atlanta,3-3,3,3,,Atlanta HS,4927
Au Gres-Sims,11-16,11,16,,Au Gres - AuGres-Sims HS,4308
Whittemore-Prescott,4-9,4,9,,Whittemore-Prescott HS,1478
Hale,7-14,7,14,,Hale HS,8060
Mio,3-9,3,9,,Mio-Au Sable HS,4167
Alcona,6-8,6,8,,Lincoln - Alcona HS,6304
Fife Lake Forest Area,2-18,2,18,,Fife Lake - Forest Area HS,5512
Suttons Bay,5-8,5,8,,Suttons Bay HS,3672
Buckley,1-13,1,13,,Buckley HS,8135
Lake Leelanau St Mary,5-9,5,9,,Lake Leelanau - St Mary HS,4860
Maple City Glen Lake,18-4,18,4,,Maple City - Glen Lake HS,2014
Boyne Falls,0-7,0,7,,Boyne Falls HS,1734
Gaylord St Mary,6-4,6,4,,Gaylord - St Mary Cathedral HS,3771
Ellsworth,12-4,12,4,,Ellsworth Community HS,5933
Central Lake,10-9,10,9,,Walled Lake Central HS,5082
Bellaire,1-6,1,6,,Bellaire HS,2724
Rudyard,26-7-1,26,7,1,Rudyard HS,5891
Mackinaw City,13-9-1,13,9,1,Mackinaw City HS,3763
Pellston,10-10,10,10,,Pellston HS,5660
Pickford,5-4-1,5,4,1,Pickford HS,1973
Brimley,15-12,15,12,,Brimley Area HS,6816
Alanson,0-9,0,9,,Alanson HS,5322
Indian River Inland Lakes,4-5-1,4,5,1,Indian River - Inland Lakes HS,7913
Harbor Springs Harbor Light Christian,2-7,2,7,,Harbor Springs - Harbor Light Christian HS,8730
