school,record,wins,losses,ties,match,id
Grandville,4-1,4,1,,Grandville HS,6576
Grand Rapids Union,11-20,11,20,,Grand Rapids - Union HS,7541
Jenison,2-2,2,2,,Jenison HS,3607
Wyoming,5-9,5,9,,Wyoming HS,1033
Byron Center,8-5,8,5,,Byron Center HS,2542
East Kentwood,4-4,4,4,,East Kentwood HS,5792
Grand Rapids Forest Hills Central,12-5,12,5,,Grand Rapids - Forest Hills Central HS,5355
Lowell,15-9,15,9,,Lowell HS,6378
Caledonia,10-9,10,9,,Caledonia HS,4324
Grand Rapids Ottawa Hills,0-15,0,15,,Grand Rapids - Ottawa Hills HS,7335
Grand Rapids Kenowa Hills,21-5,21,5,,Grand Rapids - Kenowa Hills HS,5280
Muskegon,0-14,0,14,,Muskegon - Mona Shores HS,7962
Grand Haven,6-2,6,2,,Grand Haven HS,4101
Muskegon Reeths-Puffer,23-9,23,9,,Muskegon - Reeths-Puffer HS,2823
Muskegon Mona Shores,15-3,15,3,,Muskegon - Mona Shores HS,7962
Rockford,7-2,7,2,,Rockford HS,4183
Grand Rapids Forest Hills Northern,24-12,24,12,,Grand Rapids - Forest Hills Northern HS,6964
Greenville,5-25,5,25,,Greenville HS,3367
Grand Rapids Northview,6-10,6,10,,Grand Rapids - Northview HS,4142
Cedar Springs,9-9,9,9,,Cedar Springs HS,7517
Grand Blanc,6-3,6,3,,Grand Blanc HS,2237
Holly,0-4,0,4,,Holly HS,4266
Fenton,4-2,4,2,,Fenton HS,5438
Swartz Creek,11-13,11,13,,Swartz Creek HS,4803
Hartland,10-10,10,10,,Hartland HS,6832
Flint Carman-Ainsworth,1-11,1,11,,Flint - Carman-Ainsworth HS,4290
Lapeer,6-5,6,5,,Lapeer HS,1086
Davison,2-7-2,2,7,2,Davison HS,3103
Flint Kearsley,1-5,1,5,,Flint - Kearsley HS,4712
Flushing,8-4,8,4,,Flushing HS,2336
Detroit Catholic Central,16-19,16,19,,Novi - Detroit Catholic Central HS,4638
Novi,5-11,5,11,,Novi HS,1833
South Lyon,15-19-1,15,19,1,South Lyon HS,6295
South Lyon East,6-20,6,20,,South Lyon East HS,9976
North Farmington,3-5,3,5,,Farmington Hills - North Farmington HS,3375
Livonia Stevenson,11-12,11,12,,Livonia - Stevenson HS,6188
Bloomfield Hills Brother Rice,13-8,13,8,,Bloomfield Hills - Brother Rice HS,2328
Birmingham Seaholm,2-8,2,8,,Birmingham - Seaholm HS,6626
Farmington,5-10-1,5,10,1,Farmington HS,5784
Rochester,0-4,0,4,,Rochester Hills - Rochester HS,6824
Romeo,3-2,3,2,,Washington - Romeo HS,6023
Rochester Adams,6-1,6,1,,Rochester - Adams HS,6733
Utica Eisenhower,4-4,4,4,,Shelby Township - Utica Eisenhower HS,3020
Rochester Hills Stoney Creek,0-1,0,1,,Rochester Hills - Stoney Creek HS,2815
Clarkston,2-2,2,2,,Clarkston HS,2856
Waterford Kettering,17-10,17,10,,Waterford Kettering HS,6527
Oxford,7-6-1,7,6,1,Oxford HS,7038
Lake Orion,9-2,9,2,,Lake Orion HS,3953
Waterford Mott,1-21,1,21,,Waterford Mott HS,5025
Walled Lake Northern,14-13,14,13,,Commerce Township - Walled Lake Northern HS,2748
Walled Lake Central,21-10,21,10,,Walled Lake Central HS,5082
Walled Lake Western,12-13,12,13,,Walled Lake Western HS,3854
White Lake Lakeland,26-9,26,9,,White Lake - Lakeland HS,1313
Milford,17-13,17,13,,Highland - Milford HS,6080
Auburn Hills Avondale,5-3,5,3,,Auburn Hills - Avondale HS,2492
Bloomfield Hills,23-10,23,10,,Bloomfield Hills HS,1069
Orchard Lake St Mary's,43-0,43,0,,Orchard Lake - St Mary Preparatory HS,2385
Troy,2-6,2,6,,Troy HS,1742
West Bloomfield,4-2,4,2,,West Bloomfield HS,5140
Chelsea,3-4,3,4,,Chelsea HS,1651
Tecumseh,3-3,3,3,,Tecumseh HS,3350
Jackson Northwest,9-2-1,9,2,1,Jackson - Northwest HS,7285
Parma Western,4-8,4,8,,Parma - Western HS,5198
Adrian,15-8,15,8,,Adrian HS,2294
Ann Arbor Father Gabriel Richard,16-12,16,12,,Ann Arbor - Father Gabriel Richard HS,8184
Milan,7-5,7,5,,Milan HS,2451
Dundee,2-7,2,7,,Dundee HS,4563
Pinckney,11-12,11,12,,Pinckney HS,4357
Trenton,25-10,25,10,,Trenton HS,1627
