field,level,foul_ft,fop_ft,foul_pct,h_lon,h_lat,match,school_id
Hillman HS,high_school,28247.0,89762.0,23.94,-83.9033908,45.0441796,Hillman HS,6270.0
Holland Christian HS,high_school,32779.0,95289.0,25.59,-86.1328152,42.7619603,Holland HS,6114.0
Holt HS,high_school,38310.0,95406.0,28.65,-84.57995029999999,42.6367415,Holt HS,7632.0
Holt HS - Practice field,high_school,39740.0,98054.0,28.84,-84.5796448,42.6372277,Holt HS,7632.0
Holton HS,high_school,28877.0,95912.0,23.14,-86.0881718,43.4149801,Holton HS,4407.0
Homer HS,high_school,23494.0,71072.0,24.84,-84.81377189231711,42.1386105227878,Homer HS,1321.0
Houghton HS,high_school,32578.0,92794.0,25.99,-88.56393780000001,47.10877110000001,Houghton HS,5636.0
Howard City Tri County HS,high_school,32867.0,81986.0,28.62,-85.51112826513204,43.37198924707032,Howard City - Tri County Area HS,6337.0
Howell HS,high_school,21114.0,92971.0,18.51,-83.9426426,42.6179456,Howell HS,5074.0
Hudson high School,high_school,31947.0,88333.0,26.56,-84.3444884,41.8638399,Jackson Christian School,6196.0
Hudsonville Christian HS,high_school,33791.0,97983.0,25.64,-85.84562560000001,42.8840691,Hudsonville HS,8077.0
Hudsonville HS,high_school,30487.0,96953.0,23.92,-85.87544920000001,42.9134789,Hudsonville HS,8077.0
Hudsonville HS - Field 2,high_school,31075.0,93415.0,24.96,-85.8768694,42.9142415,Hudsonville HS,8077.0
Huron HS,high_school,27079.0,82445.0,24.72,-83.3501649,42.1258421,Ann Arbor - Huron HS,1825.0
Indian River Inland Lakes HS,high_school,14836.0,85638.0,14.77,-84.6358958,45.3838713,Indian River - Inland Lakes HS,7913.0
Ionia HS,high_school,30676.0,88463.0,25.75,-85.0645777,42.9523427,Ionia HS,4068.0
Ionia Practice Field,high_school,29381.0,81817.0,26.42,-85.0646534,42.9533573,Ionia HS,4068.0
Ithaca HS,high_school,34462.0,89389.0,27.83,-84.59611825443962,43.29729118200375,Ithaca HS,4398.0
Jackson Lumen Christi HS,high_school,20498.0,92032.0,18.22,-84.4602665,42.2219816,Jackson HS,2633.0
Jackson Northwest HS,high_school,30496.0,88518.0,25.62,-84.46933914772728,42.33093026965197,Jackson HS,2633.0
Jenison HS,high_school,31316.0,98281.0,24.16,-85.837665,42.917629,Jenison HS,3607.0
Kalamazoo Christian high school,high_school,23934.0,92206.0,20.61,-85.6134503,42.273406,Kalamazoo Christian HS,2591.0
Kalamazoo Hackett Prep HS,high_school,21937.0,87095.0,20.12,-85.5965558,42.2474483,Kalamazoo - Hackett Catholic Prep,4720.0
Kenowa Hills HS,high_school,37758.0,93310.0,28.81,-85.7475037,43.0343372,Grand Rapids - Kenowa Hills HS,5280.0
Kingston high School,high_school,20688.0,74026.0,21.84,-83.1919884,43.4105296,Kingston HS,3045.0
L'Anse HS,high_school,23630.0,86914.0,21.38,-88.4437423,46.7575736,Macomb - L'Anse Creuse North HS,4555.0
Laingsburg HS,high_school,28676.0,98635.0,22.52,-84.34275100000001,42.878632,Laingsburg HS,1338.0
Lake Orion HS,high_school,32958.0,90214.0,26.76,-83.2369353,42.7539465,Lake Orion HS,3953.0
Lansing - Eastern HS,high_school,38329.0,86898.0,30.61,-84.53557480000001,42.7372929,Lansing - Eastern HS,2765.0
Lansing - Everett HS,high_school,36876.0,93448.0,28.3,-84.5561434,42.6905115,Lansing - Everett HS,1387.0
Lansing - Waverly HS,high_school,31145.0,88957.0,25.93,-84.6247929,42.7313098,Lansing - Waverly HS,2501.0
Lansing Catholic HS,high_school,18993.0,88398.0,17.69,-84.5277248,42.7383015,Lansing Catholic HS,2435.0
Lansing Christian HS,high_school,23717.0,88065.0,21.22,-84.50592766020017,42.67745685614403,Lansing Christian HS,1858.0
Lansing JW Sexton HS,high_school,25173.0,95742.0,20.82,-84.57957949999999,42.7327867,Lansing - JW Sexton HS,7830.0
Lawton HS,high_school,20930.0,89312.0,18.99,-85.82725073554163,42.17003016788095,Lawton HS,7351.0
Lincoln HS - Ypsi - Fields 2,high_school,28282.0,91822.0,23.55,-83.6146378,42.1604794,Lincoln Park HS,2996.0
Livonia - Clarenceville HS,high_school,19166.0,82438.0,18.86,-83.33937090000001,42.4363394,Livonia - Clarenceville HS,5396.0
Livonia Franklin HS,high_school,19947.0,88016.0,18.48,-83.3473911,42.356909,Livonia - Franklin HS,3508.0
Mackinaw City HS,high_school,18976.0,70110.0,21.3,-84.7433419,45.7797649,Mackinaw City HS,3763.0
Mackinaw City HS - 2?,high_school,21477.0,71126.0,23.19,-84.74272019999999,45.7785533,Mackinaw City HS,3763.0
Manchester HS,high_school,18255.0,89079.0,17.01,-84.03785167403916,42.15517370245973,Manchester HS,6717.0
Marine City Cardinal Mooney Field 2,high_school,16169.0,93547.0,14.74,-82.8879871,42.5368865,Marine City HS,1585.0
Marine City Cardinal Mooney HS,high_school,35258.0,89229.0,28.32,-82.8877279,42.5352846,Marine City HS,1585.0
Marion HS,high_school,28881.0,84444.0,25.49,-85.130365,44.1000449,Marion HS,4877.0
Marlette HS,high_school,22629.0,86986.0,20.64,-83.07092799999999,43.3238064,Marlette HS,7054.0
Marshall HS,high_school,36768.0,90654.0,28.86,-84.95784289233414,42.28388871625193,Marshall HS,7855.0
Martin HS,high_school,25796.0,77644.0,24.94,-85.6333739816133,42.53539777621007,Detroit - Martin Luther King HS,6147.0
Mason County Central HS,high_school,33783.0,87956.0,27.75,-86.2891178,43.9590923,Mason HS,2138.0
Mason HS,high_school,25325.0,97372.0,20.64,-84.4333884,42.5705632,Mason HS,2138.0
Mattawan HS,high_school,27396.0,88439.0,23.65,-85.79455912516615,42.21319961767226,Mattawan HS,4027.0
Mayville HS,high_school,17938.0,81703.0,18.0,-83.3551339,43.3310365,Mayville HS,7442.0
Mendon HS,high_school,36355.0,86309.0,29.64,-85.4474524,42.0126305,Mendon HS,7260.0
Merrill HS,high_school,28874.0,89658.0,24.36,-84.3410391,43.4071832,Merrill HS,2988.0
Mt Pleasant HS,high_school,28077.0,94255.0,22.95,-84.75913269999999,43.5913032,Mt Pleasant HS,5834.0
Muskegon Mona Shores HS,high_school,32818.0,90825.0,26.54,-86.271558,43.1845307,Muskegon - Mona Shores HS,7962.0
Muskegon Western Michigan Christian,high_school,28988.0,90507.0,24.26,-86.23679300000001,43.1609012,Muskegon - Western Michigan Christian HS,3490.0
New Haven HS,high_school,39931.0,89603.0,30.83,-82.78927556005448,42.72547695958696,New Haven HS,2848.0
New Haven Merritt Academy HS,high_school,13658.0,78696.0,14.79,-82.7985517,42.7415202,New Haven HS,2848.0
New Lothrop HS,high_school,37414.0,89468.0,29.49,-83.9746703,43.122242,New Lothrop HS,3664.0
Northville HS,high_school,28784.0,95926.0,23.08,-83.49344499999999,42.4123981,Northville HS,5628.0
Norway HS,high_school,25656.0,82223.0,23.78,-87.9126582,45.7729954,Norway HS,2625.0
Novi Christian Academy HS,high_school,19236.0,78293.0,19.72,-83.4485037,42.5142468,Novi HS,1833.0
Novi HS,high_school,23776.0,89713.0,20.95,-83.4924439,42.4615268,Novi HS,1833.0
Okemos HS,high_school,28633.0,88727.0,24.4,-84.45583670000001,42.6867582,Okemos HS,6007.0
Olivet HS,high_school,22494.0,87305.0,20.49,-84.91550063423387,42.44785917250212,Olivet HS,6436.0
Orchard Lake St Marys HS,high_school,27391.0,87971.0,23.74,-83.35411000000001,42.5916394,Orchard Lake - St Mary Preparatory HS,2385.0
Ottawa Lake - Whiteford HS,high_school,30502.0,82331.0,27.03,-83.70111919999999,41.7665817,Ottawa Lake - Whiteford HS,3755.0
Ovid-Elsie HS,high_school,24768.0,83750.0,22.82,-84.3932693,43.0477476,Ovid-Elsie HS,3383.0
Owosso HS,high_school,20193.0,79372.0,20.28,-84.1622172,43.0168905,Owosso HS,6171.0
Paw Paw HS,high_school,41056.0,99019.0,29.31,-85.85318959370368,42.22076223316563,Paw Paw HS,1255.0
Pelson HS,high_school,17058.0,76326.0,18.27,-84.78913470000001,45.55007209999999,Pellston HS,5660.0
Petoskey HS,high_school,30315.0,91933.0,24.8,-84.93868740000001,45.36723030000001,Petoskey HS,3136.0
Pewamo-Westphalia HS,high_school,27955.0,84958.0,24.76,-84.8358807,42.9403371,Pewamo-Westphalia HS,6312.0
Pittsford HS,high_school,16861.0,85271.0,16.51,-84.47003051703338,41.86478030083287,Pittsford HS,1544.0
Plymouth HS,high_school,30570.0,92981.0,24.74,-83.49864049999999,42.3483182,Canton - Plymouth HS,2839.0
Portage Northern HS,high_school,24003.0,89005.0,21.24,-85.59873090000001,42.2356888,Portage Northern HS,4794.0
Portland HS,high_school,39688.0,88555.0,30.95,-84.91802490000001,42.882565,Portland HS,7104.0
Portland St. Pats HS,high_school,34252.0,129849.0,20.87,-84.91077540000001,42.8702585,Portland HS,7104.0
Posen HS,high_school,27420.0,78058.0,26.0,-83.7003876,45.2547685,Posen HS,3391.0
Potterville HS,high_school,13887.0,82863.0,14.35,-84.73811139603326,42.63212861790635,Potterville HS,5108.0
Remus Chippewa Hills HS,high_school,22666.0,85811.0,20.89,-85.1542803503838,43.66217266582332,Remus - Chippewa Hills HS,3887.0
Richland Gull Lake,high_school,34838.0,85784.0,28.88,-85.44622380566936,42.37312335353401,Richland - Gull Lake HS,5297.0
Richland Gull Lake HS - field 2,high_school,28220.0,85445.0,24.83,-85.44174651380094,42.37121216242524,Richland - Gull Lake HS,5297.0
Richmond HS,high_school,32748.0,88224.0,27.07,-82.7574992,42.8073051,Richmond HS,1148.0
Rochester Adams HS,high_school,29388.0,93346.0,23.94,-83.19984239999999,42.6972168,Rochester - Adams HS,6733.0
Rochester Hills Lutheran Northwest HS,high_school,20816.0,71215.0,22.62,-83.15556008209894,42.64099864942443,Rochester Hills - Rochester HS,6824.0
Rochester HS,high_school,29531.0,88582.0,25.0,-83.15624510000001,42.6774369,Rochester Hills - Rochester HS,6824.0
Rockford HS,high_school,33509.0,99484.0,25.2,-85.56869709999999,43.0900641,Rockford HS,4183.0
Rogers City HS,high_school,18535.0,71875.0,20.5,-83.8041977,45.41751360000001,Rogers City HS,1577.0
Rudyard HS,high_school,26169.0,85299.0,23.48,-84.58780230000001,46.2351548,Rudyard HS,5891.0
Saginaw Heritage HS,high_school,36530.0,103302.0,26.12,-84.0129481,43.4554596,Saginaw - Heritage HS,4547.0
Saginaw Heritage HS - Field 2,high_school,20534.0,98697.0,17.22,-84.0135834,43.4547419,Saginaw - Heritage HS,4547.0
Saginaw Nouvel HS,high_school,42712.0,95394.0,30.93,-84.03503873526297,43.44684633221564,Saginaw HS,4241.0
Saginaw Swan Valley HS,high_school,21585.0,87095.0,19.86,-84.0822261,43.4116302,Saginaw - Swan Valley HS,2757.0
Salem HS,high_school,30248.0,89191.0,25.33,-83.4972427,42.3458381,Canton - Salem HS,3747.0
Sand Creek HS,high_school,26366.0,79295.0,24.95,-84.1047473,41.8229202,Sand Creek HS,1924.0
Sand Creek HS,high_school,25297.0,84426.0,23.06,-83.49173145697426,41.81570190942691,Sand Creek HS,1924.0
Sandusky HS,high_school,33614.0,84661.0,28.42,-82.82497170000001,43.4102931,Sandusky HS,7525.0
Saranac HS,high_school,37347.0,87711.0,29.86,-85.20224754409088,42.9278769603117,Saranac HS,5223.0
Shepherd HS,high_school,23072.0,89215.0,20.55,-84.69590821378927,43.51977592095525,Shepherd HS,1057.0
South Haven HS,high_school,33673.0,87355.0,27.82,-86.27211630472802,42.38972110039865,South Haven HS,6782.0
Southfield Christian HS,high_school,13609.0,69417.0,16.39,-83.2582113,42.499334,Southfield Christian HS,3004.0
Springport HS,high_school,31393.0,82958.0,27.45,-84.7031463413189,42.37589273783875,Springport HS,7228.0
St Clair HS,high_school,31501.0,87273.0,26.52,-82.5113899,42.824698,St Clair Shores - Lakeview HS,2146.0
St Johns HS,high_school,37094.0,96144.0,27.84,-84.5679294,42.9878827,St Johns HS,3623.0
Standish-Sterling HS,high_school,27613.0,95495.0,22.43,-83.9548964,44.0156178,Standish-Sterling HS,3012.0
Sterling Heights - Parkway Christian HS,high_school,18986.0,92907.0,16.97,-82.9817171,42.562036,Sterling Heights HS,3714.0
Stevenson Lakeshore HS,high_school,22072.0,89254.0,19.83,-86.4944752,42.0092821,Stevensville - Lakeshore HS,5875.0
Suttons Bay HS,high_school,29249.0,90236.0,24.48,-85.65497706919312,44.96836539150628,Suttons Bay HS,3672.0
Three Rivers HS,high_school,30998.0,90439.0,25.53,-85.61831188334281,41.95082696090952,Three Rivers HS,4134.0
Traverse City Central HS - field 1,high_school,25921.0,90075.0,22.35,-85.57887650953001,44.74952077896879,Traverse City Central HS,4233.0
Traverse City Central HS - field 2,high_school,27642.0,86378.0,24.24,-85.57713888367192,44.7495105349692,Traverse City Central HS,4233.0
Traverse City Central HS - Old Field,high_school,26362.0,83329.0,24.03,-85.58657532875816,44.76626481693389,Traverse City Central HS,4233.0
Traverse City St Frances HS,high_school,14024.0,94785.0,12.89,-85.55975530000001,44.7118419,Traverse City - St Francis HS,1107.0
Traverse City West HS- old field,high_school,34809.0,99858.0,25.85,-85.68748135432152,44.75084178299133,Traverse City West HS,9731.0
Traverse City West HS - Field 2,high_school,34346.0,97722.0,26.01,-85.68946073709306,44.75070243383396,Traverse City West HS,9731.0
Trenton HS,high_school,23234.0,91703.0,20.21,-83.20306840000001,42.1421346,Trenton HS,1627.0
Troy - Athens HS,high_school,17790.0,85160.0,17.28,-83.111861,42.5828923,Troy HS,1742.0
Ubly high School,high_school,19713.0,86330.0,18.59,-82.9346814,43.7078311,Ubly HS,1395.0
University Liggett School,high_school,22388.0,83119.0,21.22,-82.90074989999999,42.4260393,Grosse Pointe Woods - University Liggett HS,1222.0
USA - Unionville Seabawing HS,high_school,27687.0,84002.0,24.79,-83.46441950000001,43.6938966,Unionville Sebewaing HS,4225.0
Vestaburg HS,high_school,31689.0,91931.0,25.63,-84.9133162,43.3964138,Vestaburg HS,7005.0
Vicksburg HS,high_school,25796.0,82997.0,23.71,-85.5288627476956,42.11703539805211,Vicksburg HS,1610.0
Watervliet HS,high_school,29977.0,90757.0,24.83,-86.24979620000001,42.1861372,Watervliet HS,5578.0
West Bloomfield HS,high_school,23399.0,95261.0,19.72,-83.3594581,42.5673665,West Bloomfield HS,5140.0
Whitehall HS,high_school,28215.0,91519.0,23.56,-86.33278559999999,43.4045055,Whitehall HS,4340.0
Whitmore Lake HS,high_school,34917.0,93542.0,27.18,-83.7708313,42.3876304,Whitmore Lake HS,3185.0
Whittemore-Prescott HS,high_school,16955.0,82035.0,17.13,-83.8844484,44.2293306,Whittemore-Prescott HS,1478.0
Williamston HS,high_school,31596.0,90369.0,25.91,-84.28086999999999,42.6987035,Williamston HS,7277.0
Ypsilanti - Lincoln HS,high_school,26768.0,92794.0,22.39,-83.6146339,42.1610319,Ypsilanti - Lincoln HS,6477.0
Adrian College,college,14280.0,106000.0,11.87,-84.0697145,41.901861,,
Albion College ,college,28228.0,108727.0,20.61,-84.7373745,42.241567,,
Antrim County -Torch Lake - youth,youth,106926.0,21536.0,83.24,-85.2806507,44.8649571,,
Battle Creek - Robert L Nichols Field - muni,muni,31977.0,103245.0,23.65,-85.15384899448398,42.34172281229348,,
Bay City All Saints Youth Field,youth,12857.0,31471.0,29.0,-83.8975504,43.55632,,
Boyne City - Youth Field,youth,18057.0,83522.0,17.78,-85.00279860000001,45.2184825,,
Boyne City County Park Muni,muni,21397.0,92587.0,18.77,-84.9975093,45.2058653,,
Calvin University ,college,39207.0,107778.0,26.67,-85.5926546,42.9346782,,
CMU ,college,22847.0,108213.0,17.43,-84.77949580000001,43.5764696,,
Coldwater Borden Field - Muni,muni,46390.0,88202.0,34.47,-85.02038109999999,41.9516033,,
Coldwater Heritage Park - muni,muni,44481.0,89492.0,33.2,-85.02037970000001,41.9515984,,
Commerica Park - Tigers ,mlb,28155.0,113641.0,19.86,-83.0489808,42.3394579,,
Coors Field - Colorado ,mlb,24746.0,116886.0,17.47,-104.9942091,39.7557176,,
Cornerstone Baseball Field ,college,21212.0,103016.0,17.08,-85.5975511,42.9811225,,
Davenport University ,college,30259.0,111118.0,21.4,-85.5160374,42.8425628,,
Decatur Youth Field,youth,10577.0,39318.0,21.2,-85.9858847,42.1126558,,
Dow Diamond (Midland) ,pro,29101.0,106468.0,21.47,-84.2371778,43.609054,,
Eaton Park - muni,muni,42496.0,93834.0,31.17,-86.46699889999999,42.0553171,,
EMU ,college,17041.0,109553.0,13.46,-83.64872339999999,42.2573876,,
Fenway Park - Boston ,mlb,17744.0,102745.0,14.73,-71.0977733,42.3462476,,
Gainey Athletic Complex - Field 1 ,college,36044.0,104042.0,25.73,-85.571371,42.930952,,
Gainey Athletic Complex - Field 2 ,college,36768.0,104571.0,26.01,-85.57064200000001,42.9301094,,
Gladstone_youth,youth,10048.0,36434.0,21.62,-87.0393735,45.8605932,,
Glen Lake Community School,muni,23438.0,92408.0,20.23,-85.91890239999999,44.8515684,,
GR West Catholic Youth Field,youth,13311.0,34313.0,27.95,-85.7121231,42.9958129,,
Grand Ledge Bridge St (10u) - youth,youth,11531.0,37086.0,23.72,-84.74489749999999,42.7543876,,
Grand Ledge Hayes (12u) - youth,youth,8452.0,43893.0,16.15,-84.7006386,42.7518189,,
Grand Ledge JV - 14u - youth,youth,23247.0,70057.0,24.92,-84.7588678,42.7462458,,
GVSU ,college,35024.0,102527.0,25.46,-85.8933881,42.9654715,,
