Unnamed: 0,field,level_x,foul_ft,fop_ft,foul_pct,h_lat,h_long,match,school_id,school_name,students,enrollment,division,level_y,level,h_lon
52.0,Eastern High School,high_school,38329.0,86898.0,30.61,-84.5355748,42.7372929,Lansing - Eastern HS,2765.0,Lansing - Eastern HS,828.0,828.0,B,high_school,,
53.0,Eaton Rapid HS Field 2,high_school,34107.0,85396.0,28.54,-84.6350135,42.5110331,Eaton Rapids HS,3978.0,Eaton Rapids HS,674.0,674.0,B,high_school,,
54.0,Eaton Rapids High School,high_school,37223.0,101498.0,26.83,-84.635145,42.5118192,Eaton Rapids HS,3978.0,Eaton Rapids HS,674.0,674.0,B,high_school,,
55.0,Ecorse High School,high_school,29411.0,78788.0,27.18,-83.149694,42.2528271,Ecorse HS,1932.0,Ecorse HS,402.0,402.0,B,high_school,,
56.0,Edwardsburg HS,high_school,30166.0,85216.0,26.14,-86.091742,41.7896252,Edwardsburg HS,4175.0,Edwardsburg HS,803.0,803.0,B,high_school,,
58.0,Essexville Garber HS,high_school,25204.0,91284.0,21.64,-83.8341762,43.6056341,Essexville - Garber HS,6106.0,Essexville - Garber HS,542.0,542.0,B,high_school,,
59.0,Everett High School,high_school,36876.0,93448.0,28.3,-84.5561434,42.6905115,Lansing - Everett HS,1387.0,Lansing - Everett HS,1178.0,1178.0,A,high_school,,
60.0,Fankfort H S,high_school,25913.0,89205.0,22.51,-86.225851,44.634408,Frankfort HS,7558.0,Frankfort HS,154.0,154.0,D,high_school,,
62.0,Forrest Hills Eastern High School,high_school,34528.0,98244.0,26.01,-85.5286469,43.0058274,Ada - Forest Hills Eastern HS,4506.0,Ada - Forest Hills Eastern HS,783.0,783.0,B,high_school,,
63.0,Fowlerville HS,high_school,19823.0,94791.0,17.3,-84.0655802,42.6688057,Fowlerville HS,7343.0,Fowlerville HS,839.0,839.0,A,high_school,,
64.0,Gabriel Richard HS,high_school,22712.0,92645.0,19.69,-83.2089242,42.1817944,Ann Arbor - Father Gabriel Richard HS,8184.0,Ann Arbor - Father Gabriel Richard HS,462.0,462.0,B,high_school,,
67.0,Garber High School Essexville,high_school,25668.0,91404.0,21.92,-83.8341769,43.6056339,Essexville - Garber HS,6106.0,Essexville - Garber HS,542.0,542.0,B,high_school,,
68.0,Gladstone High School,high_school,22978.0,84312.0,21.42,-87.0388936,45.85971,Gladstone HS,6130.0,Gladstone HS,402.0,402.0,B,high_school,,
70.0,Gladwin High School,high_school,26731.0,93477.0,22.24,-84.4919148,43.9902464,Gladwin HS,2253.0,Gladwin HS,492.0,492.0,B,high_school,,
72.0,Goodrich HS,high_school,33688.0,91640.0,26.88,-83.5294795,42.9168576,Goodrich HS,8192.0,Goodrich HS,716.0,716.0,B,high_school,,
73.0,GR West Catholic HS,high_school,23866.0,94829.0,20.11,-85.712159,42.9943182,Grand Rapids - West Catholic HS,5826.0,Grand Rapids - West Catholic HS,466.0,466.0,B,high_school,,
75.0,Grand Blanc HS,high_school,26522.0,93196.0,22.15,-83.6283145,42.9187188,Grand Blanc HS,2237.0,Grand Blanc HS,2812.0,2812.0,A,high_school,,
76.0,Grand Ledge High School,high_school,28836.0,79361.0,26.65,-84.7539894,42.7472938,Grand Ledge HS,6213.0,Grand Ledge HS,1653.0,1653.0,A,high_school,,
77.0,Grand Ledge Bridge St (10u),high_school,11531.0,37086.0,23.72,-84.7448975,42.7543876,,,,,,,,,
78.0,Grand Ledge Hayes (12u),high_school,8452.0,43893.0,16.15,-84.7006386,42.7518189,,,,,,,,,
79.0,Grand Ledge JV,high_school,23247.0,70057.0,24.92,-84.7588678,42.7462458,,,,,,,,,
80.0,Kenowa Hills High School,high_school,37758.0,93310.0,28.81,-85.7475037,43.0343372,Grand Rapids - Kenowa Hills HS,5280.0,Grand Rapids - Kenowa Hills HS,1033.0,1033.0,A,high_school,,
81.0,Gross Pointe North High School,high_school,19075.0,80421.0,19.17,-82.8911176,42.4379668,Grosse Pointe North HS,7822.0,Grosse Pointe North HS,1171.0,1171.0,A,high_school,,
82.0,Gross Pointe South High School,high_school,21527.0,83785.0,20.44,-82.9025228,42.3918844,Grosse Pointe South HS,,,,,,,,
83.0,Grosse Ile High School,high_school,36064.0,93917.0,27.75,-83.1458188,42.1340427,Grosse Ile HS,1528.0,Grosse Ile HS,588.0,588.0,B,high_school,,
84.0,University Liggett School,high_school,22388.0,83119.0,21.22,-82.9007499,42.4260393,Grosse Pointe Woods - University Liggett HS,1222.0,Grosse Pointe Woods - University Liggett HS,303.0,303.0,C,high_school,,
87.0,Hamtramck High School,high_school,14857.0,81704.0,15.39,-83.0476997,42.3930022,Hamtramck HS,5925.0,Hamtramck HS,1152.0,1152.0,A,high_school,,
88.0,Harbor Springs High School,high_school,21382.0,79731.0,21.15,-84.9734496,45.434179,Harbor Springs HS,5520.0,Harbor Springs HS,256.0,256.0,C,high_school,,
91.0,Haslett High School,high_school,30039.0,86400.0,25.8,-84.4071076,42.7419614,Haslett HS,2278.0,Haslett HS,845.0,845.0,A,high_school,,
92.0,Hemlock HS,high_school,24830.0,87160.0,22.17,-84.2333581,43.4238904,Hemlock HS,6568.0,Hemlock HS,337.0,337.0,C,high_school,,
93.0,Holland Christian High School,high_school,32779.0,95289.0,25.59,-86.1328152,42.7619603,Holland Christian HS,6634.0,Holland Christian HS,643.0,643.0,B,high_school,,
94.0,Holt High School,high_school,38310.0,95406.0,28.65,-84.5799503,42.6367415,Holt HS,7632.0,Holt HS,1745.0,1745.0,A,high_school,,
95.0,Holt HS - Practice field,high_school,39740.0,98054.0,28.84,-84.5796448,42.6372277,Holt HS,7632.0,Holt HS,1745.0,1745.0,A,high_school,,
96.0,Holton High School,high_school,28877.0,95912.0,23.14,-86.0881718,43.4149801,Holton HS,4407.0,Holton HS,240.0,240.0,C,high_school,,
97.0,Homer HS,high_school,20835.0,71860.0,22.48,-84.8138072,42.1386292,Homer HS,1321.0,Homer HS,308.0,308.0,C,high_school,,
99.0,Houghton High School,high_school,32578.0,92794.0,25.99,-88.5639378,47.1087711,Houghton HS,5636.0,Houghton HS,449.0,449.0,B,high_school,,
100.0,Howell High School,high_school,21114.0,92971.0,18.51,-83.9426426,42.6179456,Howell HS,5074.0,Howell HS,2375.0,2375.0,A,high_school,,
101.0,Hudson high School,high_school,31947.0,88333.0,26.56,-84.3444884,41.8638399,Hudson Area HS,7384.0,Hudson Area HS,269.0,269.0,C,high_school,,
102.0,Hudsonville Christian HS,high_school,33791.0,97983.0,25.64,-85.8456256,42.8840691,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A,high_school,,
103.0,Hudsonville High School,high_school,30487.0,96953.0,23.92,-85.8754492,42.9134789,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A,high_school,,
104.0,Hudsonville HS - Field 2,high_school,31075.0,93415.0,24.96,-85.8768694,42.9142415,Hudsonville HS,8077.0,Hudsonville HS,2026.0,2026.0,A,high_school,,
105.0,Huron High School,high_school,27079.0,82445.0,24.72,-83.3501649,42.1258421,Ann Arbor - Huron HS,1825.0,Ann Arbor - Huron HS,1860.0,1860.0,A,high_school,,
106.0,Indian River Inland Lakes HS,high_school,14836.0,85638.0,14.77,-84.6358958,45.3838713,Indian River - Inland Lakes HS,7913.0,Indian River - Inland Lakes HS,177.0,177.0,D,high_school,,
