,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
141,Hancock HS,high_school,300,34261.0,89051.0,27.78,-88.608008,47.13566610000001,"47.13566610000001,-88.608008",310.0,362.0,337.0,341.0,Hancock HS,3441.0,3441
142,Harbor Beach HS,high_school,300,33657.0,90595.0,27.09,-82.6623244,43.8383101,"43.8383101,-82.6623244",326.0,351.0,338.0,338.0,Harbor Beach HS,6287.0,6287
143,Harbor Springs HS,high_school,300,21382.0,79731.0,21.15,-84.9734496,45.434179,"45.434179,-84.9734496",299.0,342.0,327.0,334.0,Harbor Springs HS,5520.0,5520
144,Haslett HS,high_school,300,31262.0,86208.0,26.61,-84.405957,42.7419779,"42.7419779,-84.405957",306.0,360.0,334.0,334.0,Haslett HS,2278.0,2278
145,Hemlock HS,high_school,300,24830.0,87160.0,22.17,-84.2333581,43.4238904,"43.4238904,-84.2333581",305.0,365.0,335.0,334.0,Hemlock HS,6568.0,6568
146,Hillman HS,high_school,300,28247.0,89762.0,23.94,-83.9033908,45.0441796,"45.0441796,-83.9033908",320.0,351.0,341.0,342.0,Hillman HS,6270.0,6270
147,Hillsdale HS,high_school,300,36418.0,89429.0,28.94,-84.6400086,41.9166867,"41.9166867,-84.6400086",320.0,358.0,337.0,335.0,Hillsdale HS,5041.0,5041
148,Holland Christian HS,high_school,300,32779.0,95289.0,25.59,-86.1328152,42.7619603,"42.7619603,-86.1328152",314.0,387.0,368.0,375.0,Holland HS,6114.0,6114
149,Holt HS,high_school,300,38310.0,95406.0,28.65,-84.57995029999999,42.6367415,"42.6367415,-84.57995029999999",330.0,368.0,351.0,356.0,Holt HS,7632.0,7632
150,Holt HS - Practice field,high_school,300,39740.0,98054.0,28.84,-84.5796448,42.6372277,"42.6372277,-84.5796448",330.0,366.0,352.0,355.0,Holt HS,7632.0,7632
151,Holton HS,high_school,300,28877.0,95912.0,23.14,-86.0881718,43.4149801,"43.4149801,-86.0881718",324.0,368.0,346.0,347.0,Holton HS,4407.0,4407
152,Holton HS,high_school,300,30292.0,95262.0,24.13,-86.0881713,43.4149801,"43.4149801,-86.0881713",324.0,369.0,345.0,346.0,Holton HS,4407.0,4407
153,Homer HS,high_school,300,23494.0,71072.0,24.84,-84.81377189231711,42.1386105227878,"42.1386105227878,-84.81377189231711",262.0,317.0,304.0,315.0,Homer HS,1321.0,1321
154,Hopkins HS,high_school,300,27577.0,98890.0,21.81,-85.7573278,42.6218376,"42.6218376,-85.7573278",322.0,374.0,353.0,355.0,Hopkins HS,4844.0,4844
155,Houghton HS,high_school,300,32578.0,92794.0,25.99,-88.56393780000001,47.10877110000001,"47.10877110000001,-88.56393780000001",310.0,361.0,343.0,348.0,Houghton HS,5636.0,5636
156,Howard City Tri County HS,high_school,300,32867.0,81986.0,28.62,-85.51112826513204,43.37198924707032,"43.37198924707032,-85.51112826513204",299.0,351.0,324.0,322.0,Howard City - Tri County Area HS,6337.0,6337
157,Howell HS,high_school,300,21114.0,92971.0,18.51,-83.9426426,42.6179456,"42.6179456,-83.9426426",310.0,361.0,343.0,346.0,Howell HS,5074.0,5074
158,Hudson high School,high_school,300,31947.0,88333.0,26.56,-84.3444884,41.8638399,"41.8638399,-84.3444884",313.0,356.0,335.0,335.0,Jackson Christian School,6196.0,6196
159,Hudsonville Christian HS,high_school,300,33791.0,97983.0,25.64,-85.84562560000001,42.8840691,"42.8840691,-85.84562560000001",321.0,388.0,370.0,383.0,Hudsonville HS,8077.0,8077
160,Hudsonville HS,high_school,300,30487.0,96953.0,23.92,-85.87544920000001,42.9134789,"42.9134789,-85.87544920000001",319.0,384.0,352.0,352.0,Hudsonville HS,8077.0,8077
161,Hudsonville HS - Field 2,high_school,300,31075.0,93415.0,24.96,-85.8768694,42.9142415,"42.9142415,-85.8768694",307.0,383.0,346.0,346.0,Hudsonville HS,8077.0,8077
162,Huron HS,high_school,300,27079.0,82445.0,24.72,-83.3501649,42.1258421,"42.1258421,-83.3501649",293.0,339.0,318.0,320.0,Ann Arbor - Huron HS,1825.0,1825
163,Indian River Inland Lakes HS,high_school,300,14836.0,85638.0,14.77,-84.6358958,45.3838713,"45.3838713,-84.6358958",309.0,341.0,329.0,331.0,Indian River - Inland Lakes HS,7913.0,7913
164,Ionia HS,high_school,300,30676.0,88463.0,25.75,-85.0645777,42.9523427,"42.9523427,-85.0645777",300.0,361.0,347.0,355.0,Ionia HS,4068.0,4068
165,Ionia Practice Field,high_school,300,29381.0,81817.0,26.42,-85.0646534,42.9533573,"42.9533573,-85.0646534",286.0,353.0,329.0,339.0,Ionia HS,4068.0,4068
166,Ithaca HS,high_school,300,33782.0,89985.0,27.29,-84.5973018,43.2972694,"43.2972694,-84.5973018",310.0,357.0,338.0,342.0,Ithaca HS,4398.0,4398
167,Jackson Lumen Christi HS,high_school,300,20498.0,92032.0,18.22,-84.4602665,42.2219816,"42.2219816,-84.4602665",299.0,358.0,343.0,347.0,Jackson HS,2633.0,2633
168,Jackson Northwest HS,high_school,300,30496.0,88518.0,25.62,-84.46933914772728,42.33093026965197,"42.33093026965197,-84.46933914772728",310.0,364.0,333.0,330.0,Jackson HS,2633.0,2633
169,Jenison HS,high_school,300,31316.0,98281.0,24.16,-85.837665,42.917629,"42.917629,-85.837665",324.0,385.0,360.0,367.0,Jenison HS,3607.0,3607
170,Jonesville HS,high_school,300,27649.0,79529.0,25.8,-84.6582478,41.9870938,"41.9870938,-84.6582478",301.0,328.0,318.0,320.0,Jonesville HS,3474.0,3474
171,Kalamazoo Christian high school,high_school,300,23934.0,92206.0,20.61,-85.6134503,42.273406,"42.273406,-85.6134503",290.0,370.0,350.0,361.0,Kalamazoo Christian HS,2591.0,2591
172,Kalamazoo Hackett Prep HS,high_school,300,21937.0,87095.0,20.12,-85.5965558,42.2474483,"42.2474483,-85.5965558",311.0,358.0,336.0,336.0,Kalamazoo - Hackett Catholic Prep,4720.0,4720
173,Kalkaska HS,high_school,300,16848.0,94387.0,15.15,-85.1876145,44.7368996,"44.7368996,-85.1876145",321.0,361.0,345.0,346.0,Kalkaska HS,6907.0,6907
174,Kenowa Hills HS,high_school,300,37758.0,93310.0,28.81,-85.7475037,43.0343372,"43.0343372,-85.7475037",306.0,376.0,346.0,345.0,Grand Rapids - Kenowa Hills HS,5280.0,5280
175,Kingston high School,high_school,300,20688.0,74026.0,21.84,-83.1919884,43.4105296,"43.4105296,-83.1919884",280.0,335.0,305.0,303.0,Kingston HS,3045.0,3045
176,L'Anse HS,high_school,300,23630.0,86914.0,21.38,-88.4437423,46.7575736,"46.7575736,-88.4437423",299.0,350.0,330.0,332.0,Macomb - L'Anse Creuse North HS,4555.0,4555
177,Laingsburg HS,high_school,300,28676.0,98635.0,22.52,-84.34275100000001,42.878632,"42.878632,-84.34275100000001",320.0,372.0,352.0,356.0,Laingsburg HS,1338.0,1338
178,Lake Fenton HS,high_school,300,25949.0,100846.0,20.47,-83.7550366,42.8442865,"42.8442865,-83.7550366",329.0,381.0,359.0,364.0,Fenton HS,5438.0,5438
179,Lake Leelanau St Mary HS,high_school,300,28135.0,81310.0,25.71,-85.70667229999999,44.9814759,"44.9814759,-85.70667229999999",280.0,382.0,321.0,315.0,Lake Leelanau - St Mary HS,4860.0,4860
180,Lake Orion HS,high_school,300,32958.0,90214.0,26.76,-83.2369353,42.7539465,"42.7539465,-83.2369353",299.0,368.0,350.0,356.0,Lake Orion HS,3953.0,3953
181,Lansing - Eastern HS,high_school,300,38329.0,86898.0,30.61,-84.53557480000001,42.7372929,"42.7372929,-84.53557480000001",311.0,349.0,335.0,336.0,Lansing - Eastern HS,2765.0,2765
182,Lansing - Everett HS,high_school,300,36876.0,93448.0,28.3,-84.5561434,42.6905115,"42.6905115,-84.5561434",316.0,374.0,345.0,346.0,Lansing - Everett HS,1387.0,1387
183,Lansing - Waverly HS,high_school,300,31145.0,88957.0,25.93,-84.6247929,42.7313098,"42.7313098,-84.6247929",311.0,353.0,336.0,339.0,Lansing - Waverly HS,2501.0,2501
184,Lansing Catholic HS,high_school,300,18993.0,88398.0,17.69,-84.5277248,42.7383015,"42.7383015,-84.5277248",299.0,351.0,336.0,341.0,Lansing Catholic HS,2435.0,2435
185,Lansing Christian HS,high_school,300,23717.0,88065.0,21.22,-84.50592766020017,42.67745685614403,"42.67745685614403,-84.50592766020017",325.0,349.0,333.0,329.0,Lansing Christian HS,1858.0,1858
186,Lansing JW Sexton HS,high_school,300,25173.0,95742.0,20.82,-84.57957949999999,42.7327867,"42.7327867,-84.57957949999999",313.0,375.0,351.0,354.0,Lansing - JW Sexton HS,7830.0,7830
187,Laura F. Osborn HS,high_school,300,31521.0,130423.0,19.46,-83.0017481,42.4331463,"42.4331463,-83.0017481",402.0,405.0,403.0,403.0,Detroit - Osborn HS,6254.0,6254
188,Lawrence HS,high_school,300,31471.0,87219.0,26.52,-86.0607894,42.2228865,"42.2228865,-86.0607894",302.0,360.0,330.0,328.0,Lawrence HS,2906.0,2906
189,Lawton HS,high_school,300,20930.0,89312.0,18.99,-85.82725073554163,42.17003016788095,"42.17003016788095,-85.82725073554163",311.0,350.0,331.0,331.0,Lawton HS,7351.0,7351
190,Leslie HS,high_school,300,18592.0,77353.0,19.38,-84.4419003,42.459359,"42.459359,-84.4419003",301.0,324.0,315.0,318.0,Leslie HS,5058.0,5058
191,Lincoln HS - Ypsi - Fields 2,high_school,300,28282.0,91822.0,23.55,-83.6146378,42.1604794,"42.1604794,-83.6146378",310.0,359.0,339.0,342.0,Lincoln Park HS,2996.0,2996
192,Linden HS,high_school,300,30270.0,90078.0,25.15,-83.8119214,42.8067754,"42.8067754,-83.8119214",319.0,361.0,341.0,347.0,Linden HS,3870.0,3870
193,Livonia - Clarenceville HS,high_school,300,19166.0,82438.0,18.86,-83.33937090000001,42.4363394,"42.4363394,-83.33937090000001",298.0,357.0,324.0,322.0,Livonia - Clarenceville HS,5396.0,5396
194,Livonia Franklin HS,high_school,300,19947.0,88016.0,18.48,-83.3473911,42.356909,"42.356909,-83.3473911",309.0,360.0,335.0,334.0,Livonia - Franklin HS,3508.0,3508
195,Mackinaw City HS,high_school,300,18976.0,70110.0,21.3,-84.7433419,45.7797649,"45.7797649,-84.7433419",285.0,301.0,295.0,297.0,Mackinaw City HS,3763.0,3763
196,Mackinaw City HS - 2?,high_school,300,21477.0,71126.0,23.19,-84.74272019999999,45.7785533,"45.7785533,-84.74272019999999",292.0,306.0,300.0,302.0,Mackinaw City HS,3763.0,3763
197,Mancelona HS,high_school,300,21815.0,81242.0,21.17,-85.0755686,44.897755,"44.897755,-85.0755686",301.0,333.0,320.0,323.0,Mancelona HS,8218.0,8218
198,Manchester HS,high_school,300,18255.0,89079.0,17.01,-84.03785167403916,42.15517370245973,"42.15517370245973,-84.03785167403916",297.0,357.0,332.0,336.0,Manchester HS,6717.0,6717
199,Marcellus HS,high_school,300,25582.0,92616.0,21.64,-85.8218351,42.0232524,"42.0232524,-85.8218351",327.0,360.0,344.0,342.0,Marcellus HS,5446.0,5446
200,Marine City Cardinal Mooney Field 2,high_school,300,16169.0,93547.0,14.74,-82.8879871,42.5368865,"42.5368865,-82.8879871",343.0,353.0,347.0,346.0,Marine City HS,1585.0,1585
201,Marine City Cardinal Mooney HS,high_school,300,35258.0,89229.0,28.32,-82.8877279,42.5352846,"42.5352846,-82.8877279",336.0,340.0,338.0,338.0,Marine City HS,1585.0,1585
202,Marion HS,high_school,300,28881.0,84444.0,25.49,-85.130365,44.1000449,"44.1000449,-85.130365",299.0,352.0,330.0,333.0,Marion HS,4877.0,4877
203,Marion HS,high_school,300,29050.0,84984.0,25.47,-85.1303638,44.1000455,"44.1000455,-85.1303638",301.0,351.0,328.0,330.0,Marion HS,4877.0,4877
204,Marlette HS,high_school,300,22629.0,86986.0,20.64,-83.07092799999999,43.3238064,"43.3238064,-83.07092799999999",287.0,392.0,349.0,356.0,Marlette HS,7054.0,7054
205,Marshall HS,high_school,300,41171.0,90639.0,31.24,-84.956717,42.2839031,"42.2839031,-84.956717",306.0,371.0,340.0,342.0,Marshall HS,7855.0,7855
206,Martin HS,high_school,300,25276.0,78191.0,24.43,-85.6333741,42.5353963,"42.5353963,-85.6333741",297.0,323.0,316.0,318.0,Detroit - Martin Luther King HS,6147.0,6147
207,Mason County Central HS,high_school,300,33783.0,87956.0,27.75,-86.2891178,43.9590923,"43.9590923,-86.2891178",315.0,351.0,340.0,344.0,Mason HS,2138.0,2138
208,Mason HS,high_school,300,25325.0,97372.0,20.64,-84.4333884,42.5705632,"42.5705632,-84.4333884",319.0,374.0,353.0,357.0,Mason HS,2138.0,2138
209,Mattawan HS,high_school,300,27396.0,88439.0,23.65,-85.79455912516615,42.21319961767226,"42.21319961767226,-85.79455912516615",298.0,359.0,333.0,335.0,Mattawan HS,4027.0,4027
210,Mayville HS,high_school,300,17938.0,81703.0,18.0,-83.3551339,43.3310365,"43.3310365,-83.3551339",286.0,334.0,320.0,327.0,Mayville HS,7442.0,7442
211,Memphis HS,high_school,300,29797.0,92195.0,24.43,-82.7773907,42.8914263,"42.8914263,-82.7773907",308.0,360.0,337.0,339.0,Memphis HS,4514.0,4514
212,Mendon HS,high_school,300,36355.0,86309.0,29.64,-85.4474524,42.0126305,"42.0126305,-85.4474524",300.0,370.0,335.0,336.0,Mendon HS,7260.0,7260
213,Merrill HS,high_school,300,28874.0,89658.0,24.36,-84.3410391,43.4071832,"43.4071832,-84.3410391",309.0,370.0,348.0,353.0,Merrill HS,2988.0,2988
214,Merrill HS,high_school,300,35890.0,97401.0,26.93,-89.6687864,45.1897375,"45.1897375,-89.6687864",332.0,363.0,350.0,351.0,Merrill HS,2988.0,2988
215,Michigan Center HS,high_school,300,19469.0,88936.0,17.96,-84.3400614,42.2249306,"42.2249306,-84.3400614",315.0,366.0,345.0,355.0,Michigan Center HS,7871.0,7871
216,Mio Ausable HS,high_school,300,26127.0,84492.0,23.62,-84.14099539999999,44.6527043,"44.6527043,-84.14099539999999",302.0,341.0,328.0,332.0,Mio-Au Sable HS,4167.0,4167
217,Mt Pleasant HS,high_school,300,28077.0,94255.0,22.95,-84.75913269999999,43.5913032,"43.5913032,-84.75913269999999",304.0,381.0,349.0,360.0,Mt Pleasant HS,5834.0,5834
218,Muskegon Mona Shores HS,high_school,300,32818.0,90825.0,26.54,-86.271558,43.1845307,"43.1845307,-86.271558",318.0,362.0,337.0,331.0,Muskegon - Mona Shores HS,7962.0,7962
219,Muskegon Western Michigan Christian,high_school,300,28988.0,90507.0,24.26,-86.23679300000001,43.1609012,"43.1609012,-86.23679300000001",301.0,382.0,344.0,346.0,Muskegon - Western Michigan Christian HS,3490.0,3490
220,Muskegon Western Michigan Christian HS,high_school,300,28674.0,91322.0,23.9,-86.23679559999999,43.1609022,"43.1609022,-86.23679559999999",301.0,383.0,343.0,338.0,Muskegon HS,7434.0,7434
221,New Haven HS,high_school,300,39931.0,89603.0,30.83,-82.78927556005448,42.72547695958696,"42.72547695958696,-82.78927556005448",325.0,345.0,336.0,337.0,New Haven HS,2848.0,2848
222,New Haven Merritt Academy HS,high_school,300,13658.0,78696.0,14.79,-82.7985517,42.7415202,"42.7415202,-82.7985517",277.0,352.0,323.0,347.0,New Haven HS,2848.0,2848
223,New Lothrop HS,high_school,300,37414.0,89468.0,29.49,-83.9746703,43.122242,"43.122242,-83.9746703",311.0,364.0,349.0,360.0,New Lothrop HS,3664.0,3664
224,Newberry HS,high_school,300,15767.0,91090.0,14.76,-85.5003675,46.3393006,"46.3393006,-85.5003675",308.0,371.0,337.0,335.0,Newberry HS,6700.0,6700
225,Northville HS,high_school,300,28784.0,95926.0,23.08,-83.49344499999999,42.4123981,"42.4123981,-83.49344499999999",314.0,369.0,345.0,345.0,Northville HS,5628.0,5628
226,Norway HS,high_school,300,25656.0,82223.0,23.78,-87.9126582,45.7729954,"45.7729954,-87.9126582",298.0,352.0,330.0,333.0,Norway HS,2625.0,2625
227,Novi Christian Academy HS,high_school,300,19236.0,78293.0,19.72,-83.4485037,42.5142468,"42.5142468,-83.4485037",291.0,331.0,314.0,317.0,Novi HS,1833.0,1833
228,Novi HS,high_school,300,23776.0,89713.0,20.95,-83.4924439,42.4615268,"42.4615268,-83.4924439",322.0,349.0,338.0,340.0,Novi HS,1833.0,1833
229,Okemos HS,high_school,300,28633.0,88727.0,24.4,-84.45583670000001,42.6867582,"42.6867582,-84.45583670000001",318.0,348.0,336.0,338.0,Okemos HS,6007.0,6007
230,Olivet HS,high_school,300,22494.0,87305.0,20.49,-84.91550063423387,42.44785917250212,"42.44785917250212,-84.91550063423387",299.0,354.0,331.0,332.0,Olivet HS,6436.0,6436
231,Orchard Lake St Marys HS,high_school,300,27391.0,87971.0,23.74,-83.35411000000001,42.5916394,"42.5916394,-83.35411000000001",303.0,361.0,338.0,346.0,Orchard Lake - St Mary Preparatory HS,2385.0,2385
232,Otsego HS,high_school,300,27721.0,99351.0,21.82,-85.7153268,42.4574031,"42.4574031,-85.7153268",314.0,376.0,352.0,356.0,Otsego HS,4984.0,4984
233,Ottawa Lake - Whiteford HS,high_school,300,30502.0,82331.0,27.03,-83.70111919999999,41.7665817,"41.7665817,-83.70111919999999",301.0,343.0,324.0,325.0,Ottawa Lake - Whiteford HS,3755.0,3755
234,Ovid-Elsie HS,high_school,300,24768.0,83750.0,22.82,-84.3932693,43.0477476,"43.0477476,-84.3932693",299.0,353.0,327.0,337.0,Ovid-Elsie HS,3383.0,3383
235,Owosso HS,high_school,300,20193.0,79372.0,20.28,-84.1622172,43.0168905,"43.0168905,-84.1622172",282.0,341.0,320.0,322.0,Owosso HS,6171.0,6171
236,Pelson HS,high_school,300,17058.0,76326.0,18.27,-84.78913470000001,45.55007209999999,"45.55007209999999,-84.78913470000001",279.0,357.0,316.0,315.0,Pellston HS,5660.0,5660
237,Petoskey HS,high_school,300,30315.0,91933.0,24.8,-84.93868740000001,45.36723030000001,"45.36723030000001,-84.93868740000001",315.0,365.0,352.0,357.0,Petoskey HS,3136.0,3136
238,Pewamo-Westphalia HS,high_school,300,27955.0,84958.0,24.76,-84.8358807,42.9403371,"42.9403371,-84.8358807",299.0,361.0,332.0,334.0,Pewamo-Westphalia HS,6312.0,6312
239,Pittsford HS,high_school,300,16255.0,86602.0,15.8,-84.47083929999999,41.8653427,"41.8653427,-84.47083929999999",219.0,397.0,339.0,366.0,Pittsford HS,1544.0,1544
240,Plymouth HS,high_school,300,30570.0,92981.0,24.74,-83.49864049999999,42.3483182,"42.3483182,-83.49864049999999",301.0,405.0,352.0,352.0,Canton - Plymouth HS,2839.0,2839
241,Portage Northern HS,high_school,300,24003.0,89005.0,21.24,-85.59873090000001,42.2356888,"42.2356888,-85.59873090000001",309.0,368.0,344.0,345.0,Portage Northern HS,4794.0,4794
242,Portland HS,high_school,300,39688.0,88555.0,30.95,-84.91802490000001,42.882565,"42.882565,-84.91802490000001",309.0,359.0,343.0,347.0,Portland HS,7104.0,7104
243,Portland St. Pats HS,high_school,300,34252.0,129849.0,20.87,-84.91077540000001,42.8702585,"42.8702585,-84.91077540000001",288.0,520.0,394.0,385.0,Portland HS,7104.0,7104
244,Posen HS,high_school,300,27420.0,78058.0,26.0,-83.7003876,45.2547685,"45.2547685,-83.7003876",293.0,346.0,312.0,306.0,Posen HS,3391.0,3391
245,Potterville HS,high_school,300,14915.0,82020.0,15.39,-84.7370545,42.6320489,"42.6320489,-84.7370545",277.0,337.0,321.0,330.0,Potterville HS,5108.0,5108
246,Quincy HS,high_school,300,29818.0,87250.0,25.47,-84.8767648,41.9430025,"41.9430025,-84.8767648",301.0,360.0,331.0,330.0,Quincy HS,4258.0,4258
247,Reese HS,high_school,300,20827.0,86160.0,19.47,-83.68423300000001,43.4537664,"43.4537664,-83.68423300000001",302.0,353.0,331.0,334.0,Reese HS,4828.0,4828
248,Reese HS - Field 2,high_school,300,19682.0,83361.0,19.1,-83.683368,43.4548134,"43.4548134,-83.683368",303.0,360.0,323.0,322.0,Reese HS,4828.0,4828
249,Remus Chippewa Hills HS,high_school,300,22666.0,85811.0,20.89,-85.1542803503838,43.66217266582332,"43.66217266582332,-85.1542803503838",305.0,355.0,333.0,337.0,Remus - Chippewa Hills HS,3887.0,3887
250,Richland Gull Lake,high_school,300,34838.0,85784.0,28.88,-85.44622380566936,42.37312335353401,"42.37312335353401,-85.44622380566936",311.0,358.0,333.0,335.0,Richland - Gull Lake HS,5297.0,5297
251,Richland Gull Lake HS - field 2,high_school,300,28220.0,85445.0,24.83,-85.44174651380094,42.37121216242524,"42.37121216242524,-85.44174651380094",296.0,349.0,327.0,330.0,Richland - Gull Lake HS,5297.0,5297
252,Richmond HS,high_school,300,32748.0,88224.0,27.07,-82.7574992,42.8073051,"42.8073051,-82.7574992",313.0,386.0,343.0,337.0,Richmond HS,1148.0,1148
253,Riverview HS,high_school,300,28873.0,83366.0,25.72,-83.1761582,42.1760001,"42.1760001,-83.1761582",317.0,337.0,326.0,326.0,Riverview Community HS,7847.0,7847
254,Rochester Adams HS,high_school,300,29388.0,93346.0,23.94,-83.19984239999999,42.6972168,"42.6972168,-83.19984239999999",319.0,367.0,354.0,356.0,Rochester - Adams HS,6733.0,6733
255,Rochester Hills Lutheran Northwest HS,high_school,300,20935.0,71585.0,22.63,-83.154448,42.6409822,"42.6409822,-83.154448",270.0,329.0,304.0,306.0,Rochester Hills - Rochester HS,6824.0,6824
256,Rochester HS,high_school,300,29531.0,88582.0,25.0,-83.15624510000001,42.6774369,"42.6774369,-83.15624510000001",310.0,365.0,339.0,344.0,Rochester Hills - Rochester HS,6824.0,6824
257,Rockford HS,high_school,300,33509.0,99484.0,25.2,-85.56869709999999,43.0900641,"43.0900641,-85.56869709999999",326.0,388.0,364.0,370.0,Rockford HS,4183.0,4183
258,Rogers City HS,high_school,300,18535.0,71875.0,20.5,-83.8041977,45.41751360000001,"45.41751360000001,-83.8041977",301.0,305.0,303.0,303.0,Rogers City HS,1577.0,1577
259,Rudyard HS,high_school,300,26169.0,85299.0,23.48,-84.58780230000001,46.2351548,"46.2351548,-84.58780230000001",306.0,351.0,329.0,328.0,Rudyard HS,5891.0,5891
260,Saginaw Heritage HS,high_school,300,36530.0,103302.0,26.12,-84.0129481,43.4554596,"43.4554596,-84.0129481",325.0,392.0,357.0,356.0,Saginaw - Heritage HS,4547.0,4547
261,Saginaw Heritage HS - Field 2,high_school,300,20534.0,98697.0,17.22,-84.0135834,43.4547419,"43.4547419,-84.0135834",328.0,390.0,351.0,347.0,Saginaw - Heritage HS,4547.0,4547
262,Saginaw Nouvel HS,high_school,300,42712.0,95394.0,30.93,-84.03503873526297,43.44684633221564,"43.44684633221564,-84.03503873526297",310.0,378.0,347.0,349.0,Saginaw HS,4241.0,4241
263,Saginaw Swan Valley HS,high_school,300,21585.0,87095.0,19.86,-84.0822261,43.4116302,"43.4116302,-84.0822261",301.0,356.0,342.0,350.0,Saginaw - Swan Valley HS,2757.0,2757
264,Salem HS,high_school,300,30248.0,89191.0,25.33,-83.4972427,42.3458381,"42.3458381,-83.4972427",290.0,394.0,342.0,342.0,Canton - Salem HS,3747.0,3747
265,Sand Creek HS,high_school,300,26399.0,79399.0,24.95,-84.10474429999999,41.8229206,"41.8229206,-84.10474429999999",293.0,335.0,317.0,321.0,Sand Creek HS,1924.0,1924
266,Sandusky HS,high_school,300,33614.0,84661.0,28.42,-82.82497170000001,43.4102931,"43.4102931,-82.82497170000001",298.0,362.0,330.0,339.0,Sandusky HS,7525.0,7525
267,Saranac HS,high_school,300,37347.0,87711.0,29.86,-85.20224754409088,42.9278769603117,"42.9278769603117,-85.20224754409088",297.0,349.0,329.0,333.0,Saranac HS,5223.0,5223
268,Shepherd HS,high_school,300,23072.0,89215.0,20.55,-84.69590821378927,43.51977592095525,"43.51977592095525,-84.69590821378927",305.0,376.0,335.0,337.0,Shepherd HS,1057.0,1057
269,South Haven HS,high_school,300,33673.0,87355.0,27.82,-86.27211630472802,42.38972110039865,"42.38972110039865,-86.27211630472802",282.0,379.0,336.0,343.0,South Haven HS,6782.0,6782
270,Southfield Christian HS,high_school,300,13609.0,69417.0,16.39,-83.2582113,42.499334,"42.499334,-83.2582113",265.0,336.0,303.0,301.0,Southfield Christian HS,3004.0,3004
271,Springport HS,high_school,300,31393.0,82958.0,27.45,-84.7031463413189,42.37589273783875,"42.37589273783875,-84.7031463413189",295.0,356.0,321.0,314.0,Springport HS,7228.0,7228
272,St Clair HS,high_school,300,31501.0,87273.0,26.52,-82.5113899,42.824698,"42.824698,-82.5113899",310.0,357.0,335.0,335.0,St Clair Shores - Lakeview HS,2146.0,2146
273,St Johns HS,high_school,300,37094.0,96144.0,27.84,-84.5679294,42.9878827,"42.9878827,-84.5679294",315.0,368.0,350.0,354.0,St Johns HS,3623.0,3623
274,Standish-Sterling HS,high_school,300,27613.0,95495.0,22.43,-83.9548964,44.0156178,"44.0156178,-83.9548964",312.0,377.0,350.0,351.0,Standish-Sterling HS,3012.0,3012
275,Sterling Heights - Parkway Christian HS,high_school,300,18986.0,92907.0,16.97,-82.9817171,42.562036,"42.562036,-82.9817171",323.0,361.0,346.0,349.0,Sterling Heights HS,3714.0,3714
276,Stevenson Lakeshore HS,high_school,300,22072.0,89254.0,19.83,-86.4944752,42.0092821,"42.0092821,-86.4944752",318.0,350.0,342.0,346.0,Stevensville - Lakeshore HS,5875.0,5875
277,Stockbridge HS,high_school,300,38566.0,96998.0,28.45,-84.18156399999999,42.4605244,"42.4605244,-84.18156399999999",300.0,378.0,348.0,352.0,Stockbridge HS,7608.0,7608
278,Suttons Bay HS,high_school,300,29243.0,90868.0,24.35,-85.6558771,44.9689333,"44.9689333,-85.6558771",310.0,360.0,338.0,342.0,Suttons Bay HS,3672.0,3672
279,Three Rivers HS,high_school,300,30998.0,90439.0,25.53,-85.61831188334281,41.95082696090952,"41.95082696090952,-85.61831188334281",310.0,370.0,343.0,350.0,Three Rivers HS,4134.0,4134
280,Traverse City Central HS - field 1,high_school,300,25921.0,90075.0,22.35,-85.57887650953001,44.74952077896879,"44.74952077896879,-85.57887650953001",301.0,370.0,336.0,337.0,Traverse City Central HS,4233.0,4233
281,Traverse City Central HS - field 2,high_school,300,27700.0,86955.0,24.16,-85.5782849,44.7495167,"44.7495167,-85.5782849",298.0,351.0,332.0,336.0,Traverse City Central HS,4233.0,4233
282,Traverse City Central HS - Old Field,high_school,300,26362.0,83329.0,24.03,-85.58657532875816,44.76626481693389,"44.76626481693389,-85.58657532875816",306.0,348.0,329.0,332.0,Traverse City Central HS,4233.0,4233
283,Traverse City St Frances HS,high_school,300,14024.0,94785.0,12.89,-85.55975530000001,44.7118419,"44.7118419,-85.55975530000001",310.0,373.0,343.0,344.0,Traverse City - St Francis HS,1107.0,1107
284,Traverse City West HS- old field,high_school,300,34809.0,99858.0,25.85,-85.68748135432152,44.75084178299133,"44.75084178299133,-85.68748135432152",324.0,376.0,354.0,357.0,Traverse City West HS,9731.0,9731
285,Traverse City West HS - Field 2,high_school,300,34570.0,98064.0,26.06,-85.6882042,44.7506962,"44.7506962,-85.6882042",325.0,372.0,354.0,358.0,Traverse City West HS,9731.0,9731
286,Trenton HS,high_school,300,23234.0,91703.0,20.21,-83.20306840000001,42.1421346,"42.1421346,-83.20306840000001",306.0,369.0,354.0,362.0,Trenton HS,1627.0,1627
287,Troy - Athens HS,high_school,300,17790.0,85160.0,17.28,-83.111861,42.5828923,"42.5828923,-83.111861",310.0,352.0,331.0,332.0,Troy HS,1742.0,1742
288,Ubly high School,high_school,300,19713.0,86330.0,18.59,-82.9346814,43.7078311,"43.7078311,-82.9346814",303.0,351.0,335.0,336.0,Ubly HS,1395.0,1395
